"rownames.Pca_dat_pop_features.","factor_is","mSet.dataSet.facB","tempcols.as.character.mSet.dataSet.facB..","col_vector1"
"3","B","19","#0D0887FF","#B0E2FFCC"
"9","B","29","#F0F921FF","#B0E2FFCC"
"13","B","19","#0D0887FF","#B0E2FFCC"
"19","B","29","#F0F921FF","#B0E2FFCC"
"22","B","19","#0D0887FF","#B0E2FFCC"
"28","B","29","#F0F921FF","#B0E2FFCC"
"32","B","19","#0D0887FF","#B0E2FFCC"
"42","B","19","#0D0887FF","#B0E2FFCC"
"48","B","29","#F0F921FF","#B0E2FFCC"
"52","B","19","#0D0887FF","#B0E2FFCC"
"58","B","29","#F0F921FF","#B0E2FFCC"
"62","B","19","#0D0887FF","#B0E2FFCC"
"68","B","29","#F0F921FF","#B0E2FFCC"
"122","K","19","#0D0887FF","blue3"
"128","K","29","#F0F921FF","blue3"
"132","K","19","#0D0887FF","blue3"
"138","K","29","#F0F921FF","blue3"
"142","K","19","#0D0887FF","blue3"
"148","K","29","#F0F921FF","blue3"
"71","O","19","#0D0887FF","red2"
"74","O","29","#F0F921FF","red2"
"77","O","19","#0D0887FF","red2"
"83","O","29","#F0F921FF","red2"
"87","O","19","#0D0887FF","red2"
"93","O","29","#F0F921FF","red2"
"97","O","19","#0D0887FF","red2"
"103","O","29","#F0F921FF","red2"
"106","O","19","#0D0887FF","red2"
"109","O","29","#F0F921FF","red2"
"112","O","19","#0D0887FF","red2"
"118","O","29","#F0F921FF","red2"
"155","S","19","#0D0887FF","green3"
"161","S","29","#F0F921FF","green3"
"169","S","19","#0D0887FF","green3"
"175","S","29","#F0F921FF","green3"
"179","S","19","#0D0887FF","green3"
"185","S","29","#F0F921FF","green3"
"189","S","19","#0D0887FF","green3"
"195","S","29","#F0F921FF","green3"
"198","S","19","#0D0887FF","green3"
"202","S","29","#F0F921FF","green3"
"206","S","19","#0D0887FF","green3"
"215","S","19","#0D0887FF","green3"
