"","Population(F.val)","Population(raw.p)","Population(adj.p)","Acclimation(F.val)","Acclimation(raw.p)","Acclimation(adj.p)","Interaction(F.val)","Interaction(raw.p)","Interaction(adj.p)"
"M190T290_neg",11.544,2.0649e-05,0.0019617,3.0141,0.091339,0.2066,1.4956,0.2327,0.46056
"M153T287_neg",9.5114,9.8084e-05,0.0044352,3.335,0.076362,0.18601,0.19963,0.89593,0.93531
"M339T37_neg",9.0708,0.00014006,0.0044352,8.5525,0.0060173,0.030652,3.0059,0.043312,0.26858
"M283T230_neg",8.2975,0.00026627,0.0063238,8.5102,0.0061304,0.030652,0.65076,0.5878,0.75461
"M131T38_neg",7.694,0.00044672,0.0084372,0.97509,0.33019,0.46391,1.1873,0.32867,0.53927
"M130T119_neg",7.4921,0.00053288,0.0084372,4.936,0.032865,0.11563,2.8441,0.051674,0.26858
"M275T47_neg",7.1747,0.0007056,0.0088529,4.1005,0.05055,0.14535,4.1243,0.013216,0.20926
"M267T217_neg",7.0246,0.00080694,0.0088529,5.2226,0.028467,0.11163,0.74378,0.53324,0.70357
"M157T43_2_neg",6.9817,0.00083869,0.0088529,1.7252,0.19757,0.32136,2.6739,0.062297,0.27596
"M164T229_neg",6.1954,0.0017243,0.016381,0.6333,0.43151,0.57738,2.0415,0.12591,0.36248
"M180T105_neg",5.8524,0.0023819,0.020571,10.566,0.0025482,0.020173,2.762,0.056542,0.26858
"M74T38_neg",5.3679,0.0037953,0.026611,0.31021,0.5811,0.69005,2.5295,0.073063,0.27764
"M250T42_pos",5.3672,0.0037978,0.026611,5.1596,0.029375,0.11163,6.499,0.0013012,0.030903
"M266T219_neg",5.3342,0.0039217,0.026611,1.3904,0.2463,0.37091,1.5545,0.21779,0.44021
"M133T56_neg",5.1917,0.0045085,0.027054,5.9,0.020415,0.084322,1.1708,0.33475,0.53927
"M105T47_neg",5.1809,0.0045565,0.027054,0.035437,0.85177,0.88921,0.51284,0.67609,0.80953
"M195T35_pos",4.9759,0.0055779,0.03117,13.248,0.0008726,0.0080958,3.4186,0.027755,0.2397
"M150T63_neg",4.838,0.0063988,0.033772,2.8457,0.10052,0.22207,2.8148,0.05336,0.26858
"M108T41_pos",4.7833,0.0067586,0.033793,0.50133,0.4836,0.59665,3.54,0.024388,0.23492
"M110T41_2_pos",4.639,0.0078132,0.037113,10.165,0.0030115,0.022007,1.6334,0.19927,0.42221
"M171T43_2_neg",4.5556,0.0084998,0.037153,4.5732,0.039532,0.12932,0.83953,0.48142,0.68461
"M229T45_neg",4.5436,0.0086039,0.037153,8.7633,0.005486,0.030652,8.8285,0.00017087,0.0081162
"M145T253_neg",4.4172,0.0097839,0.040386,7.3177,0.010475,0.047386,2.1034,0.11747,0.36248
"M382T289_2_pos",4.3761,0.010203,0.040386,0.13864,0.71188,0.79563,2.7628,0.056493,0.26858
"M662T146_neg",4.232,0.011827,0.044176,3.1445,0.084885,0.2016,0.29491,0.8288,0.90501
"M259T42_neg",4.2106,0.01209,0.044176,1.6417,0.20852,0.32136,1.6107,0.20444,0.42221
"M383T176_neg",2.9812,0.044491,0.12431,22.409,3.5752e-05,0.00084911,1.6825,0.18855,0.42221
"M288T106_neg",2.637,0.064884,0.14453,36.948,6.0871e-07,2.8914e-05,0.27527,0.84283,0.90987
"M122T103_neg",2.6087,0.066942,0.14453,24.861,1.6733e-05,0.00052989,1.1704,0.33492,0.53927
"M88T39_neg",2.1087,0.11678,0.20932,2.4163,0.12908,0.25546,9.1118,0.00013545,0.0081162
"M203T264_neg",2.0293,0.12765,0.22457,54.254,1.2965e-08,1.2317e-06,2.2943,0.094898,0.3339
"M494T646_pos",1.7333,0.17807,0.29678,2.6923,0.10979,0.23178,7.2446,0.00066303,0.020996
"M306T80_neg",1.3763,0.26609,0.37465,8.3057,0.0067101,0.031873,1.6245,0.20129,0.42221
"M89T71_neg",1.3693,0.26817,0.37465,17.383,0.00019075,0.0022652,1.6355,0.1988,0.42221
"M174T41_neg",1.3242,0.28208,0.38772,9.3415,0.0042707,0.025357,0.82707,0.48791,0.68461
"M664T67_neg",1.3043,0.28846,0.38772,19.399,9.5487e-05,0.0018143,1.0818,0.36951,0.57546
"M204T285_neg",1.2785,0.29689,0.39173,9.9252,0.0033314,0.022446,0.32053,0.81045,0.89526
"M145T39_neg",1.2002,0.324,0.42165,17.475,0.00018474,0.0022652,1.3548,0.27258,0.47735
"M243T133_neg",0.86432,0.46873,0.54304,13.063,0.0009374,0.0080958,0.36323,0.77993,0.87169
"M74T42_pos",0.81217,0.49578,0.54766,9.7788,0.0035441,0.022446,1.8545,0.15536,0.3884
"M258T41_neg",0.64969,0.58846,0.62813,16.177,0.00029287,0.0030914,0.51876,0.67213,0.80953
"M151T114_neg",0.19991,0.89574,0.915,17.478,0.00018453,0.0022652,0.54919,0.65202,0.80444
