"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"3",-4.2034,15.459,6.0917,3.4756,3.2765,3.3883,-7.0034,1.678,-2.349,5.6118,-2.511,1.2615,-1.0186,4.1108,-1.7511,0.87463,0.54821,-0.42139,-0.89613,1.0785,0.28652,1.2204,1.2274,-0.072421,-1.5305,1.3202,1.3004,0.18342,0.06804,0.027638,0.84424,-0.48048,-0.67195,-0.1094,-0.66197,-0.17856,-0.57204,0.27102,0.041043,0.19806,0.19699,0.20526,1.3851e-15
"9",-0.81485,4.3739,12.567,-5.0576,3.0695,-1.8067,1.5434,-1.4538,2.2123,1.0246,-0.1891,-0.85703,-2.3182,-0.91492,1.8805,-1.6091,2.4182,-0.085121,-0.92866,-4.0535,-0.57757,-0.74492,0.25777,-0.46078,-0.77383,0.31716,-0.57289,-0.7147,-0.36493,0.46169,0.11533,-0.26503,0.30443,0.80929,-0.3852,0.76459,0.26582,0.5335,0.48041,0.54274,0.37865,-0.30535,3.7067e-15
"13",9.1635,-3.7977,13.432,11.733,3.2681,-2.3953,-1.2697,0.96972,1.0353,-2.2781,1.456,1.4324,-3.363,1.1494,1.492,2.0766,0.027126,0.14307,1.3079,-0.99468,-1.1508,0.63779,-0.046649,0.28535,0.87789,-0.79126,0.061587,-0.88492,0.10691,-1.0433,-0.50382,-0.94759,0.26441,-0.75103,0.32629,-0.50861,-0.054445,-0.5873,-0.046625,0.15943,0.74141,0.29375,-1.3014e-15
"19",4.8596,-9.7589,7.2975,-2.3271,-2.8767,6.5781,-2.8379,-3.1642,2.7447,0.41912,-1.4956,0.2943,1.1566,-0.31159,-1.1125,0.81418,-0.38343,0.048232,0.69818,-0.42978,-1.2867,0.31835,-0.15637,-1.1621,0.40592,-0.93445,0.46407,0.5569,-0.071628,-1.1209,0.32592,0.22339,-1.2942,0.47582,0.67448,0.7574,0.43412,-0.17514,-0.69462,0.72054,-0.28933,0.094264,-2.6166e-15
"22",2.1323,-5.1124,-9.7731,-8.5898,7.4085,-0.8131,-2.9167,0.80499,-5.6712,-0.32424,-1.2757,1.8915,-4.2418,-0.78816,-3.6603,1.3311,-1.5998,-2.1964,1.8254,-2.1092,-0.95295,-1.5667,-0.67292,0.21047,1.8312,0.20663,0.055344,-0.34039,0.13703,-0.22625,0.15747,-0.29024,0.058263,0.97674,-0.54841,-0.35684,-0.21114,0.1493,-0.30365,-0.25405,-0.17725,-0.07389,7.7839e-16
"28",12.478,-10.963,11.054,1.4642,-1.9838,-2.3201,-1.6938,-1.7507,-1.5034,2.0853,-0.33442,0.31474,3.3687,0.2605,0.33567,-1.2416,1.4367,-2.2285,-1.2261,-0.9118,0.17442,0.6132,0.27314,-0.32379,1.1575,0.24523,-0.085138,-0.46842,-1.37,0.90223,-0.34981,1.5827,0.33022,0.28198,-0.23892,0.27515,-0.77425,-0.38779,-0.37868,-0.28723,0.17495,0.48102,-3.7433e-15
"32",8.9297,-5.3837,3.3252,2.6796,-1.1269,-1.535,1.7647,1.2726,-5.737,-1.2585,2.4735,0.24727,-0.90518,2.0526,0.32743,1.7664,-0.67765,3.8382,1.7153,-0.33875,1.2541,2.7979,1.5292,-0.3202,-0.067471,0.1619,-0.45619,-0.16762,-1.7194,-0.76376,0.051771,-0.11829,0.29645,0.38304,0.2351,0.55256,-0.1887,0.3022,0.16663,-0.22218,-0.41138,-0.26652,-2.4013e-15
"42",-0.18816,13.77,-5.5057,3.7006,-7.2343,4.4871,6.3185,-1.2673,-1.7755,-0.15124,2.0359,3.8366,1.1983,-3.4829,1.2928,0.36527,0.26151,-1.6769,-0.25648,-0.23577,2.0669,-1.5225,3.2528,0.37751,0.98095,0.11697,1.7997,-0.80371,-0.24855,-0.077356,-0.23338,-0.63535,-0.30055,0.066483,-0.095341,0.24002,0.4621,-0.1434,0.068505,-0.080285,-0.022704,0.11832,-3.7888e-15
"48",14.053,-8.4242,22.87,10.933,4.3007,-3.03,0.025131,0.015673,-3.3545,-0.64642,-1.115,0.14798,2.7784,-1.8636,-2.1725,0.12324,-1.9598,-0.29973,-1.0447,0.88803,0.82288,-1.8247,-0.02161,-0.43029,-1.1411,0.59597,-0.66202,-0.99099,0.88412,0.16533,1.2729,-0.12392,0.21549,-0.43396,0.11083,0.20105,0.59397,-0.069528,-0.31927,-0.27369,-0.064056,-0.36682,8.7914e-17
"52",-6.6455,26.531,-6.5395,11.477,-9.0498,-0.31164,-8.5235,3.3639,-0.8231,3.5463,0.63393,-4.3118,1.738,-0.97134,0.44348,1.6368,-0.76365,1.4934,-0.57664,-1.2974,0.10341,-1.5436,-0.10205,-0.66139,1.7009,-0.83909,-1.638,0.42856,-0.26213,0.20921,0.11874,-0.12544,0.18973,-0.06689,0.087304,-0.028925,-0.0045404,-0.0048292,-0.1496,0.02781,-0.0086626,-0.070666,-7.1724e-17
"58",-6.8535,4.8104,12.496,-7.4775,1.4612,-1.4036,2.5644,0.3211,1.461,1.6903,1.4378,-1.5506,1.1394,-1.4195,-1.6159,-1.7295,0.92158,-1.7394,-0.39251,-1.7421,0.09242,2.0318,0.67048,-0.75118,0.37252,0.4024,0.19583,1.0718,-0.7469,0.1466,-0.19219,-0.48368,0.087506,-0.48853,0.72073,-1.6469,0.52496,0.33751,-0.36944,-0.075789,-0.22057,-0.1623,1.0837e-15
"62",7.1714,-0.11386,-7.2626,1.7065,12.052,-0.39753,-0.43303,0.60747,-1.0241,-1.1784,0.19793,-3.1994,0.41478,-5.6752,-0.69979,1.9048,-1.1146,1.8448,-3.0773,0.49598,0.29415,0.50279,-0.61604,0.52685,-0.19106,1.1715,1.0386,1.1967,-0.0060401,-0.64904,-1.2367,0.18516,0.23682,-0.010787,-0.050658,0.42486,0.12611,0.47415,-0.22173,0.067107,0.29097,0.26165,5.3099e-16
"68",3.9358,-8.9056,-5.9168,-6.2421,-2.4183,-4.2855,-5.024,0.46113,-2.6627,4.874,5.5112,1.8926,0.34226,-1.1192,3.2918,2.3066,-0.12714,-2.3185,0.13321,-0.015662,-0.48205,-0.74917,-1.9831,0.47252,-1.6974,-0.17244,-0.073686,-0.9887,-0.44716,-0.18258,-0.41644,0.074726,-0.57056,-0.8327,0.34156,-0.006,0.23898,0.43408,0.32642,0.059788,-0.36101,0.14966,7.5177e-17
"122",9.9048,-6.0996,-10.59,-5.6102,0.21571,-0.79783,-0.32076,-2.6489,-4.552,-3.8125,1.71,-2.4541,0.36502,3.6439,0.15247,-1.072,-0.9454,-0.47748,-2.3571,-1.623,1.2278,1.6283,-0.45066,-0.26209,1.6625,0.17855,0.10686,0.23148,1.0547,1.0805,0.39688,-0.53467,-0.37101,-1.0776,-0.42134,0.36805,0.28184,-0.35019,0.26716,0.40421,-0.15167,0.037355,-1.7777e-15
"128",1.7826,-8.3127,-10.139,-7.5358,-12.203,-1.5958,-2.9388,5.1158,-1.4215,-3.4083,-8.2347,0.37378,-2.0601,-1.7749,-0.64994,-0.097904,1.9105,0.58994,-0.71619,0.99435,0.55061,0.47684,0.98011,0.28647,-1.0857,0.33601,-0.97502,-1.3816,-0.27655,0.094462,-0.46361,0.059794,0.38772,-0.3163,-0.12218,-0.37666,0.39479,-0.022263,-0.38154,0.40106,-0.010955,0.10423,5.9706e-16
"132",-41.105,-17.425,-4.3304,9.3396,2.1301,-0.42578,2.9158,-8.7504,-3.1945,4.619,-3.5279,-3.8904,-1.6428,-0.59153,1.6877,0.15737,-1.2492,-0.31723,1.346,0.8822,-0.4093,0.5765,1.0506,-0.022478,0.26326,-0.097551,-0.065976,-0.60043,0.38484,0.29927,-0.22548,0.14825,0.20814,-0.18893,0.086347,0.009586,0.083277,0.086159,-0.023815,0.033714,0.037045,-0.019917,-2.2151e-15
"138",8.8437,-7.7441,2.3494,2.9062,-0.37965,0.67085,0.27606,0.61262,0.76138,0.69961,0.94587,-0.020266,-1.9664,0.46486,2.0311,-0.40853,0.18055,1.5019,-0.19574,0.48424,2.0431,-0.16525,0.33592,0.63505,0.89858,0.91251,-1.2516,0.23783,1.0077,-0.41478,0.044088,1.3321,-1.6069,0.87046,-0.11354,-1.0193,0.51384,0.098101,0.4546,-0.10269,0.20876,0.045017,-4.2469e-17
"142",-1.5453,-8.107,-10.862,-0.27928,8.4344,4.9776,-0.012012,7.8989,3.4936,-0.60677,3.7407,-5.4336,2.7957,0.29076,-1.771,-0.93603,0.06797,-0.66447,2.089,-0.080754,0.29437,0.32402,1.1048,-1.6313,-0.87829,-1.2423,0.53487,-1.7908,0.20564,-0.089719,0.071995,0.36363,0.023286,0.085877,-0.52709,-0.10984,0.1591,-0.031859,0.18861,-0.059995,0.074684,0.11092,-2.8387e-15
"148",6.328,-8.0122,3.6837,-2.7685,-6.9921,4.7839,-3.3868,-4.0743,2.0423,-1.0288,2.9833,-0.96395,-1.3611,2.6201,0.90433,0.09172,-0.14864,1.8105,-0.78766,0.89081,1.1195,-0.91965,-0.98508,1.4303,-0.0029111,-1.5707,1.7764,-0.33773,-0.13231,0.65167,-0.15378,0.15337,0.52065,0.077532,-0.50177,-0.45931,-0.065021,0.62804,-0.71111,-0.097196,0.2284,-0.43972,-9.8063e-16
"71",-0.056634,12.578,-0.14474,2.0295,5.8873,-1.3474,-3.4137,0.21695,0.14805,0.26521,-0.41365,0.046771,-0.31618,1.3103,2.5793,-1.7471,0.38447,-0.57711,-2.027,0.025822,0.29209,0.90038,-0.019964,1.3956,-0.24691,-0.58875,0.77004,-0.81285,1.3784,-0.89872,0.13996,0.34354,1.3322,1.0674,0.76605,-0.21075,-0.024153,-0.44848,0.050655,0.13667,-0.64799,0.077359,2.0186e-15
"74",-10.491,7.6212,7.7012,-6.7035,-2.1385,-2.2651,2.1158,4.4749,0.87035,0.033555,3.0613,-0.19445,-0.635,-0.20887,-1.8945,1.9138,0.053067,-3.1232,0.49452,3.709,0.61207,1.1513,-0.28528,0.59423,1.489,0.53112,-0.36435,-0.25786,0.49432,0.24377,-0.47729,0.47947,0.07509,0.12232,0.48009,0.59832,-0.42712,-0.023624,0.075607,0.44649,0.28047,-0.57157,4.5143e-17
"77",-7.9996,12.478,-1.279,-1.7295,8.1452,-0.67895,-4.2112,2.2153,-0.38611,-1.3892,-5.3816,2.7074,2.303,4.1912,1.4242,-2.1887,-1.4255,-0.036195,1.6311,-0.46047,-0.049739,-0.45408,-0.43922,0.20615,0.14107,-0.025574,0.65974,0.24003,-0.5686,0.18231,-1.3794,0.58453,-0.39196,-0.44417,0.31752,0.49246,0.92124,-0.053028,0.039104,-0.38702,0.19169,-0.31889,1.1948e-15
"83",-6.9904,4.7347,5.9149,-9.4858,-1.5526,4.4341,0.16776,-4.2375,3.0811,-2.5685,1.1327,-1.4555,2.4174,1.4763,0.25907,-0.4474,-2.2337,-0.82037,-0.88658,-0.72026,-0.25939,-0.51304,1.0974,1.2199,-1.0008,0.88236,-2.0778,-0.47219,0.3302,-1.3709,-1.1193,-0.62106,-0.367,-0.21159,-0.63223,0.053583,-0.79688,-0.13746,-0.222,-0.28227,-0.15318,-0.047224,6.5288e-15
"87",-2.2815,11.381,0.061113,-3.9552,3.3201,-3.2438,1.9547,-0.19987,-0.36287,-1.9492,-3.453,0.014149,0.98648,-4.7857,0.9781,-1.6897,-2.3752,1.3274,-0.11139,-0.03727,0.21688,1.128,-1.2266,0.98946,-0.31858,-1.8401,0.4652,-0.9296,-0.66151,0.64053,0.82523,-0.23915,-1.3459,0.056838,0.23463,-0.2872,-1.0133,-0.17556,0.19443,-0.00037293,0.094795,-0.11709,2.5812e-15
