"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"3",-7.673,-8.3259,-5.1038,-0.70378,13.052,2.1333,-1.4976,0.58017
"9",-9.5221,-2.2201,4.9558,-0.95978,-1.1391,-5.9167,-1.4595,-4.9396
"13",-12.984,0.77454,1.7191,2.2864,-2.0422,-0.89827,-5.2584,4.7611
"19",-5.7681,1.4448,2.4401,2.2574,-5.4133,1.9256,-2.6191,-5.3504
"22",3.1769,-4.6227,-14.344,3.114,-0.61993,-2.9726,1.8418,-5.3591
"28",-12.495,0.51682,-3.4744,0.49801,-8.8933,1.1474,-1.8571,-1.4302
"32",-6.5191,-0.61199,-7.0856,-2.5541,-7.7081,-0.69994,0.42265,1.7528
"42",4.8058,3.3807,0.83731,-10.982,-2.6276,-4.8322,-2.5569,-1.2033
"48",-22.747,-1.8311,-0.84712,2.7131,-5.5316,0.68013,-0.84303,9.1803
"52",2.4836,-6.6099,-9.4734,-12.122,11.07,2.5654,-6.2149,2.7653
"58",-7.5963,-4.6011,6.1805,-2.2054,-1.7798,-5.2128,0.63075,-4.918
"62",0.4858,-0.72728,-10.885,3.1202,1.1375,-7.3422,-0.24216,4.6284
"68",0.85476,-3.5799,-12.812,-0.64883,-6.2446,1.803,1.0156,-4.2882
"122",3.7512,2.4421,-11.181,0.033353,-4.3087,-0.53314,1.6943,-3.747
"128",8.8201,3.8584,-2.4969,-2.3635,-6.0575,6.1693,-0.92866,-10.636
"132",15.471,-19.267,1.9998,0.093571,-12.829,-1.7032,0.30697,9.8889
"138",-3.6259,3.4613,-0.856,1.3064,-5.2238,0.19881,-1.315,1.1419
"142",8.6847,0.43729,-4.0069,4.5137,-3.2578,-6.5035,-2.4891,-0.56925
"148",-3.3649,2.9532,1.0668,0.50292,-4.3733,5.0977,-1.1599,-4.9002
"71",-2.2039,-2.0236,-2.4124,1.4314,11.8,-0.80556,-1.0171,1.0025
"74",-2.3198,-3.8486,7.4655,-2.7188,2.3193,-0.39728,3.1857,-2.0309
"77",1.5373,-3.7787,1.5325,5.3454,17.03,1.1411,-0.2537,-3.0128
"83",-1.4149,-1.2596,7.6411,-0.62431,1.9122,-1.4008,0.11587,-8.2029
"87",-0.0039544,-0.17226,2.0409,-0.9826,6.7789,-3.0171,1.7883,-0.9777
"93",1.4625,-0.58679,7.0923,-1.9667,3.8663,1.2765,5.5624,-6.4643
"97",-1.1187,4.0504,-0.32731,-4.0308,-2.9097,-4.4591,1.6886,9.7504
"103",-1.4617,1.5197,-4.223,0.76511,-5.8581,3.2684,7.7008,4.3155
"106",1.2064,-0.82286,5.9788,0.43923,6.5069,-1.7498,-0.0016224,-1.1491
"109",-1.6716,-4.4349,5.6254,-2.5198,-0.023948,-3.1087,1.0181,-8.8117
"112",-0.64227,-4.3164,-4.9762,-1.9694,14.007,7.3703,2.0933,6.5533
"118",-8.1954,-3.802,6.3242,-1.6068,1.2379,-0.78348,6.5255,-0.8648
"155",-2.8354,10.088,8.5211,1.7775,2.8409,0.33171,-2.4372,7.6839
"161",17.215,-16.205,12.383,6.2553,-5.3379,3.4478,-3.5972,2.2516
"169",9.0543,6.1401,-8.7917,4.1419,2.3789,-0.3108,0.17293,-1.738
"175",3.8827,3.3241,4.3448,-4.7359,-6.0993,7.1148,-0.69603,6.675
"179",3.0034,6.5493,0.35089,0.90378,3.2718,3.9272,2.1735,4.0218
"185",-3.9741,0.92313,1.7905,1.6194,-4.8137,5.7795,-0.029274,-3.2687
"189",14.137,9.9874,-2.6932,2.8187,2.1196,-1.2843,1.3106,0.65816
"195",-3.2951,4.3296,4.0159,5.5837,-0.034524,0.31042,1.249,4.0359
"198",10.682,8.7822,5.8351,-5.2635,0.012953,-3.0875,4.438,7.1636
"202",-0.86828,2.4618,-1.3824,1.5148,-6.0466,3.2569,-0.66839,-4.5648
"206",3.1335,4.4543,1.324,8.0318,7.7774,-1.4393,-1.4611,1.1819
"215",8.4522,11.769,5.9066,-2.1098,0.05405,-0.48712,-6.3317,-1.5657
