"rownames.Pca_dat_temp_features.","factor_is","mSet.dataSet.cls","col_vector1","popcols1.as.character.mSet.dataSet.cls.."
"4","19","Betta","#0D0887FF",NA
"10","29","Betta","#F0F921FF",NA
"14","19","Betta","#0D0887FF",NA
"23","19","Betta","#0D0887FF",NA
"29","29","Betta","#F0F921FF",NA
"33","19","Betta","#0D0887FF",NA
"39","29","Betta","#F0F921FF",NA
"43","19","Betta","#0D0887FF",NA
"49","29","Betta","#F0F921FF",NA
"53","19","Betta","#0D0887FF",NA
"59","29","Betta","#F0F921FF",NA
"63","19","Betta","#0D0887FF",NA
"69","29","Betta","#F0F921FF",NA
"123","19","Karasburg","#0D0887FF",NA
"129","29","Karasburg","#F0F921FF",NA
"133","19","Karasburg","#0D0887FF",NA
"139","29","Karasburg","#F0F921FF",NA
"143","19","Karasburg","#0D0887FF",NA
"149","29","Karasburg","#F0F921FF",NA
"151","19","Karasburg","#0D0887FF",NA
"78","19","Otavi","#0D0887FF",NA
"84","29","Otavi","#F0F921FF",NA
"88","19","Otavi","#0D0887FF",NA
"94","29","Otavi","#F0F921FF",NA
"98","19","Otavi","#0D0887FF",NA
"104","29","Otavi","#F0F921FF",NA
"113","19","Otavi","#0D0887FF",NA
"119","29","Otavi","#F0F921FF",NA
"156","19","Stampriet","#0D0887FF",NA
"162","29","Stampriet","#F0F921FF",NA
"170","19","Stampriet","#0D0887FF",NA
"176","29","Stampriet","#F0F921FF",NA
"180","19","Stampriet","#0D0887FF",NA
"186","29","Stampriet","#F0F921FF",NA
"190","19","Stampriet","#0D0887FF",NA
"196","29","Stampriet","#F0F921FF",NA
"199","19","Stampriet","#0D0887FF",NA
"203","29","Stampriet","#F0F921FF",NA
"207","19","Stampriet","#0D0887FF",NA
"212","29","Stampriet","#F0F921FF",NA
