"","Population(F.val)","Population(raw.p)","Population(adj.p)","Acclimation(F.val)","Acclimation(raw.p)","Acclimation(adj.p)","Interaction(F.val)","Interaction(raw.p)","Interaction(adj.p)"
"M157T43_2_neg",17.058,8.5004e-07,8.0754e-05,0.57005,0.45576,0.59311,6.4166,0.0015815,0.0093901
"M130T119_neg",9.52,0.00012089,0.0044402,21.141,6.3673e-05,0.00037806,3.0338,0.043387,0.089414
"M151T114_neg",8.978,0.00018427,0.0044402,11.483,0.001879,0.0061554,0.22555,0.87792,0.8968
"M664T67_neg",8.7841,0.00021484,0.0044402,1.3225,0.25867,0.38396,1.2088,0.32237,0.43133
"M115T128_neg",8.6786,0.0002337,0.0044402,3.9426,0.055703,0.10376,9.9158,8.9448e-05,0.002247
"M136T105_neg",8.1996,0.00034419,0.0054496,3.4626,0.071982,0.12492,8.9658,0.00018606,0.003535
"M263T286_neg",7.5314,0.00059988,0.0074362,0.13775,0.71297,0.78171,4.9151,0.006398,0.022511
"M267T217_neg",7.4807,0.00062621,0.0074362,0.0080129,0.92923,0.95848,0.57537,0.63539,0.71859
"M124T38_1_neg",6.9422,0.00099453,0.010259,14.942,0.00051036,0.002108,7.272,0.00074804,0.0071064
"M122T103_neg",6.8479,0.0010799,0.010259,58.294,1.0618e-08,5.0436e-07,6.8783,0.0010515,0.0076839
"M131T216_neg",6.568,0.0013819,0.010708,3.6129,0.066372,0.11991,10.647,5.2007e-05,0.002247
"M135T43_2_neg",6.519,0.0014434,0.010708,8.9432,0.005322,0.014044,8.1317,0.00036388,0.0041318
"M282T218_neg",6.5021,0.0014653,0.010708,32.225,2.7733e-06,4.391e-05,1.8142,0.16442,0.24031
"M131T38_neg",6.1629,0.0019875,0.011906,1.82,0.18679,0.30076,9.9495,8.7206e-05,0.002247
"M173T36_neg",6.1212,0.0020641,0.011906,20.037,9.0383e-05,0.00050508,7.0052,0.00094145,0.0074532
"M74T42_pos",6.0959,0.0021122,0.011906,4.6155,0.039355,0.076301,0.77674,0.51564,0.60476
"M147T79_neg",6.0864,0.0021306,0.011906,4.8589,0.034815,0.0719,9.8415,9.4613e-05,0.002247
"M137T293_neg",6.0054,0.0022938,0.012106,4.6525,0.038624,0.076301,8.3788,0.00029746,0.0041318
"M171T43_2_neg",5.731,0.0029532,0.014766,10.689,0.0025795,0.0076578,3.0156,0.044236,0.089414
"M199T46_neg",5.5657,0.0034447,0.016362,9.7443,0.0037989,0.010936,4.2439,0.012399,0.034644
"M164T229_neg",5.3586,0.0041853,0.018934,25.938,1.5166e-05,0.00013098,2.8358,0.053635,0.099908
"M245T46_2_neg",5.1459,0.0051239,0.022126,81.119,2.7486e-10,2.6112e-08,0.34885,0.79021,0.82495
"M166T45_pos",5.0857,0.0054281,0.02242,0.24513,0.6239,0.72282,2.7615,0.058106,0.10615
"M188T297_pos",4.975,0.0060384,0.02305,21.92,4.9971e-05,0.00033909,0.84991,0.47695,0.5809
"M250T42_pos",4.9384,0.0062553,0.02305,0.80063,0.37759,0.51508,4.2551,0.01226,0.034644
"M132T39_neg",4.9297,0.0063085,0.02305,4.334,0.045439,0.086335,2.9168,0.049166,0.095322
"M347T101_neg",4.8621,0.0067358,0.0237,8.6538,0.0060241,0.015368,3.8642,0.018218,0.046075
