"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"M250T42_pos",0.038876,-0.013249,-0.0010689,0.02946,0.020682,-0.042057,-0.019067,0.023933,-0.016127,-0.046754,0.0080465,0.00044659,-0.016379,0.00052132,-0.043476,-0.020194,0.0096474,-0.050854,-0.050346,0.0016018,-0.020016,0.025342,0.060728,-0.0028218,-0.023866,-0.03808,0.028553,-0.051809,-0.015758,-0.0016664,0.034321,-0.066747,-0.016466,0.0098875,-0.017487,0.0086616,-0.0097665,0.044059,-0.001969,-0.15088
"M113T44_pos",-0.018061,-0.13259,-0.020876,0.027898,-0.10362,0.08398,-0.14406,0.075164,0.073411,-0.01059,-0.038292,0.11532,0.11922,-0.17198,-0.14449,0.24223,0.037856,0.18503,0.019874,0.11296,-0.14971,0.078553,0.060631,-0.083289,-0.32999,-0.15614,0.021588,-0.022014,0.00062261,-0.017029,0.084188,-0.0821,-0.065372,0.162,0.15889,0.066481,-0.11946,-0.011365,-0.22853,0.33006
"M116T39_pos",0.094171,0.090601,-0.074368,-0.21109,0.11196,0.048926,-0.030723,-0.25766,-0.062258,0.0063699,-0.017531,-0.17021,0.014456,-0.10014,0.097582,0.093187,-0.047265,0.28663,0.086235,0.0061166,-0.087004,0.1432,0.119,0.18807,-0.10242,0.14086,0.13542,-0.084839,0.21706,-0.13728,0.19495,-0.067646,-0.1667,-0.070939,-0.085436,-0.088048,-0.067654,0.0089654,-0.048875,-0.41458
"M110T41_2_pos",0.031933,-0.039055,0.012893,0.027595,-0.0012722,-0.0060357,-0.020995,0.0033248,-0.020469,-0.089328,-0.060078,0.082473,-0.070434,0.074474,-0.019318,0.076145,0.046971,0.11745,-0.063599,0.023363,0.068967,-0.047576,0.12338,-0.016742,0.024761,0.26791,-0.15329,0.0087717,-0.21956,-0.0068002,0.0021174,0.26045,0.13427,-0.083618,-0.052029,0.085181,0.15031,0.1217,-0.020974,-0.16309
"M314T443_pos",0.042259,-0.016102,-0.013913,0.022369,0.075325,-0.032241,-0.046459,0.082677,-0.0073223,-0.12572,0.021861,-0.020099,-0.081945,-0.01009,0.014604,-0.027306,-0.012585,-0.13422,0.0089687,0.13986,-0.078653,0.039767,-0.014661,-0.024993,-0.042298,0.0043923,0.032958,-0.053305,-0.083134,-0.10292,0.15764,-0.056436,0.098755,-0.076309,0.023229,-0.014032,-0.0072772,-0.045645,0.15056,-0.087499
"M195T35_pos",0.011805,-0.0085656,0.013017,0.036726,0.067376,-0.038777,-0.013952,0.075712,0.0067998,-0.081048,-0.013787,-0.018511,-0.075141,-0.019898,0.027701,-0.011691,0.0061595,-0.079503,0.054899,0.1276,-0.053966,-0.0053639,-0.093532,0.0014421,-0.066424,0.019295,-0.055818,-0.010731,-0.079995,-0.14033,0.021746,-0.076972,0.021963,-0.11198,0.051029,-0.019899,-0.049545,0.069365,0.16442,0.061662
"M74T44_pos",0.03793,-0.079343,-0.074304,0.19668,-0.025697,-0.071133,0.015371,-0.39431,0.018904,-0.091833,0.095397,0.13151,0.096257,-0.094188,0.11392,0.14138,-0.10655,-0.038382,-0.099429,0.042876,0.15229,0.13545,-0.16908,-0.21961,0.069208,-0.17658,0.11819,-0.35306,0.17139,0.13518,-0.059709,0.12004,-0.065892,-0.041497,-0.07209,0.26787,-0.107,0.21259,0.10052,-0.025338
"M130T42_pos",0.27644,-0.19834,-0.10869,-0.25268,-0.20368,0.54494,-0.30426,-0.10459,0.027108,-0.1587,-0.14005,-0.0054993,-0.20849,0.12115,-0.066355,0.017597,-0.032262,-0.018172,0.018215,-0.096285,0.0030952,0.14948,-0.13593,0.090626,0.088067,0.096608,0.045335,-0.011354,-0.11495,-0.031116,-0.12806,0.04073,0.054424,-0.027337,-0.035334,0.02731,-0.055349,-0.015891,0.084607,0.14947
"M108T41_pos",0.16224,0.0077031,0.017164,0.025672,0.063595,-0.094783,-0.031453,0.041944,-0.037301,-0.055171,0.013338,-0.039341,0.0013363,-0.0068426,-0.1646,0.02479,0.087591,-0.1882,-0.19988,-0.15437,0.077613,0.055155,0.19715,-0.016547,-0.060877,-0.066368,0.019893,0.032136,0.10072,-0.1228,0.03679,0.01837,0.032743,0.00283,0.036979,0.0026173,-0.032558,-0.055224,-0.05842,-0.12474
"M135T60_pos",0.074053,-0.023031,0.011619,-0.0052959,0.071578,-0.10389,-0.1117,0.028029,-0.014388,-0.054031,0.057163,-0.11648,0.015043,0.057787,-0.083435,0.13938,0.012152,-0.20451,-0.27577,-0.1815,0.032577,0.13657,0.025789,0.13514,-0.22699,0.013243,-0.10059,0.027123,0.23248,-0.20665,-0.2119,0.10131,-0.040196,-0.032847,-0.28599,-0.1473,0.025035,0.098922,-0.09465,0.085911
"M188T297_pos",0.0031153,-0.049981,0.0082971,0.025506,-0.0069952,-0.17308,-0.006791,-0.050828,0.0067452,-0.070477,-0.021003,0.0051746,-0.019666,0.036335,-0.083299,0.0022557,-0.12549,-0.024204,-0.0034903,-0.02125,-0.1023,0.07567,0.00072961,0.048897,0.039213,0.039228,0.095489,-0.063136,-0.10427,-0.00066292,-0.038867,-0.088959,0.012787,-0.051425,-0.041701,0.0029976,-0.0019676,0.15812,-0.0069619,0.040548
"M88T41_pos",0.004459,0.015643,-0.023714,0.099534,-0.023718,0.093097,0.010134,-0.14221,0.091947,0.22631,-0.087522,-0.050746,0.006742,-0.20423,0.16738,-0.067017,-0.20117,-0.00010288,0.017612,-0.065507,-0.087899,-0.16706,-0.029569,0.016445,-0.31663,-0.09104,-0.023743,-0.16128,-0.063119,-0.14436,-0.00078905,0.16599,-0.0068259,0.17754,-0.00065288,-0.19663,0.11167,0.062556,0.055716,0.10018
"M494T646_pos",0.037544,0.035353,0.021885,0.055716,0.011944,0.076967,0.25087,0.014828,-0.30785,-0.23066,0.012313,0.041957,-0.034605,-0.111,-0.13407,-0.092665,-0.069415,-0.1105,0.24539,0.02358,-0.092342,-0.046682,0.04975,0.0080242,-0.13519,-0.064489,0.13182,0.0073514,-0.22633,-0.050062,-0.19481,0.078915,0.018075,0.17329,-0.2854,0.18245,0.021978,0.080182,-0.089355,-0.12229
"M116T48_pos",-0.082133,-0.16331,0.090503,-0.15987,-0.35533,-0.27565,-0.033647,-0.15645,0.2548,0.15298,0.31435,0.14476,-0.0090643,-0.061289,-0.30955,-0.069916,0.090543,-0.039786,0.26069,-0.087595,0.10657,-0.06947,-0.093825,-0.016698,-0.17293,0.013008,0.080087,0.17116,0.019639,-0.071864,-0.10049,-0.056268,0.023389,-0.16744,-0.099584,0.016434,-0.013192,0.0088638,0.068968,-0.15712
"M220T38_pos",0.031021,0.0071384,-0.0077499,0.0053072,0.055926,-0.0058721,-0.028942,0.027969,-0.018473,-0.033037,-0.014661,-0.027885,-0.0028024,-0.015285,0.021708,-0.016306,-0.018958,-0.013185,0.022371,0.026411,-0.0067893,-0.009182,0.0033536,0.040529,0.0032143,-0.047829,-7.9658e-05,-0.036063,0.03235,-0.055724,0.063655,0.0018261,-0.019663,0.021375,-0.034525,0.020222,0.020392,-0.049067,0.056585,0.09335
"M263T291_pos",-0.014953,-0.021503,-0.010442,-0.080174,-0.056823,-0.076496,0.15282,0.14965,0.1165,0.17747,-0.0052172,0.14683,-0.20953,-0.2051,-0.1532,0.39963,0.019364,-0.045806,0.10559,-0.10436,-0.098854,0.0052665,0.06806,0.26382,0.18545,0.19684,-0.01068,-0.17598,0.02721,0.12411,0.30162,0.097933,0.045683,0.10834,-0.077742,-0.057425,-0.023692,0.068658,0.079831,0.090244
"M166T45_pos",0.074662,-0.041652,-0.046509,0.071157,0.053804,-0.085038,-0.059831,-0.031061,-0.089454,-0.28844,0.11962,0.047512,-0.18308,-0.035954,-0.0018035,0.014499,0.040096,-0.15968,-0.020646,0.053536,-0.096623,0.12432,-0.014588,-0.16205,-0.033646,-0.12508,0.036039,0.13909,0.055233,-0.049366,0.17733,-0.13126,0.061182,0.19892,0.12127,-0.28016,0.041723,0.0046176,-0.046475,-0.094648
"M382T289_2_pos",0.03665,-0.0020206,-0.0022649,0.01681,0.045564,-0.043456,-0.03843,0.027148,0.0030246,-0.068915,0.0016937,-0.0096457,-0.034161,0.0069325,0.035355,-0.035941,0.046942,-0.018457,-0.012637,0.016022,0.01971,0.020643,0.018379,0.097231,-0.089398,-0.048049,0.026489,-0.0042345,0.0012876,0.030258,0.14108,-0.040143,-0.069899,-0.062458,0.027893,-0.018058,-0.17429,0.16513,0.050352,0.040461
"M124T33_pos",0.062207,0.010431,-0.013605,-0.0047879,0.086954,-0.0084005,-0.05072,0.025354,-0.044287,-0.11954,0.072896,-0.030473,-0.03577,0.018442,0.10946,0.02533,-0.038712,0.050345,0.010452,-0.053057,-0.14687,-0.095237,0.015372,0.011074,0.0048828,-0.10942,-0.11952,-0.16625,0.00073697,0.093568,0.18858,-0.035523,0.31917,-0.16279,-0.070735,-0.069778,-0.066032,0.011127,-0.16907,-0.16898
"M74T42_pos",0.069887,-0.054183,-0.070187,0.058918,0.05242,0.11045,-0.047198,-0.23558,-0.0021555,0.14167,0.12767,-0.042397,0.12226,0.057365,0.15099,0.010328,0.12606,0.044021,0.024479,-0.36612,-0.092065,-0.23799,0.18814,0.022551,0.059526,-0.010603,-0.060076,0.17761,0.087728,-0.05551,0.088767,-0.064228,0.13674,0.085744,0.070506,0.26385,0.04321,-0.05769,-0.1964,0.046614
"M180T38_pos",0.027494,0.011693,-0.010584,0.0012711,0.060968,-0.0084666,-0.017497,0.015601,-0.015828,-0.045981,0.004624,-0.026718,-0.013355,-0.0038663,0.012557,-0.028065,-0.014641,-0.031152,0.019643,0.02841,0.0048713,-0.016171,0.023976,0.051308,-0.015905,0.0022285,0.012918,-0.027086,0.035503,-0.03949,0.015025,-0.0084848,0.031814,0.0046071,-0.057542,0.060757,0.0014329,-0.069415,0.12375,0.11239
"M245T46_2_neg",0.029069,0.073441,0.024528,-0.0056696,0.036793,0.052529,0.056385,-0.041724,-0.015076,0.036739,0.019595,0.064291,0.020993,-0.047881,-0.0088767,-0.055302,-0.0006836,0.054499,0.058158,-0.065938,0.1119,-0.082403,0.14301,-0.017095,0.059713,-0.07522,-0.07382,-0.051783,-0.13052,-0.17087,-0.095402,0.09981,0.12534,0.21799,0.14451,-0.070316,-0.055411,0.094421,0.21925,-0.053951
"M153T287_neg",-0.0083047,-0.017086,-0.010365,-0.037689,0.071094,-0.023617,-0.021616,0.040225,0.074802,-0.0094553,-0.01768,0.0022957,-0.064335,0.013051,0.036271,-0.02003,0.041723,-0.024635,0.19169,0.038474,0.17253,0.042361,-0.10351,0.08695,-0.062615,-0.077344,-0.082735,-0.079981,-0.11335,-0.051522,-0.048691,-0.21211,-0.061445,-0.038081,0.010471,-0.050969,-0.10567,-0.062331,-0.2508,0.05495
"M266T219_neg",0.0011267,-0.028732,-0.03954,0.070605,0.036245,-0.01981,-0.0097379,0.023693,0.025008,-0.063727,-0.012249,-0.054316,-0.076302,-0.014423,-0.013881,0.045674,-0.03535,0.055201,-0.0050404,0.10039,0.068801,-0.039487,-0.053077,-0.012274,0.056436,-0.074021,-0.24463,0.05285,-0.17954,0.17492,0.034691,0.042051,-0.2348,-0.34774,0.029336,-0.13803,-0.08452,0.11586,-0.030748,-0.035554
"M267T217_neg",-0.12772,0.26899,0.72983,0.024142,0.1512,0.20851,-0.023586,-0.093193,0.16435,-0.09507,-0.05883,0.049584,0.10369,0.010248,-0.062675,0.20759,-0.031251,-0.049336,-0.083243,0.0056488,0.041539,-0.073753,-0.052586,0.059178,0.09752,-0.10439,0.091391,0.05792,-0.04962,0.080814,0.012335,-0.063721,0.030853,0.015703,0.036707,-0.050522,0.030088,0.067652,-0.0072701,-0.013636
"M145T253_neg",0.037949,-0.03443,-0.014987,-0.010133,0.0054089,0.021501,-0.0373,0.024638,-0.030206,-0.058697,0.068412,0.022941,-0.029775,0.0029889,0.068171,-0.016851,0.050012,0.052449,-0.028148,0.06179,-0.11568,0.067982,0.019802,-0.13906,0.040718,-0.023812,-0.040869,-0.12792,0.091313,0.053364,-0.14427,-0.026952,0.13788,-0.061988,0.062706,-0.083,-0.010237,0.073537,0.02325,-0.032884
"M137T293_neg",0.042954,-0.0051706,0.0027467,-0.018595,-0.0074472,-0.028973,-0.013653,0.021819,-0.010108,0.013231,0.0033113,0.013152,0.025422,0.012998,0.028472,-0.014915,-0.011076,-0.0051974,0.027116,-0.0067315,0.063313,0.022987,-0.021392,-0.008449,0.0024732,-0.05886,-0.0011378,0.03659,-0.016581,-0.02268,0.030069,0.051993,-0.023104,0.020768,0.021722,0.065133,-0.014823,0.01903,-0.03062,0.037966
"M383T176_neg",0.0099592,0.0019659,0.0089316,0.0094983,-0.0061375,-0.028343,0.0053,0.010874,0.045225,-0.018075,-0.0010676,-0.011372,-0.03333,0.064623,-0.032342,0.045124,-0.018753,-0.0013543,0.0080039,-0.067622,0.0023246,0.052051,0.011161,0.024206,-0.0565,0.0010881,-0.095427,-0.017398,-0.033119,0.032743,0.025958,-0.00085463,-0.069191,0.089337,0.034556,-0.02266,-0.13021,0.18494,0.061311,0.044226
"M275T47_neg",0.05007,0.01285,-0.0014994,-0.0015545,-0.0034219,-0.015256,-0.018135,0.028604,-0.030371,0.015355,0.00049818,0.038661,0.012658,0.035725,0.035383,-0.035784,0.010942,-0.027289,-0.023726,0.010196,0.011432,-0.075464,0.0059212,0.0063684,0.026508,-0.097315,0.070916,-0.01242,0.065912,0.028107,0.049556,-0.0074443,-0.046375,-0.004576,-0.051747,0.11648,0.10196,0.082446,-0.014165,0.11035
"M157T43_2_neg",0.040569,-0.023443,-0.021705,0.014322,-0.0038132,-0.053516,-0.0062528,0.022214,-0.028873,-0.015692,0.010574,0.016637,0.059899,-0.0049879,0.0068469,-0.027572,0.039689,0.0085391,0.04614,0.050658,0.010685,0.089327,0.020878,0.0020963,0.10611,-0.1026,0.034824,0.011539,-0.078774,-0.011342,0.049395,0.10186,-0.018173,-0.017391,0.019993,-0.064093,-0.20716,-0.10016,0.096752,-0.054362
"M279T269_neg",0.006538,-0.0051443,-0.021644,0.0059089,0.00048447,0.045281,0.015174,0.076703,-0.062935,-0.01621,0.024853,0.020418,-0.12054,0.095694,-0.15175,0.086519,0.00027734,-0.14739,-0.15903,-0.1138,0.18445,0.068807,0.23098,-0.13526,-0.16985,-0.11324,-0.084394,0.045005,0.071747,0.10093,0.13995,0.24115,-0.18476,-0.053619,0.071133,0.095214,0.064344,-0.17956,0.16687,0.044881
"M191T82_neg",-0.14596,-0.15183,0.019961,-0.15697,-0.046948,0.0064612,0.22518,0.10035,-0.26194,0.25113,0.073679,-0.020767,-0.11531,0.20454,0.34255,0.27939,-0.030935,-0.14332,-0.14724,-0.0074239,-0.050796,-0.0038315,0.10022,0.027335,-0.038478,-0.13936,0.16315,0.02136,-0.11597,-0.00024103,-0.21867,-0.25002,-0.093585,-0.059657,-0.083839,-0.071368,-0.046358,0.01894,0.014839,0.059908
"M242T59_neg",0.044939,0.023738,0.0070213,0.021541,0.0076575,0.0072309,0.016,-0.0070227,-0.0048291,0.040855,-0.027486,-0.0098893,-0.0071518,-0.016316,-0.00037054,0.0010158,-0.001233,0.0059549,0.014864,-0.030752,0.024736,0.0035707,0.010577,-0.009367,0.039579,-0.034418,0.012179,0.039058,0.0029306,0.012379,-0.032277,0.079716,-0.024552,-0.024011,0.028775,0.02388,-0.020211,-0.095719,0.010152,-0.078242
"M322T53_neg",-0.021909,0.067898,-0.045274,-0.059721,0.04321,0.065311,0.080547,-0.076036,-0.057338,0.019636,0.20559,-0.098229,0.13708,0.03023,0.0038206,-0.028612,-0.087444,0.072678,-0.10611,0.1172,-0.18012,-0.11327,0.020944,-0.091653,-0.31407,0.26654,0.072113,0.02837,-0.066063,0.34445,0.01295,0.20375,-0.030116,0.054156,-0.068205,-0.11861,-0.1133,0.028274,0.10987,0.020363
"M199T46_neg",0.057736,0.015712,-0.00063084,-0.012382,-0.011915,-0.035719,-0.01625,0.027082,-0.038845,0.013854,0.010418,0.02924,0.023164,0.028,0.045316,-0.053731,0.10955,0.0092969,0.082638,-0.042919,-0.093501,-0.03094,-0.0060009,-0.020162,0.16366,-0.064942,-0.055845,0.068233,0.099781,-0.042578,0.061591,-0.012599,0.049391,0.040162,0.064362,0.11228,-0.065228,0.26612,0.16353,0.023963
"M258T41_neg",0.058723,0.045347,0.012201,0.048717,-0.0093425,0.021917,0.075064,-0.028685,0.017279,0.063574,-0.02973,0.0033153,-0.0054646,-0.0076732,0.012673,-0.0033714,-0.03469,-0.00452,-0.01929,-0.03928,0.14104,-0.058176,0.10941,-0.045981,0.086453,0.029949,-0.0018216,-0.061183,-0.16424,-0.19865,-0.10892,0.063339,-0.080056,0.026192,0.093944,-0.081164,-0.19612,-0.18915,0.01948,-0.14058
