sample ID_ionization,population,M250T42_pos,M113T44_pos,M116T39_pos,M110T41_2_pos,M314T443_pos,M195T35_pos,M74T44_pos,M130T42_pos,M108T41_pos,M135T60_pos,M188T297_pos,M88T41_pos,M494T646_pos,M116T48_pos,M220T38_pos,M263T291_pos,M166T45_pos,M382T289_2_pos,M124T33_pos,M74T42_pos,M180T38_pos,M245T46_2_neg,M153T287_neg,M266T219_neg,M267T217_neg,M145T253_neg,M137T293_neg,M383T176_neg,M275T47_neg,M157T43_2_neg,M279T269_neg,M191T82_neg,M242T59_neg,M322T53_neg,M199T46_neg,M258T41_neg,M105T47_neg,M89T71_neg,M229T45_neg,M455T327_neg,M339T37_neg,M259T42_neg,M115T128_neg,M195T42_2_neg,M131T216_neg,M611T238_neg,M306T80_neg,M171T43_2_neg,M74T38_neg,M150T63_neg,M282T218_neg,M362T93_neg,M135T43_2_neg,M160T262_neg,M347T101_neg,M160T45_neg,M88T39_neg,M173T36_neg,M131T38_neg,M132T39_neg,M174T41_neg,M145T39_neg,M154T36_neg,M130T119_neg,M131T36_neg,M118T39_neg,M203T264_neg,M147T79_neg,M133T56_neg,M173T51_neg,M300T47_neg,M190T290_neg,M188T114_neg,M662T146_neg,M664T67_neg,M122T103_neg,M288T106_neg,M218T258_neg,M164T229_neg,M206T373_neg,M263T286_neg,M87T82_neg,M375T333_neg,M117T111_neg,M382T259_neg,M124T38_1_neg,M136T105_neg,M180T105_neg,M167T87_neg,M243T133_neg,M323T72_neg,M151T114_neg,M283T230_neg,M363T118_neg,M204T285_neg
4,Betta,15193.64,153956.06,367429.14,44082.29,14042.82,11409.33,266583.07,2471932.34,155527.69,168213.2,44831.59,211523.99,65553.23,844276.93,11753.2,62771.49,80874.7,20458.72,66167.85,369604.89,11336.28,17568.04,28395.38,44064.46,2109148.13,3857.29,4458.05,8988.47,21440.55,9640.43,22916.12,549304.08,18683.69,64726.38,24605.77,31280.48,13364.71,791573.85,64835.68,15784.08,5111.99,285916.7,3090.97,395529.6,22034.22,5943.21,4614.55,255798.34,60683.33,1219705.1,427380.53,712711.91,31344.43,186566.48,2686090.48,27075.08,42456.1,60433.34,27180.43,30067.99,46556.83,189573.02,200504.19,31867.32,96339.87,51791.99,2740981.62,18439.47,768232.61,61183.16,103197.81,6364.51,14852.9,121967.43,8839.71,4769.79,12634.17,499521.27,163929.21,10969.14,4635.85,102543.69,34597.59,204897.38,38621.89,1785817.66,2084.65,1027925.95,88947.65,728701.95,188129.37,400076.2,266832.67,681595.06,670394.87
10,Betta,11140.04,74717.34,557023.07,8635.55,19295.16,5981.72,254930.45,2148017.31,144587.37,100052.46,13146.51,177223.05,63148.11,550791.25,14840.47,98127.46,37440.37,12282.55,53026.01,255377.09,15398.74,59320.35,40441.77,21965.07,2086730.71,4387.55,5141.34,6840.77,25268.44,11361.79,34251.98,363109.9,23364.27,98341.88,29775.73,59408.12,17508.48,1329726.11,70127.92,11106.49,3266.75,339383.52,5877.39,36901.31,9849.29,10100.19,24899.68,306704.51,34177.34,914343.68,277149.08,1360146.54,41222.25,69459.66,4543343.41,25451.47,46556.29,107114.46,13491.75,37732.45,12763.73,48956.32,87747.03,33393.44,56790.13,12204.09,1160204.45,15070.67,851143.77,70449.41,112404.93,8279.98,4353.2,151502.31,18581.05,14558.11,28735.84,1023182.21,123406.1,2633.43,12086.01,87714.54,25370.96,199794.54,59874.26,2189370.78,2570.44,836840.47,72981.5,589651.87,324279.88,165135.95,253727.97,1086168.45,228804.61
14,Betta,14597.87,99695.88,533416.7,50774.85,8469.5,10669.5,351293.82,2075226.39,232232.18,158194.66,49957.91,169710.88,117619.96,753179.99,10167.17,156581.58,64165.61,15483.56,82986.28,287524.69,9201.4,62666.67,27097.24,33547.72,4479564.9,3625.46,4100.16,12714.65,11910.61,3562.33,8090.74,437073.09,26279.3,73729.01,14100.81,76762.84,17995.93,865923.71,115809.47,8959.39,2703.68,186174.18,3376.18,432304.79,10518.22,8718.16,5566.09,220711.01,44448.95,1563520.25,346410.3,634209.46,19224.43,106950.27,888072.72,21420.5,24963.17,152420.89,24203.55,18383.63,9921.33,78312.64,105981.26,24666.99,69952.09,22400.49,1522835.87,25585.52,562971.93,9922.46,153671.66,8973.05,6986.51,24341.45,7090.7,6895.66,10972.96,455476.94,91476.86,2717.99,5472.03,51653.25,32272.35,143563.27,87594.46,2583918.58,3628.46,680769.14,33659.9,700636.23,280111.58,333384.73,270364.62,323620.41,539272.84
23,Betta,9904.38,4881.67,427908.86,3489.4,7209.51,8140.1,184797.19,1510695.89,119629.59,152791.79,49956.81,135356.47,143078.22,1195934.84,4898.48,138718.39,33813.7,9881.31,39939.32,219818.51,8690.56,33008.15,23642.95,16351.47,3240941.41,1758.76,2296.19,7920.63,11513.11,5210.3,14098.22,864530.78,12289.83,143957.82,17670.86,41259.93,19582.72,972867.3,161482.76,8944.33,1207.77,83263.53,5956.06,1041020.59,5277.53,9469.96,8275.38,173038.49,29654.62,1025785.92,218647.62,1209518.22,14299.21,67803.35,2508150.88,13477.16,23728.9,68678.32,10930.72,15194.56,1511.31,19554.34,145699.97,30628.41,37512.03,10557.95,2208237.65,24987.4,595045.36,8938.92,81171.35,12377.03,15570.04,38341.4,10177.8,8569.37,17719.62,800476.48,121610.89,3197.03,16466.12,189555.33,36952.21,234800.57,172267.99,1688247.69,3262.03,975444.01,7628.44,742674.23,430089.11,390831.03,438846.34,828768.28,538985.01
29,Betta,5834.73,5872.08,700736.29,15419.28,3971.09,6289.57,78872.28,1527573.67,128763.7,135009.61,26630.57,154803.84,66966.8,766943.62,12614.73,76070.81,15914.64,15451.6,74218.1,250866.22,15131.72,89313.7,41222.28,8262.41,3266917.5,1589.29,2916.35,8377.32,13612.6,2661.53,6523.67,543740.54,15545.62,149162.68,30623.4,46308.78,14145.62,1864112.56,114966.34,10814.9,1534.91,115720.91,5798.55,33979.99,10297.63,7091.05,35123.18,99891.98,26772.2,1012528.95,180852.39,1356590.02,20556.22,73203.02,3537629.77,21049.8,19787.13,78188.28,10236.11,10972.06,1544.42,5336.64,89253.51,32973.08,45699.89,7893.85,1352870.13,18725.89,720834.52,6233.84,156518.87,13685.33,11088.78,30159.48,9097.91,18965.22,33069.3,1455788.54,144232.25,2084.48,6096.86,120606.11,19859.19,227726.2,112282.35,1907052.43,3053.92,515106.35,10900.53,814201.35,315220.24,298375.48,442126.71,1327486.21,418585.97
33,Betta,10367.13,182765.44,368613.29,6668.79,9456.68,5349.22,133428.27,2701438.41,113169.19,155519.87,24896.35,168071.86,49342.18,1149301.97,5535.1,70695.39,39307.16,12106.5,45395.14,219877.97,4940,21695.96,38946.09,15687.82,2828141.86,12136.45,2742.9,10771.83,9618.32,4306.45,15568,548071.38,7742.42,79932.66,14612.44,22175.16,18542.27,1111556.18,147017.09,11951.93,1129.31,213733.14,4003.22,909034.76,8851.15,8988.06,4844.87,179619.1,25252.28,706450.54,255793.04,1362675.32,17434.35,57143.3,2144419.15,13568.11,18201.29,31247.16,14807.07,13651.14,23496.46,64392.89,111763.1,38614.98,71010.11,7489.05,2522725.73,16218.52,540053.45,44175.29,93099.01,11203.55,16788.15,79223.8,8266.9,5662.34,13127.73,887926.64,135057.31,5018.79,3447.23,176619.69,41329.74,153233.4,49856.18,1450367.62,2585.56,704705.16,41044.78,675316.32,74101.61,346312.88,290614.38,772393.54,457972.67
39,Betta,9631.68,87908.64,702329.4,14687.57,15845.82,3433.94,284577.43,2352987.97,145548.38,149920.09,31405.89,168422.8,158446.58,1094832.78,12627.96,88733.06,112472.52,18541.33,75414.82,269799.76,15402.33,74287.69,33826.17,13995.32,3929407.67,4340.98,3360.49,9453.19,14036.47,5502.29,26226.71,303802.62,13724.42,207033.77,22020.81,24031.57,25031.9,1708365.29,186587.28,12373.76,1720.43,75907.34,3635.31,94075.55,11165.69,3834.12,10184.65,150573.92,28354.79,1025079.95,181182.46,1420143.02,24350.4,101182.17,3433179.34,17491.26,17275.56,69424.61,10447.36,7749.58,7538.57,26077.45,135245.12,21458.38,41022,8074.71,1810071.49,23481.44,519264.3,28353.23,125362.18,13389.63,19582.72,64408.57,12074.11,15580.66,43735.85,1329463.34,125484.82,1707.62,3254.79,76540.59,36381.89,244898.76,224849.8,1842057.37,4392.14,1019612.63,66924.59,810113.85,425450,281823.4,432307.77,1068986.94,424747.57
43,Betta,9880.87,190874.64,496365.77,22593.62,11103.23,11315.66,300142.46,2195370.98,147582.29,212525.59,56669.53,129236.06,55914,1318054.26,6696.57,173130.09,50516.55,15851.11,56208.9,260879.16,9471.43,30556.47,53578.59,7405.77,3790778.92,1944.11,4619.27,10486.32,7653.52,8064.93,3083.18,641039.14,7465.48,77717.9,13819.54,13444.02,17417.55,1197705.14,195804.54,16529.62,1440.51,50170.79,3170.4,56254.12,18478.16,6824.71,5322.44,107239.25,29351.52,884957.39,269004.86,1263266.88,27452.62,150212.21,2521547.61,26603.37,19916.13,50348.26,13677.59,10623.65,35515.1,37008.09,97407.35,39287.04,82737.01,8908.42,2528085.76,17611.87,593885.32,38087.26,134255.35,11523.55,21434.26,37661.71,9822.38,8241.77,20847.15,1032075.37,179053.78,6273.42,1919.53,161883.43,54302.62,269413.57,196210.68,1710600.59,3042.76,885612.19,40376.4,953164.07,132711.63,360995.61,455456.68,878473.35,595892.75
49,Betta,9881.14,25726.15,564787.55,18755.93,4538.43,1999.59,105949.65,1768687.73,130184.03,135229.92,21589.58,138903.1,125586.02,756707.22,11146.41,99609.55,34101.52,13999.3,87420.02,272508.88,13363.52,79539.16,42923.18,14971.9,3397151.69,1142.11,1586.59,6570.71,23361.54,2932.41,10406.51,622708.91,13061.25,184874.87,26681.87,47750.94,20881.21,1657108.63,153501.81,12097.49,1757.6,153465.78,5594.89,43599.12,6695.8,10332.65,32953.62,197829.2,29562.7,920476.83,213787.99,1413834.01,21757.44,44106.06,5017543.68,18917.46,22429.8,68998.44,12229.9,12038.36,3512.44,6341.35,135961.69,32864.04,43209.52,9429.59,1982852.67,27166.43,580788.36,50228.16,106022.55,13060.1,14371.92,55490.18,9693.63,19611.67,33638.4,1226672.83,157605.12,3125.17,11086.92,138215.38,24077.55,273999.1,176025.89,2076406.48,3483.24,814006.72,29329.83,761544.46,507878.54,322398.82,461830.6,1411361.19,363258.98
53,Betta,26805.86,194819.07,513614.14,18879.27,17468.1,8197.45,473695.43,2075654.82,220711.39,203032.04,117018.37,207128.02,112465.86,1180976.29,10998.01,144542.77,115329.61,22659.15,56531.01,305624.23,12055.17,18763.97,36867.02,28036.89,1908934.5,4376.55,4017.79,14210.54,14900.85,16482.24,8984.84,575057.72,12024.08,94621.06,8778.33,27704.73,14837.61,1012165.07,51112.91,11333.37,5917.46,247621.17,3332.32,134271.35,18149.67,8673.09,5174.6,240389.69,50170.64,1293649.7,487895.22,712885.02,38713.26,202123.75,1800250.59,32294.09,52299.04,77792.36,19279.87,45277.19,46066.67,79820.69,161289.32,37414.23,107708.34,31889.44,2882642.27,15722.06,815178.05,24486.37,87234.94,6708.41,16894.08,156748.94,11217.36,10040.08,20294.08,740263.58,151476.85,4862.61,3407.55,109566.08,44745.45,215863.48,80705.52,2432387.76,3653.8,1012944.07,97348.02,717954.21,187731.9,264161.25,345153.64,888188.69,1112525.35
