sample ID,Population,Acclimation,performance test
4,Betta,19,Ctmax
10,Betta,29,Ctmax
14,Betta,19,Ctmax
23,Betta,19,Ctmax
29,Betta,29,Ctmax
33,Betta,19,Ctmax
39,Betta,29,Ctmax
43,Betta,19,Ctmax
49,Betta,29,Ctmax
53,Betta,19,Ctmax
59,Betta,29,Ctmax
63,Betta,19,Ctmax
69,Betta,29,Ctmax
78,Otavi,19,Ctmax
84,Otavi,29,Ctmax
88,Otavi,19,Ctmax
94,Otavi,29,Ctmax
98,Otavi,19,Ctmax
104,Otavi,29,Ctmax
113,Otavi,19,Ctmax
119,Otavi,29,Ctmax
123,Karasburg,19,Ctmax
129,Karasburg,29,Ctmax
133,Karasburg,19,Ctmax
139,Karasburg,29,Ctmax
143,Karasburg,19,Ctmax
149,Karasburg,29,Ctmax
151,Karasburg,19,Ctmax
156,Stampriet,19,Ctmax
162,Stampriet,29,Ctmax
170,Stampriet,19,Ctmax
176,Stampriet,29,Ctmax
180,Stampriet,19,Ctmax
186,Stampriet,29,Ctmax
190,Stampriet,19, Ctmax
196,Stampriet,29,Ctmax
199,Stampriet,19,Ctmax
203,Stampriet,29,Ctmax
207,Stampriet,19,Ctmax
212,Stampriet,29,Ctmax
3,Betta,19,Chill coma
9,Betta,29,Chill coma
13,Betta,19,Chill coma
19,Betta,29,Chill coma
22,Betta,19,Chill coma
28,Betta,29,Chill coma
32,Betta,19,Chill coma
42,Betta,19,Chill coma
48,Betta,29,Chill coma
52,Betta,19,Chill coma
58,Betta,29,Chill coma
62,Betta,19,Chill coma
68,Betta,29,Chill coma
71,Otavi,19,Chill coma
74,Otavi,29,Chill coma
77,Otavi,19,Chill coma
83,Otavi,29,Chill coma
87,Otavi,19,Chill coma
93,Otavi,29,Chill coma
97,Otavi,19,Chill coma
103,Otavi,29,Chill coma
106,Otavi,19,Chill coma
109,Otavi,29,Chill coma
112,Otavi,19,Chill coma
118,Otavi,29,Chill coma
122,Karasburg,19,Chill coma
128,Karasburg,29,Chill coma
132,Karasburg,19,Chill coma
138,Karasburg,29,Chill coma
142,Karasburg,19,Chill coma
148,Karasburg,29,Chill coma
155,Stampriet,19,Chill coma
161,Stampriet,29,Chill coma
169,Stampriet,19,Chill coma
175,Stampriet,29,Chill coma
179,Stampriet,19,Chill coma
185,Stampriet,29,Chill coma
189,Stampriet,19,Chill coma
195,Stampriet,29,Chill coma
198,Stampriet,19,Chill coma
202,Stampriet,29,Chill coma
206,Stampriet,19,Chill coma
215,Stampriet,19,Chill coma
