"NMR" "Population" "Acclimation" "nest"
40 "S" 29 "069"
60 "B" 25 "3a "
70 "K" 23 "162"
90 "B" 15 "mix"
100 "S" 15 "069"
150 "B" 15 "6a "
160 "B" 19 "6a "
170 "B" 23 "128"
180 "B" 23 "mix"
200 "B" 29 "1b "
260 "S" 19 "080"
270 "S" 23 "095"
300 "O" 23 "026"
320 "S" 15 "095"
330 "B" 29 "mix"
370 "B" 19 "25 "
380 "O" 15 "010"
390 "S" 15 "085"
410 "O" 19 "010"
460 "K" 29 "59*"
490 "B" 23 "1b "
510 "O" 23 "11*"
540 "K" 15 "162"
560 "S" 23 "96b"
580 "B" 19 "3a "
590 "B" 19 "1b "
600 "B" 15 "26b"
610 "K" 19 "mix1"
630 "O" 19 "006"
640 "B" 25 "mix"
660 "K" 25 "mix1"
670 "B" 29 "25 "
770 "O" 29 "006"
780 "K" 19 "59*"
800 "O" 29 "11*"
810 "O" 29 "026"
820 "S" 19 "96b"
830 "O" 15 "006"
840 "S" 29 "096"
850 "O" 23 "010"
860 "B" 23 "3a "
870 "S" 29 "095"
880 "O" 15 "31*"
890 "S" 23 "096"
920 "O" 23 "008"
930 "O" 15 "026"
940 "K" 29 "mix1"
950 "B" 25 "6a "
970 "B" 23 "26b"
980 "S" 25 "073"
990 "S" 15 "096"
1000 "S" 25 "085"
1020 "S" 19 "095"
1030 "S" 25 "96b"
1060 "O" 29 "010"
1080 "S" 15 "mix3"
1090 "K" 15 "59*"
1100 "K" 15 "mix1"
1110 "B" 19 "mix"
1130 "O" 15 "11*"
1140 "B" 15 "3a "
1150 "B" 29 "26b"
1160 "O" 15 "008"
1170 "O" 19 "008"
1190 "S" 19 "069"
1210 "O" 25 "11*"
1220 "K" 29 "162"
1250 "O" 29 "008"
1260 "S" 25 "mix3"
1290 "S" 29 "080"
1300 "K" 23 "59*"
1320 "S" 29 "085"
1350 "B" 25 "128"
1370 "O" 23 "006"
1390 "O" 25 "006"
1400 "O" 25 "008"
1420 "O" 25 "010"
1430 "K" 25 "59*"
1440 "K" 23 "mix1"
1450 "S" 25 "069"
1490 "B" 29 "3a "
1520 "B" 15 "1b "
1530 "K" 19 "162"
1540 "S" 19 "mix3"
1550 "B" 23 "6a "
1580 "O" 29 "31*"
1600 "K" 25 "162"
1640 "S" 25 "095"
1650 "S" 19 "085"
1680 "S" 23 "085"
1710 "S" 23 "080"
1750 "S" 15 "080"
1790 "S" 15 "073"
1800 "B" 19 "128"
1810 "O" 19 "026"
1840 "O" 19 "31*"
1850 "S" 25 "080"
1910 "S" 23 "069"
1920 "O" 19 "11*"
1930 "B" 15 "25 "
1940 "B" 23 "25 "
1960 "B" 25 "26b"
2010 "B" 25 "25 "
2030 "B" 25 "1b "
2040 "B" 29 "128"
2050 "O" 23 "31*"
2060 "S" 19 "096"
2110 "S" 23 "mix3"
2120 "O" 25 "026"
2160 "B" 19 "26b"
2180 "B" 15 "128"
2190 "O" 25 "31*"
