"NMR" "Population" "Acclimation" "nest"
10 "S" 29 "085"
20 "O" 19 "010"
30 "O" 29 "31*"
50 "O" 15 "008"
80 "B" 19 "1b "
110 "S" 25 "080"
120 "O" 23 "11*"
130 "O" 23 "31*"
140 "B" 19 "25 "
190 "S" 19 "085"
210 "S" 23 "096"
220 "S" 15 "069"
230 "B" 29 "26b"
240 "S" 23 "085"
250 "B" 15 "1b "
280 "K" 15 "mix2"
310 "S" 29 "096"
340 "B" 15 "6a "
350 "B" 15 "25 "
360 "K" 23 "59*"
400 "B" 23 "26b"
430 "O" 15 "31*"
440 "B" 19 "6a "
450 "K" 25 "162"
480 "K" 25 "59*"
500 "S" 25 "095"
530 "K" 19 "mix1"
550 "K" 29 "162"
570 "O" 19 "31*"
620 "O" 29 "11*"
650 "S" 15 "073"
680 "S" 29 "095"
690 "S" 19 "069"
710 "S" 15 "96b"
720 "O" 25 "31*"
730 "O" 23 "010"
740 "O" 19 "11*"
750 "B" 23 "1b "
760 "B" 15 "3a "
790 "K" 25 "mix2"
900 "B" 25 "1b "
910 "B" 25 "mix"
960 "B" 29 "mix"
1010 "O" 15 "11*"
1040 "S" 23 "96b"
1050 "S" 29 "96b"
1070 "B" 25 "26b"
1120 "S" 23 "073"
1180 "K" 25 "mix1"
1230 "B" 25 "128"
1240 "K" 19 "mix2"
1280 "S" 19 "096"
1310 "S" 23 "080"
1330 "O" 25 "010"
1340 "O" 15 "010"
1360 "O" 23 "008"
1380 "S" 15 "095"
1410 "B" 15 "mix"
1470 "B" 19 "128"
1480 "K" 19 "59*"
1510 "B" 23 "3a "
1560 "K" 29 "59*"
1570 "B" 23 "mix"
1610 "S" 19 "96b"
1620 "K" 19 "162"
1630 "K" 15 "162"
1660 "S" 15 "080"
1670 "O" 25 "008"
1690 "S" 19 "080"
1700 "S" 19 "095"
1720 "B" 23 "128"
1730 "B" 19 "26b"
1740 "K" 15 "mix1"
1760 "S" 25 "085"
1770 "B" 25 "6a "
1780 "B" 29 "25 "
1820 "O" 29 "010"
1830 "B" 29 "1b "
1860 "B" 25 "3a "
1870 "B" 25 "25 "
1880 "K" 23 "162"
1890 "B" 23 "6a "
1900 "S" 23 "095"
1950 "B" 15 "26b"
1970 "S" 23 "069"
1980 "O" 25 "11*"
1990 "B" 29 "128"
2000 "S" 25 "069"
2020 "O" 19 "008"
2070 "K" 15 "59*"
2080 "B" 15 "128"
2090 "S" 25 "96b"
2100 "S" 29 "069"
2130 "S" 15 "085"
2140 "B" 29 "6a "
2150 "O" 29 "008"
2200 "B" 19 "3a "
2210 "S" 29 "080"
2220 "B" 23 "25 "
2230 "B" 19 "mix"
2250 "K" 23 "mix1"
2260 "K" 29 "mix1"
