"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"60",-8.9204,6.3884,-2.6708,0.60775,-0.70446,0.3071,-0.14012,1.383,-0.83801,2.2239,-0.29189,0.088559,-1.4089,0.12117,-1.5975,2.1622,-0.84108,0.70161,-1.1353,1.1852,-1.0837,-1.9368,0.31606,-0.75041,0.96603,-1.8201,0.87893,-2.1162,0.18656,-0.66345,0.86383,-1.6741,0.64715,-1.7401,0.60048,-0.13733,0.48018,-0.61847,0.36021,-0.58385,0.063657,0.046806,-0.047886,-1.1046,0.18565,-0.30731,-0.60773,0.0074453,0.18813,0.080539,-0.90476,-0.66778,0.38192,0.077719,-0.17946,-0.50363,-0.195,-0.84463,0.043028,0.18132,0.1652,0.39934,0.20835,-0.37104,-0.26023,-0.088506,-0.067693,-0.055603,0.034498,0.25631,0.24864,0.20733,-0.062293,-0.28635,-0.21053,-0.043624,-0.40842,0.27463,0.022364,0.028631,0.071975,0.0049139,0.16349,0.16063,0.13757,0.11807,-0.34407,-0.25295,-0.10189,-0.28782,-0.059483,-0.078291,-0.18736,0.18829,0.092588,0.26868,0.099777,0.21985,0.0088581,0.086664,0.068575,-0.20615,-0.13712,-0.038391,-0.039908,-0.042943,-0.034339,-0.13598,0.0051183,0.1735,0.075507,5.2445e-15
"90",-1.9557,9.7667,1.902,-4.4559,-0.29864,1.8968,-0.11532,3.3884,1.7629,-7.192,-1.6426,-2.8833,-0.10826,-0.86467,-0.66574,-1.785,-0.203,-1.1903,1.6681,0.29739,-0.42434,0.94798,1.8305,-0.31867,-0.57954,0.64745,-2.5237,-0.16947,-1.2203,-0.17403,0.29804,-0.64924,-1.8947,0.2664,1.0408,0.10425,-0.36448,-0.34696,0.082963,1.0208,-0.9348,-0.12965,0.32775,-0.15636,0.9188,1.0983,0.32805,-0.60943,-0.16416,0.38895,-0.56852,-0.28311,-0.039342,-0.62489,-0.25039,-0.10096,-0.15838,0.14448,-0.59952,0.29654,-0.1332,-0.45095,0.63716,-0.1546,0.10962,0.24179,-0.052953,-0.49405,0.22169,-0.32582,0.53931,0.077773,0.35128,-0.14659,-0.012366,0.057169,-0.23712,0.22778,0.17559,0.024214,0.14244,0.036796,0.043584,0.0075038,-0.2346,-0.10983,-0.35476,0.30216,-0.046761,-0.2566,-0.056709,0.17808,-0.13296,-0.12813,-0.011116,0.032665,-0.077982,0.027021,-0.010569,0.088225,0.059713,-0.030288,0.25076,-0.081685,0.013704,-0.023618,0.098104,-0.025831,0.043855,-0.082143,-0.07149,2.3991e-15
"150",-11.854,8.2104,3.775,-1.1684,-0.67481,2.7824,4.329,2.8472,1.1501,-0.29431,0.06575,1.851,-0.49267,-0.58736,-0.089084,-0.27005,0.25917,-0.79668,0.80586,0.23191,0.48818,0.3572,0.76669,-0.36913,0.52888,0.8141,-1.0943,-0.61758,-0.79266,-0.39605,-1.1123,-0.73239,-0.65901,-0.16091,0.36534,-0.471,0.30762,-0.14775,1.3322,0.19323,0.10674,0.36933,0.54031,-0.18504,-0.80118,-0.48195,0.19244,0.40584,-0.86462,-0.44901,0.73268,-0.088519,-0.34912,-0.065612,-0.66915,0.30004,-0.6027,0.32768,-0.18691,0.1601,0.49672,-0.4258,-0.42085,-0.12507,0.62927,-0.017443,0.31848,0.064623,-0.095058,0.82061,-0.18864,-0.24299,-0.24889,0.10032,0.29229,0.29703,0.1943,-0.32028,0.12844,0.088447,-0.052941,-0.17086,-0.053392,-0.11106,-0.1912,0.11482,-0.072132,0.020099,0.14634,0.0062623,-0.19582,0.040049,0.18204,0.049552,-0.17381,0.3846,0.063256,0.0054162,0.11455,0.018311,0.15783,0.046109,0.091366,0.085759,0.10651,0.0079483,-0.08077,0.0069416,0.041039,0.27783,-0.11056,4.5242e-15
"160",-8.2406,3.9185,-1.5838,-2.6996,-0.71445,0.64537,0.87779,2.4212,0.68307,4.8042,-0.91746,-0.37389,0.20759,-2.5855,-0.83227,-0.28957,2.0516,1.2436,-0.53485,-0.33165,2.3612,0.50831,-0.58982,0.14596,0.3452,0.86756,-0.84332,-0.59212,0.64532,0.62259,-0.82534,-0.71446,-0.79605,-0.22443,0.35661,0.06112,-0.60197,0.094479,1.121,-0.20937,0.034781,-0.3792,0.096386,-0.63814,-0.058271,-0.18597,0.0089469,0.64905,-0.6366,0.83231,0.03374,0.16728,-0.26807,0.11813,-0.20506,0.18973,0.1262,-0.38123,-0.17508,0.65127,0.19613,0.2401,-0.31113,0.33616,0.36019,-0.071535,-0.053584,-0.30223,-0.23666,0.06199,0.25234,-0.10874,-0.15969,0.0057908,0.23286,0.20923,-0.21032,0.068134,0.15075,0.50088,0.08896,-0.15245,0.082617,0.1542,0.090993,0.094612,-0.019809,-0.030446,0.077459,-0.22258,0.17975,-0.24356,0.12031,-0.067895,0.043394,-0.29625,-0.12976,0.020144,0.052532,0.097191,0.0059923,0.32433,-0.13244,0.038599,0.088238,-0.2057,0.035851,-0.1404,-0.25332,-0.20605,0.11076,4.427e-15
"170",-17.65,0.90192,2.3921,-0.82707,-0.37242,-2.5723,3.9504,-0.32878,-0.61978,1.5516,-1.3642,1.7943,-0.81477,2.7531,0.59832,0.91023,-0.2619,0.41265,-0.92348,-0.35246,0.39249,0.55035,-0.074963,0.89273,-0.51642,0.86114,0.99187,-0.27077,0.41572,0.34966,-0.18437,0.042807,-0.14783,-0.1268,0.75927,-0.51001,-0.53141,0.37188,0.4109,0.15667,-0.028654,-0.40734,-0.66199,-0.57016,0.34134,-0.24315,0.25735,0.69173,0.024175,-0.25687,-0.51358,-0.12018,-0.29091,-0.33924,-0.23414,-0.42215,-0.60587,-0.25385,0.25097,-0.36557,-0.23899,0.19834,0.16375,0.14047,0.26587,0.043496,-0.04226,0.13934,-0.10946,0.18236,-0.18553,0.032051,0.45555,-0.046823,0.11299,0.051876,-0.086394,0.067275,0.084284,0.13701,0.13089,0.14325,0.10974,0.28341,0.39341,-0.23913,0.1414,-0.032628,-0.45812,0.15041,-0.0035743,0.19202,-0.053101,0.16989,-0.27658,-0.27551,-0.043961,-0.053673,0.15859,0.023772,-0.075428,-0.07979,-0.091055,0.089622,0.079407,-0.10387,0.065859,-0.0018761,0.16567,-0.083253,-0.36467,6.2172e-15
"180",-11.352,7.7357,-1.7752,-5.3821,-1.0496,-0.98813,-0.34922,-3.4553,-1.9507,-4.2805,-0.9319,-3.9835,0.43023,0.79877,-0.33759,-0.38431,-0.25843,0.6421,-0.081789,0.086052,-0.9144,-1.2597,0.42219,-1.3399,0.18144,-0.43985,1.0139,0.10131,1.2681,-0.80644,0.017972,-0.55767,-0.80541,0.32635,0.37781,-0.44225,0.41504,-0.36463,-0.46119,-0.11045,-0.25184,0.29011,-0.64645,-0.14439,0.079094,-0.59882,-0.95097,0.066019,-0.53045,-0.40919,0.687,-0.65722,0.23231,-0.12089,0.50137,0.32347,0.091724,0.39163,-0.18204,0.025724,0.00090631,0.27034,0.43508,-0.19008,-0.066021,-0.17086,0.51885,0.02182,0.039302,0.43004,-0.28793,0.064366,0.26261,0.40546,-0.047564,-0.13526,-0.23624,-0.30393,-0.086266,-0.14853,0.047673,0.19768,-0.20976,0.01275,-0.10166,0.10403,-0.21418,0.13658,-0.12478,0.098377,0.48041,0.074924,0.23738,0.04896,0.13723,-0.17807,-0.01236,-0.06017,0.029149,-0.0070188,-0.26126,0.067084,0.13527,-0.071339,-0.14244,-0.36147,-0.080306,0.1052,-0.081471,0.094453,0.010952,4.1495e-15
"200",-7.7949,3.0023,-4.4585,-0.56599,-0.41191,-4.8938,3.2563,-1.5519,0.038445,0.96123,-1.5792,0.11751,0.34751,0.12572,2.135,-1.1968,-0.11585,1.9116,-1.991,0.70195,-0.35551,-1.0052,-0.10991,-0.044817,0.31182,0.13841,-0.1987,0.4761,-1.105,-0.012608,-0.089297,-0.43797,0.78399,-0.80161,0.96583,-0.1473,-0.20173,0.23451,-0.292,0.32906,-0.15681,0.14009,-0.067137,0.66043,0.28911,-0.40425,0.89524,0.019185,0.93233,0.038207,-0.4535,-0.26158,0.41831,-0.12678,-0.28145,-0.62808,-0.3451,-0.16729,-0.086931,-0.39747,-0.18546,0.073237,-0.51044,-0.14874,0.50169,0.18679,0.2773,-0.16527,0.4371,-0.12261,0.19284,-0.33009,-0.30978,-0.021382,-0.20783,-0.13883,-0.15568,0.10979,0.12718,0.067724,-0.32402,-0.021977,0.030015,-0.48086,-0.14606,-0.23099,0.0029441,0.10701,0.041432,-0.15745,-0.13236,-0.018397,0.39016,0.044584,-0.1535,-0.22977,0.35688,-0.18913,-0.16254,0.18292,-0.18659,0.14614,-0.065535,-0.19149,-0.15603,0.11143,0.055831,0.06306,-0.12861,0.098526,-0.018676,2.6663e-15
"330",6.843,13.762,-14.009,-1.7823,1.5076,-5.8596,-5.0853,-1.3689,-1.9147,-1.2032,-2.1155,1.2757,1.0456,-0.95369,-2.4089,-2.481,0.66732,-1.8968,-2.0711,0.31954,0.71156,-2.9172,0.93771,-0.16264,0.013347,0.045491,1.8316,0.91659,-0.60867,-1.3257,0.62083,0.13463,-2.4273,1.0305,-0.57068,0.28919,-0.0079353,0.024441,0.12433,1.5977,-0.24504,-0.0825,-0.49788,-0.055966,0.34219,0.58412,0.88557,0.70123,-0.24573,-0.016569,-0.85843,0.94667,-0.28751,0.008796,0.55038,0.2588,-0.12351,0.0041821,0.19772,0.50097,0.44908,0.59085,-0.22244,0.1642,-0.32373,-0.12433,-0.09529,0.34005,0.47863,0.098616,0.021865,-0.060365,0.21458,-0.0094008,-0.084305,0.14109,0.070934,-0.15714,-0.028303,0.031917,-0.23637,0.063568,0.19613,-0.23479,-0.2144,0.08242,-0.020506,-0.35026,-0.085276,0.1084,0.00015255,0.0087534,-0.1121,-0.10372,-0.11151,0.022555,0.14177,0.041292,0.01848,-0.19443,0.08075,0.086092,-0.08247,0.035833,0.040536,-0.041638,0.02037,-0.06285,0.014351,0.061867,-0.0064732,-4.1633e-17
"370",-5.6623,10.051,-2.5732,-7.8562,-2.0044,-2.5769,-2.739,1.8205,0.14468,-4.0741,-3.7599,-4.7189,-1.1945,-2.7892,-1.8343,-2.5284,-0.53393,-0.095815,2.2001,0.035584,-0.68032,-0.21906,-1.3756,0.0592,0.34086,-0.66462,1.0758,-0.79396,0.84605,0.29191,-0.27341,-0.84983,0.90401,0.64843,0.7723,-0.10011,0.85094,-0.33752,-0.21157,0.69021,0.29674,1.2022,0.83417,-0.44451,-0.46409,0.17035,-1.2131,-0.14403,0.38827,-0.059379,0.057079,0.035678,-0.097579,-0.61355,0.014119,-0.46699,0.19605,0.26148,0.09201,0.16031,0.17611,-0.2218,-0.15155,-0.090041,-0.031809,-0.13999,-0.15416,-0.15217,0.53519,-0.40777,-0.20175,-0.22302,-0.1539,0.086592,0.17089,0.039794,-0.047286,-0.00091222,0.2782,-0.21092,0.086382,0.041153,-0.091867,0.37564,0.2275,0.084323,0.051531,-0.067393,0.27458,0.29518,-0.18089,-0.066415,0.26642,0.13787,-0.10473,-0.26731,0.15373,0.068512,-0.013604,-0.073444,0.11934,0.046148,-0.08113,0.10462,0.047392,0.19634,-0.19466,-0.12329,0.10002,-0.094616,0.00021346,4.1633e-15
"490",-6.0636,1.6333,5.7318,0.90851,11.114,-5.6753,-2.0238,0.090264,-6.0109,2.7832,-3.6641,-0.36415,-2.2494,1.4259,2.1235,-1.4107,-1.6697,3.9833,-1.0346,-1.8673,0.89942,-1.7371,0.30811,-0.41166,0.48441,0.24221,-0.98482,1.3591,-0.21818,1.484,0.59783,0.039817,0.061751,1.0297,-0.18486,0.2172,1.1674,0.023322,-0.52098,0.45571,1.0848,-0.15055,0.61078,-0.53595,1.0063,-1.0362,0.25078,-0.47676,-0.02025,-0.3413,-0.87096,-0.48974,-0.11686,-0.2952,-0.36852,-0.073594,0.27273,0.55271,-0.54655,-0.12682,-0.07074,-0.12228,0.21201,0.042904,-0.0937,-0.25663,-0.1677,0.55615,-0.59066,0.33776,0.071062,0.0688,-0.13073,-0.1371,0.12968,-0.097216,0.01112,0.29661,0.24873,-0.0075174,-0.034962,-0.28175,-0.045397,-0.0074075,-0.24688,0.23818,0.031238,0.22901,-0.078802,0.16124,0.12148,0.044588,-0.15145,-0.084279,0.026239,-0.087079,-0.026697,0.054026,0.01968,-0.10073,0.04603,0.04611,-0.04134,-0.13566,0.23522,0.073377,-0.095945,0.017543,0.012902,0.038308,0.066326,1.8735e-15
