"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X0.0801599",-0.011305,-0.0049241,0.00079827,-0.0024965,0.0017483,0.011474,0.0076594,-0.0015783
"X0.1002",-0.010951,-0.0028789,0.0013236,-0.0035586,-0.0017831,0.0094136,0.0061739,-0.0010953
"X0.12024",-0.0092403,-0.0024003,0.0014315,-0.0026668,-0.002622,0.0075603,0.0067265,0.00038451
"X0.14028",0.010438,-0.0032449,-0.00083424,-0.0053843,0.0025333,-0.013759,0.0069589,-0.0028224
"X0.16032",-0.0013096,-0.009237,0.0034442,-0.0030297,0.0025125,-0.0063454,0.00060927,0.00011401
"X0.18036",-0.0071795,-0.001573,0.00068617,-0.00065093,-0.0074322,0.0022587,0.0035165,0.00052868
"X0.2004",-0.0076172,-0.0019764,-0.00024553,0.00080136,-0.0076809,0.00082082,0.0018013,-0.00048398
"X0.22044",-0.0056422,-0.0022187,0.0005888,-0.0014277,-0.0096328,-0.00055843,0.00061777,0.00054136
"X0.24048",-0.0061697,-0.0017486,0.00096224,-0.00094325,-0.0092953,-0.0014927,0.00021459,0.0015862
"X0.26052",-0.0062264,-0.0019003,0.0011189,-0.0010911,-0.011445,-0.003247,7.2228e-05,0.0021035
"X0.28056",-0.00599,-0.00082833,0.0019385,-0.0017446,-0.010446,-0.0052385,0.00025031,0.00095258
"X0.3006",-0.0072732,-0.00039184,0.0030891,-0.0032001,-0.010537,-0.0043504,0.00069055,0.003766
"X0.32064",-0.0082891,-0.00075581,0.004263,-0.0026351,-0.01236,-0.0038693,-0.0022523,0.0018624
"X0.34068",-0.0090789,6.7258e-05,0.0035248,-0.0018573,-0.013269,-0.0044972,-0.0030702,0.0040009
"X0.36072",-0.009244,0.00071845,0.0049246,-0.0024712,-0.014388,-0.0049581,-0.0026566,0.0036441
"X0.38076",-0.010965,-0.00012894,0.005237,-0.0039593,-0.01476,-0.0035546,-0.0031521,0.0040241
