"rownames.Pca_dat_pop_features.","factor_is","mSet.dataSet.facB","tempcols.as.character.mSet.dataSet.facB..","col_vector1"
"80","B","19","#7E03A8FF","#B0E2FFCC"
"140","B","19","#7E03A8FF","#B0E2FFCC"
"230","B","29","#F0F921FF","#B0E2FFCC"
"250","B","15","#0D0887FF","#B0E2FFCC"
"340","B","15","#0D0887FF","#B0E2FFCC"
"350","B","15","#0D0887FF","#B0E2FFCC"
"400","B","23","#CC4678FF","#B0E2FFCC"
"440","B","19","#7E03A8FF","#B0E2FFCC"
"750","B","23","#CC4678FF","#B0E2FFCC"
"760","B","15","#0D0887FF","#B0E2FFCC"
"900","B","25","#F89441FF","#B0E2FFCC"
"910","B","25","#F89441FF","#B0E2FFCC"
"960","B","29","#F0F921FF","#B0E2FFCC"
"1070","B","25","#F89441FF","#B0E2FFCC"
"1230","B","25","#F89441FF","#B0E2FFCC"
"1410","B","15","#0D0887FF","#B0E2FFCC"
"1470","B","19","#7E03A8FF","#B0E2FFCC"
"1510","B","23","#CC4678FF","#B0E2FFCC"
"1570","B","23","#CC4678FF","#B0E2FFCC"
"1720","B","23","#CC4678FF","#B0E2FFCC"
"1730","B","19","#7E03A8FF","#B0E2FFCC"
"1770","B","25","#F89441FF","#B0E2FFCC"
"1780","B","29","#F0F921FF","#B0E2FFCC"
"1830","B","29","#F0F921FF","#B0E2FFCC"
"1860","B","25","#F89441FF","#B0E2FFCC"
"1870","B","25","#F89441FF","#B0E2FFCC"
"1890","B","23","#CC4678FF","#B0E2FFCC"
"1950","B","15","#0D0887FF","#B0E2FFCC"
"1990","B","29","#F0F921FF","#B0E2FFCC"
"2080","B","15","#0D0887FF","#B0E2FFCC"
"2140","B","29","#F0F921FF","#B0E2FFCC"
"2200","B","19","#7E03A8FF","#B0E2FFCC"
"2220","B","23","#CC4678FF","#B0E2FFCC"
"2230","B","19","#7E03A8FF","#B0E2FFCC"
"280","K","15","#0D0887FF","blue3"
"360","K","23","#CC4678FF","blue3"
"450","K","25","#F89441FF","blue3"
"480","K","25","#F89441FF","blue3"
"530","K","19","#7E03A8FF","blue3"
"550","K","29","#F0F921FF","blue3"
"790","K","25","#F89441FF","blue3"
"1180","K","25","#F89441FF","blue3"
"1240","K","19","#7E03A8FF","blue3"
"1480","K","19","#7E03A8FF","blue3"
"1560","K","29","#F0F921FF","blue3"
"1620","K","19","#7E03A8FF","blue3"
"1630","K","15","#0D0887FF","blue3"
"1740","K","15","#0D0887FF","blue3"
"1880","K","23","#CC4678FF","blue3"
"2070","K","15","#0D0887FF","blue3"
"2250","K","23","#CC4678FF","blue3"
"2260","K","29","#F0F921FF","blue3"
"20","O","19","#7E03A8FF","red2"
"30","O","29","#F0F921FF","red2"
"50","O","15","#0D0887FF","red2"
"120","O","23","#CC4678FF","red2"
"130","O","23","#CC4678FF","red2"
"430","O","15","#0D0887FF","red2"
"570","O","19","#7E03A8FF","red2"
"620","O","29","#F0F921FF","red2"
"720","O","25","#F89441FF","red2"
"730","O","23","#CC4678FF","red2"
"740","O","19","#7E03A8FF","red2"
"1010","O","15","#0D0887FF","red2"
"1330","O","25","#F89441FF","red2"
"1340","O","15","#0D0887FF","red2"
"1360","O","23","#CC4678FF","red2"
"1670","O","25","#F89441FF","red2"
"1820","O","29","#F0F921FF","red2"
"1980","O","25","#F89441FF","red2"
"2020","O","19","#7E03A8FF","red2"
"2150","O","29","#F0F921FF","red2"
"10","S","29","#F0F921FF","green3"
"110","S","25","#F89441FF","green3"
"190","S","19","#7E03A8FF","green3"
"210","S","23","#CC4678FF","green3"
"220","S","15","#0D0887FF","green3"
"240","S","23","#CC4678FF","green3"
"310","S","29","#F0F921FF","green3"
"500","S","25","#F89441FF","green3"
"650","S","15","#0D0887FF","green3"
"680","S","29","#F0F921FF","green3"
"690","S","19","#7E03A8FF","green3"
"710","S","15","#0D0887FF","green3"
"1040","S","23","#CC4678FF","green3"
"1050","S","29","#F0F921FF","green3"
"1120","S","23","#CC4678FF","green3"
"1280","S","19","#7E03A8FF","green3"
"1310","S","23","#CC4678FF","green3"
"1380","S","15","#0D0887FF","green3"
"1610","S","19","#7E03A8FF","green3"
"1660","S","15","#0D0887FF","green3"
"1690","S","19","#7E03A8FF","green3"
"1700","S","19","#7E03A8FF","green3"
"1760","S","25","#F89441FF","green3"
"1900","S","23","#CC4678FF","green3"
"1970","S","23","#CC4678FF","green3"
"2000","S","25","#F89441FF","green3"
"2090","S","25","#F89441FF","green3"
"2100","S","29","#F0F921FF","green3"
"2130","S","15","#0D0887FF","green3"
"2210","S","29","#F0F921FF","green3"
