"rownames.Pca_dat_temp_features.","factor_is","mSet.dataSet.cls","col_vector1","popcols1.as.character.mSet.dataSet.cls.."
"80","19","B","#7E03A8FF","#B0E2FFCC"
"140","19","B","#7E03A8FF","#B0E2FFCC"
"230","29","B","#F0F921FF","#B0E2FFCC"
"250","15","B","#0D0887FF","#B0E2FFCC"
"340","15","B","#0D0887FF","#B0E2FFCC"
"350","15","B","#0D0887FF","#B0E2FFCC"
"400","23","B","#CC4678FF","#B0E2FFCC"
"440","19","B","#7E03A8FF","#B0E2FFCC"
"750","23","B","#CC4678FF","#B0E2FFCC"
"760","15","B","#0D0887FF","#B0E2FFCC"
"900","25","B","#F89441FF","#B0E2FFCC"
"910","25","B","#F89441FF","#B0E2FFCC"
"960","29","B","#F0F921FF","#B0E2FFCC"
"1070","25","B","#F89441FF","#B0E2FFCC"
"1230","25","B","#F89441FF","#B0E2FFCC"
"1410","15","B","#0D0887FF","#B0E2FFCC"
"1470","19","B","#7E03A8FF","#B0E2FFCC"
"1510","23","B","#CC4678FF","#B0E2FFCC"
"1570","23","B","#CC4678FF","#B0E2FFCC"
"1720","23","B","#CC4678FF","#B0E2FFCC"
"1730","19","B","#7E03A8FF","#B0E2FFCC"
"1770","25","B","#F89441FF","#B0E2FFCC"
"1780","29","B","#F0F921FF","#B0E2FFCC"
"1830","29","B","#F0F921FF","#B0E2FFCC"
"1860","25","B","#F89441FF","#B0E2FFCC"
"1870","25","B","#F89441FF","#B0E2FFCC"
"1890","23","B","#CC4678FF","#B0E2FFCC"
"1950","15","B","#0D0887FF","#B0E2FFCC"
"1990","29","B","#F0F921FF","#B0E2FFCC"
"2080","15","B","#0D0887FF","#B0E2FFCC"
"2140","29","B","#F0F921FF","#B0E2FFCC"
"2200","19","B","#7E03A8FF","#B0E2FFCC"
"2220","23","B","#CC4678FF","#B0E2FFCC"
"2230","19","B","#7E03A8FF","#B0E2FFCC"
"280","15","K","#0D0887FF","blue3"
"360","23","K","#CC4678FF","blue3"
"450","25","K","#F89441FF","blue3"
"480","25","K","#F89441FF","blue3"
"530","19","K","#7E03A8FF","blue3"
"550","29","K","#F0F921FF","blue3"
"790","25","K","#F89441FF","blue3"
"1180","25","K","#F89441FF","blue3"
"1240","19","K","#7E03A8FF","blue3"
"1480","19","K","#7E03A8FF","blue3"
"1560","29","K","#F0F921FF","blue3"
"1620","19","K","#7E03A8FF","blue3"
"1630","15","K","#0D0887FF","blue3"
"1740","15","K","#0D0887FF","blue3"
"1880","23","K","#CC4678FF","blue3"
"2070","15","K","#0D0887FF","blue3"
"2250","23","K","#CC4678FF","blue3"
"2260","29","K","#F0F921FF","blue3"
"20","19","O","#7E03A8FF","red2"
"30","29","O","#F0F921FF","red2"
"50","15","O","#0D0887FF","red2"
"120","23","O","#CC4678FF","red2"
"130","23","O","#CC4678FF","red2"
"430","15","O","#0D0887FF","red2"
"570","19","O","#7E03A8FF","red2"
"620","29","O","#F0F921FF","red2"
"720","25","O","#F89441FF","red2"
"730","23","O","#CC4678FF","red2"
"740","19","O","#7E03A8FF","red2"
"1010","15","O","#0D0887FF","red2"
"1330","25","O","#F89441FF","red2"
"1340","15","O","#0D0887FF","red2"
"1360","23","O","#CC4678FF","red2"
"1670","25","O","#F89441FF","red2"
"1820","29","O","#F0F921FF","red2"
"1980","25","O","#F89441FF","red2"
"2020","19","O","#7E03A8FF","red2"
"2150","29","O","#F0F921FF","red2"
"10","29","S","#F0F921FF","green3"
"110","25","S","#F89441FF","green3"
"190","19","S","#7E03A8FF","green3"
"210","23","S","#CC4678FF","green3"
"220","15","S","#0D0887FF","green3"
"240","23","S","#CC4678FF","green3"
"310","29","S","#F0F921FF","green3"
"500","25","S","#F89441FF","green3"
"650","15","S","#0D0887FF","green3"
"680","29","S","#F0F921FF","green3"
"690","19","S","#7E03A8FF","green3"
"710","15","S","#0D0887FF","green3"
"1040","23","S","#CC4678FF","green3"
"1050","29","S","#F0F921FF","green3"
"1120","23","S","#CC4678FF","green3"
"1280","19","S","#7E03A8FF","green3"
"1310","23","S","#CC4678FF","green3"
"1380","15","S","#0D0887FF","green3"
"1610","19","S","#7E03A8FF","green3"
"1660","15","S","#0D0887FF","green3"
"1690","19","S","#7E03A8FF","green3"
"1700","19","S","#7E03A8FF","green3"
"1760","25","S","#F89441FF","green3"
"1900","23","S","#CC4678FF","green3"
"1970","23","S","#CC4678FF","green3"
"2000","25","S","#F89441FF","green3"
"2090","25","S","#F89441FF","green3"
"2100","29","S","#F0F921FF","green3"
"2130","15","S","#0D0887FF","green3"
"2210","29","S","#F0F921FF","green3"
