"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"X0.0801599",-0.0074219,0.0029313,-0.0089068,-0.0069424,0.0055633,0.011347,-0.0017762,0.004963,-0.0021958,0.00035372,0.0012395,0.0091326,-0.0066487,0.0052963,-0.0028528,0.00055407,0.0030724,-0.0057075,0.0025986,-0.0065987,0.00046892,-0.00034949,0.0076781,0.0034945,-0.017663,0.0013616,-0.012161,0.0065323,-0.0018359,0.0064367,-0.00017339,-0.0097031,0.028293,0.019771,0.0082652,0.0069595,-0.00437,0.0069292,0.011768,-0.0026135,0.0015185,0.024607,0.018721,-0.0033771,-0.00070442,0.017174,-0.024501,-0.0053692,0.015168,-0.0035199,0.019329,0.014666,-0.0033516,0.0044084,-0.02305,-0.02501,-0.044024,-0.029856,0.046362,0.038519,-0.014494,0.038842,-0.010036,0.0020765,-0.0079589,-0.0080321,0.0074132,-0.024013,0.0019042,-0.013206,0.071665,0.0042503,0.021203,0.018082,-0.025608,0.053677,0.021774,0.0021775,0.0066131,-0.050251,-0.012402,-0.0014732,-0.015512,-0.010033,-0.017001,-0.049594,0.0063348,0.043429,-0.0028015,-0.014593,-0.03075,0.0053966,-0.012988,0.035822,0.010965,-0.010771,-0.0079588,-0.050457,0.032751,-0.023884,0.0095773,-0.44293
"X0.1002",-0.0081064,0.00085662,-0.008639,-0.0037126,0.0045628,0.0087152,-0.0025896,0.0049935,-0.00022328,-0.00092301,0.0013086,0.0040053,0.0011833,0.0010145,-0.00059426,-0.0037782,-0.0028944,-0.0068669,0.0019875,-0.0083182,-0.001254,0.00036227,0.0046585,0.011857,-0.013722,7.1951e-05,-0.0031062,0.01071,0.00699,0.0073537,-0.0030962,-0.0047575,0.020484,0.011416,0.012831,0.011929,-0.0011507,0.011142,0.018489,0.018048,0.0076509,0.020376,0.018637,-0.012339,0.015341,0.030876,-0.030164,-0.0050871,0.01454,-0.0049022,0.034589,0.005509,-0.0064046,0.018183,-0.01837,-0.019482,-0.03955,-0.018344,0.061474,0.041917,-0.01325,0.030576,-0.00025162,-0.0035003,-0.0057381,-0.0094949,0.01263,-0.0010695,-0.0075935,-0.030289,0.062985,-0.0096367,0.033472,0.018031,-0.044175,0.033206,-0.004009,0.0001683,0.0073668,-0.047634,-0.0098192,0.010204,-0.012028,-0.0010961,0.040197,-0.048612,0.042093,0.05824,-0.0028435,-0.029637,-0.026532,-0.018711,-0.012204,0.019412,-0.001012,0.0071145,-0.052455,-0.024463,0.040448,-0.020325,-0.021535,-0.17016
"X0.12024",-0.0064145,0.00064939,-0.0055606,-0.0031826,0.0025513,0.0056137,-0.0016759,0.0042986,-0.0015654,0.0010727,0.0049183,0.002211,0.0011938,0.0022989,0.003982,-0.0022109,0.0038369,0.00057562,-0.00018932,-0.0057621,-0.0045829,0.0037318,0.0046175,0.015155,-0.015045,0.0021745,-0.0080345,-2.5851e-05,0.010866,0.0047532,-0.004702,0.0011456,0.023029,0.013216,0.00011339,0.0088577,0.00047109,0.0099618,0.013786,0.02968,0.0023154,0.020781,0.0087819,-0.016479,0.0089411,0.036433,-0.033239,0.023679,0.017043,-0.011641,0.040219,0.0085597,-0.010071,0.015178,-0.029047,-0.033239,-0.042645,-0.027845,0.050003,0.048016,-0.023084,0.051386,-0.00081695,0.0033674,0.0089542,-0.003802,0.010695,-0.012738,-0.0066483,-0.048462,0.077072,0.010017,0.006326,0.023791,-0.0052752,0.028592,0.0034593,-0.016569,0.0030676,-0.040631,-0.013747,0.021594,-0.0023721,0.010577,0.011122,-0.076503,0.020213,0.059194,0.055884,-0.026448,-0.046214,-0.047351,-0.023393,-0.019741,0.010487,0.019314,-0.064154,-0.010672,0.045231,-0.06276,0.0081214,0.13936
"X0.14028",0.0085147,0.0029147,0.0070134,-0.00045593,-0.0083434,0.0056707,0.016726,-0.0053523,-0.0019693,0.0013102,0.0046627,0.0060429,-0.0091416,0.0046974,0.0071352,-0.0030418,0.016747,-0.0017014,0.01162,0.0075844,-0.0050251,0.008549,0.012806,0.025091,-0.0090796,-0.01633,-0.012894,-0.0212,-0.005534,0.029218,-0.035103,0.011,0.027984,0.014435,0.0044109,0.0032222,0.016381,0.01181,-0.0091576,0.010314,0.013008,0.0085801,0.016806,-0.01991,0.0040028,0.013648,-0.017669,0.024375,0.03948,0.017182,0.015414,0.024842,-0.014514,-0.013917,-0.012871,-0.011626,-0.018594,-0.018054,0.019399,0.050303,-0.016239,0.032245,-0.010945,0.036495,0.0057632,0.035476,0.024566,-0.043433,-0.034322,-0.045982,0.040417,0.028375,0.031726,0.037286,0.0077032,0.01138,0.003181,-0.022306,-0.004323,-0.036078,0.0066496,0.050526,-0.037619,-0.0077704,0.030676,-0.049363,-0.016143,0.058178,-0.0089338,0.02526,0.039502,-0.072319,-0.025927,0.026446,0.013022,0.076406,-0.0024381,-0.06822,0.027885,0.030304,-0.0086356,0.036723
"X0.16032",0.002048,0.0027249,-0.00080317,-9.1212e-05,-0.0010665,0.001391,0.0077865,0.0016025,0.00025437,0.0020098,-0.0015885,0.0018931,0.0008741,0.0063261,0.01366,-0.0067397,0.0004547,0.0051718,0.0057553,0.0055026,-0.0054957,0.0083523,0.015173,0.032518,-0.0085992,-0.0062514,-0.0021563,-0.016436,0.012826,0.019062,-0.023136,0.0033066,0.027365,0.022736,0.0089485,0.027133,0.028743,0.0024976,0.0095295,0.023241,0.015535,0.0066893,0.024162,-0.031324,0.033519,0.01002,-0.023932,0.022578,0.054388,-0.0048614,0.0031252,0.0030217,-0.027252,0.0046436,-0.043801,-0.0063399,-0.036047,-0.035089,0.024824,0.04595,-0.028272,0.012768,-0.01254,0.052923,-0.0029995,-0.0056294,-0.013195,-0.040848,-0.028526,-0.00078798,0.021255,-0.0030957,0.006659,0.027508,-0.026115,0.01219,0.011904,-0.031158,-0.0068299,-0.048387,-0.05652,0.040083,-0.03209,0.0078205,-0.015629,-0.13063,0.024111,0.067345,-0.022154,0.007702,-0.0044062,-0.042354,-0.0052279,0.034331,0.0048605,0.024102,0.024735,-4.9113e-05,0.043046,-0.026757,0.034169,0.10062
"X0.18036",-0.005384,-0.00092564,-0.0022617,-0.00084019,0.00064383,0.0044109,-0.0024177,0.0040253,0.00097927,-0.00045901,0.0038019,-0.0063,0.0060835,0.0039656,0.0022033,-0.0016152,0.0016166,0.0039673,-0.0066895,0.0025162,0.0019263,0.0065426,0.007683,0.026196,-0.0076418,0.0025066,-0.0061707,0.0022877,0.012397,0.0075999,-0.023481,0.0090985,0.036269,0.017735,-0.0084037,0.011448,0.026451,0.018486,0.0092903,0.031439,0.011237,0.014116,0.026262,-0.019929,0.0035284,0.024202,-0.028014,0.024593,0.0026168,0.00041726,0.027429,0.025805,-0.021397,0.0024405,-0.02785,-0.015122,-0.041442,-0.043361,0.04406,0.019029,-0.040429,0.035611,0.0046696,0.0010625,-0.036518,-0.020859,0.0047131,-0.0017653,-0.0060237,-0.02973,0.067896,-0.0019704,0.024475,0.033132,-0.077807,0.032334,0.034107,-0.0033499,0.0033493,-0.050686,-0.028389,0.051817,-0.0042983,0.020433,0.014393,-0.053307,0.047865,0.014402,0.014976,-0.022765,-0.019661,-0.024018,0.00068163,0.022385,-0.077266,-6.0013e-05,0.010702,-0.010143,0.00018232,-0.028906,0.048156,-0.0036992
"X0.2004",-0.0051421,-0.001202,-0.0020871,-0.001802,0.002407,0.0033552,0.0017434,0.0028159,0.0014826,-0.0025071,0.0049175,-0.0046759,0.0054709,0.0057464,0.0060613,-0.004552,0.0054427,0.00694,-0.0094094,0.0033059,-0.0014453,0.0090388,0.010251,0.02519,-0.0074473,-0.0080789,-0.0032252,-0.0013948,0.016075,-0.0021313,-0.023345,0.0079284,0.046638,0.014162,-0.0045163,0.012967,0.019674,0.021382,0.0013228,0.043911,0.018948,0.0173,0.015736,-0.015744,0.0044099,0.026989,-0.024356,0.03347,-0.0018097,0.0094247,0.02521,0.025537,-0.022247,0.015658,-0.042475,-0.023452,-0.027746,-0.022887,0.041175,0.033956,-0.018126,0.022738,0.015956,0.012238,0.0072549,0.007728,0.0019468,-0.013545,-0.02314,-0.033837,0.091138,-0.021008,0.0085991,0.032878,-0.070244,0.033885,0.01298,-0.025364,0.0098891,-0.03251,-0.02011,0.046859,-0.010287,0.041603,0.011004,-0.063835,0.046589,0.032797,0.0042961,-0.058937,0.002492,0.00043522,0.038594,-0.016744,-0.026296,-0.0027431,0.020668,-0.027722,-0.02261,-0.025447,0.06683,0.081008
"X0.22044",-0.0049082,-0.0013083,-0.0017463,-0.00053742,0.00025198,0.003319,0.00075489,0.0048818,0.0027294,-0.00042192,0.0048029,-0.0038764,0.0072417,0.004597,0.0084086,-0.003305,0.0073354,0.004725,-0.0074818,0.0065507,-0.0028338,0.0099361,0.013635,0.030493,-0.0042237,-0.011948,0.00038224,-0.0014334,0.018307,0.0013376,-0.023862,0.012912,0.046088,0.016992,-0.010925,0.0046685,0.027317,0.012752,0.00038614,0.040702,0.01987,0.010726,0.018602,-0.022573,-0.0030191,0.022581,-0.032588,0.033075,0.0052128,0.0058487,0.022599,0.015917,-0.017022,-0.0011078,-0.03177,-0.016938,-0.040443,-0.052315,0.050017,0.0055877,-0.023556,0.026599,0.032491,0.010591,-0.0033888,0.00093556,0.0061443,-0.011199,-0.012017,-0.040619,0.073909,-0.014259,-0.011031,0.038264,-0.046997,0.0073086,-0.02624,-0.023142,0.0086638,-0.03308,-0.0055307,0.0037649,0.014164,0.04053,-0.020746,-0.071214,0.034852,-0.0082881,-0.0021792,-0.042685,-0.033534,-0.01795,-0.011397,0.024395,-0.013766,-0.0097174,-0.025725,0.022168,-0.0053775,0.0093469,0.047434,-0.048458
"X0.24048",-0.0044794,-0.00067046,-0.00087975,-0.00074169,0.0010847,0.0024101,-0.0010855,0.0035872,0.0043315,0.00074301,0.0047334,-0.007296,0.011464,0.001518,0.0043972,-0.0054727,0.0053663,0.006537,-0.011552,0.00041724,-0.001013,0.011021,0.014169,0.030826,0.0014131,-0.0093887,-0.0020423,-0.0075172,0.021564,-0.00040829,-0.026141,0.012778,0.049607,0.019881,-0.011399,0.011801,0.033809,0.016987,-0.0058268,0.03972,0.019433,0.010395,0.026364,-0.026522,-0.00047027,0.022045,-0.02396,0.031137,-0.0093088,0.00052164,0.021639,0.02904,-0.020043,0.01861,-0.03293,-0.02424,-0.045187,-0.039179,0.038991,0.030698,-0.012883,0.040219,0.037791,0.0079651,-0.02211,-0.0045026,-0.0045078,-0.0040011,-0.011299,-0.021732,0.069337,-0.026699,-0.021851,0.043312,-0.06513,0.0029294,-0.0060927,-0.034915,-0.0067016,-0.037226,-0.024827,0.01908,-0.0062914,0.02195,0.022115,-0.037499,0.044884,-0.002149,-0.037369,-0.048297,-0.00054148,-0.025388,0.0052732,0.031558,-0.075897,0.0081372,-0.0091331,-0.015886,-0.0036518,0.025238,0.063984,-0.20135
"X0.26052",-0.0040055,-0.00071964,-0.00084947,-0.00051153,0.00083644,0.0023856,-0.0023887,0.0036851,0.0030051,0.0010129,0.007377,-0.0053398,0.0083521,0.0022878,0.0082111,-0.0051982,0.0057989,0.011599,-0.012436,0.006504,0.00047619,0.015215,0.016229,0.035471,-0.0060009,-0.010964,-0.0046583,-0.0052856,0.023522,0.0019797,-0.02584,0.0044132,0.05681,0.01849,-0.0059963,0.016732,0.035148,0.010556,-0.0029258,0.030735,0.027336,0.0082284,0.015457,-0.021671,0.009374,0.012712,-0.02911,0.027314,0.0014114,0.0083756,0.01606,0.048492,-0.02754,0.0086765,-0.036813,-0.014303,-0.025143,-0.047875,0.027311,0.01726,-0.034278,0.03338,0.018889,0.033298,-0.0094272,-0.0044221,-0.018215,-0.022518,-0.02193,-0.016724,0.056249,-0.012397,-0.038729,0.047798,-0.052603,0.033882,0.0034253,-0.04742,0.024787,-0.040924,0.00021311,0.044338,0.0040259,0.023286,0.019036,-0.070615,0.053328,-0.018733,-0.01739,-0.041993,0.0056533,0.0080609,0.034356,0.0064366,-0.065166,-0.0079252,-0.0073212,-0.005603,-0.023992,0.0088374,0.010842,-0.078829
