"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X0.0801599",0.0071377,-0.012204,-0.0011841,0.0054001,0.00074502,0.0088084,-0.020389,0.0094074
"X0.1002",0.0060002,-0.014426,0.00064843,0.0042085,-0.00019205,0.0067739,-0.014031,0.0071031
"X0.12024",0.0049923,-0.01075,0.00090269,0.00078921,-0.0021452,0.0042617,-0.0096708,0.0058409
"X0.14028",-0.0035966,0.016138,-0.0050208,-0.0055438,-0.0046132,-0.0066789,-0.00031208,-0.00098885
"X0.16032",4.3009e-05,0.0028433,-0.0049982,-0.0020165,-0.0065672,-0.0025526,0.0013008,0.0056241
"X0.18036",0.003366,-0.0088899,0.0026082,-0.0013136,0.0018067,0.0050546,-0.0021889,0.0029209
"X0.2004",0.0030788,-0.0082915,0.0031434,-0.0011348,0.00064347,0.0027001,-0.0021724,0.0086946
"X0.22044",0.0027459,-0.0082735,0.0026763,-0.0027522,-0.00015166,0.0037813,0.00057752,0.0053352
"X0.24048",0.0029316,-0.0073204,0.0018031,-0.0035478,0.0014503,0.0045555,0.0010305,0.0033292
"X0.26052",0.0024979,-0.0066901,0.0016467,-0.0030453,0.001866,0.0046637,0.0011376,0.0030621
"X0.28056",0.0034393,-0.0048124,0.00043071,-0.0035889,0.00042254,0.0049989,0.0048557,0.003445
"X0.3006",0.0040695,-0.0063634,0.0011896,-0.0038966,0.00021785,0.0056842,0.0045844,0.005012
"X0.32064",0.0047097,-0.0070211,0.00053645,-0.0042521,0.00060922,0.0064185,0.0057009,0.0023917
"X0.34068",0.0043421,-0.0076338,0.0013117,-0.0044718,0.00076278,0.0060723,0.0049893,0.0048108
"X0.36072",0.0049031,-0.0081393,0.0010804,-0.0061594,-0.00019636,0.0061985,0.005715,0.0052232
"X0.38076",0.0055535,-0.01033,0.0013502,-0.00503,-0.0012184,0.0092131,0.0034142,0.0040214
"X0.4008",0.0060743,-0.011855,0.0010195,-0.0058804,-0.0024294,0.011052,0.0055848,0.00084503
"X0.42084",0.0070918,-0.013514,0.0017041,-0.0055315,-0.00064564,0.012762,0.0046455,0.0011187
"X0.44088",0.0079351,-0.016005,0.0010356,-0.0056049,-0.0017136,0.013772,0.0039845,0.0025232
"X0.46092",0.0090571,-0.016918,0.0024629,-0.0061451,-0.0027255,0.015868,0.0034268,0.0029509
"X0.48096",0.0092642,-0.017319,0.0021189,-0.0075821,-0.0029257,0.015183,0.0047685,0.002652
"X0.501",0.010714,-0.018198,0.0017196,-0.0069943,-0.0046867,0.018474,0.0057903,-0.00038087
"X0.521039",0.010841,-0.020188,0.0015833,-0.0069963,-0.0043966,0.01847,0.0067613,-0.0010094
"X0.541079",0.011686,-0.021043,0.0015511,-0.006648,-0.0056267,0.019509,0.0085611,-0.00011112
"X0.561119",0.01398,-0.022341,-2.6916e-05,-0.0055972,-0.0060329,0.021453,0.0080652,-0.0023399
"X0.581159",0.015412,-0.025677,-0.00011129,-0.0043838,-0.0083257,0.02488,0.0074574,-0.0045447
"X0.601199",0.013232,0.005517,-0.019239,0.0019352,-0.027941,-7.592e-05,0.024933,-0.009451
"X0.621239",0.007341,0.053082,-0.043287,0.015291,-0.047697,-0.030053,0.029758,-0.0082397
"X0.641279",0.021979,-0.037274,-0.0045969,0.0030562,-0.01074,0.037647,-0.0056856,-0.0053917
"X0.661319",0.024037,-0.043471,-0.0028231,-0.0011239,-0.010188,0.040359,-0.0011396,-0.011372
"X0.681359",0.026839,-0.051234,0.003085,-0.0028332,-0.0069529,0.042861,-0.0022362,-0.018032
"X0.701399",0.027955,-0.053438,-0.00079688,-0.0047212,-0.0097804,0.047527,-0.0025023,-0.021117
"X0.721439",0.029641,-0.049571,-0.010429,0.0066541,-0.019542,0.050298,0.0011892,-0.020941
"X0.741479",0.030887,-0.044696,-0.0079036,0.0070285,-0.021879,0.04847,-0.0025474,-0.011527
"X0.761519",0.042029,0.043731,-0.060804,0.04741,-0.029385,0.015257,0.0056422,-0.01573
"X0.781559",0.041084,-0.049617,-0.031622,0.026397,-0.036617,0.054061,0.020733,-0.023991
"X0.801599",0.04629,-0.054138,-0.031885,0.029429,-0.046094,0.046697,0.0458,-0.033816
"X0.821639",0.055417,-0.054136,-0.028893,0.032502,-0.058332,0.031204,0.078359,-0.029699
"X0.841679",0.07824,-0.069682,0.010827,0.019778,-0.043499,-0.025041,0.10779,-0.024187
"X0.861719",0.10705,-0.1629,0.17725,-0.04478,0.062024,-0.18561,0.13751,-0.062825
"X0.881759",0.11219,-0.14146,0.11893,0.0002692,0.076022,-0.07938,0.06933,-0.094681
"X0.901799",0.06697,0.053757,-0.078932,0.042518,-0.0020065,-0.019638,0.086235,7.4667e-05
"X0.921839",0.017729,0.11316,-0.097294,-0.030429,0.088379,-0.047883,0.066669,0.096987
