"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"80",3.074,-3.2897,-7.0232,0.91797,0.12142,-4.1869,-0.31927,-1.157
"140",-0.48853,-4.4741,0.55313,-3.2779,-0.41704,0.26927,-2.7135,-2.4125
"230",0.28942,-5.1793,-0.93223,2.7926,-1.6479,-1.148,-2.8395,-2.4696
"250",6.3534,-4.5903,-12.962,-4.2567,-1.2968,1.1707,2.727,-3.2501
"340",8.2115,2.543,-12.953,-4.4176,-0.54983,2.0574,1.118,0.058215
"350",-0.78034,-9.5135,-9.0274,-3.8876,-0.85088,4.4211,3.5453,-1.3804
"400",1.2889,-4.1402,-1.8185,-4.0164,-2.7464,-2.1017,-6.8633,-2.3095
"440",1.9303,-3.5943,1.2027,-4.9978,-0.77343,0.096491,-0.041637,-1.2851
"750",5.031,-1.3625,-2.6508,-0.93096,-2.3596,0.03701,-0.66067,2.6325
"760",4.5638,-8.2193,-14.655,-3.7993,1.1224,-0.84518,1.3873,1.7842
"900",5.7404,-2.6373,1.6792,-2.2894,-3.1561,-2.9349,-3.6227,-1.3386
"910",6.5806,-5.9244,1.2277,-1.2079,-4.3933,-0.11253,0.77595,0.84593
"960",-8.6587,-0.87078,-9.0379,8.5847,-0.8807,-2.3272,-4.6542,-1.3955
"1070",-8.3343,1.2012,4.6388,-4.4072,-2.0781,-4.0138,-4.2675,-1.1783
"1230",0.027476,2.0543,6.306,-3.7629,-2.6708,-5.6582,-2.9733,-2.3232
"1410",-3.9507,0.75671,-6.0197,1.2084,0.086189,-3.9233,-0.10886,3.6859
"1470",-2.7487,2.27,4.0761,0.57566,-3.1323,-4.4284,1.0308,-0.88515
"1510",-9.7149,-1.9392,1.9943,-1.8106,1.36,-7.6531,1.4999,-2.2449
"1570",-9.33,3.0572,1.5122,-2.7772,-4.8328,1.215,0.6443,1.7793
"1720",-6.2726,-0.17676,3.085,-2.4859,-2.4256,-5.2318,1.2552,-1.7152
"1730",-15.74,-3.84,-11.845,0.14908,2.4165,-1.9535,2.8888,1.2878
"1770",-14.901,-1.7377,-6.4568,2.7519,-0.79789,-4.6674,2.3771,0.47902
"1780",-18.548,2.6582,1.8883,1.9536,-8.7641,2.5392,0.30306,-1.7312
"1830",-10.888,3.3954,2.5866,-0.96279,-4.9406,2.1418,-2.5776,1.1276
"1860",-22.091,2.2772,1.9142,1.2629,-2.7871,3.0048,1.7722,-3.0142
"1870",-11.331,-2.1486,0.65581,-0.47249,3.593,-6.0265,2.966,-1.9554
"1890",-12.667,4.0512,3.6984,-4.6131,-4.3297,1.6148,1.9405,2.2641
"1950",0.76406,-2.1868,-6.0195,-1.3034,-1.331,0.68242,-3.2734,2.4264
"1990",3.2031,-5.5028,-2.2113,-4.9779,1.1748,1.1876,-3.6932,0.42835
"2080",8.0842,-0.21233,-14.077,-4.6682,-2.1273,-1.9739,-2.2154,1.92
"2140",-4.8194,0.3584,-0.18215,0.8847,-4.8247,-0.54263,-5.0086,1.8306
"2200",-0.55362,-5.8352,0.027207,-5.8242,0.91683,1.1851,-1.3075,-2.6386
"2220",-1.528,-5.7473,0.27101,-4.0942,2.1892,1.3417,-4.4541,-2.9794
"2230",-1.8686,-3.1685,-6.074,1.5626,3.3366,-1.8073,0.41539,-0.20613
"280",7.1153,-7.7721,-1.0941,-1.3355,-0.88367,2.3806,2.4836,0.078903
"360",2.0594,-4.0387,-2.0184,-1.535,-1.8256,4.3584,2.7942,-0.69406
"450",-3.6558,-1.3778,-6.0651,2.3277,-0.66379,-1.4684,-2.3507,-1.5914
"480",3.8142,-6.8272,-3.7569,-2.6868,-3.2851,3.6458,2.554,1.2907
"530",4.3339,1.3185,1.5158,2.923,1.2143,1.3572,-1.2582,-0.471
"550",5.3406,-3.2648,1.642,1.1041,-3.6261,0.34174,-0.26252,1.1248
"790",-1.1547,-2.6517,0.51727,-1.5871,-0.79427,1.2229,-0.29277,0.50178
"1180",-6.3485,1.8333,3.3625,-4.0231,5.2918,0.41033,-3.4631,0.51957
"1240",-9.0336,-0.091161,5.249,-6.6016,4.9205,0.43065,0.40628,0.14906
"1480",-7.5838,5.7307,3.2533,-0.76466,-3.3495,3.8477,-2.6132,0.36236
"1560",-7.8144,10.04,-8.8361,-1.9365,-5.0882,4.9935,9.3057,-7.9015
"1620",-7.3131,1.7202,-3.7775,4.5734,4.5303,-3.5797,1.3209,-1.7119
"1630",1.2074,3.8216,2.9035,-5.8434,-2.3535,-5.2929,-1.0204,2.0148
"1740",-8.2485,0.083527,-7.8287,2.816,1.3969,-3.3569,-0.44459,2.5363
"1880",1.0038,0.48795,11.115,-2.5942,2.3881,-6.3352,-1.7358,-2.5634
"2070",-2.4034,-3.6083,-8.8711,0.26566,3.7303,-0.55158,3.1333,0.99167
"2250",2.5624,-5.6541,-1.1042,-7.1628,7.5091,1.4147,-3.0318,-1.0736
"2260",-2.8579,-0.12427,-8.2451,7.4724,3.066,0.6981,-4.9165,0.5095
"20",7.991,-6.1584,7.7782,2.0361,1.8115,-0.30167,0.79658,-3.5299
"30",4.653,-4.5712,1.6488,4.4553,-1.1313,0.60612,-2.3688,-0.81317
"50",4.7962,-5.1299,1.3889,1.0507,1.8974,0.5778,3.2347,-0.31563
"120",4.4362,-3.4317,3.5413,0.51851,1.7247,3.0093,-2.267,-0.18531
"130",8.5214,-5.2574,4.6508,0.59382,-1.861,1.275,3.5626,0.39777
"430",6.9197,-3.0054,-0.037939,-2.6881,0.19572,1.0193,-0.62926,1.612
"570",8.9864,-4.5555,5.2122,0.24281,-0.80053,-0.98152,-2.1946,-1.0803
"620",-1.7165,1.264,2.0089,4.7551,0.19658,6.5947,-6.6263,-0.68548
"720",6.1985,-5.9689,3.6773,2.2192,-2.3172,0.34472,2.7978,-0.17758
"730",-5.1921,-1.5157,2.7893,2.6472,-0.16074,3.7762,0.49736,-0.1512
"740",2.1877,-3.1307,2.5405,-2.2467,1.226,4.0017,2.2391,1.9994
"1010",-3.8985,2.3698,7.2974,-2.7539,4.5501,2.9646,3.1399,2.7146
"1330",-15.32,-0.55645,-3.2266,6.2925,2.9634,-1.7441,2.6182,-0.52316
"1340",-7.8502,2.4249,5.444,-2.9715,2.7621,2.2321,2.0167,0.71179
"1360",-0.95419,-0.17541,8.8699,-0.46646,-3.3323,-3.5852,3.0815,2.2559
"1670",-14.743,1.6953,-5.1094,5.8129,3.0587,-0.46256,0.51444,0.95923
"1820",-17.228,4.803,5.3131,-2.2572,7.7464,5.3154,-4.9916,-3.2226
"1980",-0.34995,-3.2811,2.0751,4.7529,-3.7593,-0.11364,0.47025,-0.89259
"2020",1.3663,-4.3184,-2.3659,-1.1511,1.1296,0.20815,0.50723,3.4121
"2150",1.6253,-2.7834,6.5333,2.1106,-2.4127,-1.0112,-0.027269,-1.6809
"10",-0.20286,-0.4316,3.8375,6.8961,-0.037892,6.1878,-1.0014,-1.1423
"110",8.8971,-2.2437,5.1907,3.4086,-1.8949,-0.36751,-0.21119,-0.91281
"190",7.6007,-3.435,5.9926,3.0713,0.79214,-1.5867,2.4696,-1.7222
"210",9.2697,-2.2156,7.1041,1.7009,1.0611,-0.13324,1.3193,0.57128
"220",11.417,-1.7001,-1.3143,5.8653,4.1286,-0.44138,2.9256,-0.27042
"240",8.152,-2.3762,9.3207,0.81252,1.8298,-3.0173,-0.35224,-3.4897
"310",2.0489,-0.07232,4.212,6.6388,-2.5247,1.88,-1.7061,0.30919
"500",2.4631,-2.3319,-1.5083,-0.46208,-3.1372,3.0414,0.16611,2.283
"650",10.884,11.426,-5.0763,3.1195,1.6072,1.1943,-1.2877,-1.6247
"680",4.4665,-4.5472,5.4327,3.2309,1.0393,-0.025839,4.9111,-4.1644
"690",11.582,9.4686,-7.381,2.6394,-0.12164,0.20737,-4.3455,-0.94852
"710",5.2017,-5.0864,-5.5993,0.69521,2.5682,-1.181,2.9439,0.98001
"1040",0.25187,3.4256,6.1296,-2.6876,5.309,0.58372,-1.3926,3.7794
"1050",0.69115,4.2619,10.372,1.8663,2.7662,0.73238,2.3406,1.5779
"1120",11.049,18.737,-4.2377,-0.49785,-5.8803,-4.991,-0.34235,2.5479
"1280",-2.5262,3.5221,7.7696,-1.8487,6.3339,2.27,1.67,2.3723
"1310",-4.1404,5.1998,6.146,0.87951,-1.3954,1.4476,1.0891,3.6053
"1380",9.6289,18.919,-4.7787,-1.9133,2.4276,2.5817,-0.67842,-11.356
"1610",8.2121,16.599,-0.070195,-0.51078,2.262,-0.68407,0.87929,3.035
"1660",4.04,10.194,-6.2668,-2.7387,-0.3002,0.455,1.9332,0.93648
"1690",7.1169,15.784,-0.62341,-1.9747,2.9055,-1.5145,1.6951,2.8065
"1700",11.517,17.239,-3.0073,0.22003,1.0293,0.59367,2.0333,-0.80017
"1760",-7.7009,2.1587,4.514,-2.5211,-0.38197,1.3721,3.4994,4.6433
"1900",0.67952,5.0936,9.7489,0.41572,-1.5257,-1.8699,1.7345,2.6313
"1970",9.7043,-0.8727,8.778,3.8632,0.62784,-1.6372,2.1609,0.19745
"2000",5.1087,-1.3358,-1.3617,4.2377,2.5468,-2.937,-0.059461,0.94879
"2090",11.391,-3.7206,2.0975,1.029,-1.0129,0.40623,1.6389,1.9063
"2100",2.3578,-0.51754,2.5592,3.9442,-1.7033,2.7041,0.65563,1.9591
"2130",-1.2973,1.0119,-8.5161,3.5939,3.5235,0.58285,-0.87519,5.0832
"2210",0.75729,1.1718,-0.82423,1.2604,-0.70935,4.4761,-5.8459,4.6998
