"rownames.Pca_dat_temp_features.","factor_is","mSet.dataSet.cls","col_vector1","popcols1.as.character.mSet.dataSet.cls.."
"191","29","B","#F0F921FF","#B0E2FFCC"
"221","25","B","#F89441FF","#B0E2FFCC"
"281","25","B","#F89441FF","#B0E2FFCC"
"321","29","B","#F0F921FF","#B0E2FFCC"
"411","15","B","#0D0887FF","#B0E2FFCC"
"501","19","B","#7E03A8FF","#B0E2FFCC"
"541","25","B","#F89441FF","#B0E2FFCC"
"661","23","B","#CC4678FF","#B0E2FFCC"
"741","15","B","#0D0887FF","#B0E2FFCC"
"801","19","B","#7E03A8FF","#B0E2FFCC"
"831","25","B","#F89441FF","#B0E2FFCC"
"891","29","B","#F0F921FF","#B0E2FFCC"
"901","15","B","#0D0887FF","#B0E2FFCC"
"1001","19","B","#7E03A8FF","#B0E2FFCC"
"1101","23","B","#CC4678FF","#B0E2FFCC"
"1111","19","B","#7E03A8FF","#B0E2FFCC"
"1151","15","B","#0D0887FF","#B0E2FFCC"
"1181","23","B","#CC4678FF","#B0E2FFCC"
"1191","25","B","#F89441FF","#B0E2FFCC"
"1201","19","B","#7E03A8FF","#B0E2FFCC"
"1221","23","B","#CC4678FF","#B0E2FFCC"
"1461","23","B","#CC4678FF","#B0E2FFCC"
"1571","23","B","#CC4678FF","#B0E2FFCC"
"1611","15","B","#0D0887FF","#B0E2FFCC"
"1691","25","B","#F89441FF","#B0E2FFCC"
"1721","29","B","#F0F921FF","#B0E2FFCC"
"1751","23","B","#CC4678FF","#B0E2FFCC"
"1851","29","B","#F0F921FF","#B0E2FFCC"
"1871","19","B","#7E03A8FF","#B0E2FFCC"
"1951","29","B","#F0F921FF","#B0E2FFCC"
"1981","25","B","#F89441FF","#B0E2FFCC"
"2081","15","B","#0D0887FF","#B0E2FFCC"
"2191","19","B","#7E03A8FF","#B0E2FFCC"
"2251","15","B","#0D0887FF","#B0E2FFCC"
"101","15","K","#0D0887FF","blue3"
"131","23","K","#CC4678FF","blue3"
"521","25","K","#F89441FF","blue3"
"561","25","K","#F89441FF","blue3"
"1051","23","K","#CC4678FF","blue3"
"1141","29","K","#F0F921FF","blue3"
"1251","29","K","#F0F921FF","blue3"
"1491","25","K","#F89441FF","blue3"
"1521","19","K","#7E03A8FF","blue3"
"1541","15","K","#0D0887FF","blue3"
"1641","19","K","#7E03A8FF","blue3"
"1801","19","K","#7E03A8FF","blue3"
"2021","23","K","#CC4678FF","blue3"
"2161","15","K","#0D0887FF","blue3"
"2231","29","K","#F0F921FF","blue3"
"51","25","O","#F89441FF","red2"
"121","29","O","#F0F921FF","red2"
"211","23","O","#CC4678FF","red2"
"231","25","O","#F89441FF","red2"
"291","25","O","#F89441FF","red2"
"641","23","O","#CC4678FF","red2"
"651","23","O","#CC4678FF","red2"
"691","19","O","#7E03A8FF","red2"
"751","25","O","#F89441FF","red2"
"781","19","O","#7E03A8FF","red2"
"811","15","O","#0D0887FF","red2"
"861","25","O","#F89441FF","red2"
"881","15","O","#0D0887FF","red2"
"1011","29","O","#F0F921FF","red2"
"1171","15","O","#0D0887FF","red2"
"1261","29","O","#F0F921FF","red2"
"1331","19","O","#7E03A8FF","red2"
"1361","15","O","#0D0887FF","red2"
"1411","15","O","#0D0887FF","red2"
"1431","19","O","#7E03A8FF","red2"
"1651","29","O","#F0F921FF","red2"
"1761","25","O","#F89441FF","red2"
"1811","29","O","#F0F921FF","red2"
"1841","23","O","#CC4678FF","red2"
"1991","23","O","#CC4678FF","red2"
"2001","23","O","#CC4678FF","red2"
"2051","29","O","#F0F921FF","red2"
"2061","15","O","#0D0887FF","red2"
"2091","19","O","#7E03A8FF","red2"
"2241","19","O","#7E03A8FF","red2"
"10","25","S","#F89441FF","green3"
"41","15","S","#0D0887FF","green3"
"71","15","S","#0D0887FF","green3"
"91","19","S","#7E03A8FF","green3"
"151","19","S","#7E03A8FF","green3"
"251","15","S","#0D0887FF","green3"
"351","25","S","#F89441FF","green3"
"681","19","S","#7E03A8FF","green3"
"701","29","S","#F0F921FF","green3"
"711","19","S","#7E03A8FF","green3"
"731","23","S","#CC4678FF","green3"
"841","23","S","#CC4678FF","green3"
"931","25","S","#F89441FF","green3"
"1031","15","S","#0D0887FF","green3"
"1061","29","S","#F0F921FF","green3"
"1081","15","S","#0D0887FF","green3"
"1161","23","S","#CC4678FF","green3"
"1271","19","S","#7E03A8FF","green3"
"1351","25","S","#F89441FF","green3"
"1391","19","S","#7E03A8FF","green3"
"1421","23","S","#CC4678FF","green3"
"1451","25","S","#F89441FF","green3"
"1531","23","S","#CC4678FF","green3"
"1591","19","S","#7E03A8FF","green3"
"1601","15","S","#0D0887FF","green3"
"1631","25","S","#F89441FF","green3"
"1831","23","S","#CC4678FF","green3"
"1891","25","S","#F89441FF","green3"
"1901","29","S","#F0F921FF","green3"
"1911","23","S","#CC4678FF","green3"
"2121","29","S","#F0F921FF","green3"
"2141","15","S","#0D0887FF","green3"
"2201","29","S","#F0F921FF","green3"
