"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"191",-7.6879,-1.9642,-1.9921,0.80297,1.1392,-1.9683,-6.1252,-2.8056
"221",-13.237,-3.6027,-3.0699,2.396,3.1615,-2.0789,-1.6908,0.45317
"281",-9.2766,-0.73836,0.89407,4.2934,1.9559,-2.5432,0.20135,0.6624
"321",-9.5473,-3.1177,-4.163,-0.89825,-0.071325,-1.05,-4.519,-1.8727
"411",-5.4152,-0.35854,-2.9157,-1.9922,0.34213,2.2938,-3.291,-1.3498
"501",-9.1912,-1.2765,0.26523,2.0115,-0.1604,-3.2837,-1.7347,-1.5667
"541",-8.0782,-1.0559,-1.7288,1.3827,1.664,0.39056,-1.3547,-0.58631
"661",-9.6916,-3.2282,-5.3108,-2.1831,0.27361,1.1618,-2.4875,-1.5083
"741",-5.6603,-0.12119,0.54095,-0.48357,-3.54,-6.0631,-3.0885,-2.3824
"801",-8.1158,-1.6562,-0.79713,0.22919,-1.8436,-3.0478,0.26816,0.4952
"831",-6.3391,-0.3286,-1.8751,-0.85387,0.22519,2.4872,1.3493,0.38094
"891",10.28,7.9672,4.8332,-1.7946,0.061722,4.5194,-4.7224,-4.2377
"901",-0.78917,2.1768,1.4213,-1.5823,-2.8333,-2.5961,-2.6205,-2.6
"1001",-4.9249,1.7986,1.3537,1.0839,0.87463,1.5117,1.0031,-0.512
"1101",-9.1151,-2.1775,-2.726,0.078453,0.20511,-1.0935,-2.0981,-1.8614
"1111",-5.4054,-0.62607,-0.34683,0.029613,-1.1093,-2.1447,-1.4707,-0.098486
"1151",8.139,-7.341,1.0426,3.1112,-0.029649,-5.1617,-1.3398,-0.22714
"1181",-9.5577,-1.6761,0.082305,2.6285,-0.055681,-2.8565,0.22317,-0.25744
"1191",1.0616,-4.4432,1.1282,2.3797,-1.6592,-6.0287,-3.0454,-1.5264
"1201",-7.9191,-0.64062,0.038756,-0.44444,-3.0747,-4.3199,0.54525,0.52147
"1221",-5.0994,0.37315,0.15676,1.4647,0.79987,0.84297,-1.5295,-1.5353
"1461",-7.2472,-0.53486,0.67767,2.865,1.06,-1.1396,0.36377,-0.87208
"1571",-8.456,-1.7872,-2.3871,-0.66972,-0.5606,0.11608,0.653,-0.49331
"1611",13.114,-9.6942,-1.04,0.40461,1.3223,-3.0141,3.2182,0.43892
"1691",-2.3291,-0.087047,-3.1686,-5.3763,-3.2934,-0.22208,-3.0536,-0.7398
"1721",-0.79567,1.2285,-2.1842,-6.5783,-5.0395,1.7442,-2.1386,-0.63765
"1751",-8.9238,-1.9037,-1.2841,0.54786,-0.7992,-0.85723,1.7687,0.93615
"1851",0.20833,-1.4642,0.30688,-0.32406,-2.677,-3.6064,-2.5066,-1.6673
"1871",-6.8013,-0.24345,-0.74989,-2.7294,-3.5394,-1.3142,3.7213,2.6451
"1951",-0.96799,1.6808,-4.2973,-6.5207,-1.1146,6.2733,-3.4309,-2.4874
"1981",-4.6021,1.1666,-1.2301,-3.9737,-2.8431,2.8447,2.9926,1.4714
"2081",26.623,-20.751,-10.128,-8.2282,0.15303,-1.584,4.9129,-1.3839
"2191",11.905,-11.664,-1.8242,0.98663,0.025917,-3.8465,1.8338,-0.50332
"2251",-5.322,-0.0076106,-1.4558,-4.1051,-4.1325,-0.53982,1.6066,1.0804
"101",-4.8929,1.2954,0.39377,-0.29128,0.36323,4.3068,3.7758,1.3488
"131",-6.4323,1.2746,3.1017,3.8505,1.2731,-0.034688,3.8171,0.16455
"521",-8.3464,-1.2587,-1.6661,0.81941,1.3119,-0.62703,-1.021,0.11741
"561",-6.6703,-0.79506,-3.6389,-3.2999,-0.34892,2.0458,-1.8862,0.42987
"1051",-6.2281,0.5228,0.097432,1.9191,2.1785,1.6785,1.0599,0.41165
"1141",0.77425,3.2668,-1.6449,-5.8243,-1.665,4.2034,-2.4649,-0.12779
"1251",9.1172,8.7727,4.4024,-3.8519,-1.0629,7.7361,-2.1066,-1.3253
"1491",-5.7814,0.011744,-2.4607,-3.1312,-0.63109,3.8749,1.6737,0.87271
"1521",2.7332,0.84969,4.2578,2.4356,-1.4118,-2.5174,-1.5794,-0.76321
"1541",-7.1571,0.063817,-0.14483,-0.75661,-1.1397,-0.30874,2.6427,1.0598
"1641",-6.2557,0.76494,0.90098,-0.27158,-1.1411,-0.26373,3.5862,2.1444
"1801",-6.8677,0.21114,0.17941,0.38651,-0.30685,0.76073,2.7561,0.90048
"2021",-4.6138,1.7989,-0.45528,-2.2326,-0.74678,2.6811,4.0757,0.28937
"2161",14.684,-8.3316,-1.2822,-1.6836,-2.0481,-3.9357,-0.6673,-0.70968
"2231",-4.7986,0.77149,-2.398,-2.952,0.42712,6.5175,1.8566,-0.32837
"51",-3.3291,4.2596,4.841,2.2224,-0.6256,-0.04405,5.9344,1.9745
"121",10.248,3.0921,7.3676,3.8288,0.97048,1.9589,0.89163,-0.88817
"211",-10.426,-0.85738,-0.25693,3.9675,4.8927,1.0705,-1.3753,-0.63834
"231",-10.014,-2.2696,-2.366,1.4937,1.7912,-1.2387,-3.3131,-0.99868
"291",-3.994,1.0167,-0.07854,0.89468,1.7461,1.3616,-3.8752,-1.506
"641",-8.6899,-2.6495,-5.2865,-2.3258,0.77015,2.2657,-2.5017,0.0087375
"651",-7.7661,-2.1551,-5.9522,-4.5038,-0.54253,2.846,-1.6824,0.73745
"691",-10.007,-1.7815,0.19445,2.023,-1.0872,-4.4019,1.3709,1.2912
"751",-6.0359,-0.038816,-0.46669,0.77435,0.50833,0.34499,-0.9446,-0.90108
"781",-9.3236,-1.5025,-1.395,0.55448,0.17536,-0.27761,1.9036,1.653
"811",17.323,-4.8228,3.1328,2.4281,0.58768,-2.1298,-2.3456,-0.96548
"861",-6.4619,-0.30789,-2.6685,-0.76009,1.5718,3.2603,-0.032863,-0.26184
"881",-8.9097,-0.82331,0.58781,0.45519,-2.2162,-3.8145,3.1131,1.6828
"1011",-8.2724,-0.85762,-0.69129,1.6155,1.7561,0.57226,1.7834,1.1739
"1171",-5.5912,1.3972,-0.15822,-1.3204,0.32809,-3.0325,0.0041247,-1.027
"1261",0.22393,0.35582,-6.3131,-1.2779,3.4762,3.068,-4.2909,4.2828
"1331",-6.8668,-0.14429,-0.98542,-2.1913,-2.5133,0.26352,2.4956,1.762
"1361",-0.81234,0.98979,4.1824,2.5952,-1.2005,-2.0568,1.7149,0.83327
"1411",12.281,0.57699,0.6243,2.3106,0.49283,-4.4133,-10.247,6.3513
"1431",27.706,-4.235,3.7452,-3.5685,-2.6287,0.095596,2.6916,2.795
"1651",11.278,-4.8854,2.3833,3.4147,1.4553,-1.1447,-0.059216,-0.81861
"1761",-1.2098,0.96677,-3.615,-6.4918,-2.8174,3.6151,-2.9271,-0.70139
"1811",21.612,5.3611,-9.9566,2.5843,3.4605,1.9066,-13.584,7.2833
"1841",15.562,4.7955,6.2583,-2.7683,-4.3121,-0.42901,-1.4591,0.49659
"1991",-5.5881,0.34668,-0.31001,0.24421,0.25179,2.0609,1.3132,0.02562
"2001",-5.2246,1.4451,0.056009,-0.42034,1.0668,-0.97302,1.914,-0.047959
"2051",14.217,20.742,-3.188,-24.877,11.443,-16.088,5.695,-0.66207
"2061",21.574,-4.999,0.48202,-4.1208,-3.2688,-1.2375,-1.0268,0.99268
"2091",-4.4639,1.8396,-0.79951,-2.1335,0.032272,3.5234,2.1805,0.62634
