"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"X0.681361",0.010311,-0.046307,0.0099594,-0.015076,0.074294,0.097448,0.052324,0.080094,0.027033,-0.1296,0.0046374,0.027452,-0.078989,0.050507,0.059133,-0.20422,-0.093746,-0.12071,0.093621,-0.048424,-0.074411,5.5978e-05,-0.12769,-0.018806,0.070155,-0.030071,-0.0065864,0.14705,-0.053155,-0.08247,0.021258,-0.06412,0.021536,0.1029,0.045577,0.066025,0.089991,0.049123,-0.00010069,-0.0083749,-0.037213,0.0063604,0.0070676,-0.055273,0.0079542,-0.098088,0.073707,0.093219,-0.085056,-0.063339,0.21048,0.10629,-0.0013936,0.032867,-0.013813,0.047661,0.02493,0.049628,-0.095476,-0.027609,-0.0015014,0.14851,-0.05064,-0.11211,-0.062219,-0.12652,-0.0094996,0.13936,-0.058533,0.10611,-0.027449,-0.037972,0.11582,0.055968,0.082549,0.052447,-0.040276,0.22781,-0.023644,-0.014027,-0.044399,-0.0036614,-0.015283,-0.012152,0.086356,0.048791,-0.034153,0.010732,-0.050468,0.0041009,-0.097245,0.096706,0.0058925,0.00045174,0.098835,0.13501,-0.17961,-0.03283,-0.10751,-0.068986,0.028331,0.18019
"X0.701401",0.0089577,-0.0066303,-0.017706,-0.041014,0.04707,0.068738,0.037706,0.00041301,-0.0056637,-0.017486,0.009431,0.025366,-0.030348,0.016902,0.025719,-0.055052,-0.015065,-0.018122,-0.033658,-0.067362,-0.085603,-0.030343,0.022554,-0.011807,-0.071233,-0.013653,0.070679,0.017027,-0.015065,-0.010018,0.065871,-0.11243,0.039048,0.0026467,0.068383,0.036269,0.0086724,-0.06124,0.070589,-0.031842,0.0047716,-0.080878,0.022595,-0.014561,-0.046436,-0.006037,0.080293,0.019832,-0.029504,-0.037425,0.097739,-0.016426,-0.04892,-0.080497,-0.045152,0.015737,-0.10998,-0.019615,-0.21564,0.00093427,-0.079664,-0.033074,0.019178,-0.059928,0.058247,0.11058,0.025488,-0.043711,-0.07802,-0.087378,-0.05727,0.064906,0.076496,0.079482,0.022014,-0.016576,0.030788,-0.0044872,-0.0017618,-0.034064,-0.048468,-0.078424,-0.053618,-0.023275,0.014753,-0.092482,-0.020516,0.045554,-0.015774,0.041167,-0.10401,-0.078002,0.0092571,0.10225,0.11581,-0.044526,0.035688,0.0085249,-0.055177,-0.035969,-0.089426,-0.11137
"X0.721441",0.010117,-0.0070568,-0.024191,-0.043743,0.050856,0.066608,0.03515,0.0020227,-0.00089122,-0.01783,0.010642,0.017474,-0.021139,0.01374,0.033418,-0.041242,-0.0080288,-0.0053471,-0.039194,-0.064864,-0.095997,-0.045705,0.03544,-0.012227,-0.076056,-0.0033552,0.071293,0.016428,-0.0055098,-0.0057018,0.088946,-0.10992,0.032793,0.0076418,0.046216,0.042961,0.017826,-0.059379,0.023763,-0.058832,0.017518,-0.039602,0.034033,-0.0037102,-0.048707,0.029737,0.071961,0.0044765,0.0015426,0.022637,0.071855,-0.0001041,-0.070097,-0.058641,-0.043955,-0.01338,-0.10899,-0.015047,-0.15257,0.00041512,-0.033463,-0.016651,0.059879,-0.095352,0.064498,0.090919,-0.0023071,-0.039934,-0.03612,-0.083005,-0.034765,0.04214,0.11184,0.039231,0.028651,-0.055307,0.02724,-0.059446,0.054897,0.0038699,-0.0035738,-0.13435,-0.02199,0.067506,0.097265,0.0002985,-0.049712,-0.0064802,-0.038878,0.063532,-0.036226,-0.10959,0.0242,0.029598,-0.048345,-0.0094703,0.035645,0.020425,-0.028351,-0.025143,-0.020278,0.33815
"X0.741481",0.011841,-0.007402,-0.030524,-0.047213,0.054109,0.071723,0.035734,0.0040245,-0.00075263,-0.019692,0.011625,0.015828,-0.021248,0.013763,0.037156,-0.04319,-0.00091715,-0.0025252,-0.030857,-0.064446,-0.11747,-0.058882,0.046957,-0.013561,-0.06865,-0.0051397,0.07202,0.020975,-0.010712,-0.010632,0.098142,-0.12392,0.041547,0.020472,0.035725,0.048066,0.01553,-0.060152,0.010168,-0.07627,0.030759,-0.025239,0.032123,-0.0062083,-0.035264,0.023443,0.06472,-0.0041134,0.030411,0.05182,0.07768,0.012895,-0.092452,-0.05149,-0.028751,-0.0081266,-0.092085,-0.0089306,-0.11789,0.014233,-0.038786,-0.032333,0.080911,-0.10335,0.042577,0.093681,0.012629,-0.050403,-0.036315,-0.014109,-0.048491,0.051839,0.10389,0.022453,0.0076861,0.013326,-0.0081966,-0.028146,0.082791,0.01584,0.052503,-0.043698,-0.059866,0.065549,0.066146,0.033401,-0.02524,-0.0049403,-0.061295,0.014502,0.032299,-0.070365,0.014724,-0.036131,-0.036384,0.030065,0.059233,-0.0033508,0.017884,-0.035319,-0.0044082,0.080054
"X0.761521",0.01258,-0.013482,-0.01785,-0.04807,0.096972,0.08506,0.071449,0.028483,0.017971,-0.039775,0.0064289,-0.054583,0.043206,0.023758,-0.029652,0.052008,0.053714,0.047008,0.00094192,0.015161,-0.023728,0.034786,0.10857,0.0031381,-0.10109,0.076384,0.12291,-0.018826,-0.077801,-0.073347,0.19862,-0.070914,-0.068419,0.12184,0.033181,0.091662,0.015993,-0.02231,-0.14215,-0.012543,-0.014998,-0.0097163,-0.05359,0.02784,0.016279,-0.035793,0.041003,0.046817,0.030474,0.024783,0.013788,-0.00079029,-0.033745,-0.12608,-0.10272,-0.0054209,-0.086123,0.049729,0.005284,0.023805,0.0019109,-0.039705,0.080951,-0.082813,-0.014409,0.13091,0.07842,-0.074957,-0.020638,-0.059533,-0.032436,-0.040498,-0.10784,-0.060282,0.036035,0.018383,0.047705,0.034364,0.042895,-0.071844,-0.042509,0.00027707,-0.095266,-0.027192,0.12263,0.035074,0.086667,0.07241,-0.033595,-0.075584,0.12019,-0.0093705,-0.12666,-0.091233,-0.068715,-0.036654,-0.080254,-0.11265,0.037869,-0.0762,0.042381,-0.57944
"X0.781561",-0.0072716,-0.024446,0.030819,-0.059255,0.15496,0.078276,0.095337,0.071218,0.083541,-0.055179,0.0034969,-0.17066,0.13011,0.039518,-0.051683,0.18166,0.058956,0.15981,0.048136,0.08849,0.1244,0.14457,0.096041,0.03422,-0.12288,0.1336,0.16814,-0.02642,-0.11832,-0.054065,0.22541,0.024782,-0.22944,0.16559,0.053256,0.055557,0.080061,0.05304,-0.32324,0.084012,-0.11324,-0.022777,0.082633,0.015801,0.037372,0.010704,0.10121,0.062009,-0.14533,-0.020853,0.044231,0.036833,0.013546,-0.094843,-0.02995,0.027989,0.0012534,0.06845,0.074405,-0.14883,0.073553,0.061193,0.0082847,0.082264,6.1291e-05,-0.07112,-0.076279,0.0025859,-0.018197,-0.020922,0.00013204,-0.096749,-0.0064882,0.050808,-0.024902,-0.036233,0.024226,-0.0030665,-0.049278,0.011121,0.032319,0.038402,0.0061878,0.062083,-0.011595,-0.087605,-0.093104,-0.10913,0.076368,0.090347,0.038548,-0.003923,0.027988,0.020934,0.0072224,0.0014796,0.047552,0.039717,0.021051,0.033742,-0.0045022,0.18328
"X0.801601",-0.028548,-0.064343,0.082251,-0.053508,0.20677,0.098353,0.084012,0.12019,0.15907,-0.057887,-0.043812,-0.2091,0.10459,0.048264,-0.026562,0.22388,0.083413,0.21223,0.018769,0.05069,0.082298,0.097734,-0.029793,0.060722,0.00039456,-0.0065283,0.012929,0.0019297,-0.038423,0.023104,0.026977,0.11344,0.056986,-0.034691,0.015096,-0.030546,0.082499,0.053646,0.02292,-0.01127,0.024614,0.028437,-0.065268,-0.0046836,-0.057258,-0.14188,-0.13363,0.10904,-0.032098,-0.047212,-0.03198,-0.078785,0.0025418,0.12026,-0.0112,0.042459,-0.0509,0.16282,-0.080581,0.070158,-0.16775,-0.02533,0.040623,-0.014717,-0.0095563,-0.018658,0.10812,-0.002819,-0.0028238,0.05315,0.027527,-0.017904,-0.0052676,0.018646,-0.077269,0.046268,-0.098132,-0.031846,0.062765,-0.046415,0.014213,-0.010336,0.12108,-0.091449,-0.045936,0.13544,0.047059,0.012486,-0.073894,0.035481,-0.070682,0.021291,0.027259,-0.032432,0.024841,0.066476,0.055102,-0.080125,0.0078413,-0.038652,-0.026185,0.16296
"X0.821641",-0.03859,-0.083694,0.08384,-0.10314,0.25036,0.13802,0.088828,0.14573,0.17894,-0.097863,-0.040557,-0.23693,0.070699,0.053441,0.023803,0.1646,0.028637,0.16469,0.042127,0.040123,0.061819,0.13936,-0.14366,0.028008,0.041975,0.054646,-0.028396,0.035551,0.035335,0.019912,-0.15424,-0.061407,0.077346,-0.11055,-0.030605,-0.15549,-0.1361,0.077221,0.26453,0.048785,0.085493,-0.043449,-0.093745,-0.087726,-0.057245,0.078133,0.037448,-0.077625,0.096231,-0.012238,-0.037077,0.088716,-0.08087,0.11492,0.063038,-0.022044,0.12562,-0.18238,0.018887,0.00015225,0.063616,-0.053665,-0.077107,-0.014963,-0.01713,0.087753,-0.1265,0.0015509,-0.035266,-0.081551,-0.024019,0.10546,0.061685,-0.038248,0.19081,-0.079351,0.082232,0.047247,0.037583,0.043106,-0.063882,-0.022483,-0.14075,0.031615,0.065575,-0.033332,-0.019943,0.040385,-0.004487,-0.14489,-0.012412,0.015045,0.028838,0.067078,0.053912,-0.062568,-0.029363,0.038591,0.023424,0.046432,0.0087904,-0.06891
"X0.841681",0.10627,-0.030255,-0.004762,-0.098613,0.31521,0.074328,0.14768,0.016528,0.083509,-0.15845,-0.16031,0.15996,-0.22698,-0.10018,-0.17977,-0.099758,0.089856,-0.12232,-0.22682,-0.12654,0.069667,0.078496,-0.11589,-0.069225,0.10242,-0.089564,0.02846,0.0011221,-0.019367,0.030622,-0.038707,-0.065773,-0.11365,-0.15218,-0.18059,0.11322,0.03301,0.013792,-0.026909,0.16807,0.16314,0.091446,0.061111,0.077826,-0.013563,0.25487,-0.07376,-0.085583,0.03959,0.0904,0.053054,-0.026183,0.056855,0.0061562,0.00045339,0.16926,-0.038512,0.053459,0.092082,-0.059703,0.03308,0.020263,0.033354,0.1135,0.1183,-0.032591,0.0096184,-0.088789,-0.023629,0.043994,-0.076922,0.0064084,-0.032415,0.011969,-0.041897,0.015715,-0.0037145,-0.050398,-0.01469,-0.075832,0.020698,0.02386,0.12432,-0.012338,0.045612,-0.063975,-0.0034449,-0.0033855,-0.015456,0.014678,-0.067238,0.037296,-0.048644,-0.059279,-0.048452,0.0059614,-0.046108,0.045309,-0.01627,-0.030312,-0.04581,-0.017464
"X0.861721",0.15981,-0.0033951,0.018755,0.1244,-0.20443,-0.0032432,-0.083996,-0.018941,0.10975,-0.12067,0.124,-0.18444,0.21713,-0.05695,0.23909,-0.078206,-0.13498,0.11898,0.018545,0.02083,-0.3078,-0.05529,-0.20624,0.044324,-0.020947,0.0022193,0.073996,-0.22194,-0.040582,-0.04844,-0.1134,0.05815,-0.099859,-0.14372,-0.14589,0.18407,0.066193,-0.073434,0.013479,0.24756,-0.049451,0.095839,0.017699,0.11144,-0.18452,0.1766,0.10947,-0.0031151,-0.021156,-0.10082,0.00022511,-0.014739,-0.00091178,-0.015893,-0.10284,0.12795,-0.029817,0.12656,0.038746,-0.059908,-0.0058662,-0.0028602,0.022603,-0.062352,-0.11118,-0.027576,-0.011179,-0.050094,0.081269,-0.035931,0.049403,-0.0090826,-0.035883,-0.059071,0.00035016,-0.038494,-0.0050653,-0.011536,-0.073067,0.0017678,-0.0025965,0.0010853,-0.083973,0.023947,-0.0078162,-0.031022,0.04172,0.070263,-0.048072,0.0014723,-0.05096,-0.042074,-0.034969,0.037052,0.031632,-0.028122,0.032663,-0.010021,-0.032721,0.019185,0.020897,0.032578
