"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"21",-12.511,5.8431,5.3055,4.4817,-1.6857,2.1216,-0.4176,0.10238,-0.68126,0.15526,-1.0712,0.15866,-1.8824,1.0052,-0.45734,0.43847,-1.6919,0.071926,-0.49431,0.79515,0.11761,-0.19815,-0.090983,-0.25878,-1.2298,0.48983,-0.077729,0.15524,-0.48174,0.062088,-0.40082,0.2429,-0.5561,0.097126,-0.01032,0.019388,-0.0011888,0.03658,-0.066232,-0.03509,0.21469,-0.023099,-0.17465,0.023149,0.10569,-0.20938,0.092564,0.020638,0.11906,-0.30636,-0.15085,-0.02451,-0.016816,0.0792,0.099966,-0.25544,-0.059224,-0.012453,0.12046,0.16611,0.13503,0.079879,-0.012448,-0.013394,-0.090012,-0.051106,-0.042003,-0.036794,0.086015,0.064495,0.041757,0.014123,0.031814,0.0045831,0.034174,-0.0096052,-0.021207,-0.014865,-0.014817,-0.038306,-0.006295,-0.00032507,-0.0071119,-0.004352,-0.026862,-0.0058277,-0.0093987,0.009543,0.0020171,0.040636,0.0066898,0.0040114,0.0062137,0.0050639,0.0020596,0.0063541,0.0054677,0.0023849,0.0041883,0.0007982,0.0017778,1.1935e-15
"241",-0.63233,-11.986,3.5992,-13.705,-7.0457,10.239,6.1496,0.88499,-8.0209,3.69,-0.21985,1.8463,0.86155,0.23899,0.057406,0.58906,0.026773,-0.37595,-0.14112,-0.14434,-0.11755,0.068222,0.29099,0.1921,-0.065653,0.20978,0.12522,-0.079691,0.13203,0.024406,0.10843,-0.024444,0.08236,-0.092237,-0.066464,0.056135,0.01436,-0.029948,0.0080428,-0.063076,-0.031538,-0.0079678,-0.012194,-0.086457,0.0095222,-0.030022,-0.0039015,-0.025908,-0.045122,0.022739,0.025116,0.009144,0.032538,-0.0089594,-0.021937,0.0032516,-0.022696,-0.011174,0.010868,-0.0062781,0.013571,-0.020601,-0.0054834,-0.0035937,0.0050847,0.010315,0.0038352,-0.0043526,0.0029038,-0.0021249,0.0012909,0.0039315,-0.0042537,-0.0035542,-0.00094403,-0.0062421,-0.0047376,0.0019084,-0.0026428,0.0012292,0.00048584,-0.00068601,-0.00083407,-0.0020147,-0.00073381,0.0035681,-0.00036707,0.0010384,-0.0007151,-0.0020199,-0.0026236,0.0020895,-0.00053543,-0.0013283,0.00046201,0.00080847,0.00050985,0.00021054,-0.00033575,0.00042164,-0.00056393,4.7184e-16
"261",7.0152,5.7752,-3.0571,-8.1094,0.41846,0.53068,0.15251,-1.4761,1.6815,-1.1852,0.60329,1.1241,0.022364,0.48201,0.62977,0.29565,0.28064,-0.30746,0.256,0.13451,-0.32792,0.093684,-0.29109,-0.43418,0.31698,0.48381,-0.31806,0.38885,0.026195,0.075161,-0.078549,0.39278,-0.0079446,-0.25951,0.29582,0.0808,-0.047516,0.095919,-0.092808,-0.072117,0.11597,0.18224,-0.1071,-0.039671,0.015762,0.10736,-0.0067902,-0.00094198,0.12254,-0.034515,0.04221,0.12377,-0.00894,-0.19463,-0.041763,-0.0047165,-0.11997,0.022814,-0.020567,-0.025795,0.049688,0.047395,-0.057345,-0.0039987,0.056958,-0.015756,0.022242,0.035792,0.1129,-0.0092037,0.0070473,-0.02734,-0.099152,-0.066814,-0.032613,0.052624,0.034515,-0.017777,0.014644,0.069001,0.0013951,0.039962,-0.0041547,-0.017319,-0.0091301,-0.010591,0.017471,0.070893,-0.0060829,0.026333,-0.0030731,0.034611,-0.030606,0.0037568,0.0028777,-0.025102,0.048891,0.0084299,0.0063518,-0.01121,0.034044,-4.1078e-15
"371",4.7933,8.9525,1.1072,-3.9704,5.6043,-0.93232,0.10308,-0.084019,-0.25332,0.13418,0.69477,0.71816,0.63567,0.92106,-0.92364,0.27552,-0.15047,0.45467,0.067177,0.3759,-0.46911,-0.42663,0.23388,0.34369,0.47572,0.60899,-0.87373,-0.16275,0.062802,-0.01898,-0.049742,0.12825,0.71731,0.37387,0.13333,0.0092062,-0.050605,-0.066143,-0.25443,-0.026244,0.07303,-0.25792,-0.02242,0.057998,0.051037,-0.18506,-0.010377,0.14569,-0.058323,0.012676,0.055571,-0.0080901,0.018342,-0.025347,-0.067505,-0.12172,0.056664,-0.2439,-0.018879,-0.072627,-0.0013434,-0.011108,0.019067,-0.061954,-0.055944,-0.072284,0.035065,0.084409,-0.047681,0.0081876,0.040207,0.037426,0.049719,-0.027877,-0.0069275,-0.036257,0.055099,-0.034655,-0.0085139,0.013647,-0.0042151,-0.060413,0.0077135,0.041965,-0.0058625,-0.079867,-0.028973,-0.037577,-0.0097563,0.0069653,-0.011917,0.024234,-0.030125,0.014759,-0.01011,0.026195,0.012386,0.014732,-0.0047042,-0.00095369,-0.002134,6.814e-15
"381",-23.607,3.5206,2.399,-7.5643,0.53996,-1.141,-0.43086,0.45636,1.2623,1.0331,-0.32082,-1.3039,0.96647,0.068624,0.65949,0.98783,-0.4009,1.1519,-0.048533,0.015207,0.88195,0.87518,-0.36521,-0.057037,0.76006,0.14258,0.027229,-0.13744,0.019956,0.79341,-0.3923,0.57086,-0.059842,-0.17035,0.21515,-0.17459,0.5124,-0.073351,-0.37213,-0.049128,-0.050515,0.00048853,0.39273,-0.39581,-0.059569,0.14092,0.071885,-0.14226,-0.17165,-0.0051216,-0.040653,0.059353,-0.085459,0.050598,0.15106,0.11405,-0.066938,0.030545,-0.05992,0.10465,0.021183,-0.063444,0.026589,0.090477,-0.043871,-0.0089129,-0.054511,0.007752,0.044535,0.048229,-0.029031,-0.016704,0.073274,-0.0010311,-0.035615,0.012101,-0.015521,-0.033816,-0.0052125,-0.011083,0.006323,-0.012418,0.011856,0.042485,-0.0063276,-0.025966,0.0097344,-0.01084,-9.9626e-05,-0.0032289,-0.021437,-0.015363,0.0031018,0.00021935,-0.0037075,-0.0034205,-0.0024529,-0.0089198,0.0038534,0.010481,-0.0015627,-1.3212e-14
"391",8.3186,6.8727,-4.1721,-6.0899,-0.27498,-0.94827,-1.0615,-0.38605,-0.23705,-0.85534,-0.0093717,0.28419,0.23403,0.0016204,0.76065,1.1208,0.65162,-0.46426,0.33441,-0.32598,0.021548,-0.048964,-0.050128,-0.78482,0.3197,0.22707,0.39785,0.2195,-0.25039,0.40131,-0.42733,-0.18768,-0.16756,0.12332,0.14094,-0.076609,-0.21637,0.23988,-0.083936,-0.13388,0.10467,-0.19518,-0.11999,0.16137,0.23717,-0.15687,0.057168,-0.056727,-0.079733,0.15206,-0.060418,0.0046953,0.12021,-0.098112,-0.065772,-0.10696,0.014476,0.0295,-0.14337,0.016818,0.071613,0.045712,-0.054236,-0.027143,-0.00054265,0.0052606,0.074382,-0.0014562,0.057211,-0.00015454,0.087371,0.084155,0.012174,0.014174,0.026118,0.090961,0.02239,0.063869,0.025549,0.0096407,-0.0046378,-0.015783,0.045325,-0.00023754,-0.024825,0.02153,0.070268,-0.025956,0.0049618,-0.040106,-0.019981,-0.035104,0.018515,-0.00098125,-0.0061849,0.0063107,-0.024204,0.0022937,0.017488,0.00030856,-0.029041,6.7862e-15
"461",7.7484,7.5955,-1.924,-2.3015,2.2359,1.4807,-0.84758,2.6017,-0.30124,-0.38679,-1.2936,1.1552,-1.3462,-1.59,0.32163,1.0493,-0.67731,-0.052392,0.30451,0.36299,0.49315,0.33179,0.30363,0.41941,0.91473,0.25101,-0.51361,0.63692,-0.082492,0.37871,0.33591,-0.44849,-0.26479,0.018921,0.29208,-0.28169,-0.23884,0.13902,0.0058456,-0.056143,0.11928,-0.15171,-0.1137,0.29751,-0.062289,0.16457,-0.012985,0.27228,-0.045141,-0.084251,-0.0028103,-0.041795,-0.0032788,0.10856,0.038767,0.028979,0.067178,-0.0079931,-0.015915,0.022066,-0.084723,-0.091101,-0.041549,-0.055737,0.019553,-0.021536,-0.060071,0.034438,0.030689,-0.048416,-0.013513,-0.00085144,-0.021732,0.018552,0.0009337,-0.022566,-0.073233,-0.057772,0.038391,0.025048,0.072835,0.047678,-0.028947,-0.0036555,0.010398,-0.009084,-0.038173,0.0079985,0.03605,0.012922,0.015114,-0.045203,0.016689,-0.0074204,-0.014213,0.006969,0.0070539,-0.013668,0.019264,0.0020289,-0.0083395,1.5786e-15
"471",7.3321,5.4736,-3.3698,-5.2536,-0.97697,-1.8473,-0.62497,1.1183,0.44025,-0.39126,-0.52051,1.21,-0.078936,0.03636,0.28259,1.1135,-0.21853,-0.16282,0.18089,0.24599,0.081463,-0.054697,0.12447,-0.28061,-0.34342,-0.46233,-0.016255,0.27895,-0.27027,0.18626,-0.051642,-0.28726,-0.014073,0.30282,-0.12441,0.0070328,-0.12886,-0.16158,-0.0099639,0.093702,0.055179,-0.23869,-0.02164,-0.11006,0.053259,0.023808,-0.088342,-0.086431,-0.14722,0.12107,-0.017701,-0.020258,0.02778,-0.12164,-0.10089,0.096511,-0.022685,-0.093472,0.10193,0.013106,0.020401,0.060615,0.094106,-0.051493,-0.024633,0.0047705,-0.0070037,-0.062436,-0.02799,-0.047402,0.048641,-0.056619,-0.010224,0.021659,-0.0059108,0.022567,-0.019466,-0.020494,-0.039368,-0.037196,-0.015295,-0.0036118,0.0035563,0.02343,-0.033784,0.0021525,-0.0053507,0.045562,-0.0063562,-0.0082307,0.029487,-0.0035265,-0.025978,0.0033375,-0.0011704,0.0024019,-0.012942,-0.075684,-0.062568,0.016867,0.016944,1.5245e-14
"481",5.8263,-2.4265,-2.9521,-4.5017,-0.71506,0.22899,-1.0365,1.7188,1.121,1.1689,-2.0301,-0.79837,-0.91872,-0.48074,-0.74541,-0.17276,0.31084,-0.60016,0.19143,0.16535,-0.71308,0.34844,-0.38354,-0.033046,-0.22901,-0.54356,-0.2472,0.088995,0.28728,-0.20934,0.36029,-0.36108,0.055774,-0.14232,0.15912,0.21748,-0.048842,0.20802,-0.30686,0.72518,-0.0039138,-0.08254,-0.15263,-0.18298,0.046003,0.0010838,0.30386,0.19028,0.079693,-0.12871,-0.057309,0.04816,-0.071537,-0.044493,0.19307,0.059288,0.080798,-0.12245,-0.022049,-0.057425,0.097995,-0.018581,0.051665,0.037382,0.023128,0.089511,-0.041429,0.023519,0.067205,0.084705,0.044423,-0.024357,-0.065512,-0.045003,-0.056551,0.014583,0.024771,-0.035638,0.012675,-0.01082,-0.055076,-0.03258,-0.00095978,-0.030096,0.028255,0.01035,-0.0033021,-0.0094787,0.0011658,-0.014864,-0.013778,-0.018117,0.009513,0.0093862,0.0035446,-0.0014441,-0.021287,0.010877,-0.013967,0.0025784,-0.011342,-5.624e-15
"491",-6.4577,-19.699,7.4353,-0.015501,5.3474,2.558,2.3048,1.0653,2.483,-2.6183,1.0462,0.46741,0.45151,-1.9197,0.18605,0.35874,1.6744,1.2949,0.33083,0.43364,-0.45514,0.48774,-0.33977,-0.056424,-0.72794,0.66845,0.28442,0.53172,0.24058,-0.56952,-0.46601,0.089419,0.55109,0.048669,0.36203,-0.094026,-0.47145,-0.29149,0.16191,0.046456,0.12185,-0.13486,0.23758,0.13729,0.24149,0.053885,0.1435,-0.083371,-0.079753,-0.23113,0.14908,-0.1032,0.1583,0.029492,0.033385,0.045217,0.051369,0.06096,-0.029638,0.080475,0.033734,-0.069472,0.038591,-0.03346,-0.0087754,-0.0023992,0.010533,-0.040435,0.0036946,0.0092482,-0.027685,-0.022179,-0.01299,-0.03367,0.0022484,0.0087838,-0.025636,-0.00073501,-0.019725,-0.016662,-0.0031719,-0.0043504,0.0089504,0.0071285,-0.0035859,0.0029188,0.002726,-0.00061378,0.0066395,0.0002844,-0.006866,-0.0079216,-0.0075452,-0.0012885,0.0078257,0.0029163,7e-04,-0.0066007,0.0027227,-0.0011801,-0.0020904,-4.8572e-15
