"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"21",10.72,-3.6029,-1.6926,2.6429,-3.3507,-0.8285,-3.5186,-0.13545
"241",-2.2014,-8.4448,-0.87173,-7.3609,0.92714,-4.6643,10.412,7.1693
"261",-5.804,2.4809,-1.4,3.1501,0.99634,-0.59618,3.4909,-2.9818
"371",-3.516,3.0528,-0.77391,2.8482,-6.1458,-0.83706,1.1225,-2.4012
"381",22.005,-1.2547,-0.13478,2.2961,-1.6097,-0.79975,2.8658,-3.0424
"391",-7.2228,1.8002,-3.7845,1.4289,0.088122,-0.21958,2.4258,-2.787
"461",-6.4315,2.6419,-2.2209,1.9857,-2.8963,-1.4019,-0.55318,-2.6148
"471",-6.4327,1.4254,-2.6467,2.0365,1.1273,-0.53492,1.5917,-2.7324
"481",-5.3439,0.53377,-0.72154,-2.0846,1.5446,-0.67697,1.4325,-2.0839
"491",5.9329,0.16764,12.483,-3.803,-0.20369,-2.1294,-2.8322,-3.5063
"531",-0.31962,4.5564,4.1091,0.26838,-8.7011,-0.96958,-1.4284,-0.35193
"581",-6.5896,0.45724,-2.8349,-6.3385,0.62906,1.0094,3.1262,-0.52451
"771",-6.1427,1.275,-2.8002,-3.281,-1.7987,-0.52914,-0.26145,0.015229
"791",-6.5048,1.3989,-3.3565,1.571,-3.5805,-0.35327,-1.1786,-0.21535
"911",20.432,-4.7716,-1.7272,1.3001,-2.5339,0.55255,1.4682,-0.51596
"971",-4.0618,-1.8413,-1.3777,-1.0368,0.0065057,-1.2707,-2.107,-1.2589
"1091",-3.7953,-1.737,1.1729,-10.052,1.874,0.75032,-0.55326,-2.9771
"1311",0.86626,-3.4244,-1.4788,2.5102,-1.6505,0.046228,-0.22077,-1.0759
"1341",-6.7389,-0.88094,-2.8666,-4.5589,1.5954,0.84046,0.53144,-0.24324
"1381",-6.0281,-0.97416,-4.0546,-5.2554,0.37947,-3.6433,-0.77237,1.584
"1401",9.1146,-2.9092,-1.5773,3.09,-2.092,-0.082708,-1.6107,-1.8992
"1471",-2.4593,-1.292,0.045334,-2.3297,-2.3865,1.5391,-0.52374,0.66832
"1501",-5.0161,-0.59783,-1.7951,-9.2675,-3.1154,0.61148,-2.3331,-1.9452
"1511",-6.8959,-1.0638,-3.3952,-3.0604,2.7489,-0.21198,-0.020508,-1.1971
"1581",-5.1887,-0.91119,0.026576,-0.21909,5.7895,-0.52086,-0.52721,-0.92216
"1771",2.0931,-3.3685,-1.8243,0.19619,-4.7108,-0.24261,-1.9724,-0.46609
"1821",-5.6462,-0.91827,-1.6038,1.4042,1.4791,-1.502,-2.7147,-0.47829
"1941",-2.4262,-1.9498,-0.64311,6.1689,2.9555,-0.52426,-0.83144,1.4655
"2031",-1.2745,-0.81717,-0.33984,3.1652,-3.188,-0.31173,-3.4805,0.39528
"2041",-5.9767,-2.6555,-2.6744,-5.5057,2.6079,0.032083,-3.9074,-3.1647
"2071",-5.932,-2.2989,-3.2925,1.8976,1.4998,-1.5069,-3.068,-1.3464
"2101",-5.048,-0.91203,-1.7407,2.9044,1.3826,-0.072131,-1.3351,0.98334
"2151",2.8029,-5.0773,-1.4273,1.5529,-0.70526,-0.10361,-1.1139,-0.48718
"2171",9.1476,-13.827,1.1422,-8.1894,-5.8861,-0.18495,2.3479,-2.0077
"14",-5.4324,0.39282,0.3185,-4.9192,1.2988,-1.3017,-4.5623,3.4379
"31",2.5298,-2.3494,0.39252,4.6125,1.4771,0.43756,-1.557,2.0178
"61",-6.1909,0.91956,-2.011,1.5039,1.0326,0.7572,-1.3579,1.8359
"81",-5.9714,0.26026,-1.6161,3.2815,1.4795,-0.64187,-2.8013,-0.86159
"161",-4.1102,-0.74816,0.36163,0.73732,2.8245,0.20941,-0.92557,-0.62851
"331",-3.1421,4.1156,3.9739,1.4756,2.9379,-0.5335,2.9144,-0.87695
"621",10.898,-2.9733,4.9396,1.514,-2.5661,0.52523,1.783,-0.86521
"761",-4.4678,3.1445,0.093245,4.5786,-1.6911,-0.44778,-1.0799,-1.1391
"851",-3.6011,1.2102,2.8303,1.1698,3.7559,0.25091,-0.58767,0.94318
"1211",-5.6093,0.86974,-0.44002,-0.38938,3.363,-0.15792,0.18586,-0.78388
"1291",-2.2278,0.13801,3.0636,-11.213,-1.4979,0.58513,-1.6539,0.40736
"1301",1.6366,-2.4674,0.21662,3.4998,-0.0029716,1.0649,-0.2887,-0.6867
"1371",-2.8407,0.51409,2.1754,-10.534,-3.4025,2.2804,-1.7077,0.90097
"1621",-2.8216,1.6046,2.7951,0.17508,-0.70665,0.2177,-1.8604,1.1916
"1661",-5.5034,1.5951,-0.50094,-0.20835,-0.63236,0.29121,-1.2921,3.0496
"1741",1.6604,-2.7738,1.4396,4.6964,1.6761,0.55505,-0.692,0.50329
"2111",-6.2855,2.7813,-2.8695,0.51449,-7.958,-0.51774,-4.313,3.2296
"2221",-5.1483,0.23791,-0.2023,-2.5461,0.8434,0.54247,-2.0246,0.62394
"111",-7.4841,0.16726,-5.286,-0.38591,-3.8287,0.88951,-1.376,0.2361
"181",-4.7969,6.2914,0.74995,2.3331,-4.9328,0.336,3.5965,1.34
"201",-6.4458,7.3472,-1.8323,-1.1437,-9.1132,-0.060813,5.2576,2.8488
"361",-4.0425,2.0047,-1.6222,3.116,-3.3262,-0.61902,1.6827,-3.2775
"421",-6.5198,1.7201,-3.0779,-1.0679,-0.73616,0.71648,2.9004,-1.7202
"441",-3.8467,4.2853,-0.70645,-7.3509,-9.5104,0.82114,2.0351,2.5621
"591",-0.23361,1.6195,7.6423,-3.4756,2.781,0.18565,-0.55087,-1.1157
"601",-3.6769,3.4847,2.6682,-4.8348,-0.99742,0.2001,-0.15868,-0.77753
"821",-6.3806,-0.19604,-2.1235,-0.34262,4.263,1.3944,1.6001,-0.0019197
"941",-5.5899,1.1282,-1.8232,2.8163,-1.2537,-0.039753,-1.6655,0.68714
"961",-6.5527,1.261,-2.8509,0.35124,-2.6551,0.088732,-2.3324,-0.026626
"981",-5.5807,-1.2093,-1.5899,0.017915,2.9001,1.1816,0.32388,0.29619
"1131",-4.0418,-0.38535,1.2311,-9.1085,1.758,0.55968,-0.33123,-1.622
"1241",-7.2532,0.1689,-3.5619,-0.22282,2.055,0.64224,1.8413,-0.4736
"1481",0.3373,-1.8234,-0.58456,2.2827,-1.9257,0.11745,-1.1791,-0.91909
"1681",-1.6887,-1.2478,1.9342,2.0889,1.08,-0.78817,-0.69781,2.4786
"1881",-5.9601,-0.2536,-0.55104,1.4715,4.392,-0.54706,-1.546,1.3989
"1931",-4.3228,-0.96348,-1.2658,-1.7252,-1.3974,1.1241,-0.6593,2.2816
"2181",-6.3957,-0.83698,-2.9357,2.4385,1.8788,0.2553,-1.0108,0.80937
"2211",-5.7041,-0.72308,-0.20307,-1.6539,5.825,1.4588,0.7768,2.6246
"171",38.81,-1.3717,1.0421,-1.4204,-3.842,2.1422,0.0758,1.0375
"271",12.445,-0.69323,1.692,5.6789,0.97143,0.62875,5.1234,-0.6825
"301",-4.5708,4.928,1.766,5.57,0.69726,-0.48769,2.4888,-0.93505
"311",-5.8775,3.4817,-0.65356,2.2826,1.7172,0.02977,4.2092,-1.456
"341",-2.5663,2.6417,5.671,-5.0465,4.4701,-1.0084,1.5325,-2.5596
"401",-5.7116,0.97198,-0.55889,-8.3842,1.5761,0.53348,3.4816,-1.3086
"431",39.189,2.0778,3.0511,0.3809,1.849,0.58747,2.969,1.6322
"511",-6.2934,0.54946,-2.555,2.3076,2.4067,0.48964,3.4505,-1.1232
"551",0.5882,4.3204,8.5441,-0.041218,-0.97851,-1.1506,-0.58223,0.96482
"611",-3.6903,3.2052,0.60429,5.8797,-1.4643,0.27502,1.709,-0.67373
"631",-3.7041,2.1682,3.5846,-3.1777,4.0466,0.30216,1.4562,-0.19879
"721",14.248,-3.9754,1.7148,3.6538,-3.859,1.2785,2.3911,-0.064681
"871",-2.8234,1.5282,2.4928,5.3195,1.1486,-0.59168,-1.1784,1.5015
"921",8.6899,-1.4843,6.479,4.0767,-5.2386,0.1031,-1.2234,0.55594
"951",-4.1504,1.8009,1.1764,3.6153,0.58022,-0.040483,-1.3189,1.3157
"1071",2.5658,-2.0825,-2.0205,5.0909,2.2731,1.1538,2.3319,-0.54153
"1231",-5.9757,2.0208,-1.5934,3.9487,-0.10332,1.0151,0.83217,1.0096
"1281",-1.7909,0.11086,2.3408,2.1261,0.095085,-0.49942,-1.0108,0.31578
"1321",-3.2196,0.7267,3.6611,2.1524,4.9457,-0.24847,-1.605,-0.16684
"1441",85.147,10.857,-8.8221,-7.229,6.9212,-1.3179,-2.9892,0.57395
"1561",-5.4703,0.27601,-0.23367,0.24977,4.3955,1.3081,0.67579,1.7274
"1701",-4.5263,0.3958,1.2018,1.2254,4.2632,0.2913,-0.61624,1.399
"1711",19.587,-3.7248,0.16122,3.6195,-0.35025,-0.32332,0.23968,-0.74309
"1731",5.9141,-3.6424,1.966,5.6553,1.4202,0.30234,0.050474,0.8048
"1781",17.9,-3.3681,0.62568,3.3685,-1.4565,-0.16699,-0.17743,-0.31934
"1791",-6.2888,-1.1127,-1.679,1.0019,5.7013,0.39014,0.24784,1.2022
"1861",14.242,-3.76,1.2999,4.0074,-0.65686,0.53517,0.27235,0.83799
"1921",-3.0273,0.39592,3.4846,-0.84211,4.9503,1.1381,-0.49207,2.5118
"1961",-4.4596,-0.5661,-0.16619,0.28458,1.2246,0.44676,-1.2991,1.5882
"1971",-2.4907,0.75413,2.6296,1.0173,-0.26773,0.1876,-1.6811,2.9476
