"NMR.exp" "Population" "X0.681361" "X0.701401" "X0.721441" "X0.741481" "X0.761521" "X0.781561" "X0.801601" "X0.821641" "X0.841681" "X0.861721" "X0.881761" "X0.901801" "X0.921841" "X0.941881" "X0.961921" "X0.981961" "X1.002" "X1.02204" "X1.04208" "X1.06212" "X1.08216" "X1.1022" "X1.12224" "X1.14228" "X1.16232" "X1.18236" "X1.2024" "X1.22244" "X1.24248" "X1.26252" "X1.28256" "X1.3026" "X1.32264" "X1.34268" "X1.36272" "X1.38276" "X1.4028" "X1.42284" "X1.44288" "X1.46292" "X1.48296" "X1.503" "X1.6032" "X1.62324" "X1.64328" "X1.66332" "X1.68336" "X1.7034" "X1.72344" "X1.74348" "X1.76352" "X1.78356" "X1.8036" "X1.82364" "X1.84368" "X1.86372" "X1.88376" "X1.9038" "X1.92384" "X1.94388" "X1.96392" "X1.98396" "X2.004" "X2.02404" "X2.04408" "X2.06412" "X2.08416" "X2.1042" "X2.12424" "X2.14428" "X2.16432" "X2.18436" "X2.2044" "X2.22444" "X2.24448" "X2.26452" "X2.28456" "X2.3046" "X2.32464" "X2.34468" "X2.36472" "X2.38476" "X2.4048" "X2.42484" "X2.44488" "X2.46492" "X2.48496" "X2.505" "X2.52504" "X2.54508" "X2.56512" "X2.58516" "X2.6052" "X2.62524" "X2.64528" "X2.66532" "X2.68536" "X2.7054" "X2.72544" "X2.74548" "X2.76552" "X2.78556" "X2.8056" "X2.82564" "X2.84568" "X2.86572" "X2.88576" "X2.9058" "X2.92584" "X2.94588" "X2.96592" "X2.98596" "X3.006" "X3.02604" "X3.04608" "X3.06612" "X3.08616" "X3.1062" "X3.12624" "X3.14628" "X3.16632" "X3.18636" "X3.2064" "X3.22644" "X3.24648" "X3.26652" "X3.28656" "X3.3066" "X3.32664" "X3.34668" "X3.36672" "X3.38676" "X3.4068" "X3.42684" "X3.44688" "X3.46692" "X3.48696" "X3.507" "X3.52704" "X3.54708" "X3.56712" "X3.58716" "X3.6072" "X3.62724" "X3.64728" "X3.66732" "X3.68736" "X3.7074" "X3.72744" "X3.74748" "X3.76752" "X3.78756" "X3.8076" "X3.82764" "X3.84768" "X3.86772" "X3.88776" "X3.9078" "X3.92784" "X3.94788" "X3.96792" "X3.98796" "X4.008" "X4.02804" "X4.04808" "X4.06812" "X4.08816" "X4.1082" "X4.12824" "X4.14828" "X4.16832" "X4.18836" "X4.2084" "X4.22844" "X4.24848" "X4.26852" "X4.28856" "X4.3086" "X4.32864" "X4.34868" "X4.36872" "X4.38876" "X4.4088" "X4.42884" "X4.44888" "X4.46892" "X4.48896" "X4.509" "X4.52904" "X4.54908" "X4.56912" "X4.58916" "X4.6092" "X4.62924" "X4.64928" "X4.66932" "X4.68936" "X4.7094" "X4.72944" "X4.74948" "X4.76952" "X4.78956" "X4.8096" "X4.82964" "X4.84968" "X4.86972" "X4.88976" "X4.9098" "X4.92984" "X4.94988" "X4.96992" "X4.98996" "X5.01" "X5.03004" "X5.05008" "X5.07012" "X5.09016" "X5.1102" "X5.13025" "X5.15029" "X5.17033" "X5.19037" "X5.21041" "X5.23045" "X5.25049" "X5.27053" "X5.29057" "X5.31061" "X5.33065" "X5.35069" "X5.37073" "X5.39077" "X5.41081" "X5.43085" "X5.45089" "X5.47093" "X5.49097" "X5.51101" "X5.53105" "X5.55109"
14 "K" 97.847 -2.675 -5.105 -8.583 43.713 181.473 451.83 584.795 3674.08 6578.93 1052.35 519.992 403.579 460.378 435.991 620.93 252.665 303.029 466.779 475.863 372.878 442.001 514.34 450.943 587.599 834.961 2070.54 17714.4 13030.7 12617 12455.4 8284.57 5269.05 1285.59 187.095 91.257 87.651 154.512 125.694 155.231 238.109 153.185 2252.51 1350.6 226.725 148.273 167.581 159.565 57.035 44.77 42.323 73.787 192.099 146.389 54.584 45.42 50.31 71.585 144.424 259.284 961.878 4456.34 1554.99 2846.46 559.286 153.579 124.373 157.465 119.874 119.874 50.242 48.967 64.974 126.42 136.787 200.869 728.954 1413.16 1347.97 2071.42 247.276 16.679 5.585 -5.705 -7.966 -3.579 -1.18 -2.124 -1.033 -0.158 -0.347 0.349 0.021 -0.463 0.484 1.776 6.368 14.526 19.121 179.631 1209.27 342.369 420.854 235.078 180.204 45.947 34.778 22.762 20.409 17.447 17.106 17.775 15.27 13.429 12.87 13.165 13.626 12.238 12.186 11.712 13.354 14.782 12.262 12.841 16.242 17.68 14.766 17.738 75.469 201.159 21.338 17.973 17.8 18.914 16.432 13.035 13.705 42.274 64.461 20.516 12.097 38.694 61.23 25.076 81.504 377.596 85.758 64.168 39.756 30.088 34.742 38.753 24.925 40.791 20.608 7.222 6.311 10.508 63.161 15.12 14.198 18.722 10.237 9.953 36.263 29.422 26.13 25.891 253.841 517.412 74.847 33.136 61.647 11.076 15.859 62.383 510.717 84.988 10.332 3.773 4.247 3.748 5.18 0.56 -0.518 -0.596 -0.027 0.641 2.248 2.394 1.088 5.827 14.419 4.607 1.382 0.73 1.311 2.284 1.418 0.052 -0.136 0.016 -0.217 -0.154 0.066 0.067 0.571 1.465 5.841 1.498 1.813 1.956 3.45 4.092 5.582 10.722 17.454 24.779 17.357 17.625 22.231 27.09 26.116 37.737 206.605 220.047 102.196 439.491 2142.58 2584.04 1617.48 820.575 149.172 14.294 0.499 -8.434 -8.453 -7.029 -4.664 -1.463
21 "B" 40.552 -3.773 -6.029 -8.822 3.298 65.898 176.682 261.291 1028.83 2093.93 342.794 188.133 142.814 150.152 137.822 190.143 96.382 97.976 150.496 150.548 111.467 114.942 131.509 90.886 117.448 163.055 415.38 5407.5 4695.26 4774.97 4084.71 2476.01 1266.35 570.728 319.788 293.472 294.762 334.646 393.143 536.869 981.761 4512.08 344.85 113.627 37.511 34.263 31.025 32.199 12.865 10.589 10.004 16.526 48.07 48.312 19.659 14.355 16.34 23.136 44.028 79.343 316.598 1527.81 386.157 618.113 155.034 50.229 35.683 31.707 25.329 25.329 16.166 14.777 19.053 37.727 44.157 63.858 316.202 1004.97 234.134 127.286 41.903 10.598 4.666 2.167 0.844 -0.023 0.468 -0.233 -0.263 -0.943 -1.261 -0.84 -1.834 -2.494 -2.744 -2.402 -0.859 0.953 3.185 33.664 243.792 72.416 94.919 35.267 22.689 4.22 1.276 0.526 -0.241 0.105 -0.162 -0.117 -0.048 -0.056 0.264 -0.088 0.003 -0.117 -0.306 -0.352 0.402 1.041 0.05 -0.431 0.278 -0.006 -0.326 -0.249 1.143 22.116 6.084 0.996 1.709 1.71 1.294 -0.724 1.14 7.05 16.108 2.962 -0.124 0.908 3.885 2.056 4.346 21.142 5.225 10.216 5.566 3.208 1.869 0.97 1.333 4.148 1.449 -0.975 -1.108 -0.644 1.868 -0.185 0.973 2.366 0.622 0.035 6.09 6.772 5.68 7.777 147.815 400.694 17.868 5.046 6.143 2.568 7.858 25.903 422.414 91.972 10.15 4.609 5.584 3.272 2.561 1.755 0.553 0.17 -0.269 -0.173 -0.191 0.026 0.21 1.617 5.364 1.96 0.894 -0.068 0.778 1.081 0.645 0.145 -0.349 0.081 0.154 0.05 -0.043 -0.008 -0.218 -0.015 0.327 -0.135 0.022 -0.313 0.162 0.164 0.534 1.658 4.693 7.699 6.066 6.606 6.346 10.969 8.254 12.594 127.209 165.495 26.366 107.91 599.923 775.838 349.736 179.126 31.762 5.94 1.53 -0.751 -0.782 -0.964 -0.777 0.615
31 "K" 49.07 0.255 -0.334 -1.664 11.013 71.146 186.026 264.781 1378.21 2955.79 399.447 195.297 153.405 161.967 150.218 213.226 98.564 108.874 173.197 176.319 130.587 139.496 165.278 123.371 164.514 233.183 608.245 7212.39 5737.42 6087.79 5673.55 3179.27 1974.68 799.898 343.229 288.574 287.116 333.21 386.182 516.348 880.967 2456.32 531.007 201.327 51.232 53.749 51.617 44.375 16.888 14.483 14.444 23.639 63.537 59.523 28.535 26.554 31.017 42.796 81.83 143.823 447.472 1823.15 617.798 1170.23 230.898 60.709 67.077 47.894 38.343 38.343 19.485 18.196 25.004 51.152 58.794 86.83 432.997 1285.55 341.971 217.557 63.711 10.59 1.027 -0.538 -1.397 -0.201 0.248 -0.017 0.086 0.017 -0.049 -0.074 0.045 0.306 0.109 0.833 4.059 8.975 14.79 88.362 495.564 132.859 155.036 80.347 57.224 7.728 2.612 1.337 0.333 0.02 -0.349 1.1 -0.425 -0.292 -0.263 -0.13 -0.039 0.122 0.481 0.397 0.974 2.409 1.373 1.653 2.222 2.754 1.726 1.755 2.88 4.583 3.616 2.894 4.195 3.782 3.99 3.387 7.21 13.88 23.066 6.252 4.029 6.221 8.719 8.416 18.906 124.137 11.421 17.265 25.054 15.812 5.19 3.296 4.253 7.538 5.251 2.84 2.452 2.899 6.015 3.291 5.503 6.555 3.543 4.068 15.519 14.001 12.378 12.573 190.892 495.693 21.938 10.936 9.345 9.659 14.339 34.747 520.313 118.888 12.517 5.226 5.475 1.951 1.418 0.978 0.281 0.462 -0.315 -0.22 -0.507 -0.595 -0.544 0.625 3.687 0.927 0.236 -0.391 0.159 0.084 0.196 -0.252 -0.079 0.012 0.268 0.332 0.676 0.963 1.188 1.559 3.097 2.064 2.076 2.391 3.022 3.185 3.919 8.985 12.552 13.667 10.043 8.454 10.03 13.724 13.923 21.002 168.638 212.55 52.52 200.409 897.958 1042.57 663.979 352.96 64.252 10.628 3.741 -0.804 -0.641 -0.745 -0.406 0.781
61 "K" 125.619 0.674 -2.979 -5.177 18.923 118.96 307.268 475.564 3611.13 7037.96 769.934 315.588 236.342 319.074 292.749 491.014 141.697 164.056 310.429 331.987 202.419 251.648 297.391 192.706 272.966 404.248 1350.91 18469.6 14478 15696.7 14177.6 8185.22 4829.02 1519.59 421.372 269.792 230.056 281.978 243.519 254.9 359.994 271.314 1776.91 854.791 203.579 201.916 198.963 165.898 84.778 78.379 79.231 108.462 245.148 207.845 112.828 108.099 118.296 151.621 247.725 391.086 1252.81 4999.14 1445.17 2809.68 516.941 119.473 140.604 113.293 91.249 91.249 35.552 40.076 61.531 143.249 157.511 242.617 1170.14 3161.55 1062.38 1113.87 90.108 -24.426 -25.388 -26.19 -23.65 -12.797 -9.908 -11.634 -10.14 -8.316 -7.567 -5.371 -4.539 -2.894 -0.931 2.407 9.896 22.814 35.36 226.406 1188.33 313.607 412.387 203.358 144.874 13.817 7.656 1.03 -0.336 -0.88 -0.743 0.173 -0.479 -0.031 0.055 -0.285 1.31 1.75 1.86 1.212 3.3 4.715 1.995 2.738 4.915 6.363 6.481 10.942 112.468 210.251 20.039 15.855 15.721 17.445 13.263 8.722 16.521 39.759 71.991 21.778 10.75 16.623 22.159 25.277 73.227 454.764 34.872 28.215 41.483 47.126 29.485 31.81 12.259 20.234 7.152 4.38 4.619 7.126 12.823 8.965 16.978 19.8 9.08 19.23 42.688 32.677 30.456 32.687 467.674 1191.29 54.162 28.511 20.198 14.3 18.733 85.053 1237.04 250.408 24.817 11.798 13.806 16.053 28.543 9.359 2.659 1.963 2.115 4.524 4.656 2.304 1.649 4.912 11.847 4.47 1.478 0.475 1.069 1.219 0.767 -0.043 0.298 -0.112 -0.045 -0.181 0.042 -0.049 0.403 0.632 3.276 1.509 1.596 1.416 2.474 2.733 3.896 8.904 16.726 23.713 14.706 13.599 20.913 24.995 23.799 44.259 395.516 459.429 69.004 411.322 2233.82 2807.12 1664.97 894.104 174.25 26.405 8.966 -3.822 -5.592 -5.258 -4.439 -1.264
81 "K" 99.533 2.383 -0.933 -2.774 12.055 88.87 290.63 420.897 2755.25 5325.83 588.686 245.281 182.23 246.327 219.952 365.816 127.338 132.76 258.665 261.068 159.331 193.362 224.337 134.978 190.323 298.666 988.625 13649 11363.2 12030 11092.3 6364.73 3703.86 1229.77 390.793 278.461 241.087 270.433 232.113 240.337 310.258 256.524 1217.35 629.995 187.754 162.881 153.98 134.231 82.624 77.101 75.325 94.644 189.176 185.535 104.955 94.328 103.376 129.903 196.529 303.183 987.034 3896.09 1104.4 2162.46 421.661 99.725 88.621 80.005 67.889 67.889 38.659 41.538 57.518 110.977 132.076 195.885 826.457 2541.82 709.378 681.183 92.685 -1.335 -6.39 -7.463 -5.977 -3.721 0.291 -0.346 2.139 1.43 0.03 1.391 1.691 2.812 4.683 6.887 13.425 24.334 36.79 182.854 915.413 230.464 277.828 118.095 85.918 13.728 3.116 2.403 1.647 0.218 -0.415 -0.048 -0.15 0.098 0.258 0.064 1.361 -0.589 -0.368 -0.365 0.729 1.326 0.453 0.628 3.131 4.801 4.107 1.182 5.317 31.976 2.154 2.32 5.554 3.952 3.988 0.861 4.456 21.994 44.225 8.206 2.003 5.068 9.225 12.181 21.36 105.426 20.926 23.276 29.113 10.654 6.768 0.8 3.851 7.042 1.66 -1.584 -1.646 -0.433 6.113 0.805 2.63 3.332 0.584 1.585 17.566 20.639 21.428 17.644 356.251 960.205 47.538 22.518 15.044 10.851 12.97 58.781 1006.34 211.25 22.719 7.928 8.374 2.52 2.475 2.117 0.122 0.268 0.002 -0.242 -0.043 -0.253 0.226 4.684 14.067 5.424 1.624 0.697 1.079 1.445 0.733 -0.119 0.3 0.095 -0.413 -0.19 0.41 0.104 -0.44 -0.486 1.079 -0.201 -0.54 -0.486 0.343 0.738 1.195 7.279 14.342 13.976 10.78 9.725 12.177 19.652 16.427 27.63 309.024 379.96 58.059 318.183 1722.08 2127.78 1224.99 651.212 114.661 23.73 10.202 0.372 -1.199 -1.062 -0.307 1.495
111 "O" 104.79 1.822 0.044 -0.723 17.504 106.395 286.979 436.219 3252.64 6613.25 567.208 220.743 179.834 262.427 214.9 342.221 122.151 117.302 232.502 242.029 147.38 178.347 212.057 128.559 208.495 306.039 1095 18697 14929.6 15510.1 13581.7 7765.98 4127.27 1329.18 406.25 277.853 233.22 261.718 224.666 228.798 306.005 259.011 1489.77 725.72 181.215 156.666 151.589 149.577 77.603 70.896 70.755 89.742 178.046 179.234 103.888 96.997 107.847 138.214 215.026 324.844 1161.32 5019.15 1236.23 2289.32 473.416 103.398 76.444 83.677 78.699 78.699 28.026 32.084 48.194 109.208 138.391 220.395 1041.99 3390.94 795.209 897.312 103.819 -28.036 -30.552 -28.373 -26.434 -21.62 -16.471 -16.489 -15.028 -13.918 -12.236 -10.34 -9.396 -8.742 -6.402 -3.164 2.926 14.607 26.143 170.082 956.341 247.135 326.755 126.946 91.292 1.23 -7.089 -9.484 -9.544 -9.868 -9.423 -8.821 -9.367 -9.062 -8.807 -8.631 -7.693 -8.259 -7.922 -7.776 -6.535 -5.049 -6.332 -6.219 -4.356 -2.481 -2.962 -1.415 30.619 97.151 5.198 3.636 7.06 6.714 5.41 -1.939 -1.045 17.508 46.599 9.62 -0.249 10.504 24.13 12.184 29.465 238.855 25.559 26.959 37.222 48.775 3.444 6.103 3.874 10.153 2.433 -3.623 -3.708 -1.424 21.548 2.012 2.894 5.614 0.617 1.337 25.526 24.489 20.511 19.507 446.351 1295.98 60.314 25.506 33.667 10.93 11.514 64.698 1315.57 298.988 29.244 10.742 11.3 5.774 8.172 3.099 0.255 -0.051 -0.018 -0.091 0.173 0.011 0.228 4.465 13.112 5.112 0.994 0.221 0.974 1.426 0.979 -0.16 0.053 0.065 -0.003 0.03 -0.03 0.009 0.079 0.305 3.061 0.934 0.838 0.619 1 1.409 2.356 9.209 15.848 15.754 11.272 10.921 16.057 25.771 20.72 34.072 383.976 502.225 46.445 313.028 1977.71 2688.62 1371.82 746.886 147.808 31.284 12.311 1.008 -0.439 -0.868 -0.44 2.217
161 "K" 61.201 3.241 2.724 2.919 17.659 76.601 193.557 291.124 1186.24 2426.7 289.384 122.247 84.748 94.463 102.455 181.796 62.678 70.254 135.906 138.509 85.868 93.413 111.804 62.68 88.802 133.331 397.311 5978.14 4941.9 4903.33 4810.43 2893.03 1885.59 663.738 234.268 187.876 163.717 172.201 161.674 168.59 216.826 201.262 580.659 452.992 109.187 87.174 85.799 84.304 39.658 34.891 34.378 40.747 82.143 81.16 43.165 37.323 40.269 49.128 77.419 119.489 344.641 1533.73 479.515 961.401 208.793 46.797 39.415 46.284 42.916 42.916 18.923 18.748 24.544 49.884 53.258 74.916 307.403 927.085 310.306 557.339 72.373 -1.578 -1.547 -2.356 -1.82 -2.994 0.648 -0.379 -0.087 -0.48 -0.377 0.537 0.726 1.588 2.046 3.351 8.038 14.3 18.27 70.673 401.35 108.039 112.442 59.551 46.659 10.454 2.466 1.96 0.937 -0.106 -0.334 -0.178 0.099 0.217 0.072 -0.408 0.304 0.004 0.179 0.071 0.821 2.143 0.859 0.888 3.706 6.192 4.674 2.085 5.462 36.101 3.848 2.707 2.831 3.128 2.945 2.187 4.396 13.694 24.309 6.204 3.049 9.333 19.197 12.462 23.438 100.081 23.575 21.26 10.464 5.031 3.19 0.751 4.603 5.923 3.245 0.11 0.035 1.272 15.479 3.23 2.46 3.748 1.865 1.834 11.08 11.243 9.88 8.784 119.29 347.823 24.721 10.312 18.286 3.612 7.496 19.279 340.857 83.47 9.723 4.374 4.601 2.723 3.532 2.541 0.532 0.143 -0.162 -0.199 0.061 -0.304 -0.205 1.372 3.799 1.594 0.591 -0.026 0.288 0.6 0.867 0.249 -0.055 -0.191 0.187 0.164 -0.139 -0.233 0.106 0.164 1.56 0.233 0.127 -0.266 -0.086 0.355 0.303 2.165 4.61 7.155 6.749 7.622 8.867 11.27 6.996 10.182 103.912 131.782 17.759 107.307 660.892 913.879 540.487 311.669 63.33 14.489 6.271 0.757 0.002 -0.123 0.142 2.687
171 "S" 29.273 2.062 0.667 -0.442 3.607 41.685 142.159 228.316 493.431 748.267 156.858 85.309 64.996 56.11 62.785 98.382 56.051 58.154 99.581 94.668 62.793 59.133 64.493 30.74 34.97 50.815 147.397 2354.84 1819.1 1562.03 1364.04 873.849 552.899 332.802 225.459 220.243 223.367 259.298 309.042 430.025 835.186 6420.63 96.78 34.049 8.592 7.844 6.367 10.65 -2.311 -3.768 -4.079 -2.866 16.847 20.48 2.684 -1.928 -1.491 -0.57 8.528 21.207 77.189 391.19 112.836 191.218 55.806 17.421 15.1 12.105 5.673 5.673 1.147 -0.926 1.717 8.932 11.49 19.435 79.389 273.43 72.349 58.262 21.163 5.41 3.789 1.793 0.23 0.175 -0.014 -0.16 -0.047 -0.186 0.268 -0.068 0.157 0.019 -0.04 0.626 3.544 3.66 3.392 14.364 75.368 23.078 31.064 14.815 11.276 2.666 0.825 0.912 0.596 -0.165 0.127 0.073 -0.054 -0.044 0.211 0.058 0.04 -0.214 0.028 -0.167 0.124 1.113 0.068 -0.238 1.29 0.929 0.596 0.025 0.681 1.817 1.366 0.209 0.35 0.506 0.129 0.029 1.312 4.603 8.215 1.201 0.315 2.129 4.238 1.681 4.522 15.176 7.73 10.017 4.943 4.056 1.156 -0.169 0.201 1.319 0.533 -0.566 -1.016 -0.308 2.25 -0.161 -0.034 0.465 -0.363 -0.209 6.386 4.526 3.362 1.068 34.129 105.237 9.723 5.315 4.674 1.552 5.311 4.314 100.189 30.454 5.543 3.409 3.327 2.726 1.653 0.9 0.288 0.184 0.204 -0.313 -0.544 -0.432 -0.575 0.361 2.709 0.533 0.125 0.232 -0.065 0.113 0.121 -0.292 -0.107 -0.235 -0.411 -0.356 0.071 0.127 0.131 0.096 0.023 -0.038 0.096 -0.156 -0.08 0.127 0.065 0.683 1.814 4.395 2.953 1.263 0.7 1.434 0.148 0.625 27.841 38.592 2.99 21.897 151.595 226.917 122.516 67.635 16.498 4.525 2.294 0.126 0.295 -0.079 -0.38 0.013
181 "O" 144.267 39.436 40.009 45.187 79.811 198.424 445.028 719.452 2864.17 3792.5 48.099 -24.549 -1.531 97.605 131.136 231.372 26.034 52.831 166.285 181.099 105.588 132.487 191.404 133.844 203.072 321.935 900.146 12040 9906.56 9977.46 8692.52 4892.84 2535.72 724.243 123.61 75.927 83.195 94.625 95.466 125.938 248.123 316.524 931.971 656.306 174.746 131.12 92.655 57.282 -0.725 43.35 -20.707 -13.334 62.028 49.266 -26.321 -36.001 -40.7 -35.875 -4.701 36.424 425.021 2948.21 991.76 1442.23 468.557 130.828 71.771 55.754 39.918 39.918 -9.513 -11.714 -8.257 8.48 -1.833 -13.49 253.188 2595.98 581.872 889.844 205.483 48.903 26.025 14.829 4.538 99.929 31.072 12.988 8.792 4.838 1.939 2.488 1.304 -0.312 -1.916 -1.822 1.059 2.97 4.14 80.272 589.011 187.969 288.791 126.331 98.223 24.841 10.847 6.956 4.87 2.832 2.36 1.648 0.881 0.6 0.401 -0.148 0.368 -0.414 0.266 -0.219 2.158 14.209 95.616 -3.036 -2.79 0.599 5.064 2.819 -0.397 22.006 5.917 -2.169 0.661 -0.052 1.257 -0.99 2.16 18.429 31.699 -1.386 -4.946 0.886 9.146 2.428 3.571 139.585 21.963 23.843 22.141 5.423 0.227 -3.477 -3.363 4.466 0.772 -6.394 -7.324 -6.814 6.449 -5.081 -5.061 -4.045 -8.62 -10.355 -0.948 -3.786 -9.424 -25.211 183.663 834.525 73.484 28.737 24.657 3.589 -2.782 -13.912 793.967 238.951 41.865 22.186 18.313 11.395 9.735 9.169 5.554 4.646 3.711 3.109 2.66 2.345 2.024 4.582 10.716 4.987 2.845 2.394 2.334 3.193 1.192 -0.004 0.186 -0.022 -0.091 0.056 -0.145 -0.022 0.123 0.072 3.867 0.88 0.244 0.555 0.967 0.567 1.8 7.189 11.325 13.917 9.472 6.438 6.999 10.407 3.55 4.313 205.434 360.812 49.9 204.603 1195.53 1728.72 899.108 508.284 107.442 23.961 11.304 3.993 2.948 2.742 3.142 6.098
201 "O" 138.04 50.709 55.948 64.812 126.763 309.418 550.82 874.074 3979.13 5297.96 22.127 -78.725 -19.859 77.711 117.367 235.562 24.704 48.764 143.528 164.999 84.779 117.883 178.095 123.088 217.263 337.793 1131.79 17428.4 13038.5 14207.6 12120.8 6515.64 3401.65 995.066 157.924 75.63 75.439 66.994 55.456 69.195 152.591 117.591 1660.29 466.932 169.811 173.236 134.32 50.539 7.418 43.563 -21.295 -12.691 63.616 54.23 -20.981 -33.647 -39.335 -31.363 15.443 69.736 603.439 3796.04 1331.02 2491.89 668.821 198.233 165.128 116.975 61.623 61.623 21.792 14.593 18.403 41.454 37.451 80.323 574.388 3588.82 1435.2 562.266 100.093 40.202 16.005 4.13 -1.535 84.3 18.54 4.368 1.3 -1.511 -3.098 -1.495 -2.393 -3.473 -3.473 -1.443 4.386 16.208 29.334 231.745 1031.02 214.212 303.864 137.01 106.324 3.195 -7.361 -12.616 -14.545 -15.873 -17.13 -17.824 -18.057 -17.735 -17.889 -17.551 -15.173 -6.861 -5.359 -14.204 -15.08 -4.189 74.211 -20.513 -17.03 6.421 95.553 76.086 155.846 57.478 16.166 11.408 -0.292 2.158 -7.72 -12.729 -12.712 5.631 27.811 -9.409 -15.161 10.712 25.75 -10.808 -1.68 203.49 34.716 29.892 28.321 24.157 1.364 -3.399 -9.821 2.799 1.483 -6.622 -11.255 -5.129 52.836 10.636 13.433 16.562 11.919 -14.053 -0.753 -2.107 10.62 -3.632 301.123 1193.22 110.623 43.586 56.276 2.278 -15.247 -18.081 1117.97 319.249 47.949 26.89 36.767 38.747 25.112 4.661 -2.703 -5.055 -6.167 -6.385 -3.856 -1.197 -7.109 -6.675 -1.954 -6.703 -8.644 -9.067 -10.404 -9.508 -11.198 -12.897 -13.465 -13.567 -14.18 -14.359 -14.013 -15.072 -15.069 -15.087 -10.829 -13.894 -14.948 -16.636 -16.809 -17.721 -16.812 -12.704 -10.128 -8.062 -11.779 -10.855 -15.89 -13.097 -15.731 -7.55 265.012 429.166 -2.616 241.727 1726.18 2265.75 1472.88 870.154 209.156 72.641 49.324 22.578 17.087 14.149 13.223 14.298
