"NMR.exp" "Population" "Acclimation" "nest"
14 "K" 25 "K159*"
21 "B" 15 "B126a "
31 "K" 29 "K162"
61 "K" 23 "Kmix1"
81 "K" 15 "Kmix2"
111 "O" 19 "E011*"
161 "K" 19 "K162"
171 "S" 19 "S069"
181 "O" 15 "T031*"
201 "O" 23 "E008"
241 "B" 23 "Bmix"
261 "B" 23 "B126b"
271 "S" 15 "S069"
301 "S" 23 "S069"
311 "S" 23 "S096b"
331 "K" 25 "K162"
341 "S" 29 "S085"
361 "O" 15 "E010"
371 "B" 19 "B128"
381 "B" 15 "B128"
391 "B" 23 "B125 "
401 "S" 29 "S096"
421 "O" 19 "E010"
431 "S" 15 "S073"
441 "O" 25 "E010"
461 "B" 19 "B123a "
471 "B" 19 "B125 "
481 "B" 15 "B125 "
491 "B" 29 "Bmix"
511 "S" 23 "S096"
531 "B" 15 "Bmix"
551 "S" 15 "S085"
581 "B" 29 "B126b"
591 "O" 29 "E011*"
601 "O" 29 "E010"
611 "S" 23 "S095"
621 "K" 15 "Kmix1"
631 "S" 29 "S080"
721 "S" 19 "S096b"
761 "K" 23 "K162"
771 "B" 29 "B128"
791 "B" 19 "B126a "
821 "O" 23 "E011*"
851 "K" 25 "Kmix1"
871 "S" 25 "S096b"
911 "B" 19 "B121b "
921 "S" 15 "S095"
941 "O" 19 "T031*"
951 "S" 29 "S096b"
961 "O" 15 "E011*"
971 "B" 15 "B121b "
981 "O" 29 "E008"
1071 "S" 25 "S069"
1091 "B" 29 "B125 "
1131 "O" 25 "E008"
1211 "K" 23 "K159*"
1231 "S" 19 "S096"
1241 "O" 23 "E010"
1281 "S" 23 "S080"
1291 "K" 29 "K159*"
1301 "K" 19 "Kmix1"
1311 "B" 25 "B126a "
1321 "S" 25 "S095"
1341 "B" 29 "B121b "
1371 "K" 29 "Kmix1"
1381 "B" 25 "Bmix"
1401 "B" 15 "B123a "
1441 "S" 23 "S073"
1471 "B" 19 "Bmix"
1481 "O" 15 "E008"
1501 "B" 25 "B123a "
1511 "B" 25 "B121b "
1561 "S" 23 "S085"
1581 "B" 25 "B128"
1621 "K" 19 "K159*"
1661 "K" 19 "Kmix2"
1681 "O" 25 "E011*"
1701 "S" 25 "S085"
1711 "S" 19 "S080"
1731 "S" 25 "S080"
1741 "K" 15 "K162"
1771 "B" 15 "B126b"
1781 "S" 15 "S080"
1791 "S" 29 "S095"
1821 "B" 23 "B123a "
1861 "S" 19 "S095"
1881 "O" 25 "T031*"
1921 "S" 29 "S069"
1931 "O" 19 "E008"
1941 "B" 23 "B126a "
1961 "S" 19 "S085"
1971 "S" 15 "S096b"
2031 "B" 19 "B126b"
2041 "B" 25 "B126b"
2071 "B" 25 "B125 "
2101 "B" 23 "B121b "
2111 "K" 15 "K159*"
2151 "B" 23 "B128"
2171 "B" 29 "B126a "
2181 "O" 23 "T031*"
2211 "O" 29 "T031*"
2221 "K" 25 "Kmix2"
