"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","a0005","a0015","a0034","a0043","a0050","a0064","a0073","a0096","a0103","a0110","a0118","a0125","a0133","a0170","a0178","a0244","a0254","a0259","a0268","a0304","a0313","a0334","a0343","a0364","a0373","a0439","a0448","a0454","a0484","a0499","a0508","a0529","a0538","a0553","a0559","a0568","a0604","a0613","a0642","a0655","a0665","a0686","a0694","a0716","a0726","a0732","a0745","a0754","a0762","a0775","a0784","a0807","a0814","a0822","a0829","a0835","a0844","a0865","a0874","a0882","a0889","a0910","a0919","a0942","a0949","a1000","a1009","a1060","a1069","a1077","a1085","a0004","a0006","a0013","a0035","a0036","a0044","a0045","a0066","a0074","a0080","a0088","a0090","a0094","a0095","a0104","a0105","a0109","a0111","a0119","a0120","a0124","a0134","a0135","a0169","a0171","a0179","a0180","a0245","a0246","a0253","a0255","a0260","a0261","a0269","a0270","a0305","a0306","a0314","a0315","a0335","a0344","a0365","a0366","a0374","a0375","a0409","a0410","a0411","a0418","a0419","a0420","a0440","a0441","a0449","a0450","a0456","a0463","a0464","a0465","a0469","a0470","a0479","a0480","a0485","a0486","a0493","a0494","a0495","a0560","a0569","a0570","a0605","a0606","a0614","a0615","a0656","a0657","a0664","a0666","a0014","a0065","a0075","a0081","a0089","a0126","a0471","a0478b","a0685","a0687","a0695","a0696","a0730","a0731","a0739","a0740","a0741","a0746","a0747","a0755","a0756","a0776","a0777","a0785","a0786","a0836","a0837","a0845","a0846","a0880","a0881","a0891","a0911","a0912","a0920","a0940","a0941","a0950","a0951","a1001","a1002","a1010","a1011","a1061","a1062","a1070","a1071","a1075","a1076","a1084","a1086"
"1","ASV_1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","3Species_ASV_4_Mycoplasma",0,0.0012786863180564,0.741645059060789,0.42546552591847,0.34399636143117,0.0451510463317319,0.0005703638921632,0.0910836297927607,0,0.753725183544029,0.339805068226121,0.101996197718631,0.603690760313672,0.877025392986699,0.0473012990089628,0.53701936838088,0.975381263616558,0.99847730359274,0.96397241009844,0.978894432565138,0.0240201281597673,0.428504831327344,0.130278400597907,0.832422143927429,0.271231710149415,0.980067479885803,0.915382402498664,0.00210837022981235,0.443315725314913,0.997814629129708,0.408210919589029,0,0,0.959168577557512,0.162516593587835,0.95983676975945,0.975882066012682,0.91361216730038,0.0123389830508475,0.50149759819158,0.867203461122461,0.980874316939891,0,0,0.248422451012953,0.00205592105263158,0.965730246548853,0.999399579705794,0.203025192907149,0.0389040049644374,0.024420695165801,0.420896746559738,0.944520298561806,0.36088809594608,0.646606381872986,0.759476867102611,0.0790037493304767,0,0,0,0,0.994956512788843,0.998294518936721,0.0031944956382848,0.834224598930481,0.995,0.588743217015883,0.492787789187677,0.742383323487214,0.968548348549304,0.0379460998478229,0.514154768200247,0.000681044267877412,0,0.680120709166352,0.699710564399421,0.0486518557584547,0.0223873749885311,0,0.000408964501881237,0.00778790389395195,0.032320980774589,0.000589126409695337,0.0181205972265296,0.715736316246742,0.817855146530384,0.176580172987359,0.801494354195525,0.286560236866323,0.687066098827373,0,0.579153965006055,0.134709397066812,0.475759684527952,0.73217273524022,0.976752905886764,0.0146399916640617,0.034841046661265,0.932381083184544,0.992467593133248,0.912887755721484,0.937910822692066,0.996802881081876,0.988343613933237,0.987802580766695,0.835731638945991,0.983973245309243,0.972197224458864,0.873858104042448,0.939710454722114,0.112080863846716,0.309649964537528,0.974564676616915,0.00614300925546728,0.0149552966675698,0.0860852384984476,0.0116596638655462,0.963689179375454,0.993600682593857,0.890392254220457,0.954854526111291,0.984597797966428,0.761960925080765,0.895064424546844,0.967184986595174,0.89167761717039,0.0111510111510112,0.00165066026410564,0.00270620072949759,0.00318590704647676,0.00354393931003932,0.00509658340149751,0.0155183116076971,0,0.00122080247415968,0.00186894054432893,0.00144585647971996,0.00131766772812123,0.00104944749675906,0.613727394101226,0.0604174295129989,0.0112654751005135,0.734201301952929,0.92036912546599,0.97556142668428,0.988363028953229,0.207865168539326,0.115403774838103,0.846853354863383,0.525527151935298,0.000373535042256152,0.00111922714420358,0.00232524342392094,0.169319752264933,0.00885838748144363,0.496304440779427,0.00431490997528733,0.0021163047478837,0.964801071943929,0.990174924867072,0.974457020495564,0.960453903472459,0.648254734496844,0.00133077823911423,0.0034458454068447,0.00142970611596505,0.0013211876781865,0.976985255594641,0.876844130853111,0.0110350076103501,0.118155475619504,0.0242155732232809,0,0.00200207622719858,0.0186458937598409,0.274094638269661,0.175297810114844,0.687855539898753,0.0061749240194896,0,0.00955566172957477,0,0.91525172936781,0.882248542142055,0.772975044715101,0.163048353817171,0.0300317885226702,0.114901180752465,0.354934006766093,0.997521294335031,0.892428251577448,0.999286131481602,0.474663359319631,0.997618251713187,0.779466590192142,0.862745855713126,0.0797667732923027,0.78584162828703,0.946881302218381,0.605732946298984,0.638455180014695
"2","ASV_10","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Acaricomes","3Species_ASV_15_Acaricomes",0,0,0,0,0,0,0,0,0,0,0,0.00228136882129278,0.000127855438117968,0.00608625554212011,0,0,0,0.00135808057944771,0,0,0,0.098067469062553,0.00794095665171898,0,0,0,0,0,0,0,0,0,0,0,0.000402268796009494,0.000501145475372279,0.0100807544306542,0.00669201520912548,0,0,0,0.0189207650273224,0,0,0,0,0.00128914433045066,0.000150105073551486,0,0,0,0.00551353321789848,0,0,0,0.0006883327597227,0,0,0,0,0,0.00164685296690855,0,0,0,0.00198863636363636,0,0.00271706556918528,0.000801755422398515,0.000334592036709526,0.000343625742477051,0,0,0,0,0,0,0,0,0.000408964501881237,0,0,0,0,0.0354582971329279,0,0,0,0,0,0,0.00722428696705224,0,0,0.00155366106286352,0,0,0,0.000732500114453143,0.00420413406516408,0,0.0014653548252041,0,0.0107492743105951,0.0110671564472073,0.00177536908988974,0,0,0,0,0,0.000250323334306813,0,0,0,0,0,0.00285947712418301,0,0.00093098311817279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115305255492171,0.000549249359209081,0,0.256935403104657,0.0636191407443623,0,0,0,0,0.147792461649598,0,0,0,0.00312454585089377,0,0,0.000366501740883269,0,0,0.0342712842712843,0.00936271865608384,0.0189660446619761,0.0326791019334729,0,0,0,0,0,0.00400419130304618,0.0352790250160359,0.000618340943683409,0,0,0,0,0,0.00646390983674484,0.0068121834652971,0.0152392881373624,0.000675382314631675,0,0,0,0.0201605445196612,0.00858415733999783,0.120134571160889,0,0,0,0,0.0015773581504349,0.00223895786688378,0,0.000310063784549965,0.000334280461307037,0.00975050186406653,0.000270489586150933,0.00894845527796898,0.0064997771504977,0.00486171132238548,0,0
"3","ASV_100","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122080247415968,0,0.00251122441214519,0,0.000370393234150256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6396820597002e-05,0.00162446249402771,0,0,0.000108660219493643,0,0,0,0,0.000190594177347882,0,0,0,0,0,0,0,0,0,0,0,0
"4","ASV_1000","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25112169850594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ASV_1001","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25112169850594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ASV_1002","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120329703387281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ASV_1003","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120329703387281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ASV_1004","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102558843136249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ASV_1005","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales","Bradymonadales","Bradymonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126000126000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ASV_1006","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales","Micrococcales","Micrococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126000126000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
