"","Population","Colony","Temp","nochim","run","comment"
"a0005","Betta","B122","19",16056,51,"ok"
"a0015","Betta","B122","29",29718,51,"ok"
"a0034","Betta","B123a","19",27768,51,"ok"
"a0043","Betta","B123a","29",19870,51,"ok"
"a0050","Betta","B126a","19",26384,51,"loner"
"a0064","Betta","B125","19",24562,51,"ok"
"a0073","Betta","B125","29",26299,51,"ok"
"a0096","Betta","B121b","19",17709,51,"ok"
"a0103","Betta","B121b","29",22825,51,"ok"
"a0110","Betta","B128","19",23019,51,"ok"
"a0118","Betta","B128","29",25650,51,"ok"
"a0125","Otavi","E006","19",21040,51,"ok"
"a0133","Otavi","E006","29",23464,51,"ok"
"a0170","Otavi","E011","19",24810,51,"ok"
"a0178","Otavi","E011","29",25327,51,"ok"
"a0244","Otavi","E008","19",20962,51,"ok"
"a0254","Otavi","E008","29",9180,51,"ok"
"a0259","Otavi","E026","19",24299,51,"ok"
"a0268","Otavi","E026","29",29866,51,"ok"
"a0304","Otavi","T048","19",25254,51,"ok"
"a0313","Otavi","T048","29",25437,51,"ok"
"a0334","Otavi","E001","19",23596,51,"ok"
"a0343","Otavi","E001","29",21408,51,"ok"
"a0364","Otavi","E025","19",24693,51,"ok"
"a0373","Otavi","E025","29",25834,51,"ok"
"a0439","Karasburg","K141","19",19265,51,"ok"
"a0448","Karasburg","K141","29",24333,51,"ok"
"a0454","Karasburg","K163","19",4745,51,"ok"
"a0484","Karasburg","K159","19",9848,51,"ok"
"a0499","Karasburg","Kmix2","19",23337,51,"mix"
"a0508","Karasburg","Kmix2","29",23554,51,"mix"
"a0529","Betta","B121mn","19",23363,51,"ok"
"a0538","Betta","B121mn","29",25595,51,"ok"
"a0553","Karasburg","Kmix1","29",27038,51,"mix"
"a0559","Stampriet","S085","19",24859,51,"ok"
"a0568","Stampriet","S085","29",13968,51,"ok"
"a0604","Otavi","T043","19",18451,51,"ok"
"a0613","Otavi","T043","29",19725,51,"ok"
"a0642","Karasburg","K146","19",7375,51,"loner"
"a0655","Betta","B120","19",17695,51,"ok"
"a0665","Betta","B120","29",8321,51,"ok"
"a0686","Betta","B109","19",14640,51,"ok"
"a0694","Betta","B109","29",12014,51,"ok"
"a0716","Betta","Bmix","19",19618,51,"mix"
"a0726","Betta","Bmix","29",12044,51,"mix"
"a0732","Karasburg","K162","19",7296,51,"ok"
"a0745","Stampriet","S069","19",18617,51,"ok"
"a0754","Stampriet","S069","29",19986,51,"ok"
"a0762","Stampriet","S080","19",19569,51,"loner"
"a0775","Stampriet","S096","19",20949,51,"ok"
"a0784","Stampriet","S096","29",20024,51,"ok"
"a0807","Stampriet","Smix1","19",21955,51,"mix"
"a0814","Stampriet","Smix1","29",21972,51,"mix"
"a0822","Stampriet","Smix2","19",10098,51,"mix"
"a0829","Stampriet","Smix2","29",19242,51,"mix"
"a0835","Stampriet","S071","19",20339,51,"ok"
"a0844","Stampriet","S071","29",22404,51,"ok"
"a0865","Karasburg","Kmix4","19",16926,51,"mix"
"a0874","Karasburg","Kmix4","29",7499,51,"mix"
"a0882","Karasburg","K149","19",12404,51,"ok"
"a0889","Karasburg","K149","29",20172,51,"ok"
"a0910","Otavi","T039","19",19431,51,"ok"
"a0919","Otavi","T039","29",17004,51,"ok"
"a0942","Karasburg","K146b","19",8139,51,"ok"
"a0949","Karasburg","K146b","29",17765,51,"ok"
"a1000","Stampriet","S069b4","19",17600,51,"ok"
