"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"M250T42_pos",-0.037163,-0.018773,-0.027533,0.042747,0.0035737,-0.0045266,-0.0042584,-0.020938,-0.017373,0.046448,-0.0075968,-0.12956,-0.015413,-0.032202,0.017477,-0.043478,-0.071171,-0.019898,0.081719,-0.01588,-0.011607,0.034541,0.063294,-0.034307,0.0045218,-0.056634,0.028611,-0.11251,0.075492,0.076547,-0.0052444,0.09692,-0.0036655,-0.011721,-0.061511,0.026511,-0.009916,-0.11554,0.068721,-0.034005,-0.014508,-0.054931,-0.17553
"M113T44_pos",-0.0577,0.03025,-0.012797,0.053361,0.015625,0.12281,0.062823,0.014433,0.043847,-0.059298,-0.11018,0.018444,0.0008685,0.056958,0.1513,0.057448,0.001833,-0.085903,0.1414,-0.075774,0.031238,-0.05236,-0.015917,-0.0028753,-0.22197,-0.19366,-0.065971,0.19364,-0.14159,0.15533,0.098078,0.20415,0.062342,-0.20456,-0.095671,-0.016828,0.1112,-0.27294,0.043988,-0.075321,-0.057201,-0.091976,0.055943
"M116T39_pos",-0.28051,-0.1858,-0.0033698,0.0092089,-0.052671,-0.052013,0.071154,-0.11111,-0.008217,0.0038466,-0.077545,0.055067,0.067495,-0.040119,-0.11319,0.065298,0.16483,0.10115,-0.29592,-0.022572,0.056925,-0.009252,0.18021,0.097313,-0.089287,-0.22826,-0.16273,0.105,0.035307,0.077266,-0.11558,0.0052687,-0.029236,-0.016203,-0.056083,-0.10375,-0.061178,0.12923,0.060364,0.046656,-0.11644,0.24156,-0.22974
"M110T41_2_pos",-0.035122,-0.010351,-0.044162,0.054761,0.012154,-0.025651,0.0068038,-0.0012076,0.03941,0.001883,-0.025453,0.00049898,0.0009323,0.042916,0.037176,-0.067508,-0.047061,-0.016723,-0.050216,0.063393,-0.073133,-0.020074,0.054847,-0.25791,0.053811,0.0051543,-0.012484,-0.24101,-0.1241,0.082596,0.087127,-0.06116,-0.14777,-0.067095,0.062387,-0.0234,-0.13489,-0.083969,0.0055066,-0.062144,-0.11055,-0.008653,-0.17284
"M314T443_pos",-0.040312,-0.017538,-0.021686,0.047327,-0.05381,-0.010754,-0.08417,0.067881,0.033916,0.020232,0.048912,-0.024631,0.032502,-0.013856,0.0012825,0.017576,-0.0011362,0.024862,-0.10493,-0.10166,0.060575,-0.12679,-0.097283,-0.049682,0.1028,-0.096971,-0.1398,0.15879,-0.0572,0.072766,0.088478,-0.1095,0.023217,0.037902,-0.065335,-0.046449,-0.076106,-0.032881,0.054295,-0.21649,-0.021099,-0.18407,0.43419
"M195T35_pos",-0.019303,-0.001671,-0.031267,0.044643,-0.010352,-0.025164,-0.022082,-0.020675,0.012051,0.043683,0.014834,-0.12283,0.021704,0.0076929,-0.023663,0.028975,-0.038315,0.025119,0.048295,-0.034427,-0.025842,0.0085512,0.086579,-0.092832,0.10008,-0.10343,-0.068744,-0.11063,0.048521,0.081079,-0.0099754,-0.01716,0.050559,-0.052886,-0.093105,-0.030007,0.04617,-0.025356,0.047225,0.070905,-0.0059536,0.046882,0.04679
"M74T44_pos",-0.16288,-0.080005,-0.058499,0.041329,0.077546,0.17347,0.1193,-0.38215,-0.13652,0.26877,-0.18245,-0.090147,-0.053813,-0.013613,0.11873,0.044953,-0.045003,-0.16077,-0.038221,0.18889,-0.0021195,0.036162,-0.19675,-0.052274,0.018826,0.090436,-0.10591,-0.00068235,0.015777,-0.040473,-0.13406,-0.040032,0.02417,0.095175,0.14188,-0.16687,0.20129,0.042904,0.11231,0.10822,0.081966,-0.084899,0.036435
"M130T42_pos",-0.4958,-0.24513,-0.031503,0.098373,-0.025432,0.001767,-0.1773,0.33686,0.088937,-0.24762,0.10992,0.28661,0.077235,0.038958,0.16181,0.096005,-0.077171,-0.11595,0.11098,0.048744,-0.018418,-0.019369,-0.13793,-0.15515,0.091558,0.10726,0.024536,-0.071315,0.081212,-0.058473,-0.067211,0.067044,0.084677,0.0057498,0.069844,0.12629,0.082963,-0.010958,0.030339,0.024227,0.098303,0.017603,-0.18331
"M108T41_pos",-0.14141,-0.11253,-0.083301,0.14066,-0.041351,-0.069403,0.048393,-0.13316,-0.006223,0.086775,-0.0072569,-0.1874,-0.076108,0.00084042,-0.014169,-0.11034,-0.097668,-0.053746,0.076681,-0.011675,-0.043858,0.11347,0.11643,-0.029174,-0.058239,0.00054303,0.20361,-0.10966,0.1394,0.11475,0.066129,0.14713,-0.030355,-0.034199,-0.029037,0.16705,-0.18071,-0.13063,0.0069159,-0.085378,-0.095242,-0.16928,-0.041475
"M135T60_pos",-0.12154,-0.11466,-0.073827,0.11547,-0.016921,-0.08994,0.00558,-0.13962,0.00072464,0.078398,-0.045879,-0.060347,-0.038051,0.00029884,0.033731,0.018907,-0.065835,-0.10178,0.025222,-0.039119,-0.034576,0.069225,0.12034,0.15146,-0.033367,0.040231,0.11884,-0.069003,-0.063524,-0.037786,0.20323,-0.035994,0.11042,-0.21212,-0.01526,0.22202,-0.17879,0.18548,0.12762,-0.087162,0.018908,0.28063,0.19399
