"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M250T42_pos",0.050721,-0.058134,-0.0067793,-0.0038249,-0.026583,-0.0059566,-0.051997,0.052988
"M113T44_pos",0.055994,-0.057489,0.074561,-0.036099,0.040833,-0.046236,-0.058744,0.06382
"M116T39_pos",0.22475,-0.41638,0.22341,0.14809,-0.238,0.10375,-0.0047425,0.0096987
"M110T41_2_pos",0.07056,-0.026958,0.015049,0.026458,0.0027186,0.0065906,-0.08248,0.054159
"M314T443_pos",0.049386,-0.059798,0.0051527,-0.022699,-0.019912,0.09023,-0.13655,0.018309
"M195T35_pos",0.041299,-0.02504,-0.016876,-0.03055,-0.0069331,-0.002637,-0.088597,0.04053
"M74T44_pos",0.16924,-0.25331,0.051148,0.078662,-0.09735,-0.077041,0.12525,0.12865
"M130T42_pos",0.39934,-0.75526,0.34901,0.32906,-0.22101,0.29053,-0.3045,0.030102
"M108T41_pos",0.19323,-0.18258,0.053296,0.043265,-0.14811,0.078273,-0.14972,0.16577
"M135T60_pos",0.16755,-0.16421,0.034444,0.088845,-0.13815,0.067692,-0.16764,0.12112
"M188T297_pos",0.072387,-0.113,-0.032489,0.033558,-0.042336,-0.03588,-0.056203,0.065802
"M88T41_pos",0.10656,-0.21806,0.083478,0.099103,-0.13206,0.041005,-0.01951,0.03698
"M494T646_pos",0.12058,-0.23762,0.10938,0.18864,-0.13485,-0.10275,-0.069995,0.10161
"M116T48_pos",0.027808,-0.47578,0.34018,0.10315,0.12047,-0.29812,0.31407,-0.18834
"M220T38_pos",0.042694,-0.05539,0.014446,-0.0031808,-0.026243,0.039649,-0.049708,0.023623
"M263T291_pos",0.11225,-0.22037,0.057808,-0.0085762,-0.060681,-0.089339,0.25153,0.099675
"M166T45_pos",0.11344,-0.11517,-0.0025676,0.033239,-0.070759,-0.040896,0.0028524,0.1107
"M382T289_2_pos",0.057413,-0.075356,0.016125,-0.00061059,-0.051269,0.039267,-0.074891,0.044581
"M124T33_pos",0.078621,-0.13476,0.020717,0.015567,-0.085461,0.092648,-0.11289,0.048754
"M74T42_pos",0.081533,-0.26846,0.20931,0.063934,-0.06363,0.063614,0.077919,-0.037971
"M180T38_pos",0.040897,-0.064601,0.017541,-0.0081837,-0.028159,0.032092,-0.048612,0.016201
"M245T46_2_neg",-0.028669,0.030528,0.021226,-0.036028,-5.0282e-08,-0.051669,0.13796,-0.041176
"M153T287_neg",-0.15047,-0.14095,0.17103,-0.17531,0.18721,-0.20173,0.29566,-0.22205
"M266T219_neg",0.022395,0.093492,-0.095789,0.064952,-0.04438,0.05235,0.0029086,-0.0038943
"M267T217_neg",-0.11182,-0.12462,0.20523,-1.1882,0.73053,-0.24187,-0.15162,0.068525
"M145T253_neg",0.013616,0.043951,0.0098205,0.014305,0.019235,-0.0017865,-0.065024,0.013176
"M137T293_neg",1.7142e-05,0.0030305,-0.027656,-0.0036284,0.00071684,-0.011279,0.0063083,-0.024489
"M383T176_neg",0.0015001,0.004471,-0.0096707,-0.028257,0.026954,-0.00017831,-0.0061199,0.010183
"M275T47_neg",0.00012207,0.09782,-0.015084,0.088328,-0.038674,0.18513,-0.01119,0.0034421
"M157T43_2_neg",0.031499,0.050633,-0.018708,0.027392,-0.0021414,0.007149,-0.0527,-0.017621
"M279T269_neg",-0.0042822,0.056069,0.002693,0.007223,-0.0043738,-0.064772,0.05034,0.04498
"M191T82_neg",-0.002494,0.060076,-0.32242,0.12613,-0.017005,-0.19269,0.55693,-0.1574
"M242T59_neg",0.027196,0.040055,-0.0080465,-0.040344,-0.016771,0.046942,-0.00041488,0.010504
"M322T53_neg",0.023245,0.068704,-0.017307,-0.027127,-0.029123,-0.013691,0.030866,0.013641
"M199T46_neg",0.0070923,0.040839,-0.017242,-0.040918,0.0033149,0.0017171,0.017476,0.031992
"M258T41_neg",0.01669,0.056728,-0.013257,-0.023507,0.032737,-0.015442,0.026668,0.034851
"M105T47_neg",-0.0023532,-0.0012985,0.010726,-0.012444,0.027394,-0.018409,0.048336,-0.039512
"M89T71_neg",-0.12238,0.055309,0.086937,-0.041587,-0.065571,0.070543,0.20136,-0.33849
"M229T45_neg",-0.023921,-0.023493,-0.038125,-0.048308,0.11617,0.1074,-0.057495,0.024719
"M455T327_neg",-0.011725,0.0059843,-0.0098766,0.010338,0.00027977,-0.025922,0.05775,-0.018734
"M339T37_neg",0.013421,0.03296,-0.0052591,-0.013134,0.0024664,0.014263,-0.034146,0.0095495
"M259T42_neg",0.13597,0.26445,-0.086953,-0.2,-0.097188,0.046502,0.051892,0.10273
"M115T128_neg",-0.018371,0.010791,0.0097369,0.00015043,-0.0036139,-0.051383,0.099667,-0.016079
