"rownames.Pca_dat_pop_features.","factor_is","mSet.dataSet.facB","tempcols.as.character.mSet.dataSet.facB..","col_vector1"
"4","B","19","#0D0887FF","#B0E2FFCC"
"10","B","29","#F0F921FF","#B0E2FFCC"
"14","B","19","#0D0887FF","#B0E2FFCC"
"23","B","19","#0D0887FF","#B0E2FFCC"
"29","B","29","#F0F921FF","#B0E2FFCC"
"33","B","19","#0D0887FF","#B0E2FFCC"
"39","B","29","#F0F921FF","#B0E2FFCC"
"43","B","19","#0D0887FF","#B0E2FFCC"
"49","B","29","#F0F921FF","#B0E2FFCC"
"53","B","19","#0D0887FF","#B0E2FFCC"
"59","B","29","#F0F921FF","#B0E2FFCC"
"63","B","19","#0D0887FF","#B0E2FFCC"
"69","B","29","#F0F921FF","#B0E2FFCC"
"123","K","19","#0D0887FF","blue3"
"129","K","29","#F0F921FF","blue3"
"133","K","19","#0D0887FF","blue3"
"139","K","29","#F0F921FF","blue3"
"143","K","19","#0D0887FF","blue3"
"149","K","29","#F0F921FF","blue3"
"151","K","19","#0D0887FF","blue3"
"78","O","19","#0D0887FF","red2"
"84","O","29","#F0F921FF","red2"
"88","O","19","#0D0887FF","red2"
"94","O","29","#F0F921FF","red2"
"98","O","19","#0D0887FF","red2"
"104","O","29","#F0F921FF","red2"
"113","O","19","#0D0887FF","red2"
"119","O","29","#F0F921FF","red2"
"156","S","19","#0D0887FF","green3"
"162","S","29","#F0F921FF","green3"
"170","S","19","#0D0887FF","green3"
"176","S","29","#F0F921FF","green3"
"180","S","19","#0D0887FF","green3"
"186","S","29","#F0F921FF","green3"
"190","S","19","#0D0887FF","green3"
"196","S","29","#F0F921FF","green3"
"199","S","19","#0D0887FF","green3"
"203","S","29","#F0F921FF","green3"
"207","S","19","#0D0887FF","green3"
"212","S","29","#F0F921FF","green3"
