"","M250T42_pos","M74T44_pos","M108T41_pos","M188T297_pos","M166T45_pos","M74T42_pos","M245T46_2_neg","M267T217_neg","M145T253_neg","M137T293_neg","M157T43_2_neg","M199T46_neg","M258T41_neg","M105T47_neg","M115T128_neg","M131T216_neg","M171T43_2_neg","M282T218_neg","M135T43_2_neg","M347T101_neg","M173T36_neg","M131T38_neg","M132T39_neg","M130T119_neg","M147T79_neg","M664T67_neg","M122T103_neg","M164T229_neg","M263T286_neg","M124T38_1_neg","M136T105_neg","M151T114_neg"
"4",0.0759670029942983,0.00474808965166706,-0.425682091940857,0.148164418890821,0.0941948636376706,1.48369013211163,-1.06691588539102,-1.34229611353441,-0.276286056720893,-0.0866905114490351,-0.192488238706638,0.121256491570093,-0.399991031127912,-0.234128401251554,-0.283689311156166,0.0727494017872274,-0.148082738149588,1.88082361669398,-0.0806793462729849,3.77852331678341,-0.720590256002446,0.486129019415181,-0.0672799109855947,-0.427803399997421,-0.289039788228159,-0.44050403673356,-0.73576212260408,0.765326976622027,-0.314378670775699,-2.77202625669027,-0.212032366781215,3.43529449858493
"10",-0.173685734809096,-0.19825450766995,-0.60264711455114,-1.15105248882104,-0.959985429508932,-1.0155815751607,0.61080813180047,-1.44721739983102,-0.248286872842061,-0.0427336917555007,-0.0957081432305738,0.35126124304281,0.662308768399442,0.0677038113781785,-0.117989741084603,-0.328941676984928,0.841566842974923,-0.959361594779208,0.24667532222268,15.2445548217461,0.235986149033608,-0.25144544241735,0.308101746628859,-0.348882799892141,-0.391667732579819,0.32705591627004,-0.142270307241953,-0.427415346277339,0.149101836316467,-0.64051467053019,-0.158237189460656,-0.781799911563008
"14",0.0975821616399196,2.00367709806089,1.11737823496675,0.491237247312118,-0.211413163815857,0.0854736093543376,0.8999552630831,15.7421269665676,-0.276152077261448,-0.0925302401593893,-0.515062164849106,-0.298486642042824,1.49355347257761,0.182835764466293,-0.253929517832222,-0.285311813110854,-0.545772765336088,0.767535507455535,-0.436813367290565,-6.89123188355416,1.35249291270907,0.409837220488295,-0.574053832426341,-0.700297145838391,-0.0173993383663803,-0.541626735166725,-0.580502689230469,-1.21064300489361,-0.240695453666618,2.24658781380457,-0.0180837307709958,2.62348813640508
"23",-0.25821772462816,-1.54951812636784,-1.04859485872824,0.339227698277353,-1.05864440266357,-1.86075072530062,-0.461507214298653,5.73034449044767,-0.385340639255739,-0.224144846545911,-0.439574282608125,-0.189469182669366,-0.0400105583414077,0.199991115586875,-0.117672949625035,-0.482604605742915,-1.76041275562367,-2.12588686274239,-0.643193529335102,2.54273334790857,-0.565945711713884,-0.397532765099389,-0.792352371845421,-0.502076115293211,-0.0942025351538275,-0.343176142497637,-0.511257697942522,-0.525474474124895,0.408511888251504,-3.36216135885285,-0.0869877598519916,3.20269643189761
"29",-0.511590593021534,-3.51444809092164,-0.914864713653237,-0.618697857029723,-1.4933571448014,-1.23058151204735,1.73992174915429,5.71653911437353,-0.394695328941051,-0.187040293565325,-0.580096335872678,0.360479717702797,0.13288123280255,-0.196226280583239,-0.129819337170069,-0.321188889859499,-3.16099827709176,-2.86684321743099,-0.446001813525979,8.60879367717999,-0.387773534361029,-0.43943408485669,-0.998830558442048,-0.402848663363839,-0.290584029519233,-0.433080571402452,0.100658744782802,0.103424638989814,-0.230698386414746,-2.31981281147583,-0.112311613380184,1.50963134329785
"33",-0.202984831822495,-2.39307175884314,-1.07705843719281,-0.637375810807445,-0.886455105965693,-1.65802022188887,-0.873802835309633,3.85970335574909,0.170710495199727,-0.189106797641795,-0.479080580285463,-0.295430345645817,-0.714996236487751,0.181331758759449,-0.222161807188743,-0.353465249894761,-1.49312599553427,-1.2242548594611,-0.517764999149863,0.880913853427533,-1.294234169471,-0.156757658947835,-0.838753878315194,-0.0393968871992128,-0.341491063596407,-0.464552894314006,-0.67088278726771,0.0369197018727363,-0.381110346770953,-4.27368422824782,-0.1483356637477,2.66863331773704
"39",-0.333775647910779,-0.23094278548187,-0.85738617142934,-0.541924377628339,0.568174695262389,-1.35452173947106,0.88254840758413,7.62934281157889,-0.275461818277789,-0.178575050491378,-0.453457856185413,-0.0956563426153692,-0.769275091016004,0.411314778215727,-0.274666203236985,-0.326143194744423,-2.4683642928976,-3.16985102446704,-0.395579964231851,6.09069719881332,-0.689825687868182,-0.478905704400757,-1.18522193379638,-1.04620977376444,-0.211501442162167,-0.288996505378911,-0.184442966265254,-0.777866610610026,-0.421604476888485,-3.51155817133664,-0.0119938754779044,0.76219868047104
"43",-0.292288893639705,0.279501555374304,-0.7148155385227,0.488480459479503,-0.721437957474649,-1.27054958693242,-0.623721952419185,7.93357282465959,-0.381205142456126,-0.0947494172906656,-0.307252373445067,-0.38854943037495,-1.10110005478426,-0.0209842099887124,-0.290727774055392,-0.0829900094763791,-3.11462665266913,-1.44967753583115,-0.264388462158484,1.80203347848352,-0.990051151076098,-0.28980700498807,-1.0382537592026,-0.186693862974081,-0.348624150739292,-0.411696760079774,-0.557310568674653,0.881531497273103,-0.490010153952453,-3.72006718742798,-0.128322630590853,2.32580511940115
"49",-0.326059389964491,-3.21625725887381,-1.1098053219833,-0.910318050021757,-1.14153338592011,-1.3609900191087,1.03839150321304,4.36216653307615,-0.423209781691233,-0.279205745760524,-0.581553390043008,0.0746985028280747,0.00730077428615942,0.129887081228137,-0.174616098729457,-0.460133770591924,-1.70041223951827,-2.65729645242452,-0.478418808570855,14.4504074855171,-0.71153801108909,-0.399534491165423,-1.00623510058985,-0.567374166889798,-0.118354821995716,-0.462986576443824,0.0209153637442364,0.0266820006453531,0.00426768709261894,-2.53171509650605,-0.10421430890411,1.35569048194913
"53",0.730367606439569,3.50614773902086,0.522459581145398,2.91960751028236,0.820338563537215,-0.194503787052472,-1.04908242983924,-3.11840444221587,-0.258536069313532,-0.124518459818546,0.148565413079435,-0.586620677717373,-0.575792545470113,-0.170836707894254,-0.277299865393299,-0.0795926554464664,-0.626109205391575,2.66024895799938,0.109908565864413,-2.09288960881669,-0.430554119902212,0.0175462353265771,0.579669505814453,-0.230875864528833,-0.392321487328649,-0.289341052707705,-0.441825776168848,0.215655468913284,-0.398869144658588,0.0841979666038972,-0.0568401452847235,0.800678115459806
