"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"4",-1.0647,-4.6892,0.77914,9.6196,-3.2166,0.081223,-5.4592,0.52579,-1.5854,2.1259,-2.9839,0.058791,-2.1249,1.2591,1.18,-0.96336,-0.98748,0.62636,-0.32809,-0.13676,-0.71048,-1.9748,0.18087,1.1152,-0.75099,-0.28744,-1.0037,1.9437,0.72424,0.40374,0.17649,0.29984,0.27643,-0.32082,-0.51251,-0.0041174,-0.037996,-0.042067,-0.0053724,-2.9951e-15
"10",-2.6958,15.848,-7.8555,3.4592,-0.93087,1.2189,-4.9809,1.3464,0.040777,3.605,-2.6714,1.2283,-1.303,1.1957,-0.13307,-0.12264,-0.645,-0.85841,1.1697,2.2443,0.45172,0.97679,1.1991,-1.6693,0.74622,-0.59528,0.139,-0.90862,0.8104,-0.25189,0.29116,-0.029756,0.023452,-0.1648,0.11642,0.93522,-0.20815,-0.074608,-0.16421,-1.1851e-15
"14",6.5584,1.6672,19.183,4.3358,1.5136,0.47317,1.9586,-4.2827,2.2027,-1.187,-1.4316,-1.148,-1.5303,-1.1144,0.13417,4.7316,-1.0185,2.0811,-0.85474,-0.22543,-0.16496,-0.9869,0.22905,-0.91033,0.82764,-0.20369,-0.32536,-0.62872,-0.38324,-0.12743,0.67223,0.19932,-0.097739,-0.47123,0.054766,-0.10243,-0.31001,0.15721,-0.36453,3.3664e-15
"23",-8.1158,3.6781,10.146,2.5692,-7.106,-3.5634,1.402,2.7307,-3.2442,1.5062,6.0862,-4.9491,-1.342,-1.0549,1.7203,-0.79383,-1.305,-0.46052,-0.12758,0.27831,0.43943,0.28078,0.5467,0.67199,0.67334,1.2024,0.67096,-0.010668,0.51105,-0.17,-0.1417,-0.24989,-0.34022,-0.58771,0.25295,0.2745,0.18312,0.083397,0.26702,9.1283e-17
"29",-8.5026,16.373,1.8663,-5.9048,3.547,-3.957,-2.3459,0.53195,-0.13153,0.48862,-1.0305,0.34879,-0.39584,-0.53917,1.8129,-1.1318,0.60362,3.3902,-0.55043,-1.3858,-0.32659,0.0062036,1.4462,-1.4847,-0.62062,-0.64482,-0.070412,0.43748,-0.61717,-1.1277,-0.2234,-0.27321,0.32821,-0.16848,-0.12286,-0.1664,0.10943,0.16921,0.65053,6.7146e-16
"33",-5.8987,-0.61661,6.414,-0.99973,-10.306,2.6056,-4.4094,2.9837,3.1151,-1.4572,-0.020885,-4.8424,-1.0827,-0.29944,0.32558,-2.0329,1.8952,-0.4449,-0.7989,-0.45703,-0.73709,-0.017612,-0.82023,-0.37607,-0.90787,-1.414,-0.45472,-1.0847,-0.26342,-0.21277,-0.18368,0.13924,-0.020783,0.79364,-0.21505,-0.063934,-0.22635,-0.13458,-0.2163,-1.6913e-15
"39",-5.8549,11.461,5.1285,-3.368,0.4384,0.74844,-4.2706,-2.9136,-0.46386,-2.732,3.2048,2.7778,0.61093,-1.9662,-1.0936,-1.8286,-1.1904,-0.32367,0.98049,0.27651,-0.57187,0.7016,0.10846,-0.50818,-0.76235,0.36946,-0.5383,0.18401,0.66886,0.63998,1.1557,1.2828,-0.66796,0.29447,0.2101,-0.29798,0.12481,0.09714,0.12637,1.4107e-15
"43",-7.7935,1.6564,8.5083,-1.9626,-1.8286,-2.6189,-4.1552,-0.73923,1.5857,-1.305,0.66165,4.1137,2.6199,-1.0949,0.8355,2.5617,1.0166,-1.695,0.58833,-0.79613,-0.38722,1.7532,-0.85405,1.5994,-1.2567,0.13861,-0.74456,-0.20497,0.087196,-0.40569,-0.38784,-0.34453,0.48121,-0.74626,-0.065433,0.49784,-0.11016,-0.46831,-0.028959,6.1445e-16
"49",-8.8148,16.547,-0.25054,-0.29742,0.251,-1.2718,-4.2308,3.4173,-4.4012,0.98968,1.7616,3.1442,1.3745,0.66848,0.42652,-1.1066,-0.132,0.71245,-1.124,-0.19929,0.46054,-1.4723,0.039297,0.39924,0.49209,0.86703,-0.33903,-0.50143,-0.67354,0.46231,0.0099079,-0.88607,0.31709,0.29813,0.33045,-0.60446,-0.059338,-0.040321,-0.72336,-1.8982e-15
"53",-0.7851,-8.0679,-0.51027,5.2583,-0.11914,-7.0124,-0.33264,-2.9531,0.68808,0.65262,-1.8585,0.79924,0.58265,0.048809,-2.4181,-0.3003,-3.5072,0.68693,-0.075156,-0.72346,-1.3995,0.52685,0.5914,0.79536,-1.5153,-0.52879,1.0854,-1.1486,0.57718,0.45356,-0.1583,-0.912,-0.24241,0.36236,0.13725,-0.14276,0.057063,0.46606,0.12307,-8.8638e-16
