"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M250T42_pos",-0.00074961,0.027289,-0.05123,0.013898,0.038011,-0.0021508,-0.021308,-0.048078
"M113T44_pos",0.14273,-0.095786,-0.029408,0.016604,0.028672,-0.014681,0.079992,0.015907
"M116T39_pos",-0.059257,0.25522,-0.040493,-0.028166,-0.20854,0.23834,-0.041113,-0.22076
"M110T41_2_pos",0.023796,0.0048967,-0.048952,0.040054,0.051452,0.00068247,0.010299,-0.037583
"M314T443_pos",0.013272,0.052468,-0.046765,0.019763,0.044347,0.00083007,-0.047652,-0.099001
"M195T35_pos",0.00034382,0.0038404,-0.014678,0.024111,0.039187,-0.019271,-0.023982,-0.060426
"M74T44_pos",0.070205,-0.042574,-0.10513,-0.082186,0.062406,-0.065977,0.29625,-0.26019
"M130T42_pos",0.22576,0.38879,-0.29443,0.18846,-0.19034,0.11666,0.084129,-0.1109
"M108T41_pos",-0.062144,0.17181,-0.17705,0.07515,0.073804,0.056396,-0.035361,-0.087312
"M135T60_pos",-0.0057969,0.055148,-0.093051,0.042983,0.071207,0.14706,-0.027495,-0.17382
"M188T297_pos",0.025929,-0.079098,-0.046452,-0.015434,0.028774,0.06881,-0.081406,-0.065907
"M88T41_pos",-0.014113,0.0062878,-0.0099234,-0.049582,-0.14127,-0.16601,0.22866,-0.047845
"M494T646_pos",-0.037772,0.098263,-0.0029039,0.0786,0.18521,-0.23173,-0.21847,0.038303
"M116T48_pos",0.098203,-0.35872,-0.038138,-0.025527,-0.22728,0.30395,-0.086307,0.45248
"M220T38_pos",-0.0086052,0.052122,-0.026208,0.010932,0.0021608,0.0035302,-0.01676,-0.078351
"M263T291_pos",0.029836,-0.025311,0.0080888,-0.012201,-0.043706,0.025745,-0.029806,0.46064
"M166T45_pos",0.032448,0.062149,-0.10374,-0.0056328,0.12435,0.010185,-0.054364,-0.20707
"M382T289_2_pos",-0.0089081,0.036479,-0.04278,0.010121,0.017943,0.019389,-0.020498,-0.079187
"M124T33_pos",-0.014386,0.10087,-0.05412,0.025095,0.014814,0.028588,-0.044645,-0.14662
"M74T42_pos",0.07138,0.097203,-0.084832,-0.004722,-0.044851,-0.0053423,0.32379,-0.18132
"M180T38_pos",-0.010445,0.053536,-0.020056,0.0064865,0.0019787,0.0085045,-0.014937,-0.076959
"M245T46_2_neg",-0.083876,0.082512,0.0022747,0.018127,-0.085136,-0.056776,0.032636,0.00022513
"M153T287_neg",0.029858,0.00019181,0.010213,0.00034205,-0.06706,0.050935,0.00091201,-0.022596
"M266T219_neg",0.041338,-0.0047367,-0.013695,-0.024944,0.083325,-0.048593,0.029403,-0.092542
"M267T217_neg",-0.51588,-0.27489,0.24614,0.53954,-0.30849,0.016872,0.32768,-0.18883
"M145T253_neg",0.034767,0.040845,-0.047009,0.023056,-0.0024451,0.0011674,-0.031882,-0.034551
"M137T293_neg",-0.0091929,0.039888,-0.050867,0.01592,-0.017597,0.024221,-0.0465,0.015644
"M383T176_neg",-0.012014,-0.00068039,-0.014682,0.0053842,0.025646,0.012482,-0.00085051,-0.0051489
"M275T47_neg",-0.027381,0.060643,-0.051992,0.010479,0.0023955,0.0071846,-0.013895,0.032406
"M157T43_2_neg",0.016102,0.0291,-0.058316,-0.0041592,0.035203,0.0027447,-0.054828,-0.015768
"M279T269_neg",0.019841,0.034441,0.0027512,0.0091929,0.089413,-0.031196,-0.014091,0.042397
"M191T82_neg",0.20674,-0.20228,0.13758,0.067846,0.033262,0.047505,-0.19997,0.4288
"M242T59_neg",-0.039105,0.060651,-0.040965,0.015498,-0.0029468,-0.030884,0.028854,-0.00090934
"M322T53_neg",-0.027673,0.074433,0.067606,-0.041491,-0.0095695,0.013959,-0.0025491,-0.0018523
"M199T46_neg",-0.034327,0.06637,-0.061522,0.0097705,0.0081927,0.026981,-0.043654,0.032534
"M258T41_neg",-0.06794,0.083288,-0.049987,0.016672,0.0036424,-0.08826,0.059184,0.035212
"M105T47_neg",-0.021122,0.012884,-0.017519,0.038248,-0.041324,0.036571,-0.050921,0.11767
"M89T71_neg",-0.066995,-0.013074,0.24797,-0.088578,-0.5431,0.4311,-0.25559,0.17654
"M229T45_neg",-0.12102,-0.036,0.0044613,0.097388,-0.0023748,0.088771,-0.11972,0.028408
"M455T327_neg",0.0094534,0.0090459,-0.024871,0.010862,0.0010797,0.026138,-0.02762,0.039266
"M339T37_neg",-0.01218,0.035725,-0.037723,0.012678,-0.026492,-0.017651,0.022917,-0.00053068
"M259T42_neg",-0.03246,0.14562,-0.051,-0.090763,0.22738,-0.25411,0.40393,0.10162
"M115T128_neg",-0.0054412,0.046214,-0.050461,0.010535,-0.0075454,0.020417,-0.082126,0.076888
"M195T42_2_neg",-0.099582,-0.27633,-0.02417,0.13784,0.31288,-0.092096,-0.27456,0.09176
"M131T216_neg",-0.006136,0.076221,-0.098405,0.021617,-0.025494,0.048175,-0.099241,0.014595
"M611T238_neg",0.010629,0.02505,-0.016676,0.011738,0.041102,0.016122,-0.029636,0.060049
"M306T80_neg",-0.039821,0.074441,-0.022729,-0.01394,-0.015589,0.020295,-0.06476,0.020247
"M171T43_2_neg",0.045527,0.12544,-0.019703,-0.12095,0.37721,-0.1693,0.39426,-0.028073
"M74T38_neg",0.032669,-0.0039689,-0.028924,0.0119,-0.012787,-0.04362,0.10875,-0.088094
"M150T63_neg",-0.032554,0.26909,-0.28044,0.17987,-0.062609,-0.21393,0.1634,0.025653
"M282T218_neg",0.19397,-0.10575,0.019372,-0.0033864,0.20636,-0.018252,0.17317,-0.16871
