"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"4",-1.0686,-8.6994,-9.7021,-3.6166,1.131,-3.7868,2.0126,-1.259
"10",-8.2907,3.2318,3.6177,-11.236,-0.56666,-1.4057,2.0208,-0.45102
"14",-11.15,-5.6551,-4.1188,13.981,0.9654,0.27249,3.0074,-1.7506
"23",-9.8374,-10.685,-0.85965,2.2254,1.8724,-2.3093,-3.4416,1.7958
"29",-10.937,1.2061,10.432,-4.1697,-3.8572,2.4408,-3.04,-1.6026
"33",-3.9955,-7.3439,-0.68465,2.2534,1.6629,0.46152,-2.136,-0.26954
"39",-9.7309,-1.1115,6.3124,-1.233,-4.2133,0.66514,-1.3627,-2.0517
"43",-6.2571,-8.1328,0.6878,1.7229,-1.1193,3.6542,0.52115,-0.29318
"49",-11.023,0.44442,9.3058,-5.3528,-0.58244,-0.14107,-1.3514,0.66912
"53",1.4405,-9.8096,-12.49,-5.6348,-0.85548,-1.1558,-0.03777,-1.5179
"59",-7.0189,1.7091,-6.0293,-3.6471,-2.2274,-7.3891,5.0808,-0.090948
"63",-1.5494,-8.8055,-5.8328,-6.6873,1.5725,0.041246,0.59112,0.33896
"69",2.1626,2.5981,-0.46994,-1.6086,-5.5225,-0.87907,0.081355,-4.4158
"123",0.77022,-5.7495,-2.4005,-6.984,-1.5794,8.5567,0.12438,-0.29926
"129",-6.7908,11.442,-32.907,3.962,-0.15744,3.9372,-2.311,1.3559
"133",0.80843,-5.0732,-2.3533,-6.1153,2.6376,0.74995,1.9712,0.4047
"139",1.7197,2.3795,2.3629,-3.1777,1.4151,-6.8943,-3.4668,0.19755
"143",4.9816,-7.3987,-5.8684,-3.2047,3.2144,1.6846,-1.5145,-1.6811
"149",-0.50826,11.513,-32.686,1.4008,-0.39302,-0.70882,-2.0854,0.51013
"151",3.0731,-3.1058,0.39637,-0.58644,-0.29527,-0.99909,0.32861,2.6262
"78",-4.0054,-7.4321,1.913,10.644,0.3389,-0.32068,-0.051939,0.57726
"84",-5.7054,7.0507,15.841,7.9822,-0.20909,2.3562,-1.4062,0.45508
"88",1.1066,-2.9357,7.0361,15.008,1.129,-0.99704,-2.1569,3.0608
"94",-4.3816,3.2151,1.4945,11.899,-3.7557,-1.1975,4.2431,0.56251
"98",5.541,-0.5741,0.9972,-3.5765,-3.0918,-0.63876,-0.50725,4.5683
"104",-4.1813,9.1287,7.5827,-5.1809,-0.14274,1.8281,0.14296,-0.31722
"113",5.911,0.3573,4.246,-2.2472,-1.9142,-0.32257,0.14196,7.0557
"119",0.79466,6.8996,8.5934,-3.6746,1.0999,-6.628,-5.3777,-0.89815
"156",7.086,1.4645,2.105,5.9315,1.8462,-2.0164,-0.84234,-3.1617
"162",3.321,6.3821,5.9397,0.61922,0.62946,1.1867,2.3562,1.0757
"170",11.474,-0.042309,4.9321,0.85288,-1.1186,0.49707,-1.3837,-2.912
"176",-3.5536,7.0236,7.7365,-3.1992,3.5469,1.1045,2.5294,1.8683
"180",9.7863,-1.0806,1.6704,-1.7432,-0.54802,5.0212,-1.8014,1.2827
"186",-3.4438,7.6484,5.2303,-2.6472,4.5452,4.1913,2.5017,-0.5537
"190",14.626,1.3271,2.462,3.907,-2.6754,0.31371,1.7305,-2.3837
"196",2.3044,1.9486,2.4588,-3.7057,2.6903,-1.3839,3.4501,1.4967
"199",10.848,0.93138,1.0743,0.80927,-0.40538,0.12902,-0.45741,0.98204
"203",-0.01998,7.6666,3.6681,2.6873,5.2617,0.26397,0.18439,-3.544
"207",12.315,-1.8677,1.3645,0.50258,1.3861,1.606,-0.052753,-1.5007
"212",13.378,-0.065565,-3.0571,2.8399,-1.7146,-1.7876,1.7649,0.070252
