sample ID_ionization,population,M250T42_pos,M113T44_pos,M116T39_pos,M110T41_2_pos,M314T443_pos,M195T35_pos,M74T44_pos,M130T42_pos,M108T41_pos,M135T60_pos,M188T297_pos,M88T41_pos,M494T646_pos,M116T48_pos,M220T38_pos,M263T291_pos,M166T45_pos,M382T289_2_pos,M124T33_pos,M74T42_pos,M180T38_pos,M245T46_2_neg,M153T287_neg,M266T219_neg,M267T217_neg,M145T253_neg,M137T293_neg,M383T176_neg,M275T47_neg,M157T43_2_neg,M279T269_neg,M191T82_neg,M242T59_neg,M322T53_neg,M199T46_neg,M258T41_neg,M105T47_neg,M89T71_neg,M229T45_neg,M455T327_neg,M339T37_neg,M259T42_neg,M115T128_neg,M195T42_2_neg,M131T216_neg,M611T238_neg,M306T80_neg,M171T43_2_neg,M74T38_neg,M150T63_neg,M282T218_neg,M362T93_neg,M135T43_2_neg,M160T262_neg,M347T101_neg,M160T45_neg,M88T39_neg,M173T36_neg,M131T38_neg,M132T39_neg,M174T41_neg,M145T39_neg,M154T36_neg,M130T119_neg,M131T36_neg,M118T39_neg,M203T264_neg,M147T79_neg,M133T56_neg,M173T51_neg,M300T47_neg,M190T290_neg,M188T114_neg,M662T146_neg,M664T67_neg,M122T103_neg,M288T106_neg,M218T258_neg,M164T229_neg,M206T373_neg,M263T286_neg,M87T82_neg,M375T333_neg,M117T111_neg,M382T259_neg,M124T38_1_neg,M136T105_neg,M180T105_neg,M167T87_neg,M243T133_neg,M323T72_neg,M151T114_neg,M283T230_neg,M363T118_neg,M204T285_neg
3,Betta,8710.56,69897.53,420681.11,28365.49,8741.73,5366.38,352735.08,2001951.66,118619.59,133064.53,25122.72,213939.12,46776.59,1032187.37,10869.09,122867.5,82361.1,12728.22,46081.18,289956.88,10747.55,33420.54,465120.93,22037.81,4427592.99,4493.79,10740.33,10666.8,49194.16,6115.64,26089.59,515496.85,18283.63,7613.35,31289.07,54107.59,8630.01,314761.48,140672.81,13209.33,3459.18,346646.37,7091.57,1524367.48,13602.25,3953.96,9137.61,159881.74,68096.38,1142594.66,250239.41,861481.26,10556.01,65845.56,3660649.66,3215.42,41857.45,87349.83,25562.68,32277.51,14042.62,138895.61,150443.41,45908.36,44263.27,39517.84,1971977.27,7455.45,426916.22,36650.11,172838.7,28996.9,17460.08,7712.15,65618.1,3535.23,1554.87,466588.71,111964.06,4146.87,6641.31,63411.56,33749.61,123946.27,45396.25,1627856.97,5363.7,969447.32,120923.1,881092.08,57715.99,342745.35,47903.56,141237.64,397486.55
9,Betta,5629.49,48603.73,576038.12,10427.91,6474.17,1579.25,237633,1642804.45,87690.03,90396.18,24569.87,140702.55,166541.46,1581244.61,6275.51,140229.69,34277.39,10979.18,44090.78,264229.07,9192.21,48149.79,849044.57,6537.52,3034352.99,1914.3,7274.64,4555.63,23166.29,5954.9,17227.14,494897.82,7688.29,4372.26,17378.13,22880.8,12624.89,586403.59,66667.44,16305.43,1257.37,231456.06,16276.8,26625.7,10328.25,4022,47863.39,70238.63,39626.65,1048803.91,155867.05,1244818.34,11999.83,41193.09,4448840.86,3416.18,40187.74,49691.2,15583.84,29338.15,7148.77,34316.57,140961.72,75490.77,34068.57,10492.7,1446998.68,9614.89,437012.46,33649.87,85593.75,27351.45,7490.69,15100.11,160638.12,11814.48,17995.58,943159.81,102804.5,2363.84,7060.31,124149.17,36028.02,116262.48,86018.45,1665269.76,3379.4,802655.82,76635.25,965420.53,25737.29,100280.41,22102.99,159157.82,327237.54
13,Betta,6581.41,41375.05,299644.22,21328,7775.61,9503.93,73044.28,1939045.51,115953.59,146682.31,21321.66,152819.07,46218.14,657866.7,5895.63,65444.06,21651.19,17850.71,54726.22,111440.32,7743.39,22720.63,237665.89,40476.07,1992733.99,10406.17,10494.35,5715.86,76711.97,3454.42,40615.02,414037.93,7676.98,8037.22,20962.93,24665.46,4203.53,244462.41,82367.76,13973.63,2214.09,303333.62,6517.97,49633.33,13252.15,2624.15,13027.49,208791.51,22850.67,1169958.07,281546.79,1120749.05,19321.88,54467.46,7025029.06,3877.85,25799.27,57443.15,9106.73,21256.55,7676.13,77072.21,58270.26,21761.79,31237.84,5669.29,1725231.17,6489.18,338360.71,26688.02,51768.79,16786.04,15908.38,134436.02,72181.88,3726.07,9676.76,574011.43,58215.69,836.23,8195.08,135025.13,30120.51,120276.37,32051.09,1826441.65,2118.54,329905.98,51243.44,628421.22,34859.23,86653.53,21092.44,252545.56,375355.73
19,Betta,6292.56,43413.27,590606.2,15172.15,6752.71,3051.56,349875.21,1948792.29,144866.88,119025.07,32789.44,160361.41,228530.17,570827.7,8604.7,89975.57,140470.65,14738.16,56969.04,207572.02,10990.26,55664.25,136667.37,30197.29,1168684.25,3342.44,7392.02,4141.74,109583.34,6680.27,26742.91,276543.35,8939.66,12659.8,22277.19,18801.35,7414.57,621720.89,51698.24,11595.49,1252.57,292224.79,9816.72,24191.32,10351.68,2510.64,17200.66,241861.17,20639.84,1137112.09,392640.15,1380680.03,24900.09,65440.44,4572869.83,5042.35,22482.15,65222.81,8936.2,17585.79,7494.03,43490.35,111274.74,26180.62,40344.27,4692.57,912555.29,10093.15,408893.41,23371.22,61658.09,18129.28,27584.52,294222.17,155580.93,9749.09,34747.79,1028311.48,76966.25,1979.12,9544.97,95284.04,30325.1,163479.49,120766.34,1912093.73,3095.59,671974.57,353669.42,1289140.89,38424.9,132143.15,30071.35,293877.74,414757.58
22,Betta,12403.42,5683.1,431383.29,14999.73,10103.58,5381.08,312279.34,1947040.24,136859.54,146531.44,44273.56,170079.31,77661.64,1044658.23,6561.83,133014.61,127634.03,12673.03,52494.82,112466.02,9651.11,35606.95,119763.76,78124.07,887946.18,2275.51,8789.1,6232.01,66898.67,12715.91,4882.5,1142519.53,8107.67,8563.64,13457.81,20533.78,7547.68,284869.92,56348.64,12765.96,1779.57,493546.12,7111.28,142825.18,15811.21,1916.8,11888.75,128938.97,18619.27,828569.24,341992.17,1261102.61,17509.81,76932.06,1865081.41,3417.04,42927.88,85851.05,9858.88,33483.81,1581.13,72577.44,134489.21,25719.3,49277.73,4581.41,2198208.3,9652.86,365012.02,1310.97,48509.08,12910.85,27745.5,367548.82,129970.97,10409.73,25676.31,965730.1,74569.1,1158.28,8177.03,423338.2,43526.31,143014.47,99659.06,2051484.26,1934.9,553741.12,72135.53,1111755.03,37089.06,426819.26,38539.86,66497.43,565883.4
28,Betta,7746.08,5944.06,481344.41,17941.05,11768.01,3999.24,173114.17,1306860.01,139418.62,144715.62,21682.98,202211.24,99817.69,291447.35,10364.41,78160.16,26441.88,13907.37,64764.87,143145.32,11469.59,34459.5,120921.28,69255.12,1119508.89,2138.08,6496.51,3446.58,75013.69,6122.48,7148.21,585495.66,10405.25,17625.26,18682.15,14076.78,5487.22,638487.6,50229.49,11152.44,2233.81,220432.78,8320.09,16624.76,13538.03,2951.48,64285.3,126007.54,16935.66,1208206.91,187187.06,1186144.72,16122.8,61184.71,5874769.51,3013.6,37673.82,54943.39,5674.25,23748.88,1606.96,22268.77,106943.39,25807.46,33244.13,5370.75,1130849.83,9618.99,391896.26,6857.04,68682.53,19348.08,17633.14,269929.27,225448.7,14163.56,36310.5,1140312.06,75233.7,1441.97,12151.75,176882.77,24233.3,157681.89,74093.61,1898812.49,1551.57,364812.17,10011.99,1127438.43,97942.23,16865.93,21192.23,336053.69,344642.37
32,Betta,6260.61,13754.79,312618.4,11198.79,1912.15,5582.98,78329.62,1193280.68,112413.52,105394.52,32261.71,130080.35,49628.47,370452.6,5700.08,193594.09,23156.74,8723.8,41385.46,88096.86,7128.58,22767.18,120873.31,60492.66,1080327.44,1817.22,5138.14,5708.83,46111.47,3864.64,44357.36,654983.31,13353.99,16548.7,18652.02,39609.59,5288.36,318752.78,56984.65,16115.6,3090.21,353144.01,14727.29,49300.14,5063.44,2074.43,22045.14,163808.43,22268.97,933030.16,208411.19,888574.35,18375.38,29912.58,3761127.4,2621.93,37816.48,78312.72,10832.11,33280.19,2543.81,53595.07,60633.97,26935.11,42268.68,5106.35,982931.33,10501.81,348692.31,23704.54,39748.36,15150.71,12620.76,117544.13,78352.29,4396.24,15735.49,540585.08,60323.22,1395.83,28355.54,151468.39,27447.58,97914.32,31457.29,1839010.42,1914.23,294198.09,44234.61,667726.54,201252.41,132104.76,17758.13,149419.6,455540.74
42,Betta,9351.48,73749.13,421369.85,25546.39,5669.55,5892.58,261702.05,1511695.39,139293.36,123344.56,28924.08,127761.52,11594.48,433787.33,6218.72,259542.61,67157.92,10506.71,48121.64,126709.93,9167.54,44126.43,188661.08,27315.99,4309158.46,3273.09,7068.22,9958.25,39206.91,8741,28936.65,373036.75,17732.85,33928,14156.27,46149.61,4007.1,306972.53,43332.98,13171.1,3737.34,644904.02,8861.37,44708.61,5465.4,3582.63,23047.2,536965.58,29940.07,1497128.96,245959.71,634426.72,25307.46,25436.71,1881187.11,4187.61,35851.27,107352.05,12872.34,31326.47,14591.08,84027.28,140153.75,26930.13,60578.36,10821.39,1526349.36,14290.49,419937.95,29413.71,51075.06,16476.29,12471.52,70753.01,110155.61,5076.08,11510.63,647209.21,77163.53,1962.78,20563.8,59825.87,36786.73,133940.21,64200.48,2223965.13,2691.5,490648.25,26754.14,736364.12,177662.97,429962.23,45439.38,133878.63,417453.94
48,Betta,6751.57,10871.29,410767.11,15449.11,6653.91,1561.74,131474.32,1429540.17,104899.51,108962.14,31651,160921.42,212854.91,512768,7455.96,85844.89,18146,8630.14,59998.28,171461.02,9902.03,44344.78,229591.83,23587.07,1716885.38,1252.6,4026.01,6351.17,33898.14,3377.87,9495.98,624447.29,12128.96,10081.44,20309.59,22357.52,4119.23,395683.89,73439,12894.4,1962.45,223375.51,14804.31,25213.04,8130.43,6434.73,75747.78,185478.2,23826.02,932829.45,168484.16,900998.86,15342.58,36773.74,9477930.1,2989.67,39709.44,53413.14,9359.47,29758.55,862.72,15315.84,140214.98,26295.66,31994,6682.02,1459112.43,10646.56,411939.59,42177.47,76498.12,23203.7,11573.17,121187.32,154671.86,11179.93,27013.68,826520.26,72125.47,1896.17,11778.65,173822.25,22151.29,146867.94,93772.12,1780175.52,2333.6,363557.77,9150.56,1093764.15,55940.48,29191.93,30041.36,777949.52,453870.8
52,Betta,38008.51,99047.86,364530.16,49959.06,113541.54,55179.01,163285.03,2425259.38,212669.76,141839.74,92718.12,81776.16,246805.86,418939.13,31197.37,119858.44,99366.86,43597.56,138834.52,127935.03,41173.86,18506.07,451722.19,9200.81,7551182.95,5452.97,8785.19,9545.98,29613.34,10990.79,7066.18,298459.2,14954.85,4707.04,46257.94,25833.67,10591.8,221980.36,154024.8,7403.29,6872.72,573057.22,3562.1,1640122.6,14666.76,3921.12,7319.11,116688.53,79893.17,2049991.08,383480.35,461455.82,20465.79,195912.54,1818977.56,6428.25,36879.17,122610.49,49510.75,23507.74,31229.98,286709.1,166280.23,31280.39,61483.37,91459.74,2398192.64,11561.37,185318.89,23531.16,184660.51,13669.32,6401.83,5315.91,61096.2,4777.4,5459.68,260778.97,79982.2,3603.4,2824.67,28158.43,30558,93482.25,39783.52,3446463.83,4459.73,611708.22,86029.45,547083.58,32205.14,227943.35,35461.14,56485.55,547190.81
