sample ID,Population,Acclimation,performance test
3,Betta,19,Chill coma
9,Betta,29,Chill coma
13,Betta,19,Chill coma
19,Betta,29,Chill coma
22,Betta,19,Chill coma
28,Betta,29,Chill coma
32,Betta,19,Chill coma
42,Betta,19,Chill coma
48,Betta,29,Chill coma
52,Betta,19,Chill coma
58,Betta,29,Chill coma
62,Betta,19,Chill coma
68,Betta,29,Chill coma
71,Otavi,19,Chill coma
74,Otavi,29,Chill coma
77,Otavi,19,Chill coma
83,Otavi,29,Chill coma
87,Otavi,19,Chill coma
93,Otavi,29,Chill coma
97,Otavi,19,Chill coma
103,Otavi,29,Chill coma
106,Otavi,19,Chill coma
109,Otavi,29,Chill coma
112,Otavi,19,Chill coma
118,Otavi,29,Chill coma
122,Karasburg,19,Chill coma
128,Karasburg,29,Chill coma
132,Karasburg,19,Chill coma
138,Karasburg,29,Chill coma
142,Karasburg,19,Chill coma
148,Karasburg,29,Chill coma
155,Stampriet,19,Chill coma
161,Stampriet,29,Chill coma
169,Stampriet,19,Chill coma
175,Stampriet,29,Chill coma
179,Stampriet,19,Chill coma
185,Stampriet,29,Chill coma
189,Stampriet,19,Chill coma
195,Stampriet,29,Chill coma
198,Stampriet,19,Chill coma
202,Stampriet,29,Chill coma
206,Stampriet,19,Chill coma
215,Stampriet,19,Chill coma
