sample ID,Population,Acclimation,performance test
4,Betta,19,Ctmax
10,Betta,29,Ctmax
14,Betta,19,Ctmax
23,Betta,19,Ctmax
29,Betta,29,Ctmax
33,Betta,19,Ctmax
39,Betta,29,Ctmax
43,Betta,19,Ctmax
49,Betta,29,Ctmax
53,Betta,19,Ctmax
59,Betta,29,Ctmax
63,Betta,19,Ctmax
69,Betta,29,Ctmax
78,Otavi,19,Ctmax
84,Otavi,29,Ctmax
88,Otavi,19,Ctmax
94,Otavi,29,Ctmax
98,Otavi,19,Ctmax
104,Otavi,29,Ctmax
113,Otavi,19,Ctmax
119,Otavi,29,Ctmax
123,Karasburg,19,Ctmax
129,Karasburg,29,Ctmax
133,Karasburg,19,Ctmax
139,Karasburg,29,Ctmax
143,Karasburg,19,Ctmax
149,Karasburg,29,Ctmax
151,Karasburg,19,Ctmax
156,Stampriet,19,Ctmax
162,Stampriet,29,Ctmax
170,Stampriet,19,Ctmax
176,Stampriet,29,Ctmax
180,Stampriet,19,Ctmax
186,Stampriet,29,Ctmax
190,Stampriet,19, Ctmax
196,Stampriet,29,Ctmax
199,Stampriet,19,Ctmax
203,Stampriet,29,Ctmax
207,Stampriet,19,Ctmax
212,Stampriet,29,Ctmax
