"rownames.Pca_dat_pop_features.","factor_is","mSet.dataSet.facB","tempcols.as.character.mSet.dataSet.facB..","col_vector1"
"60","B","25","#F89441FF","#B0E2FFCC"
"90","B","15","#0D0887FF","#B0E2FFCC"
"150","B","15","#0D0887FF","#B0E2FFCC"
"160","B","19","#7E03A8FF","#B0E2FFCC"
"170","B","23","#CC4678FF","#B0E2FFCC"
"180","B","23","#CC4678FF","#B0E2FFCC"
"200","B","29","#F0F921FF","#B0E2FFCC"
"330","B","29","#F0F921FF","#B0E2FFCC"
"370","B","19","#7E03A8FF","#B0E2FFCC"
"490","B","23","#CC4678FF","#B0E2FFCC"
"580","B","19","#7E03A8FF","#B0E2FFCC"
"590","B","19","#7E03A8FF","#B0E2FFCC"
"600","B","15","#0D0887FF","#B0E2FFCC"
"640","B","25","#F89441FF","#B0E2FFCC"
"670","B","29","#F0F921FF","#B0E2FFCC"
"860","B","23","#CC4678FF","#B0E2FFCC"
"950","B","25","#F89441FF","#B0E2FFCC"
"970","B","23","#CC4678FF","#B0E2FFCC"
"1110","B","19","#7E03A8FF","#B0E2FFCC"
"1140","B","15","#0D0887FF","#B0E2FFCC"
"1150","B","29","#F0F921FF","#B0E2FFCC"
"1350","B","25","#F89441FF","#B0E2FFCC"
"1490","B","29","#F0F921FF","#B0E2FFCC"
"1520","B","15","#0D0887FF","#B0E2FFCC"
"1550","B","23","#CC4678FF","#B0E2FFCC"
"1800","B","19","#7E03A8FF","#B0E2FFCC"
"1930","B","15","#0D0887FF","#B0E2FFCC"
"1940","B","23","#CC4678FF","#B0E2FFCC"
"1960","B","25","#F89441FF","#B0E2FFCC"
"2010","B","25","#F89441FF","#B0E2FFCC"
"2030","B","25","#F89441FF","#B0E2FFCC"
"2040","B","29","#F0F921FF","#B0E2FFCC"
"2160","B","19","#7E03A8FF","#B0E2FFCC"
"2180","B","15","#0D0887FF","#B0E2FFCC"
"70","K","23","#CC4678FF","blue3"
"460","K","29","#F0F921FF","blue3"
"540","K","15","#0D0887FF","blue3"
"610","K","19","#7E03A8FF","blue3"
"660","K","25","#F89441FF","blue3"
"780","K","19","#7E03A8FF","blue3"
"940","K","29","#F0F921FF","blue3"
"1090","K","15","#0D0887FF","blue3"
"1100","K","15","#0D0887FF","blue3"
"1220","K","29","#F0F921FF","blue3"
"1300","K","23","#CC4678FF","blue3"
"1430","K","25","#F89441FF","blue3"
"1440","K","23","#CC4678FF","blue3"
"1530","K","19","#7E03A8FF","blue3"
"1600","K","25","#F89441FF","blue3"
"300","O","23","#CC4678FF","red2"
"380","O","15","#0D0887FF","red2"
"410","O","19","#7E03A8FF","red2"
"510","O","23","#CC4678FF","red2"
"630","O","19","#7E03A8FF","red2"
"770","O","29","#F0F921FF","red2"
"800","O","29","#F0F921FF","red2"
"810","O","29","#F0F921FF","red2"
"830","O","15","#0D0887FF","red2"
"850","O","23","#CC4678FF","red2"
"880","O","15","#0D0887FF","red2"
"920","O","23","#CC4678FF","red2"
"930","O","15","#0D0887FF","red2"
"1060","O","29","#F0F921FF","red2"
"1130","O","15","#0D0887FF","red2"
"1160","O","15","#0D0887FF","red2"
"1170","O","19","#7E03A8FF","red2"
"1210","O","25","#F89441FF","red2"
"1250","O","29","#F0F921FF","red2"
"1370","O","23","#CC4678FF","red2"
"1390","O","25","#F89441FF","red2"
"1400","O","25","#F89441FF","red2"
"1420","O","25","#F89441FF","red2"
"1580","O","29","#F0F921FF","red2"
"1810","O","19","#7E03A8FF","red2"
"1840","O","19","#7E03A8FF","red2"
"1920","O","19","#7E03A8FF","red2"
"2050","O","23","#CC4678FF","red2"
"2120","O","25","#F89441FF","red2"
"2190","O","25","#F89441FF","red2"
"40","S","29","#F0F921FF","green3"
"100","S","15","#0D0887FF","green3"
"260","S","19","#7E03A8FF","green3"
"270","S","23","#CC4678FF","green3"
"320","S","15","#0D0887FF","green3"
"390","S","15","#0D0887FF","green3"
"560","S","23","#CC4678FF","green3"
"820","S","19","#7E03A8FF","green3"
"840","S","29","#F0F921FF","green3"
"870","S","29","#F0F921FF","green3"
"890","S","23","#CC4678FF","green3"
"980","S","25","#F89441FF","green3"
"990","S","15","#0D0887FF","green3"
"1000","S","25","#F89441FF","green3"
"1020","S","19","#7E03A8FF","green3"
"1030","S","25","#F89441FF","green3"
"1080","S","15","#0D0887FF","green3"
"1190","S","19","#7E03A8FF","green3"
"1260","S","25","#F89441FF","green3"
"1290","S","29","#F0F921FF","green3"
"1320","S","29","#F0F921FF","green3"
"1450","S","25","#F89441FF","green3"
"1540","S","19","#7E03A8FF","green3"
"1640","S","25","#F89441FF","green3"
"1650","S","19","#7E03A8FF","green3"
"1680","S","23","#CC4678FF","green3"
"1710","S","23","#CC4678FF","green3"
"1750","S","15","#0D0887FF","green3"
"1790","S","15","#0D0887FF","green3"
"1850","S","25","#F89441FF","green3"
"1910","S","23","#CC4678FF","green3"
"2060","S","19","#7E03A8FF","green3"
"2110","S","23","#CC4678FF","green3"
