"rownames.Pca_dat_temp_features.","factor_is","mSet.dataSet.cls","col_vector1","popcols1.as.character.mSet.dataSet.cls.."
"60","25","B","#F89441FF","#B0E2FFCC"
"90","15","B","#0D0887FF","#B0E2FFCC"
"150","15","B","#0D0887FF","#B0E2FFCC"
"160","19","B","#7E03A8FF","#B0E2FFCC"
"170","23","B","#CC4678FF","#B0E2FFCC"
"180","23","B","#CC4678FF","#B0E2FFCC"
"200","29","B","#F0F921FF","#B0E2FFCC"
"330","29","B","#F0F921FF","#B0E2FFCC"
"370","19","B","#7E03A8FF","#B0E2FFCC"
"490","23","B","#CC4678FF","#B0E2FFCC"
"580","19","B","#7E03A8FF","#B0E2FFCC"
"590","19","B","#7E03A8FF","#B0E2FFCC"
"600","15","B","#0D0887FF","#B0E2FFCC"
"640","25","B","#F89441FF","#B0E2FFCC"
"670","29","B","#F0F921FF","#B0E2FFCC"
"860","23","B","#CC4678FF","#B0E2FFCC"
"950","25","B","#F89441FF","#B0E2FFCC"
"970","23","B","#CC4678FF","#B0E2FFCC"
"1110","19","B","#7E03A8FF","#B0E2FFCC"
"1140","15","B","#0D0887FF","#B0E2FFCC"
"1150","29","B","#F0F921FF","#B0E2FFCC"
"1350","25","B","#F89441FF","#B0E2FFCC"
"1490","29","B","#F0F921FF","#B0E2FFCC"
"1520","15","B","#0D0887FF","#B0E2FFCC"
"1550","23","B","#CC4678FF","#B0E2FFCC"
"1800","19","B","#7E03A8FF","#B0E2FFCC"
"1930","15","B","#0D0887FF","#B0E2FFCC"
"1940","23","B","#CC4678FF","#B0E2FFCC"
"1960","25","B","#F89441FF","#B0E2FFCC"
"2010","25","B","#F89441FF","#B0E2FFCC"
"2030","25","B","#F89441FF","#B0E2FFCC"
"2040","29","B","#F0F921FF","#B0E2FFCC"
"2160","19","B","#7E03A8FF","#B0E2FFCC"
"2180","15","B","#0D0887FF","#B0E2FFCC"
"70","23","K","#CC4678FF","blue3"
"460","29","K","#F0F921FF","blue3"
"540","15","K","#0D0887FF","blue3"
"610","19","K","#7E03A8FF","blue3"
"660","25","K","#F89441FF","blue3"
"780","19","K","#7E03A8FF","blue3"
"940","29","K","#F0F921FF","blue3"
"1090","15","K","#0D0887FF","blue3"
"1100","15","K","#0D0887FF","blue3"
"1220","29","K","#F0F921FF","blue3"
"1300","23","K","#CC4678FF","blue3"
"1430","25","K","#F89441FF","blue3"
"1440","23","K","#CC4678FF","blue3"
"1530","19","K","#7E03A8FF","blue3"
"1600","25","K","#F89441FF","blue3"
"300","23","O","#CC4678FF","red2"
"380","15","O","#0D0887FF","red2"
"410","19","O","#7E03A8FF","red2"
"510","23","O","#CC4678FF","red2"
"630","19","O","#7E03A8FF","red2"
"770","29","O","#F0F921FF","red2"
"800","29","O","#F0F921FF","red2"
"810","29","O","#F0F921FF","red2"
"830","15","O","#0D0887FF","red2"
"850","23","O","#CC4678FF","red2"
"880","15","O","#0D0887FF","red2"
"920","23","O","#CC4678FF","red2"
"930","15","O","#0D0887FF","red2"
"1060","29","O","#F0F921FF","red2"
"1130","15","O","#0D0887FF","red2"
"1160","15","O","#0D0887FF","red2"
"1170","19","O","#7E03A8FF","red2"
"1210","25","O","#F89441FF","red2"
"1250","29","O","#F0F921FF","red2"
"1370","23","O","#CC4678FF","red2"
"1390","25","O","#F89441FF","red2"
"1400","25","O","#F89441FF","red2"
"1420","25","O","#F89441FF","red2"
"1580","29","O","#F0F921FF","red2"
"1810","19","O","#7E03A8FF","red2"
"1840","19","O","#7E03A8FF","red2"
"1920","19","O","#7E03A8FF","red2"
"2050","23","O","#CC4678FF","red2"
"2120","25","O","#F89441FF","red2"
"2190","25","O","#F89441FF","red2"
"40","29","S","#F0F921FF","green3"
"100","15","S","#0D0887FF","green3"
"260","19","S","#7E03A8FF","green3"
"270","23","S","#CC4678FF","green3"
"320","15","S","#0D0887FF","green3"
"390","15","S","#0D0887FF","green3"
"560","23","S","#CC4678FF","green3"
"820","19","S","#7E03A8FF","green3"
"840","29","S","#F0F921FF","green3"
"870","29","S","#F0F921FF","green3"
"890","23","S","#CC4678FF","green3"
"980","25","S","#F89441FF","green3"
"990","15","S","#0D0887FF","green3"
"1000","25","S","#F89441FF","green3"
"1020","19","S","#7E03A8FF","green3"
"1030","25","S","#F89441FF","green3"
"1080","15","S","#0D0887FF","green3"
"1190","19","S","#7E03A8FF","green3"
"1260","25","S","#F89441FF","green3"
"1290","29","S","#F0F921FF","green3"
"1320","29","S","#F0F921FF","green3"
"1450","25","S","#F89441FF","green3"
"1540","19","S","#7E03A8FF","green3"
"1640","25","S","#F89441FF","green3"
"1650","19","S","#7E03A8FF","green3"
"1680","23","S","#CC4678FF","green3"
"1710","23","S","#CC4678FF","green3"
"1750","15","S","#0D0887FF","green3"
"1790","15","S","#0D0887FF","green3"
"1850","25","S","#F89441FF","green3"
"1910","23","S","#CC4678FF","green3"
"2060","19","S","#7E03A8FF","green3"
"2110","23","S","#CC4678FF","green3"
