"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"X0.0801599",-0.0072609,0.0048326,-0.0056323,-0.0013611,-0.0021518,0.00094785,-0.0078632,0.016018,-0.0024027,0.0062716,0.0092332,-0.0054373,0.0042418,-0.01262,-0.0053042,-0.00079686,-0.0024234,-0.0037341,-0.011248,0.0036488,-0.0012884,0.011959,0.012842,-0.017916,0.02264,0.0072348,0.0087438,-0.021091,0.003487,-0.011222,0.0079511,-0.00053084,0.01168,-0.00089871,-0.010116,0.014778,0.0038296,-0.0061588,-0.021186,0.0012284,-0.0083315,-0.0076653,0.0040729,-0.013615,-0.025152,-0.020059,-0.031424,-0.0031741,0.0045633,-0.032547,0.0070331,-0.024322,0.00011862,0.0012477,-0.013704,0.0053138,0.013537,-0.035106,-0.026995,0.00056562,0.011278,0.048258,0.0071255,0.0173,0.020109,0.014322,0.017305,-0.01293,-0.0077145,-0.026662,-0.017963,0.035762,-0.010703,0.036053,-0.0038731,-0.082181,-0.0044626,0.03038,0.020181,-0.001297,-0.010738,-0.025826,0.0026477,-0.021796,-0.021879,-0.040758,-0.021049,-0.0069714,0.010196,0.038345,0.015175,-0.0020195,-0.0096805,0.048286,-0.03135,-0.0042582,-0.040087,0.026231,0.013971,-0.016485,-0.019826,0.010986,0.031318,-0.048126,-0.024324,-0.015329,0.025237,-0.049142,0.0061998,0.037023,0.043881,-0.23116
"X0.1002",-0.0072032,0.0051268,-0.0051953,-0.00044514,-0.00059367,0.00056001,-0.0059879,0.011269,-0.0031972,0.0059331,0.0060586,-0.0071116,0.0032397,-0.0095561,-0.0046735,-0.0018857,-0.0019946,-0.0025276,-0.0056128,0.00014659,-0.00010148,0.0053,0.013717,-0.011939,0.017036,-0.0016657,0.0088482,-0.021874,0.0050901,-0.015955,0.014382,-0.0038041,0.018068,-0.0088284,-0.0070958,0.015975,0.010552,-0.0082653,-0.019869,-0.0095362,-0.0084851,-0.0039765,-0.0099971,-0.023104,-0.029222,-0.021434,-0.038256,0.00088629,-0.0025294,-0.022559,0.0052759,-0.017113,0.0014193,-0.00056789,-0.0064106,0.0078107,0.015654,-0.024645,-0.037046,-0.0076747,0.0085359,0.03508,0.0016648,0.0030066,0.02522,0.01539,0.0096893,-0.00073556,-0.013444,-0.031449,-0.03242,0.040137,-0.012852,0.034337,-0.014928,-0.067639,-0.014393,0.027935,0.054167,-0.0074622,-0.0030108,-0.010352,0.0016791,-0.011023,-0.0040455,-0.033372,-0.02971,0.019278,-0.0048811,0.044736,0.027568,-0.0027273,-0.014981,0.046696,0.034722,0.0184,-0.027683,0.0060272,-0.0074802,-0.059539,-0.017068,0.027259,0.028843,-0.02214,-0.029572,0.0027736,-0.031464,-0.013926,-0.012904,0.026006,0.020568,0.12885
"X0.12024",-0.0060711,0.0043142,-0.0046227,-0.00083362,-0.00024442,-0.00018405,-0.0042159,0.0076379,-0.0024054,0.004469,0.0034879,-0.0092187,0.002825,-0.010498,-0.0061018,6.3063e-07,-0.0037263,-0.0021418,-0.0099254,0.00020073,-0.00017194,0.00075229,0.014957,-0.010041,0.024446,-0.012227,0.0072683,-0.022467,0.016844,-0.01213,0.01391,-0.0069153,0.0090975,-0.017263,-0.0073938,0.0073523,0.0065892,-0.0094626,-0.0078821,-0.013545,-0.0034484,0.0018632,-0.0017504,-0.026217,-0.038937,-0.021159,-0.038993,-0.011998,0.015561,-0.022961,0.0099767,-0.014919,-0.0065363,-0.018177,0.0031497,0.0017814,0.0032467,-0.016223,-0.037367,-0.0058512,0.0079816,0.026469,0.0099796,0.01565,0.014406,0.00028091,0.011467,-0.0022853,-0.017341,-0.040561,-0.025029,0.046915,-0.013927,0.050542,-0.020057,-0.058129,-0.0030516,0.044507,0.03189,-0.026283,-0.012215,-0.02369,0.040202,0.00052154,-0.028242,-0.048471,-0.033087,0.016408,-0.012726,0.032617,-0.017962,-0.024876,-0.040877,0.057431,-0.029456,0.010029,-0.020494,-0.034232,0.026411,-0.05293,-0.014813,0.0099846,-0.029476,-0.067905,-0.049139,-0.018178,-0.047949,-0.030553,-0.0086534,0.072982,-0.021558,-0.29201
"X0.14028",0.0085225,-0.001108,0.0094551,-0.00094043,-0.00027565,9.0088e-05,-0.0045806,-0.0033457,0.0034703,0.0022309,0.0031343,-0.0073655,0.010258,-0.0033489,-0.011918,-0.0032783,-0.00077561,0.00048645,0.010839,-0.0011975,-0.008344,-0.020861,0.0078402,-7.1731e-05,0.024668,-0.002383,0.022509,-0.027826,-0.0035321,-0.025612,-0.0012222,-0.025501,-0.00047994,-0.014544,0.020046,-0.00029067,0.0096825,-0.0052712,-0.033143,0.010965,0.0047519,-0.019935,0.036875,-0.020251,-0.012037,-0.033562,-0.040262,0.013691,0.04456,-0.0015737,-0.0032684,0.013381,0.025091,-0.0035923,0.041258,-0.014449,0.0077595,-0.049587,-0.017921,-0.015147,-0.00047229,0.033553,0.0069439,-0.01909,0.015349,-0.028518,0.030462,-0.0064142,-0.047647,0.001696,-0.021187,0.024867,0.013999,-0.0019633,0.014733,0.002765,-0.018062,-0.014998,0.039749,-0.027871,-0.035168,0.018037,-0.009523,-0.036166,0.042727,-0.074596,0.05346,-0.067019,0.012681,-0.042416,0.08151,-0.0010112,-0.012533,0.024363,0.090985,-0.0068458,-0.057636,-0.05973,-0.085717,-0.016257,0.017741,0.018908,0.046044,0.072945,0.11309,-0.050168,-0.034313,3.8683e-05,-0.095937,0.021206,0.072714,-0.24998
"X0.16032",0.0012006,0.0036896,0.0010298,-0.0053709,-0.0042349,0.00095087,-0.0004824,0.0045438,-0.0025989,0.0024964,0.00051175,-0.0092246,0.0081101,-0.0047172,-0.0067549,-0.001271,0.00056905,0.00072338,0.0014801,0.0010779,-0.015625,-0.023955,0.0027616,-0.018207,0.02715,-0.0054907,0.014311,-0.043234,0.019831,-0.012918,0.0074522,-0.027384,0.0019907,-0.021493,0.0096549,0.0070996,0.011149,-0.0017063,-0.029589,-0.0014727,0.023241,-0.0066099,0.0062519,-0.011111,-0.015541,-0.014929,-0.033752,-0.001904,0.026026,0.0090086,0.019592,0.011455,0.010322,-0.0089644,0.022487,-0.005241,-0.0076537,-0.035294,0.0051725,0.016057,0.016144,0.040292,0.033717,-0.024421,0.011897,-0.036169,-0.0036378,0.014378,-0.022384,-0.019443,-0.04646,0.042109,-0.024872,0.032106,0.0084723,-0.070561,0.0031534,0.034308,0.043984,-0.045159,-0.021948,0.0031065,0.01463,-0.0079355,0.018739,-0.03804,-0.0014595,0.019274,-0.026943,0.00062042,-0.015763,0.015144,-0.053764,0.02006,0.047805,-0.00088756,-0.01596,-0.010397,0.019112,-0.045803,-0.018976,0.020409,0.019689,0.038097,0.017602,-0.04253,-0.020219,0.023332,-0.081303,0.11298,-0.0026992,0.26122
"X0.18036",-0.0049398,0.0025074,-0.0041434,-0.0021088,0.00033848,0.0018288,-0.0027996,0.002054,-0.00024637,0.00069593,-0.00073936,-0.011328,0.0017723,-0.0079212,-0.0079411,0.0018626,-0.0037841,0.0017901,-0.0062733,0.0039926,-0.00010085,-0.016921,0.010305,-0.012499,0.022422,-0.013284,0.0079477,-0.034727,0.024706,-0.025531,0.014234,-0.020604,0.019127,-0.016576,0.0044906,0.009902,0.014833,-0.011043,-0.022461,-0.0094392,0.0061176,0.010311,-0.0061651,-0.036015,-0.050735,-0.015398,-0.049991,-0.017377,0.011561,-0.011851,0.023011,-0.0067666,0.004224,-0.023943,0.0025183,-0.0023782,0.00057371,-0.012449,-0.036428,-0.0024198,-0.013027,0.026892,0.027468,-0.018266,0.0034267,-0.0061032,0.0011403,0.00041232,-0.0071167,-0.040121,-0.020504,0.039171,-0.017144,0.036877,-0.022782,-0.056733,-0.020415,0.031798,0.034574,-0.045001,0.018886,-0.0037818,0.042947,0.023813,-0.017592,-0.059798,-0.0020427,-0.0026035,-0.027748,0.043225,0.0093874,-0.0034668,-0.010182,0.018346,-0.011758,0.003591,-0.022346,-0.041481,0.0086926,-0.059704,-0.034297,0.021849,0.053938,-0.022205,-0.024794,-0.024506,-0.067278,0.02694,-0.021787,0.052319,0.00012838,-0.11735
"X0.2004",-0.0054181,0.001731,-0.0041764,-0.0034578,0.00024672,0.00038247,-0.0018336,0.0022587,-0.0012495,-0.00020664,-0.00042735,-0.0092498,0.0011437,-0.007041,-0.0097654,0.0015307,-0.0075748,0.001313,-0.003227,0.0058507,-0.0043411,-0.018499,0.011327,-0.011273,0.023478,-0.022089,0.010621,-0.030008,0.028939,-0.027258,0.018597,-0.02497,0.010252,-0.019231,0.013787,0.0066559,0.013339,-0.0012811,-0.011251,-0.018873,0.0095235,0.017899,-0.0014475,-0.027261,-0.037168,-0.020856,-0.048214,-0.021185,0.012095,-0.0037298,0.014515,-0.0070914,0.0030421,-0.034773,0.019067,-0.0025314,0.002498,0.0031332,-0.027454,-0.0091738,-0.019812,0.020138,0.013388,-0.013367,-0.0049604,-0.023912,0.030504,0.013841,-0.025773,-0.0073288,-0.014492,0.058469,-0.024369,0.031605,-0.031908,-0.071402,0.0078279,0.013352,0.055634,-0.028376,0.0066018,0.011264,0.040347,0.036791,-0.00029691,-0.044627,-0.021555,-0.0012134,-0.03487,0.01217,-0.0031955,-0.021194,-0.017906,0.018032,-0.031184,0.026415,-0.035202,0.010357,0.019802,-0.04147,-0.024233,0.0077486,0.053666,-0.020574,-0.013167,-0.023914,-0.031894,0.020234,0.0036091,-0.0052446,0.022714,0.1704
"X0.22044",-0.0036661,0.0022905,-0.0035838,-0.0019018,2.6596e-05,0.0015435,-0.0013345,-0.00075837,6.3383e-05,0.0024287,-0.0021388,-0.011307,0.0031742,-0.0037912,-0.008642,-0.0013651,-0.0051636,0.0029975,-0.0031514,0.0047507,-0.0084804,-0.024563,0.0076667,-0.010728,0.025075,-0.023464,0.014407,-0.033429,0.029646,-0.034491,0.022703,-0.02681,0.0062177,-0.020397,0.018392,0.0032289,0.013515,-0.0039133,-0.010304,-0.018016,0.012203,0.016917,-0.0047031,-0.035736,-0.044971,-0.021914,-0.046062,-0.025681,0.0090606,-0.0036969,0.021889,0.007966,0.0063358,-0.01923,0.02235,-0.0063465,0.0071534,-0.017577,-0.018734,-0.011898,-0.012954,0.021752,0.010915,-0.035398,-0.0015743,-0.014293,-0.014606,0.024938,-0.022566,-0.01635,-0.013591,0.05252,-0.013437,0.021496,-0.033359,-0.070726,-0.0025094,6.2313e-05,0.058596,-0.035339,0.012194,0.0077204,0.036987,0.048482,-0.0019068,-0.048152,-0.027958,0.032488,-0.0028173,0.0054943,-0.013047,-0.032862,-0.029074,0.0089261,-0.023243,0.015302,-0.035014,-0.0063038,0.0042809,-0.028303,-0.049221,-0.028396,0.01771,0.011931,-0.0058452,-0.017547,-0.044908,-0.00358,-0.0052825,0.030612,0.012967,-0.17952
"X0.24048",-0.004116,0.0024224,-0.0034016,-0.0023951,-0.00012539,0.0021467,-0.00039901,-0.0014427,-0.0013493,9.3976e-06,-0.0018819,-0.012845,0.0032891,-0.0045119,-0.010478,0.00061447,-0.0057288,0.0030563,-0.0015324,0.0040314,-0.0077055,-0.023934,0.0063279,-0.016775,0.02316,-0.024711,0.010813,-0.036787,0.025877,-0.034069,0.023661,-0.03303,0.011675,-0.019216,0.016189,0.004929,0.014087,-0.0057286,-0.010795,-0.019591,0.00953,0.01608,-0.0092283,-0.029352,-0.034384,-0.029749,-0.045477,-0.02523,0.0077845,-0.0090832,0.024652,0.011328,0.011408,-0.027889,0.01929,-0.012088,-0.0063989,-0.0061912,-0.027465,-0.015442,-0.013254,0.025799,0.027206,-0.029472,-0.0073729,-0.029993,-0.0060269,0.012642,-0.028267,-0.014929,-0.010529,0.042815,-0.018014,0.024299,-0.02507,-0.068598,0.022274,0.036784,0.058459,-0.020147,0.016533,0.021926,0.053723,0.042357,-0.0035493,-0.018938,-0.0033147,0.0019084,-0.045729,0.022082,0.0048878,-0.024009,-0.039619,0.0088709,-0.033404,0.012444,-0.03478,-0.0089591,-0.015437,-0.064942,-0.0094293,0.005361,0.037908,-0.011348,-0.0020519,-0.012258,-0.084782,-0.01348,0.027759,0.050265,0.0097118,-0.026163
"X0.26052",-0.0041108,0.0025221,-0.0034262,-0.0027124,-0.00069707,0.00095118,-0.0012925,-0.0025609,-0.0013848,-0.00030412,-0.002845,-0.013103,0.00092795,-0.0034461,-0.010516,-0.00052936,-0.0066226,0.0059151,9.9417e-05,0.0060162,-0.0080242,-0.027725,0.0089911,-0.015884,0.024449,-0.028875,0.010097,-0.037269,0.033104,-0.034452,0.025961,-0.032696,0.012612,-0.027827,0.022018,-0.0011416,0.018671,-0.0050018,-0.0048324,-0.02483,0.0095501,0.02138,-0.0095545,-0.031611,-0.037121,-0.024053,-0.042231,-0.023613,0.013623,0.0013302,0.026063,0.0028164,0.014449,-0.029536,0.026643,-0.014561,0.0082334,-0.003293,-0.031609,-0.024301,-0.017208,0.020785,0.026615,-0.03943,-0.021634,-0.036305,-0.0048154,0.010063,-0.021365,-0.0010911,-0.014461,0.037572,-0.0042178,0.018492,-0.019305,-0.063489,0.013884,0.00026399,0.059472,-0.036247,-0.0062,0.035113,0.060211,0.041168,0.00053848,-0.023681,-0.014413,-0.002495,-0.021038,0.023428,-0.019526,-0.027615,-0.023405,-0.017781,-0.028079,-0.015463,-0.027459,0.012669,0.0090645,-0.060503,-0.0096897,-0.019184,0.0097126,0.010899,0.0069315,-0.031253,-0.061767,0.010416,-0.026656,-0.029647,0.012185,0.16691
