"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"60",-9.8883,-1.6626,-0.32541,-3.5234,-1.0999,0.88161,-0.70632,-0.67301
"90",-5.5085,-2.3024,4.0119,-2.3411,-0.28079,-5.3376,-3.6291,-2.3376
"150",-12.058,-0.50897,0.25581,-2.8432,3.3786,-1.2747,-2.4209,-1.3424
"160",-10.339,-4.5972,-2.4543,-2.2829,0.53245,1.5233,1.1598,-0.73233
"170",-13.48,2.3628,-2.226,1.1778,1.8793,-0.88666,-1.2764,-1.0466
"180",-11.446,0.58724,4.7705,1.6382,-3.447,-5.3313,-0.6297,0.95321
"200",-7.6795,-0.45524,1.1787,0.98385,-1.6194,0.16222,-1.9768,-0.2267
"330",-0.56614,-3.6786,10.836,-1.3398,-7.9193,0.088823,-3.2626,-3.9609
"370",-10.633,-5.4678,3.5238,-1.2169,-3.0391,-4.4909,0.49355,1.0748
"490",-2.9812,3.3411,-4.2924,-8.1483,-2.6394,-1.724,1.6135,-5.7715
"580",-7.1646,-6.2997,-1.1862,0.20234,-0.3587,0.5394,2.9467,0.48143
"590",-2.9213,-0.0065238,-1.4954,-9.0563,0.090928,-3.3413,-1.6667,1.0786
"600",-6.7065,-1.9173,-0.39532,-5.8603,-0.30235,0.54432,0.91771,-2.2823
"640",-5.6643,6.1488,-2.7199,-5.4373,-3.239,0.55126,-1.4502,0.32583
"670",-4.3193,-5.5834,0.8619,-5.9931,-0.6878,2.2218,-0.12641,0.25437
"860",-3.2224,-2.0304,-3.4749,0.53279,-1.7749,0.98792,2.1711,-1.4165
"950",-5.4366,-6.7804,-6.4377,-2.3349,-1.7966,2.5547,0.71805,-0.24713
"970",-7.3451,1.563,-2.79,-2.3368,-2.85,-3.2048,0.20398,0.033559
"1110",-1.2615,-4.5381,-2.041,11.366,0.99031,-4.2705,-0.030682,-0.037916
"1140",8.4485,-4.8043,-4.8618,-8.5555,0.93361,-5.4687,0.60112,-6.346
"1150",-1.5995,-7.5605,-7.5422,1.932,-1.2672,0.38233,0.50516,-1.6784
"1350",-4.174,1.8748,-5.4058,4.9264,1.3639,-2.5843,-1.0464,-3.0441
"1490",7.6525,-4.7611,-3.3581,2.9129,-6.4732,-2.9913,0.90882,0.17886
"1520",5.9045,-4.5094,-3.5178,-8.7908,0.88825,-3.4944,-4.2894,-3.9571
"1550",1.2894,-4.5631,-5.829,3.064,-2.3788,-1.9472,0.13939,-0.45869
"1800",6.9198,-7.7381,-2.165,-8.3742,2.8248,-5.9354,-2.3282,2.6983
"1930",-6.3436,-3.4691,-1.5924,-0.52384,-3.8965,-3.1327,2.6569,2.1803
"1940",-9.6184,-7.187,-2.5001,-2.1084,0.76566,-2.2976,1.9295,1.0128
"1960",-9.2499,-3.0691,-1.3079,-2.1404,-1.8012,-1.557,2.9748,-1.8759
"2010",-9.1114,-1.296,2.0216,-2.7357,-4.2054,-3.9637,0.59721,-0.23157
"2030",-10.59,5.0297,-3.0285,-1.8588,-0.38349,-1.3702,0.57401,-0.85003
"2040",-4.731,-0.082132,-0.36504,-4.5704,-0.20127,3.2829,-2.368,0.49293
"2160",-3.905,1.9825,-4.5706,-2.4397,-2.1875,0.15764,0.15005,-3.3326
"2180",-2.9079,-0.26344,-3.4279,-11.23,1.2975,-4.1673,1.6253,3.3697
"70",-7.806,1.0974,7.4971,-0.94629,1.1436,-3.1035,-4.1627,-2.2406
"460",4.3562,-5.7832,11.257,-3.7567,-1.8893,2.612,-3.7764,-6.0584
"540",-3.6377,0.14046,1.5357,0.28903,2.3444,3.2547,1.4783,-1.2019
"610",-7.2424,2.2933,-0.082864,3.9144,1.5715,1.0681,-0.013094,-1.0116
"660",-8.4277,1.2441,1.2089,-0.54873,1.0475,3.6568,-1.3526,1.5349
"780",-6.828,-4.2515,-0.55798,-2.8427,2.8034,2.6178,0.13902,-0.96707
"940",1.1777,-0.66598,6.3149,0.7432,-5.9332,3.4112,1.1119,0.97163
"1090",9.251,-0.61424,-6.7814,-2.0374,0.8821,0.2924,-3.3362,2.4112
"1100",6.7661,-7.7719,1.6584,0.027687,3.9635,-6.19,-1.4078,0.85462
"1220",3.0826,-4.0132,-1.581,5.9696,-3.1062,-0.1069,1.5342,-0.7408
"1300",4.9291,-4.2225,-8.8954,-0.29252,1.6951,-0.96566,-4.4025,1.8581
