"","Population(F.val)","Population(raw.p)","Population(adj.p)","Acclimation(F.val)","Acclimation(raw.p)","Acclimation(adj.p)","Interaction(F.val)","Interaction(raw.p)","Interaction(adj.p)"
"X7.37471",26.643,3.9697e-12,1.8022e-09,2.7145,0.03538,0.12168,1.3303,0.21775,0.64938
"X7.33463",18.914,2.0507e-09,4.6551e-07,4.6512,0.0019617,0.015095,1.4938,0.14326,0.64938
"X4.2084",15.239,5.7384e-08,8.6842e-06,0.72766,0.57559,0.77085,1.1485,0.3341,0.6682
"X7.29455",14.796,8.7327e-08,9.9116e-06,8.9053,5.0592e-06,0.00014355,1.1048,0.36765,0.6781
"X4.36872",13.838,2.1978e-07,1.9956e-05,9.8072,1.5592e-06,5.445e-05,0.92719,0.52426,0.71262
"X7.39475",12.742,6.4734e-07,4.8982e-05,2.4673,0.051187,0.15493,1.0222,0.43682,0.69363
"X7.31459",12.447,8.694e-07,5.4921e-05,3.4286,0.01212,0.053424,0.80384,0.6455,0.76516
"X0.921839",12.341,9.6777e-07,5.4921e-05,11.837,1.2256e-07,6.9552e-06,1.5995,0.10788,0.64938
"X0.941879",11.711,1.8338e-06,9.1259e-05,11.049,3.2361e-07,1.4692e-05,1.8795,0.048946,0.64938
"X0.901799",11.621,2.0101e-06,9.1259e-05,8.6444,7.1519e-06,0.00017089,1.0092,0.44833,0.69363
"X3.06612",11.202,3.097e-06,0.00011867,2.5814,0.043174,0.14043,1.261,0.25765,0.64938
"X4.18836",11.189,3.1368e-06,0.00011867,3.1174,0.019337,0.077692,0.73247,0.71588,0.79365
"X8.09615",10.633,5.6006e-06,0.00019559,1.085,0.36941,0.57832,0.9147,0.53626,0.71743
"X3.04608",10.525,6.2742e-06,0.00020346,8.6992,6.6488e-06,0.0001677,2.4131,0.0098837,0.4216
"X8.49695",10.189,8.9395e-06,0.00027057,5.4459,0.00061323,0.0066287,1.53,0.13013,0.64938
"X3.14628",9.9906,1.1042e-05,0.00030186,4.8777,0.0014054,0.011601,1.208,0.29184,0.64947
"X4.08816",9.9686,1.1303e-05,0.00030186,8.5684,7.9146e-06,0.00017111,1.6244,0.10075,0.64938
"X2.96592",9.58,1.7133e-05,0.00043213,5.0254,0.0011317,0.0098962,1.3003,0.23437,0.64938
"X8.63723",9.27,2.3942e-05,0.00052099,1.0753,0.37417,0.58175,0.85263,0.59701,0.7458
"X6.11219",9.22,2.5274e-05,0.00052099,4.062,0.0046999,0.027692,1.0638,0.40108,0.68137
"X4.32864",9.1962,2.5935e-05,0.00052099,1.651,0.16938,0.34329,0.80898,0.64038,0.76516
"X4.34868",9.1918,2.6059e-05,0.00052099,2.8216,0.030137,0.10773,0.87797,0.57202,0.7286
"X8.97791",9.1801,2.6394e-05,0.00052099,4.0727,0.0046256,0.027692,0.78806,0.66118,0.7683
"X6.85367",8.8507,3.7792e-05,0.0007149,3.5988,0.0093919,0.045361,1.9565,0.039102,0.64938
"X2.06412",8.751,4.2153e-05,0.0007655,4.6935,0.001843,0.014497,1.6137,0.10377,0.64938
"X0.961919",8.1523,8.1667e-05,0.001426,16.162,8.5007e-10,1.4258e-07,2.5065,0.0074169,0.4216
"X8.95787",8.1028,8.6294e-05,0.001451,0.35673,0.83866,0.94194,0.67965,0.76617,0.83616
"X3.88776",7.7988,0.00012122,0.0019655,2.2765,0.067976,0.18933,0.79962,0.64969,0.76589
"X7.27451",7.7386,0.00012969,0.0020304,3.57,0.0098058,0.046373,1.4091,0.17856,0.64938
"X3.12624",7.645,0.00014409,0.0021805,4.983,0.0012043,0.010125,1.241,0.2702,0.64947
"X7.23443",7.5178,0.00016633,0.0024359,2.9664,0.024254,0.092533,0.34327,0.97828,0.98044
"X2.3046",7.3796,0.00019446,0.0027589,2.9279,0.025696,0.097215,1.4515,0.16006,0.64938
"X2.98596",7.228,0.00023097,0.0031776,5.6196,0.0004769,0.0054128,0.97183,0.48227,0.70034
"X7.21439",7.1559,0.00025073,0.003348,4.0574,0.0047324,0.027692,1.0355,0.42519,0.69188
"X3.54708",6.9535,0.00031593,0.004098,6.9073,7.6518e-05,0.0011979,1.577,0.11469,0.64938
"X4.14828",6.8939,0.00033823,0.0042655,5.3597,0.000695,0.0072747,2.4496,0.0088355,0.4216
"X7.25447",6.8441,0.00035811,0.0043941,7.6542,2.7234e-05,0.00051517,0.89774,0.55269,0.71911
"X6.99395",6.7395,0.00040383,0.0048247,3.4392,0.011929,0.053097,1.0693,0.39651,0.6793
"X0.981959",6.6294,0.00045839,0.0053361,3.987,0.0052559,0.028407,1.863,0.05135,0.64938
"X8.77751",6.5607,0.00049623,0.0056323,15.395,1.9702e-09,2.2362e-07,1.0484,0.41411,0.68616
"X5.91179",6.4673,0.00055282,0.0061215,1.006,0.40931,0.61862,1.0881,0.38106,0.6781
"X3.9078",6.14,0.00080857,0.0087403,2.6119,0.04125,0.13599,0.95007,0.50256,0.70034
"X7.01399",6.0122,0.00093863,0.0098526,4.246,0.0035743,0.023864,1.561,0.11975,0.64938
"X4.16832",5.9975,0.00095488,0.0098526,6.5784,0.00012139,0.0017222,0.87104,0.57883,0.732
"X4.04808",5.9683,0.00098814,0.0099692,2.2455,0.071168,0.19464,0.89424,0.55609,0.71911
"X7.15427",5.922,0.0010432,0.010296,2.476,0.050525,0.15493,1.4098,0.17828,0.64938
"X7.69535",5.8743,0.0011031,0.010656,7.055,6.2272e-05,0.0010471,0.35505,0.97503,0.97935
"X1.02204",5.8457,0.0011407,0.010789,9.4417,2.5032e-06,7.5762e-05,1.4739,0.151,0.64938
"X6.83363",5.6515,0.0014334,0.013281,3.3788,0.013061,0.055941,1.2394,0.27121,0.64947
"X1.002",5.622,0.0014842,0.013476,2.8502,0.028871,0.10486,1.1205,0.35537,0.6781
"X8.15627",5.3196,0.0021225,0.018894,5.2188,0.00085316,0.0079048,0.82849,0.62096,0.76095
"X3.76752",5.1861,0.0024873,0.020536,3.4395,0.011925,0.053097,0.7739,0.67521,0.77654
"X1.84368",5.1833,0.0024956,0.020536,8.4677,9.0546e-06,0.00018685,2.0984,0.025675,0.64938
"X2.34468",5.18,0.0025054,0.020536,4.5167,0.0023928,0.018105,0.89429,0.55605,0.71911
"X1.68336",5.1645,0.0025522,0.020536,6.1904,0.00021033,0.0027282,1.6361,0.097569,0.64938
"X4.22844",5.1613,0.002562,0.020536,0.51634,0.72391,0.87641,0.60155,0.83495,0.87687
"X1.3026",5.1559,0.0025784,0.020536,6.6036,0.00011716,0.0017158,0.78754,0.66169,0.7683
"X0.761519",5.1284,0.0026642,0.020731,3.7777,0.0071849,0.036244,1.4453,0.16266,0.64938
"X9.07811",5.1054,0.0027384,0.020731,12.724,4.2175e-08,3.1912e-06,1.2509,0.26394,0.64938
"X3.74748",5.0982,0.0027621,0.020731,0.31592,0.86657,0.94194,1.7772,0.065685,0.64938
"X8.01599",5.0888,0.0027931,0.020731,1.3381,0.26285,0.45897,1.3799,0.19237,0.64938
"X2.02404",5.0775,0.0028311,0.020731,4.2571,0.0035158,0.023823,0.99101,0.4647,0.69907
