"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"X0.681361",0.006075,-0.027327,-0.023908,-0.050031,0.055326,0.085703,-0.071448,0.070944,-0.01261,0.074827,0.031447,0.10416,-0.018474,0.018174,0.030506,-0.0057843,0.073186,-0.026924,0.12714,-0.053685,-0.03361,0.026613,0.023652,0.15122,0.052758,-0.13279,-0.051749,0.099581,0.012243,-0.052887,0.013587,-0.013796,-0.0023861,0.026129,0.10096,-0.043301,-0.068734,0.022435,0.13705,0.13999,0.059643,0.05403,0.23838,0.058149,0.015478,-0.034899,0.053747,-0.0024335,0.14115,0.014529,0.0094114,0.066835,-0.075416,-0.10234,0.044872,-0.11867,-0.031401,0.084938,0.087834,-0.10073,0.045643,-0.10004,-0.013788,-0.061115,0.0016643,0.0851,-0.048735,0.096973,0.1246,-0.034618,-0.11076,-0.11934,0.084495,-0.072076,-0.066048,-0.014913,-0.19645,-0.033599,0.12013,-0.098979,-0.093481,0.054497,-0.057755,0.13121,0.035531,-0.13335,0.20993,0.011055,0.010893,0.04409,-0.09143,0.022927,0.071985,0.034144,-0.022951,0.094904,-0.024277,-0.018736,-0.048877,0.052019,-0.021575,0.059599,0.016324,0.092029,-0.0015111,-0.015482,0.046965,0.0078829,0.083269,-0.033237,0.012821,-0.36559
"X0.701401",-0.0085585,-0.002409,-0.0082858,-0.011093,-0.010926,0.065239,-0.036318,0.053763,-0.025295,0.052539,-0.0020164,0.0059281,-0.0040911,-0.016434,0.032265,-0.0060652,-0.055975,-0.0444,0.072224,-0.058498,-0.034185,0.082531,-0.0088521,-0.068373,0.007324,0.00045645,0.040188,0.056093,0.043796,-0.05812,-0.033625,0.039335,-0.028628,0.010412,-0.0099736,-0.013869,-0.032008,0.024224,0.077085,0.078887,0.027587,0.13164,0.004368,-0.025614,-0.053948,0.043159,-0.030729,0.12342,0.069323,0.043664,-0.054397,-0.024308,-0.060772,-0.015881,-0.071156,-0.026964,0.1218,-0.058065,-0.0089908,0.053842,0.020191,-0.040235,-0.0052053,0.039528,0.021425,-0.11618,-0.031725,-0.015176,-0.0079562,0.066983,0.025409,-0.037715,0.063498,-0.020808,-0.063187,-0.033835,0.14233,0.049421,0.097666,-0.044588,-0.011577,0.078041,0.03155,0.12997,-0.13174,-0.031794,0.10191,-0.12131,0.054398,-0.041668,0.10418,0.041707,-0.023294,-0.013934,-0.030115,-0.015525,0.027597,0.090773,0.046928,-0.022125,0.021817,-0.14034,-0.063044,0.017442,0.030915,-0.080737,-0.010461,0.0013989,0.079809,-0.035156,0.035033,-0.10578
"X0.721441",-0.011121,-0.0012137,-0.0092412,-0.012046,-0.013449,0.068515,-0.034779,0.058206,-0.028964,0.052743,-0.0039937,0.0077332,-0.0019602,-0.018613,0.036996,-0.0025872,-0.062678,-0.04964,0.053942,-0.055173,-0.031496,0.084905,-0.010342,-0.078807,-0.0020512,0.0012586,0.036061,0.046341,0.0028263,-0.03058,-0.036274,0.023259,-0.034649,-0.0014423,-0.023548,0.016422,-0.030233,0.070247,0.085184,0.082988,-0.015428,0.15503,0.0038357,-0.038479,-0.051075,0.039295,-0.031678,0.13075,0.019631,0.0084563,-0.030055,-0.05939,0.0027059,0.021487,-0.071894,0.022637,0.049069,-0.11216,0.027107,0.034449,0.014716,-0.02863,-0.074105,0.051471,0.044493,-0.062641,-0.051552,0.047982,-0.029407,0.022716,-0.03946,0.015125,-0.024044,0.067883,-0.0059082,-0.11836,0.030162,-0.039734,0.022887,0.05133,-0.0096083,0.060899,0.049161,0.16115,-0.092124,-0.029865,0.057231,-0.052128,0.058371,-0.075455,0.036685,-0.039977,-0.0064461,-0.022194,0.041279,0.0047448,-0.10602,0.03392,-0.032617,-0.023106,-0.012148,-0.021359,-0.029898,-0.077482,0.0022087,0.00042238,-0.032676,-0.017603,-0.074916,0.048922,0.0024285,-0.099346
"X0.741481",-0.014356,-0.001164,-0.0098294,-0.011195,-0.014507,0.075733,-0.030862,0.061489,-0.031451,0.056413,-0.0053064,0.0095765,-0.0011982,-0.017525,0.036356,0.0042612,-0.066868,-0.060495,0.058413,-0.056409,-0.038415,0.086559,-0.0088537,-0.085836,-0.0083123,-0.0051215,0.033467,0.039549,-0.02048,-0.01727,-0.043541,0.025568,-0.037924,-0.0036736,-0.027854,0.040504,-0.048354,0.090163,0.093317,0.087641,-0.02559,0.1713,0.018287,-0.0372,-0.036499,0.036115,-0.054593,0.13385,0.0014057,-0.010701,-0.011914,-0.079469,0.014607,0.016615,-0.056461,0.015969,0.032344,-0.10098,0.029414,0.047,0.018824,-0.016036,-0.081322,0.060893,0.043583,-0.040151,-0.058454,0.06577,-0.050273,-0.023062,-0.046269,0.038457,-0.02482,0.0075465,0.024165,-0.13227,0.04905,-0.071011,0.013125,0.038854,-0.034642,0.061093,0.034108,0.14059,-0.0053603,-0.052064,0.03995,-0.10891,0.029367,-0.0045875,0.079984,-0.0049313,-0.03371,-0.0069811,0.074032,-0.018087,-0.05601,0.026504,-0.0090165,0.06136,0.0073112,-0.013806,0.0052275,-0.037179,-0.016068,0.07001,-0.0062128,-0.049677,-0.067955,0.0074246,-0.048514,0.017174
"X0.761521",-0.0075219,-0.006527,0.01032,-0.030638,-0.0090062,0.10201,-0.077577,0.10689,-0.096821,0.0034688,0.015887,-0.020936,-0.019951,-0.06889,0.084253,-0.063473,-0.070662,0.001034,-0.083366,0.035919,-0.015876,0.034422,0.012539,-0.053543,0.023978,0.043271,0.10599,0.0055431,0.057605,0.038036,-0.084856,-0.049003,-0.018701,0.01963,-0.006312,-0.031586,-0.031967,0.066692,0.1462,0.14627,0.010316,0.055665,-0.017371,-0.06736,-0.11326,0.054534,-0.021845,0.048128,-0.012878,-0.020845,0.015294,-0.061055,-0.11547,0.10567,-0.010794,-0.012383,0.048757,-0.060961,0.0056692,0.075126,0.043207,0.02752,-0.075116,0.058916,0.0068526,-0.10398,-0.13263,0.078585,0.037206,-0.072334,-0.074478,0.051596,0.0058804,0.01302,-0.056525,-0.022125,0.05167,-0.0046401,-0.011145,-0.040685,0.016131,-0.06519,-0.017286,-0.01985,0.0027889,0.04071,-0.12332,0.003014,-0.023439,0.12062,-0.024141,-0.095241,0.11859,0.1947,-0.12769,0.099695,0.16166,0.028818,0.029684,0.10159,-0.19547,0.024714,-0.0034479,0.056734,-0.052401,0.17105,0.012605,0.0056765,-0.085383,-0.14305,-0.01662,0.28331
"X0.781561",0.022835,-0.028047,0.015739,-0.048826,0.010585,0.13055,-0.14531,0.13574,-0.16869,-0.041984,0.043754,-0.024469,-0.067169,-0.11042,0.08969,-0.15717,-0.027573,0.033823,-0.27135,0.16227,0.044803,-0.05225,0.023551,-0.003834,-0.0086706,0.12883,0.10434,-0.077647,0.20837,0.086914,-0.097918,-0.10896,0.10064,0.037749,0.073108,-0.10471,-0.019181,0.030162,0.18838,0.19441,0.13401,-0.17231,-0.067044,-0.12946,-0.15074,0.051282,0.02284,0.0078475,-0.022717,-0.031916,0.15007,0.042845,-0.16891,0.048174,0.064251,0.011114,-0.041147,0.035869,0.13101,-0.0628,0.037126,0.025086,-0.017602,-0.038217,-0.056919,0.039005,-0.016473,0.035209,0.040928,0.027203,0.052202,-0.010319,0.078293,-0.043172,-0.015758,0.025821,-0.019712,-0.019021,0.016983,0.10159,0.035806,0.051842,-0.032481,-0.081646,0.084523,0.10154,0.047322,-0.010534,0.038492,-0.021727,0.034312,-0.028208,-0.013634,0.01238,0.021137,-0.090361,-0.033545,0.017037,0.030801,-0.082354,0.13606,0.052401,-0.062212,0.0023247,-0.009949,-0.095822,-0.035942,0.049364,-0.01246,0.081652,0.023593,-0.10609
"X0.801601",0.05411,-0.053036,-0.0017763,-0.0817,0.050073,0.13503,-0.19159,0.13959,-0.15474,0.0072894,0.05214,-0.012299,-0.12521,-0.047851,0.071069,-0.12191,0.055437,-0.003486,-0.26399,0.23685,0.017747,-0.13218,0.059534,-0.10938,-0.0052903,-0.029727,0.10079,-0.049874,-0.0052454,0.078953,0.044673,0.071671,-0.016291,0.010109,0.024382,-0.011407,0.12312,-0.10071,-0.0019774,-0.13663,0.014807,0.049341,-0.013918,0.051624,0.039292,-0.01924,0.096327,-0.030352,-0.053991,0.10094,-0.17212,0.044727,-0.0026642,-0.044376,-0.010535,-0.0029121,0.038627,0.15057,0.089426,0.0318,-0.10269,-0.035867,-0.068633,-0.096755,-0.01445,-0.099351,0.097004,0.0055701,0.037333,0.086193,-0.00053458,-0.053956,-0.11248,0.098524,-0.091625,-0.07922,0.073012,0.070491,-0.002963,-0.047147,-0.045474,-0.024207,0.098363,0.032819,0.0019375,-0.0033203,0.032042,-0.076135,-0.036466,0.018636,-0.0058297,-0.030932,-0.082776,-0.097654,0.11472,0.057849,-0.057165,-0.18893,-0.072382,0.065279,-0.011416,0.0033249,0.021131,0.0076726,0.032454,0.015568,-0.076415,-0.067249,0.080445,-0.059974,0.036615,-0.079559
"X0.821641",0.059623,-0.05678,0.17779,-0.091106,-0.023482,0.19732,-0.16492,0.15273,-0.054023,0.044887,0.096359,0.053648,-0.12469,0.018836,0.043988,-0.061504,0.059928,-0.059058,-0.21968,0.14898,0.069349,-0.21582,0.026925,-0.11211,0.00044749,-0.11499,-0.076334,0.031373,-0.066036,0.072643,0.1038,0.058342,-0.077922,-0.10715,0.042896,0.040429,0.027027,-0.12937,-0.19232,-0.10768,0.01143,-0.052344,-0.014114,0.13757,0.0046437,-0.077782,-0.19733,0.039239,0.12298,-0.050217,-0.021068,0.03224,0.14819,0.09738,-0.11227,-0.030737,0.0085144,-0.18557,-0.14555,-0.030133,0.11266,-0.064352,0.095757,0.10708,0.087356,0.11607,-0.0074767,-0.066016,-0.15541,-0.10403,-0.045632,0.035661,0.025293,-0.12223,0.041343,0.089291,-0.10195,-0.0079099,0.0011613,0.0070967,0.018981,0.018817,0.028133,0.065338,-0.015046,-0.11189,-0.0041879,0.080938,0.051502,-0.051737,-0.029308,0.064067,0.058009,-0.0083338,-0.060103,-0.036362,0.0050611,0.193,0.050026,0.012781,-0.03841,-0.051339,0.02128,0.031332,-0.0030681,0.062798,0.036827,0.028941,-0.021536,0.024766,-0.029559,-0.0098796
"X0.841681",-0.071069,-0.025286,0.23742,-0.096726,-0.13342,0.16045,-0.25843,-0.0022422,0.016564,0.068755,-0.0061289,0.06549,0.011507,-0.03109,0.12587,0.037296,0.31469,0.10854,0.11631,-0.038019,-0.20966,0.26632,-0.15702,0.10855,-0.089593,-0.016573,-0.0032153,-0.16458,-0.070842,-0.05636,-0.0082313,0.013413,-0.012211,0.11592,-0.077617,0.090886,0.19136,0.032599,0.021562,-0.091499,0.095999,-0.15582,-0.1149,-0.040971,0.016914,0.047998,-0.11274,0.1275,-0.15629,-0.10826,0.028057,0.015774,0.19726,-0.12443,0.056994,0.071521,-0.10336,0.049678,0.0071406,-0.14023,0.072952,0.00033809,-0.026851,0.0044882,-0.058384,0.024887,-0.015386,0.0056307,0.033277,0.014865,-0.019815,-0.079744,0.01639,0.011577,-0.00856,0.006376,0.059487,-0.049158,-0.0010586,0.010254,-0.016215,0.0095581,-0.047054,-0.088939,-0.10148,0.00034784,-0.083366,-0.1123,-0.064427,-0.0092035,0.013148,0.012183,0.018356,0.041686,0.0063603,0.0026141,0.018493,0.0092657,0.016465,0.024509,-0.031531,-0.031877,-0.063097,-0.095726,0.025722,0.0078944,0.019638,0.0092975,-3.4958e-06,-0.04406,-0.025733,-0.0081306
"X0.861721",-0.13808,-0.088437,-0.25397,-0.032019,0.15908,-0.091632,0.14816,0.031045,0.0085626,0.1501,-0.052872,0.19283,0.033869,-0.051138,-0.15009,0.025765,0.0027271,-0.19973,-0.10156,0.080608,-0.058836,-0.26044,-0.1495,0.16458,-0.050551,0.060499,-0.12377,-0.040471,-0.07978,0.14648,-0.00056502,-0.096804,0.051027,-0.080135,-0.25847,-0.14947,0.21013,-0.021582,0.039982,-0.078033,-0.007207,-0.10042,-0.068902,-0.076917,-0.12703,0.19452,0.023669,0.11896,0.21551,-0.012494,0.10328,-0.10048,0.047163,-0.026865,-0.032687,0.0084772,-0.069158,-0.025651,-0.085707,-0.01066,-0.049955,0.028529,-0.094129,0.017339,0.017716,0.069663,-0.043798,-0.035526,0.041434,0.024029,-0.069099,-0.018403,0.085291,-0.058073,-0.082501,-0.024786,0.12076,0.012071,0.029614,-0.037828,-0.023941,-0.075762,-0.038342,0.0088596,-0.048075,-0.016603,0.071086,-0.028527,0.0020892,-0.015643,0.024957,-0.040746,0.032084,0.082188,-0.015756,0.039791,-0.075269,-0.032258,-0.016026,-0.023944,-0.01961,0.0028409,-0.030109,-0.083243,-0.0047512,0.016972,0.044738,-0.047944,0.011028,-0.041966,-0.0074614,-0.015347
