"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"191",-7.4789,0.41245,-2.4396,0.70246,-4.8622,5.7108,-3.3448,1.8039,-0.17174,3.7993,-0.38826,0.39942,-1.3654,1.8326,-2.3966,1.3214,-0.2373,1.3298,-0.61761,0.69374,-0.20843,0.89348,-0.069867,-0.23763,0.27189,0.4325,-0.057531,-0.2089,-0.40908,-0.16389,0.22768,-0.17706,0.036728,-0.66396,0.089313,-0.24582,0.13859,-0.57681,0.27811,-0.039594,0.074879,-0.12977,0.156,-0.15024,0.0077149,0.19321,-0.01213,0.18533,0.047084,-0.059654,0.098445,0.041712,0.071156,-0.22673,-0.21207,0.053168,0.022309,0.0060067,0.040124,-0.18874,-0.03288,-0.056513,-0.012056,-0.0005992,-0.031533,0.071178,0.16488,-0.10059,-0.016776,-0.0098357,-0.028722,-0.10951,-0.030972,-0.030268,-0.082295,0.019492,0.010199,0.080348,0.022936,0.053752,0.024744,0.031729,0.032525,-0.026619,-0.011131,-0.034875,-0.0037827,-0.0072412,-0.029614,-0.014016,-0.0069448,-0.011939,-0.016138,-0.01605,-0.012471,-0.011215,-0.0093002,-0.0043029,0.025932,0.012478,0.011951,0.015331,0.0079306,0.014141,0.0048866,0.00080631,0.018223,0.001229,0.0012985,0.0024876,0.002571,1.6653e-16
"221",-12.747,0.51183,-0.94901,5.9353,-6.1761,5.4625,-4.1996,-2.2079,-0.64177,2.5445,-2.5908,-2.332,0.92286,-2.2781,-0.86629,-0.98642,0.5326,-1.4835,0.23292,-0.53199,1.1214,-0.78827,-0.91021,-0.13203,0.25193,-0.64069,0.14282,-0.072934,0.5625,0.35421,0.56727,-0.064477,-0.25151,0.42475,-0.75063,0.62021,0.415,-0.37249,0.51639,0.2239,-0.20364,-0.19313,-0.054526,0.19896,0.28025,-0.018356,0.12256,0.16378,-0.27623,-0.063264,0.17049,-0.074891,-0.049522,0.10343,-0.091918,0.022897,0.021742,-0.0078212,0.12357,0.033122,-0.05416,0.058659,-0.074399,-0.026245,-0.017906,0.0077425,-0.049375,0.014089,0.019104,-0.082797,0.061647,0.060914,-0.082758,0.0040434,0.035668,0.078576,0.017554,-0.01351,0.025541,-0.016775,0.019509,0.01028,-0.02316,-0.020875,0.0087511,-0.0062991,-0.013873,-0.025161,0.0042653,0.023988,-0.016999,-0.011939,-0.00024354,-0.002142,-0.013944,0.003007,-0.0045305,-0.00081293,-0.0045196,-0.0053066,0.012505,0.0037674,-0.0032884,-0.00075388,-0.0039989,0.00044619,0.00044661,-0.0016604,0.0013671,-0.0017725,-0.00025618,-2.1788e-15
"281",-9.6327,-0.088145,0.48025,5.925,-2.0673,2.643,-4.9832,-1.5796,-1.6374,-3.1151,-2.4755,2.4391,1.5348,-0.59626,-1.7238,-0.7764,-1.0648,-0.11239,0.34351,-0.96024,-0.11918,-0.21394,0.25583,-0.2857,-0.014507,-0.4366,0.13466,0.25308,0.25472,0.72982,0.15723,0.26961,-0.011796,0.061565,-0.23998,0.26825,0.11165,0.33163,-0.26131,0.17341,-0.38291,-0.12502,0.42506,-0.2402,-0.12457,0.20505,-0.088067,0.20478,-0.047523,-0.11279,-0.26774,0.16895,-0.10912,0.15132,0.296,-0.092082,0.13053,-0.010377,-0.066923,-0.020037,-0.037647,0.083999,-0.0095808,0.08507,-0.06003,0.072511,0.10056,-0.066294,0.050487,0.0096921,-0.1348,-0.14246,0.01997,-0.011827,-0.023362,-0.0030293,0.0060745,-0.038309,-0.013432,0.054952,-0.04317,-0.012491,0.0074767,0.018368,0.016257,-0.00059225,-0.0094133,0.031516,-0.0086255,-0.019498,0.0064623,-0.0037473,0.0045702,-0.010472,0.015457,0.011478,0.011483,-0.0035581,-0.0025112,-0.00021113,0.0031666,0.0017644,-0.0056696,-0.0045402,0.003725,-0.0019966,-0.0041476,0.00012676,-0.0032208,0.0019647,0.0014154,2.72e-15
"321",-9.0549,1.0179,-3.3954,0.67073,-3.9932,4.2551,-0.73323,0.81255,0.88811,-1.3648,0.2154,1.0844,-0.41396,2.1692,-0.9414,1.0473,-0.9604,0.17196,-0.71272,-0.34304,0.0039673,-0.0017936,0.25956,-0.88145,0.057827,-0.29192,-0.062812,-0.58961,-0.16552,0.25858,-0.21755,-0.17395,0.18342,-0.26637,0.1064,0.31432,-0.36096,0.12323,-0.3706,-0.22229,0.12417,-0.086655,0.095288,-0.096343,-0.10449,-0.098143,0.56734,0.12328,-0.1241,-0.11366,0.037351,0.0087709,-0.011008,0.084216,0.068874,0.053769,0.011918,0.12405,-0.022768,0.064945,-0.084254,-0.12183,0.015974,-0.092425,0.049372,-0.06412,-0.084187,-0.048291,0.066783,0.060236,0.087503,0.060979,0.08225,0.042916,-0.013798,0.05127,0.091835,0.02185,0.0544,0.0037217,0.016119,0.0034291,-0.037849,-0.010624,0.039092,-0.0091817,-0.007119,0.053474,0.00024698,0.038595,0.0171,0.023584,-0.025548,0.0022181,-0.026625,-0.044203,0.031122,-0.010202,0.0066719,-0.0010148,0.012618,-0.023483,-0.0020897,-1.8074e-05,0.0078621,0.020579,-0.018201,-0.0022883,0.010447,0.00042527,0.014263,-6.8417e-15
"411",-5.8783,1.5597,-2.935,-4.1819,-2.5326,4.1435,0.45627,1.7692,0.088325,-1.8875,1.5914,0.6517,-0.98,1.5608,0.23843,0.073324,0.35807,-0.13662,-0.26885,-0.18616,-0.7403,0.23293,0.15855,0.31115,0.068737,-0.17315,-0.085594,0.044017,0.080996,-0.042631,0.62062,-0.13977,-0.28117,-0.14752,-0.11219,-0.38708,-0.33275,-0.11244,0.13854,-0.0047159,0.23667,0.060691,0.1312,-0.027095,0.4497,-0.088614,-0.00059026,-0.16893,-0.060905,0.10582,-0.067673,-0.12363,-0.3385,0.10242,0.0065311,-0.13653,0.062725,0.028268,0.1092,-0.0050981,0.038987,0.025678,0.023819,0.12451,0.11396,0.04807,0.072902,0.0099114,-0.015119,-0.044513,-0.039301,-0.023086,0.093081,-0.065671,0.0027774,0.043344,-0.010008,0.044637,-0.018809,-0.097871,0.09799,-0.015467,-0.034845,0.037379,0.021999,0.027775,-0.022912,0.023768,0.030492,-0.014643,0.023215,-0.017477,0.0012246,0.035553,-0.025446,0.027339,0.012144,0.021418,0.0069671,-0.017694,0.011931,-0.015739,-0.03169,0.019468,-0.0086486,-0.014395,-0.0054459,0.012024,-0.0072738,0.01809,-0.0065653,7.494e-16
"501",-9.2968,-0.94614,-0.25847,4.3136,-0.80807,0.52721,-1.6804,1.0158,-0.45518,2.1615,0.67119,-1.8786,0.21516,-0.46262,2.6077,1.3275,0.67733,-1.1747,0.0059204,-0.022852,0.14094,0.38016,1.353,0.98849,-0.94865,-0.90649,-1.2146,-0.46807,0.26041,-0.27947,0.10371,0.008974,-0.060029,-0.30362,0.65341,0.46871,-0.16822,-0.12867,0.017038,0.23322,0.15594,-0.00078492,0.12052,0.036325,0.10078,-0.12721,0.044775,-0.11584,-0.050252,0.13576,0.15797,-0.084023,-0.10795,0.32148,0.13428,0.0028247,0.10325,-0.046213,-0.059954,0.063002,-0.053052,-0.02431,0.057242,-0.094946,-0.028306,0.020069,0.043598,-0.034316,-0.0074882,0.016081,-0.051007,0.021446,0.081179,-0.01218,-0.0088461,-0.018228,-0.061459,0.0042365,0.00016601,0.035155,-0.014962,0.019422,-0.039551,-0.0091279,-0.035956,-0.027748,0.011186,-0.015273,0.0030902,-0.050024,-0.030452,0.015246,-0.0073351,-0.03148,0.025752,-0.012479,-0.0064393,-0.013912,0.0080124,-0.0052218,-5.0473e-05,0.036084,0.0037751,0.012289,-0.0049504,0.015522,0.018705,-0.015053,-0.0023911,0.0070473,0.0102,-2.6645e-15
"541",-8.3461,1.1955,-1.6938,1.2558,-2.9316,1.4932,-0.26937,0.087055,-0.50772,-2.3432,-2.5538,1.6175,-0.75432,0.69975,1.0655,1.7835,-0.4208,-0.55443,0.23891,-0.04888,0.48055,0.018194,-0.69486,-0.06558,0.77372,0.66988,-0.017509,-0.072524,0.18902,-0.17153,-0.10205,-0.097445,-0.038467,-0.11539,-0.22659,0.0065629,0.12252,0.022746,0.083293,0.22969,0.026211,0.028966,-0.29202,0.13521,0.22359,-0.10131,-0.28568,-0.034502,0.12533,-0.0040348,-0.080122,0.030878,0.072689,0.040437,-0.029287,0.03911,0.019989,0.12032,-0.0255,-0.12347,-0.10074,0.12034,0.1001,-0.049187,0.080475,-0.012363,-0.056232,-0.074344,0.072482,0.070263,0.0020298,-0.047596,0.070434,-0.035147,-0.014594,-0.11035,-0.027103,-0.022546,0.021223,-0.0056151,0.017369,-0.089001,-0.036207,-0.086566,0.026016,-0.011436,-0.0051592,-0.027916,0.067206,0.0099168,-0.036141,0.028481,-0.00010676,0.029363,0.020252,-0.019404,-0.022525,0.0012074,0.011046,-0.023478,0.010371,-0.018598,0.037561,0.0054056,-0.020363,-0.0079406,0.0050863,-0.0016393,-0.013561,-0.015396,0.011336,1.8735e-15
"661",-9.2296,1.4691,-3.4352,-0.46715,-3.5143,2.3487,2.7038,0.286,2.227,-0.59188,-1.2826,-1.5047,-1.9584,0.10858,1.291,0.64453,0.10142,-0.40365,-2.0755,-0.80044,-0.72359,0.075831,0.7078,-0.047294,-0.58628,0.10309,-0.79148,-0.10239,0.035247,-0.31361,-0.058034,-0.26931,0.14014,0.34736,-0.20954,0.089414,-0.22508,-0.31498,0.10827,0.0055471,0.06152,0.29105,0.033564,-0.067004,-0.12395,0.018404,0.12255,-0.16608,0.023644,0.067904,0.12375,0.38227,0.1416,-0.015224,0.093301,0.0066888,0.22533,-0.053649,0.016985,-0.020417,-0.017006,0.076633,0.034074,0.063766,0.039169,0.14837,-0.086461,-0.02221,0.023772,0.082799,0.026469,0.018888,-0.010373,0.058903,-0.022283,0.013638,-0.020063,-0.019179,0.01401,-0.024599,-0.037316,0.0098059,0.068478,-0.026975,0.014609,-0.0091636,-0.028555,-0.013734,-0.031394,0.040141,0.020179,-0.050445,0.016722,0.027192,0.014213,0.050757,-0.013022,-0.021258,-0.0092492,0.031008,0.006737,-0.016647,-0.0031516,0.00063806,-0.0026253,0.0030871,-0.0024984,0.006701,-0.0081348,-0.014111,-0.013375,-5.9952e-15
"741",-6.0214,-1.1286,1.2668,3.1125,1.7363,-1.6479,-1.6097,0.30521,-1.8256,-0.016811,1.5039,-0.42643,0.022008,0.43564,0.051926,1.7434,-0.23967,-0.072697,0.60529,1.3049,1.6604,1.0101,2.0157,-0.57539,-0.33287,-0.0061111,-0.98733,-0.19323,0.15258,0.14268,0.38085,0.031623,0.20519,0.89198,0.072602,-0.097852,-0.14553,0.36719,-0.038106,-0.19933,-0.11334,0.11136,0.18663,-0.10898,0.063732,-0.028962,-0.089345,0.2389,0.042727,0.099673,-0.123,0.014165,0.098717,-0.17741,-0.12083,-0.062454,0.023475,0.13681,0.031185,0.083808,0.068733,0.055197,-0.015688,-0.12683,-0.055974,0.0081291,0.088797,-0.0040478,0.07089,-0.041955,-0.05591,0.0096328,-0.060079,0.0172,0.017854,-0.01301,0.043885,0.0055649,-0.035242,-0.056828,0.020605,0.043965,-0.10002,-0.014088,0.0063022,0.00053923,0.010557,-0.016285,0.033843,0.026238,0.0080223,-0.0047696,-0.0082521,0.0025844,-0.023157,0.033257,-0.019261,0.00013809,0.018978,0.013665,0.0053931,-0.019757,0.011097,-0.019367,0.0035275,-0.0033568,0.0090676,0.0051463,0.0068823,-0.012299,-0.004507,0
"801",-8.006,-0.78163,-0.15183,4.0928,0.85215,-1.3086,-0.021005,-0.04314,-0.15887,-1.1524,1.8565,-0.65985,-0.21212,0.87572,-0.33332,0.22567,0.37385,0.35187,-0.32107,-1.0238,0.13599,-0.072013,-0.0027936,0.0057838,-0.26516,-0.23248,0.10568,0.23422,-0.35697,-0.0096266,-0.34528,0.066877,-0.24622,0.17611,-0.22043,0.020252,-0.084341,-0.17954,0.54822,0.088931,0.38346,-0.22428,0.033886,-0.043358,-0.1139,0.027213,-0.16641,0.12931,-0.051754,-0.012683,0.21497,-0.19788,-0.077162,-0.094135,-0.049086,-0.040929,0.030334,-0.082745,-0.10582,0.019367,-0.068086,-0.094052,-0.09283,0.030996,0.013565,-0.046318,-0.021873,0.059177,0.10966,0.055073,-0.013949,-0.057233,0.022253,-0.011529,0.0034861,-0.00044392,0.015942,0.016391,-0.029733,-0.032658,-0.036317,0.023395,-0.00094909,0.0061127,0.03008,-0.049089,0.037126,0.049642,0.019493,-0.071064,0.026216,-0.03799,0.022318,0.01781,0.047407,-0.027715,-0.016681,0.012328,0.017427,-0.0080574,0.00035461,-0.0067042,-0.007724,-0.052882,-0.03629,0.018165,-0.011729,0.014532,0.011363,-0.020752,-0.0068066,8.1601e-15
