"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X0.681361",0.0066366,0.0064759,0.080122,-0.0016673,-0.032385,0.086066,-0.018011,-0.1002
"X0.701401",-0.0092353,0.0058024,0.010747,0.0093879,0.034631,0.026459,-0.022129,-0.062348
"X0.721441",-0.011954,0.0075139,0.0082493,0.010085,0.037924,0.028977,-0.024957,-0.070174
"X0.741481",-0.015586,0.0072457,0.005548,0.0094744,0.040479,0.030608,-0.024327,-0.081939
"X0.761521",-0.0064856,0.02855,0.036157,-0.00321,0.06146,0.025498,-0.035467,-0.10583
"X0.781561",0.026368,0.019429,0.093786,-0.012544,0.054247,0.028359,-0.04901,-0.11939
"X0.801601",0.059578,0.0021728,0.15378,-0.025907,-0.015749,0.059631,-0.07723,-0.14233
"X0.821641",0.071552,0.075274,0.14472,-0.17533,0.21022,-0.092598,-0.023446,-0.20201
"X0.841681",-0.065235,0.19513,0.095004,-0.18697,0.36014,-0.15713,-0.048118,0.11698
"X0.861721",-0.16445,-0.10594,0.10889,0.099127,-0.32271,0.31672,-0.028421,-0.14571
"X0.881761",0.079313,0.026207,0.14005,-0.050148,-0.18335,0.13746,-0.0038695,0.046364
"X0.901801",0.077016,0.012629,0.09992,-0.038708,-0.11524,0.061042,-0.00039601,0.068812
"X0.921841",0.066339,0.010665,0.079856,-0.044163,-0.072875,0.03299,0.0093415,0.064268
"X0.941881",0.043588,0.018193,0.067543,-0.037538,-0.10433,0.013134,-0.0071401,0.043762
"X0.961921",0.053065,0.044414,0.097987,-0.062574,-0.043546,0.038906,-0.0038814,0.0049027
"X0.981961",0.050286,0.038142,0.15117,-0.021232,-0.11554,0.15143,-0.016345,-0.011789
"X1.002",0.057028,0.007119,0.095856,-0.026651,-0.063399,0.041399,0.0011713,0.015681
"X1.02204",0.060223,0.022621,0.093985,-0.04729,-0.042614,0.041503,-0.0049683,0.00027515
"X1.04208",0.064992,0.021971,0.12938,-0.051342,-0.08447,0.085354,-0.010554,-0.032881
"X1.06212",0.059725,0.018136,0.13491,-0.038536,-0.097562,0.11486,-0.0045873,-0.037822
"X1.08216",0.058469,0.016336,0.10387,-0.043388,-0.065568,0.075518,0.011539,-0.019647
"X1.1022",0.047938,0.035532,0.10811,-0.053263,-0.065987,0.088902,0.024661,-0.025166
"X1.12224",0.047033,0.027821,0.12129,-0.041347,-0.091865,0.12866,0.012206,-0.059164
"X1.14228",0.038284,0.036731,0.089265,-0.051646,-0.051797,0.090805,0.033994,-0.069602
"X1.16232",0.029282,0.043846,0.092571,-0.064575,-0.057251,0.096329,0.045334,-0.11386
"X1.18236",0.031301,0.089318,0.10112,-0.12253,0.0080512,0.048654,0.064264,-0.17393
"X1.2024",0.032703,0.33279,0.0096779,-0.50146,0.58442,-0.44664,0.19634,-0.13959
"X1.22244",-0.23543,0.10591,0.29603,-0.24734,-0.63302,0.17224,0.11771,0.36806
"X1.24248",-0.26151,-0.038876,0.20579,-0.10483,-0.094855,-0.13913,0.061444,-0.037568
"X1.26252",-0.31066,-0.043278,0.10595,0.06869,0.16371,-0.34082,0.11306,0.098414
"X1.28256",-0.31799,-0.06706,-0.011013,0.12312,0.073014,-0.030963,-0.071576,-0.079048
"X1.3026",-0.20188,0.02272,-0.043831,-0.003687,0.045507,0.14231,-0.21426,0.087719
"X1.32264",-0.089467,0.025002,-0.063831,-0.027894,-0.066097,0.46605,-0.3629,-0.041347
"X1.34268",0.083835,-0.051724,0.083816,0.028383,-0.05182,0.17573,-0.31391,0.049158
"X1.36272",0.12146,-0.053124,0.095452,0.034315,-0.0020302,-0.0069819,-0.19678,0.16637
"X1.38276",0.12861,-0.059844,0.091427,0.026515,-0.009357,-0.024182,-0.17842,0.17403
"X1.4028",0.1393,-0.075411,0.096691,0.010548,-0.027193,-0.021048,-0.1675,0.14939
"X1.42284",0.14385,-0.074336,0.11598,0.022099,-0.023034,-0.010753,-0.14391,0.18985
"X1.44288",0.16108,-0.097396,0.12398,0.019851,-0.01956,-0.017066,-0.1359,0.19016
"X1.46292",0.18992,-0.13654,0.14398,0.013125,-0.011052,-0.023563,-0.12,0.19174
"X1.48296",0.25092,-0.24023,0.19212,0.0050205,0.00074514,-0.011608,-0.082235,0.15741
"X1.503",0.49199,-0.86866,0.14154,-0.13061,0.22916,-0.070615,0.26323,-0.16537
"X1.6032",-0.040277,0.18708,-0.32276,0.096304,0.17405,0.080485,-0.29544,0.72456
"X1.62324",-0.034751,0.10676,-0.20151,-0.08304,-0.065433,0.33851,-0.26035,0.12933
"X1.64328",0.0068556,0.067105,-0.059954,-0.040408,-0.010204,0.11668,-0.093379,0.06373
"X1.66332",-0.00068314,0.066351,-0.046705,-0.037208,0.015729,0.076409,-0.1114,0.021616
"X1.68336",-0.0031785,0.059763,-0.040658,-0.053897,0.00049105,0.094054,-0.096451,-0.024913
"X1.7034",-0.0076427,0.058955,-0.017531,-0.052168,-0.031656,0.14403,-0.05416,-0.04644
