"rownames.Pca_dat_temp_features.","factor_is","mSet.dataSet.cls","col_vector1","popcols1.as.character.mSet.dataSet.cls.."
"21","15","B","#0D0887FF","#B0E2FFCC"
"241","23","B","#CC4678FF","#B0E2FFCC"
"261","23","B","#CC4678FF","#B0E2FFCC"
"371","19","B","#7E03A8FF","#B0E2FFCC"
"381","15","B","#0D0887FF","#B0E2FFCC"
"391","23","B","#CC4678FF","#B0E2FFCC"
"461","19","B","#7E03A8FF","#B0E2FFCC"
"471","19","B","#7E03A8FF","#B0E2FFCC"
"481","15","B","#0D0887FF","#B0E2FFCC"
"491","29","B","#F0F921FF","#B0E2FFCC"
"531","15","B","#0D0887FF","#B0E2FFCC"
"581","29","B","#F0F921FF","#B0E2FFCC"
"771","29","B","#F0F921FF","#B0E2FFCC"
"791","19","B","#7E03A8FF","#B0E2FFCC"
"911","19","B","#7E03A8FF","#B0E2FFCC"
"971","15","B","#0D0887FF","#B0E2FFCC"
"1091","29","B","#F0F921FF","#B0E2FFCC"
"1311","25","B","#F89441FF","#B0E2FFCC"
"1341","29","B","#F0F921FF","#B0E2FFCC"
"1381","25","B","#F89441FF","#B0E2FFCC"
"1401","15","B","#0D0887FF","#B0E2FFCC"
"1471","19","B","#7E03A8FF","#B0E2FFCC"
"1501","25","B","#F89441FF","#B0E2FFCC"
"1511","25","B","#F89441FF","#B0E2FFCC"
"1581","25","B","#F89441FF","#B0E2FFCC"
"1771","15","B","#0D0887FF","#B0E2FFCC"
"1821","23","B","#CC4678FF","#B0E2FFCC"
"1941","23","B","#CC4678FF","#B0E2FFCC"
"2031","19","B","#7E03A8FF","#B0E2FFCC"
"2041","25","B","#F89441FF","#B0E2FFCC"
"2071","25","B","#F89441FF","#B0E2FFCC"
"2101","23","B","#CC4678FF","#B0E2FFCC"
"2151","23","B","#CC4678FF","#B0E2FFCC"
"2171","29","B","#F0F921FF","#B0E2FFCC"
"14","25","K","#F89441FF","blue3"
"31","29","K","#F0F921FF","blue3"
"61","23","K","#CC4678FF","blue3"
"81","15","K","#0D0887FF","blue3"
"161","19","K","#7E03A8FF","blue3"
"331","25","K","#F89441FF","blue3"
"621","15","K","#0D0887FF","blue3"
"761","23","K","#CC4678FF","blue3"
"851","25","K","#F89441FF","blue3"
"1211","23","K","#CC4678FF","blue3"
"1291","29","K","#F0F921FF","blue3"
"1301","19","K","#7E03A8FF","blue3"
"1371","29","K","#F0F921FF","blue3"
"1621","19","K","#7E03A8FF","blue3"
"1661","19","K","#7E03A8FF","blue3"
"1741","15","K","#0D0887FF","blue3"
"2111","15","K","#0D0887FF","blue3"
"2221","25","K","#F89441FF","blue3"
"111","19","O","#7E03A8FF","red2"
"181","15","O","#0D0887FF","red2"
"201","23","O","#CC4678FF","red2"
"361","15","O","#0D0887FF","red2"
"421","19","O","#7E03A8FF","red2"
"441","25","O","#F89441FF","red2"
"591","29","O","#F0F921FF","red2"
"601","29","O","#F0F921FF","red2"
"821","23","O","#CC4678FF","red2"
"941","19","O","#7E03A8FF","red2"
"961","15","O","#0D0887FF","red2"
"981","29","O","#F0F921FF","red2"
"1131","25","O","#F89441FF","red2"
"1241","23","O","#CC4678FF","red2"
"1481","15","O","#0D0887FF","red2"
"1681","25","O","#F89441FF","red2"
"1881","25","O","#F89441FF","red2"
"1931","19","O","#7E03A8FF","red2"
"2181","23","O","#CC4678FF","red2"
"2211","29","O","#F0F921FF","red2"
"171","19","S","#7E03A8FF","green3"
"271","15","S","#0D0887FF","green3"
"301","23","S","#CC4678FF","green3"
"311","23","S","#CC4678FF","green3"
"341","29","S","#F0F921FF","green3"
"401","29","S","#F0F921FF","green3"
"431","15","S","#0D0887FF","green3"
"511","23","S","#CC4678FF","green3"
"551","15","S","#0D0887FF","green3"
"611","23","S","#CC4678FF","green3"
"631","29","S","#F0F921FF","green3"
"721","19","S","#7E03A8FF","green3"
"871","25","S","#F89441FF","green3"
"921","15","S","#0D0887FF","green3"
"951","29","S","#F0F921FF","green3"
"1071","25","S","#F89441FF","green3"
"1231","19","S","#7E03A8FF","green3"
"1281","23","S","#CC4678FF","green3"
"1321","25","S","#F89441FF","green3"
"1441","23","S","#CC4678FF","green3"
"1561","23","S","#CC4678FF","green3"
"1701","25","S","#F89441FF","green3"
"1711","19","S","#7E03A8FF","green3"
"1731","25","S","#F89441FF","green3"
"1781","15","S","#0D0887FF","green3"
"1791","29","S","#F0F921FF","green3"
"1861","19","S","#7E03A8FF","green3"
"1921","29","S","#F0F921FF","green3"
"1961","19","S","#7E03A8FF","green3"
"1971","15","S","#0D0887FF","green3"
