"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X0.681361",-0.010031,0.050907,0.1391,-0.028947,0.0072564,0.0042811,0.038607,0.0046593
"X0.701401",-0.0083589,0.055618,0.025301,-0.011975,-0.0078473,-0.063273,0.078896,0.0067107
"X0.721441",-0.0093857,0.065123,0.022666,-0.015285,-0.0057483,-0.064868,0.081714,-0.0016859
"X0.741481",-0.011012,0.074586,0.020254,-0.018099,-0.0032138,-0.070297,0.087446,-0.0044377
"X0.761521",-0.011378,0.09714,0.069644,-0.015663,-0.027292,-0.12231,0.082384,-0.020229
"X0.781561",0.0093299,0.085974,0.16453,-0.0018461,-0.07508,-0.15644,0.084181,-0.077393
"X0.801601",0.031065,0.053862,0.28908,-0.024708,-0.1068,-0.12237,0.071453,-0.10307
"X0.821641",0.042103,0.075491,0.3447,-0.042144,-0.11332,-0.15176,0.14987,-0.15265
"X0.841681",-0.10717,0.27463,0.22185,-0.031174,-0.14633,-0.14054,0.18296,-0.051407
"X0.861721",-0.17129,-0.089141,-0.054227,0.036425,0.14483,0.21944,-0.22775,0.0032654
"X0.881761",0.013237,-0.25379,0.16985,-0.03087,0.064975,0.089481,-0.30642,0.24495
"X0.901801",0.025842,-0.21318,0.08819,0.00029355,0.016465,0.065274,-0.25062,0.18285
"X0.921841",0.023722,-0.18553,0.056106,0.0088335,0.0034936,0.046522,-0.20532,0.16589
"X0.941881",0.0042002,-0.16531,0.026355,0.0046639,-0.0040686,-0.030798,-0.20397,0.13522
"X0.961921",0.0069774,-0.12247,0.13227,-0.020895,-5.9979e-05,-0.027408,-0.15835,0.14501
"X0.981961",-0.0030074,-0.047728,0.25266,-0.054056,0.011459,0.040048,-0.16017,0.090974
"X1.002",0.022477,-0.12978,0.095157,0.0030921,-0.014532,0.0019625,-0.14136,0.11229
"X1.02204",0.022007,-0.10988,0.12676,-0.0139,-0.012847,-0.0021365,-0.155,0.10564
"X1.04208",0.019414,-0.078369,0.2135,-0.035875,-0.013563,0.046519,-0.15803,0.082935
"X1.06212",0.013071,-0.067055,0.21315,-0.037433,0.0022059,0.066968,-0.16473,0.10478
"X1.08216",0.017145,-0.093383,0.12392,-0.010566,0.0041978,0.041855,-0.1857,0.15555
