"NMR.exp" "Population" "X0.681361" "X0.701401" "X0.721441" "X0.741481" "X0.761521" "X0.781561" "X0.801601" "X0.821641" "X0.841681" "X0.861721" "X0.881761" "X0.901801" "X0.921841" "X0.941881" "X0.961921" "X0.981961" "X1.002" "X1.02204" "X1.04208" "X1.06212" "X1.08216" "X1.1022" "X1.12224" "X1.14228" "X1.16232" "X1.18236" "X1.2024" "X1.22244" "X1.24248" "X1.26252" "X1.28256" "X1.3026" "X1.32264" "X1.34268" "X1.36272" "X1.38276" "X1.4028" "X1.42284" "X1.44288" "X1.46292" "X1.48296" "X1.503" "X1.6032" "X1.62324" "X1.64328" "X1.66332" "X1.68336" "X1.7034" "X1.72344" "X1.74348" "X1.76352" "X1.78356" "X1.8036" "X1.82364" "X1.84368" "X1.86372" "X1.88376" "X1.9038" "X1.92384" "X1.94388" "X1.96392" "X1.98396" "X2.004" "X2.02404" "X2.04408" "X2.06412" "X2.08416" "X2.1042" "X2.12424" "X2.14428" "X2.16432" "X2.18436" "X2.2044" "X2.22444" "X2.24448" "X2.26452" "X2.28456" "X2.3046" "X2.32464" "X2.34468" "X2.36472" "X2.38476" "X2.4048" "X2.42484" "X2.44488" "X2.46492" "X2.48496" "X2.505" "X2.52504" "X2.54508" "X2.56512" "X2.58516" "X2.6052" "X2.62524" "X2.64528" "X2.66532" "X2.68536" "X2.7054" "X2.72544" "X2.74548" "X2.76552" "X2.78556" "X2.8056" "X2.82564" "X2.84568" "X2.86572" "X2.88576" "X2.9058" "X2.92584" "X2.94588" "X2.96592" "X2.98596" "X3.006" "X3.02604" "X3.04608" "X3.06612" "X3.08616" "X3.1062" "X3.12624" "X3.14628" "X3.16632" "X3.18636" "X3.2064" "X3.22644" "X3.24648" "X3.26652" "X3.28656" "X3.3066" "X3.32664" "X3.34668" "X3.36672" "X3.38676" "X3.4068" "X3.42684" "X3.44688" "X3.46692" "X3.48696" "X3.507" "X3.52704" "X3.54708" "X3.56712" "X3.58716" "X3.6072" "X3.62724" "X3.64728" "X3.66732" "X3.68736" "X3.7074" "X3.72744" "X3.74748" "X3.76752" "X3.78756" "X3.8076" "X3.82764" "X3.84768" "X3.86772" "X3.88776" "X3.9078" "X3.92784" "X3.94788" "X3.96792" "X3.98796" "X4.008" "X4.02804" "X4.04808" "X4.06812" "X4.08816" "X4.1082" "X4.12824" "X4.14828" "X4.16832" "X4.18836" "X4.2084" "X4.22844" "X4.24848" "X4.26852" "X4.28856" "X4.3086" "X4.32864" "X4.34868" "X4.36872" "X4.38876" "X4.4088" "X4.42884" "X4.44888" "X4.46892" "X4.48896" "X4.509" "X4.52904" "X4.54908" "X4.56912" "X4.58916" "X4.6092" "X4.62924" "X4.64928" "X4.66932" "X4.68936" "X4.7094" "X4.72944" "X4.74948" "X4.76952" "X4.78956" "X4.8096" "X4.82964" "X4.84968" "X4.86972" "X4.88976" "X4.9098" "X4.92984" "X4.94988" "X4.96992" "X4.98996" "X5.01" "X5.03004" "X5.05008" "X5.07012" "X5.09016" "X5.1102" "X5.13025" "X5.15029" "X5.17033" "X5.19037" "X5.21041" "X5.23045" "X5.25049" "X5.27053" "X5.29057" "X5.31061" "X5.33065" "X5.35069" "X5.37073" "X5.39077" "X5.41081" "X5.43085" "X5.45089" "X5.47093" "X5.49097" "X5.51101" "X5.53105" "X5.55109"
10 "S" 338.962 82.021 80.395 88.51 158.965 393.588 853.404 1492.97 7347.51 9798.7 192.686 -74.43 -24.346 95.803 213.285 483.111 39.569 60.071 286.418 340.063 177.411 245.155 362.352 238.576 376.377 615.984 2027.18 27947.3 25013.7 26076.2 23527.4 13553.3 7461.66 2046.24 346.515 144.429 83.388 155.652 104.754 113.796 257.6 182.447 3026.66 1782.96 353.306 269.741 225.257 138.216 -28.66 -51.115 -61.707 -39.813 112.495 112.613 -66.414 -106.548 -125.077 -120.042 -49.063 27.893 970.715 7849.85 2870.14 4271 1251.24 358.955 256.481 202.457 128.264 128.264 4.318 -30.644 -49 4.647 -15.014 -31.892 570.754 6182.7 1973.67 2899.63 470.067 176.855 124.063 81.729 61.264 45.078 41.73 31.884 26.236 17.541 10.889 7.26 3.276 0.332 -1.303 1.201 8.689 21.902 28.151 307.169 1755.58 509.066 556.417 319.159 272.895 77.513 41.879 18.771 15.553 8.484 2.926 1.189 -2.702 -2.666 -5.903 -7.688 -6.255 -8.511 -10.65 -11.913 -9.003 -5.412 -10.689 -11.26 -7.357 -4.888 -6.017 -17.362 42.001 184.102 9.465 4.971 3.991 3.579 4.381 -1.262 1.293 35.623 68.398 0.696 -12.554 -3.43 9.015 11.96 47.244 364.932 56.659 51.409 67.314 17.855 14.857 14.792 5.527 12.175 -5.44 -13.844 -15.931 -14.341 5.976 -10.97 -9.617 -3.851 -19.461 -22.069 7.665 -8.674 -17.797 -56.15 492.064 1993.07 222.381 98.239 57.491 17.918 -4.895 6.23 1874.72 605.097 113.033 66.361 57.451 43.981 44.994 29.1 19.616 17.817 17.671 19.051 16.241 12.636 11.921 18.553 31.881 17.248 8.714 6.127 6.302 6.265 3.773 1.275 -0.061 -0.32 -0.714 -0.883 -1.585 -3.232 -3.402 -3.714 0.37 -4.619 -5.625 -5.538 -5.843 -7.568 -7.38 2.415 10.313 12.039 4.103 -0.471 4.848 5.101 -12.05 -9.734 504.961 777.408 60.907 465.633 3156.5 4678.05 2609.55 1486.67 344.747 103.628 60.62 26.872 19.885 16.159 16.826 21.962
41 "S" 36.714 1.697 2.261 2.2 15.475 66.857 170.437 249.437 958.259 1866.22 254.48 130.118 102.603 105.768 100.787 149.306 72.69 79.829 129.526 129.844 97.507 103.518 118.917 87.714 118.334 175.203 426.874 4439.28 4011.32 4010.67 3663.29 2240.38 1286.52 477.765 201.453 170.636 163.149 183.899 196.406 235.184 335.312 505.582 374.383 219.146 54.598 44.725 44.024 47.858 22.114 19.279 18.196 23.176 50.787 51.954 26.92 23.761 27.568 36.724 57.566 92.699 315.584 1350.09 362.645 660.203 137.477 34.389 29.015 32.639 28.078 28.078 12.296 11.966 16.487 33.159 40.438 60.863 244.37 750.221 228.557 237.548 44.313 4.859 2.415 0.348 -0.629 -0.65 0.074 0.216 0.453 0.305 0.732 0.75 0.923 1.319 0.764 2.04 8.838 9.822 10.211 47.908 280.059 75.356 87.334 43.615 37.402 12.262 2.025 1.203 0.845 0.719 0.46 0.557 0.031 0.034 0.195 -0.171 0.152 0.036 -0.371 0.158 0.882 2.271 0.606 0.638 3.124 3.715 2.943 1.671 5.021 44.19 6.116 1.477 1.999 2.186 2.639 2.268 4.92 9.633 14.816 3.425 1.56 2.502 11.339 7.221 11.578 34.674 19.556 15.117 15.587 35.61 5.311 1.498 6.265 5.489 1.278 -0.173 -0.221 0.465 1.869 0.383 1.637 2.467 0.881 0.665 6.775 8.725 10.075 8.073 107.849 284.704 18.088 10.002 4.813 4.06 8.486 16.869 296.93 67.951 8.471 3.579 3.232 2.53 3.126 2.225 0.301 0.139 -0.132 -0.054 -0.007 -0.281 -0.169 1.032 4.328 1.801 0.66 0.16 0.519 0.74 0.328 -0.107 -0.257 0.207 0.09 -0.023 -0.118 0.043 -0.064 -0.097 0.32 0.006 -0.199 0.163 0.081 -0.062 0.537 3.033 5.509 5.958 3.951 4.056 4.24 7.554 6.098 9.396 91.107 119.127 22.482 97.725 553.36 726.719 379.739 204.686 38.976 7.58 2.544 -0.382 -0.107 -0.871 -0.361 0.183
51 "O" 96.811 -0.445 -3.509 -6.022 15.156 104.725 255.301 398.849 2905.29 5016.57 680.566 293.028 224.116 246.375 253.82 423.116 137.576 146.652 261.012 285.016 180.684 220.501 258.964 155.722 212.571 307.926 1092.1 15162.1 10757.4 11211.2 9704.95 5914.16 3189.82 1138.21 392.138 277.065 248.869 284.284 246.618 259.549 351.151 287.568 1512 378.297 187.052 177.518 195.141 133.934 85.383 79.301 76.197 99.359 205.485 184.015 101.525 94.704 99.129 119.097 187.098 290.413 894.694 3319.31 1015.3 2018.18 378.973 114.908 103.653 146.477 73.863 73.863 52.101 51.095 65.043 121.385 144.187 231.273 795.894 2247.6 1104.15 264.53 43.65 15.159 7.772 6.174 6.781 10.915 13.945 11.38 11.574 10.815 11.272 12.248 12.024 12.56 13.874 15.462 20.377 28.362 36.694 175.539 850.495 226.635 296.667 157.409 109.089 28.404 21.471 17.135 14.674 13.347 12.534 12.287 12.567 11.769 11.436 13.323 22.495 35.539 20.896 11.805 10.908 12.055 10.454 13.277 20.673 108.956 123.759 200.976 95.921 106.577 35.795 40.718 28.176 29.837 17.513 13.164 13.974 35.821 64.189 22.551 16.173 37.733 45.043 26.604 52.306 251.339 54.327 49.527 45.076 48.568 29.626 32.133 17.465 29.58 32.704 23.346 16.979 25.344 74.882 40.008 56.646 60.844 38.977 19.626 46.3 43.773 70.762 66.369 296.268 724.752 64.896 35.019 50.956 21.518 16.092 48.633 710.316 155.546 24.624 16.575 32.736 40.895 31.169 12.805 5.555 3.678 2.059 2.138 3.743 7.504 3.257 5.365 13.851 5.826 2.786 1.358 1.811 2.177 1.682 -0.047 0.079 -0.058 0.011 -0.215 0.145 0.067 0.18 0.268 3.325 2.389 1.748 0.355 0.906 0.639 1.264 4.423 8.661 13.803 12.275 16.007 11.096 17.746 23.123 32.339 218.124 261.374 41.062 291.297 1590.78 1845.26 1195.4 651.913 134.221 32.984 22.08 5.914 3.461 3.127 3.102 6.512
71 "S" 73.983 4.511 4.156 4.792 34.985 129.364 366.531 490.115 1989.77 3604.29 392.812 176.691 133.521 166.908 158.819 272.666 101.355 122.239 236.469 221.012 141.007 159.724 187.953 139.973 195.459 317.941 892.16 10158.1 7855.31 7679.22 7041.92 4279.27 2582.37 826.856 238.735 166.82 141.466 167.432 147.182 150.386 198.437 150.506 917.792 539.412 558.905 238.397 138.448 128.412 74.094 64.981 62.519 74.777 138.262 132.827 76.89 71.83 78.694 96.947 147.619 230.67 653.421 2577.74 1036.45 1653.32 376.404 64.243 50.703 67.021 51.499 51.499 21.478 23.122 34.276 72.588 86.369 122.757 481.784 1327.39 517.572 607.804 64.07 -6.386 -7.638 -6.351 -7.752 -6.232 -3.793 -3.556 -2.216 -2.252 -1.486 -0.37 0.524 0.97 2.908 4.679 11.784 20.247 28.611 118.094 578.656 149.019 188.86 85.758 61.343 15.309 1.523 -0.427 -0.599 -0.002 0.155 2.413 -0.778 -0.494 -0.128 -0.348 0.454 -0.012 -0.023 0.333 1.595 2.991 1.24 1.529 4.272 5.612 6.54 13.693 29.239 82.038 11.783 12.178 10.233 9.243 10.374 9.396 14.632 23.075 36.992 13.111 11.059 12.185 17.986 37.339 82.652 200.722 35.442 36.775 86.77 612.573 17.067 8.73 11.735 12.1 2.542 0.688 0.745 1.97 3.92 2.185 4.462 6.531 2.421 2.764 16.843 15.886 16.709 14.416 180.08 472.666 31.537 14.39 8.262 8.273 11.932 30.907 492.393 104.568 12.49 4.794 4.696 2.969 4.328 1.728 0.033 0.012 -0.004 -0.005 -0.296 -0.338 0.09 2.812 7.887 2.637 0.861 0.242 0.856 1.171 0.799 -0.345 0.171 -0.633 -0.534 -0.302 -0.326 0.51 0.247 0.061 1.092 0.352 0.172 0.544 0.718 0.966 0.927 5.402 10.088 55.381 125.555 22.729 17.251 18.71 16.465 22.323 161.12 196.147 45.41 198.02 1071.08 1423.93 799.344 436.046 85.975 16.528 6.728 0.029 -0.27 0.248 -0.096 0.439
91 "S" 32.89 2.031 1.992 1.564 15.865 71.491 177.736 274.237 575.877 1050.89 183.797 97.949 74.72 78.147 80.846 120.811 60.385 67.595 110.137 106.83 74.511 74.003 88.278 57.407 74.622 104.555 230.383 3180.4 2303.82 2024.1 1902.24 1232.71 831.369 388.012 211.346 194.938 199.36 231.136 271.925 359.18 601.142 1452.28 190.563 154.084 31.197 22.93 23.198 32.979 8.401 4.941 3.937 6.923 28.495 29.112 9.768 6.534 8.192 11.21 22.647 39.82 121.484 588.055 179.76 337.405 89.906 26.179 19.442 23.364 22.051 22.051 7.196 5.132 8.233 19.254 20.148 31.115 110.463 310.772 110.1 201.897 46.347 5.281 2.258 0.803 -0.234 -0.435 0.263 0.169 -0.105 0.155 0.193 0.35 1.061 0.896 0.174 1.001 5.12 5.249 5.457 22.434 136.558 43.981 61.996 31.482 27.3 7.224 1.165 0.702 0.462 0.073 -0.051 0.007 -0.072 0.035 0.055 0.045 0.169 -0.22 -0.156 0.123 0.629 1.44 0.796 0.563 2.127 4.116 2.281 0.833 2.563 18.387 3.962 0.844 0.882 1.23 1.115 1.036 1.826 6.487 10.923 2.027 0.493 2.696 9.837 3.681 11.077 23.485 11.567 11.753 5.346 2.808 0.996 0.027 2.039 3.492 1.056 -0.567 -0.78 -0.224 4.86 0.214 0.36 1.728 0.784 0.215 10.85 8.259 5.154 3.939 42.112 119.486 10.628 5.256 5.874 1.05 5.539 5.242 114.826 30.639 4.399 2.612 2.791 2.306 2.946 2.235 0.572 0.183 0.036 -0.408 -0.156 -0.121 0.071 1.243 2.977 1.382 0.752 0.664 0.601 1.032 0.61 0.079 0.01 -0.058 -0.018 -0.087 -0.064 0.001 0.119 -0.03 0.067 0.109 -0.333 0.026 0.053 0.158 0.147 1.085 2.276 4.201 2.54 2.505 2.443 3.708 2.498 3.437 34.599 46.957 8.884 41.079 241.276 355.197 207.756 123.095 30.432 6.741 2.711 0.297 0.217 -0.26 0.138 0.27
101 "K" 87.919 3.479 2.319 2.58 18.946 83.409 205.455 330.615 1737.13 3362.98 413.362 161.766 117.104 136.642 153.46 282.214 85.496 90.624 180.744 198.288 119.998 145.108 174.535 95.161 129.174 189.497 593.668 8798.48 6889.38 6721.48 6438.11 4027.25 2649.07 846.912 245.647 167.4 145.067 177.492 152.094 156.684 220.361 160.538 866.13 739.99 151.956 114.374 115.686 125.558 58.899 51.715 49.978 64.006 135.059 128.92 66.741 58.443 62.927 76.062 121.153 185.783 514.918 2192.97 673.736 1310.07 279.907 65.723 56.772 70.124 67.788 67.788 23.723 24.863 34.345 74.767 81.062 115.79 407.433 1126.22 422.6 998.651 131.9 -7.798 -7.068 -7.103 -7.153 -5.133 -3.055 -2.767 -1.719 -1.028 -0.715 0.126 0.276 0.87 2.154 4.158 9.243 15.674 21.077 94.557 547.451 151.894 182.239 98.898 74.794 10.253 3.791 1.129 0.428 -0.032 0.161 0.683 -0.313 -0.324 -0.075 -0.078 -0.032 0.068 0.318 0.001 1.199 2.706 0.953 0.817 2.941 5.108 5.386 3.011 20.179 70.97 7.291 4.8 4.954 6.599 5.419 3.679 6.803 21.311 37.906 9.601 3.018 8.658 16.427 14.148 28.227 111.739 27.195 29.346 30.638 11.433 9.25 4.937 3.648 11.485 5.718 0.062 0.092 1.627 13.144 3.099 4.695 7.191 2.133 2.178 17.806 14.643 13.623 10.433 150.536 413.226 26.761 14.063 16.602 7.102 11.013 21.31 406.509 101.24 13.117 4.769 4.85 4.102 9.438 5.591 0.279 0.113 -0.028 -0.119 -0.023 -0.17 0.386 2.96 8.235 3.233 0.778 0.391 0.622 1.616 0.72 -0.08 -0.045 -0.072 0.139 0.22 -0.067 -0.13 0.186 0.436 2.701 0.445 0.147 0.009 -0.041 -0.174 0.102 4.237 8.469 9.061 5.503 3.86 6.563 8.125 6.068 11.807 124.389 160.617 22.419 145.837 916.852 1304.52 778.191 440.89 98.193 22.591 8.506 0.942 -0.025 -0.345 -0.448 0.83
121 "O" 56.186 2.013 0.799 -0.139 8.641 57.104 172.353 263.351 936.836 1665.73 289.213 134.976 101.167 98.435 109.693 189.909 77.514 80.833 145.629 149.767 96.363 104.115 127.518 72.092 87.029 127.522 356.283 4470.53 3333.65 3029.9 2880.95 1838.09 1299.05 603.822 298.371 259.324 262.479 312.764 353.04 456.906 754.211 1734.17 278.253 177.253 39.652 29.433 31.744 39.149 9.205 6.011 5.156 13.163 56.277 55.319 18.873 13.723 15.746 20.988 44.192 85.415 221.827 865.613 324.946 634.429 155.939 38.099 31.727 36.921 30.725 30.725 10.653 8.89 12.163 32.382 34.061 48.113 160.346 449.742 173.114 193.563 59.208 10.275 2.631 0.715 0.018 0.392 1.512 0.37 0.185 0.193 -0.229 0.012 -0.049 -0.133 0.002 1.098 3.123 6.967 13.93 53.756 257.18 76.475 98.288 54.499 39.034 4.644 1.142 0.218 -0.15 -0.329 -0.31 1.113 -0.353 -0.603 -0.012 -0.164 -0.056 0.096 0.065 0.343 0.87 1.476 0.75 0.574 1.236 1.872 1.53 1.306 1.874 3.825 2.966 3.03 2.644 2.161 2.737 2.407 4.681 11.922 20.839 5.866 3.851 4.439 6.561 6.907 9.776 35.58 10.848 15.338 26.533 148.266 8.263 3.621 4.49 7.209 4.369 2.419 2.301 2.691 4.795 2.752 4.18 4.815 2.353 2.592 12.55 8.329 5.049 4.116 54.855 162.077 11.001 5.663 6.255 4.074 8.747 9.039 164.087 45 7.696 4.005 3.564 2.034 1.102 0.693 0.371 0.244 -0.224 -0.186 -0.6 -0.579 -0.571 0.854 4.331 1.197 -0.041 -0.262 -0.085 0.326 0.177 -0.318 -0.073 0.165 -0.03 -0.108 0.064 0.084 -0.056 0.096 0.856 0.317 0.011 -0.047 0.123 -0.15 0.366 1.843 4.037 7.141 4.003 2.36 2.526 4.101 3.458 6.594 52.451 74.149 31.217 100.473 431.998 559.545 387.783 220.231 53.484 13.062 5.95 1.617 1.115 0.755 1.109 1.785
131 "K" 89.161 3.703 2.458 2.029 47.242 184.31 431.193 620.575 2677.17 5220.11 526.735 217.769 174.416 222.045 208.705 347.178 125.849 137.789 254.461 253.336 152.978 183.144 219.29 142.56 212.847 332.289 976.83 13412.6 10983.2 11656.7 10691.2 6134.91 3616.45 1212.65 360.66 246.238 213.027 240.368 214.102 223.496 281.948 226.37 1252.04 647.882 173.608 169.973 164.89 144.945 75.009 68.938 68.104 85.82 175.253 163.962 94.399 88.517 97.941 122.308 195.762 301.431 915.427 3736.14 1074.77 2064.2 418.404 97.891 110.192 95.308 77.618 77.618 32.836 35.483 49.939 101.896 122.157 186.605 795.874 2457.24 745.027 774.822 92.546 -10.313 -13.633 -13.427 -11.797 -5.267 -1.476 -3.391 -1.963 -1.352 -0.334 1.13 2.181 3.199 5.236 8.389 14.453 26.071 38.83 176.657 874.338 226.659 307.307 151.253 112.841 13.454 1.57 0.627 -0.004 -0.299 -0.326 -0.083 -0.134 0.073 0.563 0.602 1.91 1.149 1.116 0.852 2.761 3.958 2.088 2.223 3.911 5.158 4.683 5.627 28.233 71.443 10.077 14.212 8.735 8.885 8.11 4.98 7.191 23.068 42.967 14.729 9.149 10.556 17.994 21.829 35.546 195.762 26.798 26.719 50.929 164.214 13.049 6.817 10.516 16.541 5.108 2.448 2.301 3.601 9.094 5.004 9.741 12.93 5.3 6.132 24.712 24.61 24.154 22.641 343.629 924.401 50.786 26.407 19.31 12.094 14.592 55.002 956.999 211.646 21.55 9.491 11.222 7.301 12.134 7.557 2.439 2.794 2.87 1.841 1.209 0.866 1.241 4.781 11.864 4.941 1.967 0.689 1.289 1.604 1.5 -0.066 0.091 0.2 -0.27 -0.203 -0.018 0.194 0.397 0.96 2.473 1.234 1.227 1.28 2.191 2.515 3.359 8.915 14.715 18.6 12.899 12.096 15.812 21.586 19.489 32.52 298.348 363.831 54.749 292.609 1604.56 2079.94 1228.32 670.706 139.827 26.626 11.083 0.583 -0.514 -0.383 0.3 2.889
151 "S" 74.346 4.798 4.88 5.146 27.816 105.39 237.225 367.58 1794.92 3414.72 386.793 151.653 116.7 145.717 148.563 262.051 87.163 92.145 173.925 187.483 123.386 137.969 163.478 97.258 134.075 207.294 621.937 8744.86 6949.73 7196.07 6811.68 4020.9 2485.55 846.422 259.743 181.515 154.052 180.596 154.93 159.277 212.295 159.046 885.436 512.243 165.362 134.603 137.363 135.67 71.224 62.958 60.095 71.682 133.213 131.325 73.866 65.416 70.623 85.834 130.578 196.855 574.573 2327.73 703.144 1405.71 294.151 67.442 61.336 80.482 66.709 66.709 26.064 25.748 35.202 71.162 81.775 123.152 474.13 1383.79 512.833 513.697 70.646 -1.384 -2.423 -4.459 -5.02 -3.927 -2.398 -1.722 -1.014 -0.867 -0.391 0.949 0.943 1.686 2.95 5.045 13.119 21.394 31.758 117.696 589.405 150.345 203.779 109.165 83.434 23.729 1.522 0.794 -0.339 -1.424 -1.333 3.111 -0.627 -0.653 -0.268 0.27 -0.187 -0.029 -0.371 0.3 1.838 3.088 1.24 1.445 4.834 5.771 6.753 4.13 10.985 124.925 8.097 4.267 5.774 6.768 7.423 7.329 10.937 22.172 35.1 10.496 5.798 7.784 12.32 27.942 28.077 155.17 28.881 26.251 26.088 22.178 12.989 8.555 26.044 9.884 3.909 2.27 1.278 2.603 3.672 2.543 5.57 7.517 3.539 4.017 24.555 20.724 17.576 14.512 179.496 496.238 46.285 15.904 7.802 8.579 12.372 28.237 514.034 120.732 16.573 7.977 7.461 5.158 6.6 4.478 3.746 4.107 3.037 1.956 1.666 1.224 1.397 4.309 9.978 4.146 1.458 0.794 0.692 1.535 1.115 -0.248 0.35 -0.401 0.492 0.588 0.095 -0.21 -0.104 -0.474 0.649 -0.198 -0.053 0.014 -0.091 -0.276 0.206 4.543 8.798 10.032 5.468 3.59 4.947 8.745 7.073 12.825 153.11 198.574 31.852 178.162 1021.76 1341.53 836.056 472.001 105.05 21.308 9.735 1.006 -0.21 -0.335 -0.376 0.438
191 "B" 84.943 18.965 20.128 23.087 47.529 142.734 318.319 508.964 1877.93 2876.88 64.593 -14.035 0.873 41.854 67.674 143.273 15.503 31.656 106.74 111.564 64.484 69.287 110.753 63.495 106.762 186.666 556.851 7418.56 6369.03 6379.16 6191.5 3691.16 2356.24 769.663 180.651 131.525 141.803 119.492 118.268 137.721 215.369 237.701 762.463 648.288 181.454 141.128 115.718 72.35 22.208 69.58 -6.172 -6.071 38.73 35.457 -11.542 -19.84 -23.313 -21.653 0.903 32.12 258.051 1896.31 753.7 1304.11 409.823 115.912 86.259 79.829 61.921 61.921 16.896 17.112 22.783 29.289 21.348 22.511 203.781 1287.62 437.313 790.965 141.672 28.636 12.665 3.847 -1.928 103.229 26.265 9.444 6.127 3.903 2.358 3.95 3.414 2.181 1.968 3.367 6.208 12.932 20.855 102.605 545.767 139.266 184.281 103.621 87.192 15.539 5.371 2.834 1.486 0.888 0.418 0.906 -0.261 -0.452 -0.282 -0.32 0.154 0.166 0.999 1.2 3.122 15.701 114.752 -0.757 -0.048 3.876 7.975 5.487 1.887 20.301 9.543 0.188 0.814 0.503 0.489 -0.282 2.939 11.867 21.203 0.72 -2.519 1.081 5.051 2.051 7.008 152.305 18.161 18.968 20.039 57.157 5.195 -1.059 1.481 5.268 0.411 -4.045 -4.17 -4.338 3.491 -3.456 -2.26 -1.377 -4.536 -6.038 4.037 0.819 -1.504 -12.471 97.467 412.867 37.968 16.887 11.252 1.292 0.927 -6.353 386.473 125.092 20.342 9.559 7.453 3.81 2.632 2.067 0.728 0.13 -0.16 -0.263 -0.099 -0.244 -0.298 1.072 4.214 1.776 1.315 1.577 0.967 1.942 0.623 -0.009 -0.158 0.147 0.051 -0.147 0.136 -0.033 -0.294 -0.042 2.043 -0.147 -0.701 -0.957 -0.805 -1.714 -0.563 2.565 4.258 5.328 1.543 -0.635 -1.551 -0.588 -5.016 -4.986 96.886 166.332 18.949 128.819 834.705 1237.85 790.254 481.743 122.897 38.755 22.05 10.032 7.566 6.069 5.508 6.317
