"NMR.exp" "Population" "Acclimation" "nest"
10 "S" 25 "S069"
41 "S" 15 "S069"
51 "O" 25 "E010"
71 "S" 15 "S096"
91 "S" 19 "S080"
101 "K" 15 "K162"
121 "O" 29 "E010"
131 "K" 23 "Kmix1"
151 "S" 19 "S095"
191 "B" 29 "B121b "
211 "O" 23 "E006"
221 "B" 25 "B121b "
231 "O" 25 "E011*"
251 "S" 15 "S095"
281 "B" 25 "B128"
291 "O" 25 "E006"
321 "B" 29 "B126b"
351 "S" 25 "S080"
411 "B" 15 "Bmix"
501 "B" 19 "B126a "
521 "K" 25 "K159*"
541 "B" 25 "Bmix"
561 "K" 25 "K162"
641 "O" 23 "E010"
651 "O" 23 "E026"
661 "B" 23 "B128"
681 "S" 19 "Smix3"
691 "O" 19 "E011*"
701 "S" 29 "S085"
711 "S" 19 "S096"
731 "S" 23 "S095"
741 "B" 15 "B126a "
751 "O" 25 "E008"
781 "O" 19 "E010"
801 "B" 19 "B125 "
811 "O" 15 "E026"
831 "B" 25 "B123a "
841 "S" 23 "S069"
861 "O" 25 "E026"
881 "O" 15 "E010"
891 "B" 29 "Bmix"
901 "B" 15 "B126b"
931 "S" 25 "S085"
1001 "B" 19 "Bmix"
1011 "O" 29 "T031*"
1031 "S" 15 "S080"
1051 "K" 23 "K162"
1061 "S" 29 "S095"
1081 "S" 15 "S085"
1101 "B" 23 "B125 "
1111 "B" 19 "B121b "
1141 "K" 29 "Kmix1"
1151 "B" 15 "B121b "
1161 "S" 23 "Smix3"
1171 "O" 15 "E008"
1181 "B" 23 "B126a "
1191 "B" 25 "B126b"
1201 "B" 19 "B126b"
1221 "B" 23 "Bmix"
1251 "K" 29 "K159*"
1261 "O" 29 "E008"
1271 "S" 19 "S096b"
1331 "O" 19 "E006"
1351 "S" 25 "S073"
1361 "O" 15 "E011*"
1391 "S" 19 "S069"
1411 "O" 15 "E006"
1421 "S" 23 "S096"
1431 "O" 19 "T031*"
1451 "S" 25 "S095"
1461 "B" 23 "B121b "
1491 "K" 25 "Kmix1"
1521 "K" 19 "K162"
1531 "S" 23 "S096b"
1541 "K" 15 "K159*"
1571 "B" 23 "B126b"
1591 "S" 19 "S085"
1601 "S" 15 "Smix3"
1611 "B" 15 "B123a "
1631 "S" 25 "Smix3"
1641 "K" 19 "K159*"
1651 "O" 29 "E006"
1691 "B" 25 "B125 "
1721 "B" 29 "B125 "
1751 "B" 23 "B123a "
1761 "O" 25 "T031*"
1801 "K" 19 "Kmix1"
1811 "O" 29 "E026"
1831 "S" 23 "S085"
1841 "O" 23 "T031*"
1851 "B" 29 "B128"
1871 "B" 19 "B123a "
1891 "S" 25 "S096b"
1901 "S" 29 "S080"
1911 "S" 23 "S080"
1951 "B" 29 "B123a "
1981 "B" 25 "B126a "
1991 "O" 23 "E008"
2001 "O" 23 "E011*"
2021 "K" 23 "K159*"
2051 "O" 29 "E011*"
2061 "O" 15 "T031*"
2081 "B" 15 "B128"
2091 "O" 19 "E026"
2121 "S" 29 "S069"
2141 "S" 15 "S073"
2161 "K" 15 "Kmix1"
2191 "B" 19 "B128"
2201 "S" 29 "S096"
2231 "K" 29 "K162"
2241 "O" 19 "E008"
2251 "B" 15 "B125 "
